registro_id,grupo_asignado,fecha_asignacion
EXP075-000001,A,2024-01-01
EXP075-000002,B,2024-01-01
EXP075-000003,A,2024-01-01
EXP075-000004,B,2024-01-02
EXP075-000005,A,2024-01-02
EXP075-000006,B,2024-01-02
EXP075-000007,A,2024-01-03
EXP075-000008,A,2024-01-03
EXP075-000009,A,2024-01-03
EXP075-000010,A,2024-01-04
EXP075-000011,A,2024-01-04
EXP075-000012,A,2024-01-04
EXP075-000013,B,2024-01-05
EXP075-000014,B,2024-01-05
EXP075-000015,A,2024-01-05
EXP075-000016,B,2024-01-06
EXP075-000017,A,2024-01-06
EXP075-000018,B,2024-01-06
EXP075-000019,A,2024-01-07
EXP075-000020,B,2024-01-07
EXP075-000021,B,2024-01-07
EXP075-000022,B,2024-01-08
EXP075-000023,B,2024-01-08
EXP075-000024,A,2024-01-09
EXP075-000025,A,2024-01-09
EXP075-000026,A,2024-01-09
EXP075-000027,B,2024-01-10
EXP075-000028,A,2024-01-10
EXP075-000029,B,2024-01-10
EXP075-000030,A,2024-01-11
EXP075-000031,A,2024-01-11
EXP075-000032,A,2024-01-11
EXP075-000033,B,2024-01-12
EXP075-000034,A,2024-01-12
EXP075-000035,B,2024-01-12
EXP075-000036,A,2024-01-13
EXP075-000037,A,2024-01-13
EXP075-000038,B,2024-01-13
EXP075-000039,A,2024-01-14
EXP075-000040,B,2024-01-14
EXP075-000041,A,2024-01-14
EXP075-000042,A,2024-01-15
EXP075-000043,A,2024-01-15
EXP075-000044,A,2024-01-15
EXP075-000045,A,2024-01-16
EXP075-000046,B,2024-01-16
EXP075-000047,A,2024-01-17
EXP075-000048,A,2024-01-17
EXP075-000049,A,2024-01-17
EXP075-000050,B,2024-01-18
EXP075-000051,A,2024-01-18
EXP075-000052,A,2024-01-18
EXP075-000053,A,2024-01-19
EXP075-000054,A,2024-01-19
EXP075-000055,A,2024-01-19
EXP075-000056,A,2024-01-20
EXP075-000057,A,2024-01-20
EXP075-000058,B,2024-01-20
EXP075-000059,B,2024-01-21
EXP075-000060,A,2024-01-21
EXP075-000061,A,2024-01-21
EXP075-000062,A,2024-01-22
EXP075-000063,A,2024-01-22
EXP075-000064,B,2024-01-22
EXP075-000065,A,2024-01-23
EXP075-000066,B,2024-01-23
EXP075-000067,A,2024-01-23
EXP075-000068,A,2024-01-24
EXP075-000069,B,2024-01-24
EXP075-000070,A,2024-01-25
EXP075-000071,B,2024-01-25
EXP075-000072,A,2024-01-25
EXP075-000073,A,2024-01-26
EXP075-000074,A,2024-01-26
EXP075-000075,B,2024-01-26
EXP075-000076,A,2024-01-27
EXP075-000077,B,2024-01-27
EXP075-000078,A,2024-01-27
EXP075-000079,B,2024-01-28
EXP075-000080,A,2024-01-28
EXP075-000081,A,2024-01-28
EXP075-000082,B,2024-01-29
EXP075-000083,B,2024-01-29
EXP075-000084,A,2024-01-29
EXP075-000085,B,2024-01-30
EXP075-000086,B,2024-01-30
EXP075-000087,B,2024-01-30
EXP075-000088,A,2024-01-31
EXP075-000089,A,2024-01-31
EXP075-000090,A,2024-01-31
EXP075-000091,A,2024-02-01
EXP075-000092,A,2024-02-01
EXP075-000093,B,2024-02-02
EXP075-000094,A,2024-02-02
EXP075-000095,A,2024-02-02
EXP075-000096,B,2024-02-03
EXP075-000097,A,2024-02-03
EXP075-000098,A,2024-02-03
EXP075-000099,A,2024-02-04
EXP075-000100,A,2024-02-04
EXP075-000101,B,2024-02-04
EXP075-000102,A,2024-02-05
EXP075-000103,B,2024-02-05
EXP075-000104,A,2024-02-05
EXP075-000105,B,2024-02-06
EXP075-000106,B,2024-02-06
EXP075-000107,B,2024-02-06
EXP075-000108,A,2024-02-07
EXP075-000109,A,2024-02-07
EXP075-000110,A,2024-02-07
EXP075-000111,A,2024-02-08
EXP075-000112,B,2024-02-08
EXP075-000113,A,2024-02-08
EXP075-000114,B,2024-02-09
EXP075-000115,A,2024-02-09
EXP075-000116,A,2024-02-10
EXP075-000117,B,2024-02-10
EXP075-000118,A,2024-02-10
EXP075-000119,B,2024-02-11
EXP075-000120,A,2024-02-11
EXP075-000121,B,2024-02-11
EXP075-000122,A,2024-02-12
EXP075-000123,A,2024-02-12
EXP075-000124,A,2024-02-12
EXP075-000125,A,2024-02-13
EXP075-000126,B,2024-02-13
EXP075-000127,A,2024-02-13
EXP075-000128,B,2024-02-14
EXP075-000129,A,2024-02-14
EXP075-000130,B,2024-02-14
EXP075-000131,B,2024-02-15
EXP075-000132,A,2024-02-15
EXP075-000133,A,2024-02-15
EXP075-000134,B,2024-02-16
EXP075-000135,A,2024-02-16
EXP075-000136,B,2024-02-16
EXP075-000137,B,2024-02-17
EXP075-000138,B,2024-02-17
EXP075-000139,B,2024-02-18
EXP075-000140,B,2024-02-18
EXP075-000141,A,2024-02-18
EXP075-000142,A,2024-02-19
EXP075-000143,A,2024-02-19
EXP075-000144,A,2024-02-19
EXP075-000145,B,2024-02-20
EXP075-000146,A,2024-02-20
EXP075-000147,B,2024-02-20
EXP075-000148,A,2024-02-21
