registro_id,fecha,edificio,temperatura_c,ocupacion,kwh,superficie_m2,tarifa
ENE077-000001,2024-01-01,B1,20.8,53,125.84,600,0.62
ENE077-000002,2024-01-01,B2,16.4,97,267.42,1200,0.62
ENE077-000003,2024-01-01,B3,18.7,97,297.12,1800,0.62
ENE077-000004,2024-01-02,B1,18.4,22,78.02,600,0.62
ENE077-000005,2024-01-02,B2,17.9,77,209.59,1200,0.62
ENE077-000006,2024-01-02,B3,18.0,90,282.54,1800,0.62
ENE077-000007,2024-01-03,B1,19.6,29,96.56,600,0.62
ENE077-000008,2024-01-03,B2,21.2,77,236.28,1200,0.62
ENE077-000009,2024-01-03,B3,18.1,119,326.72,1800,0.62
ENE077-000010,2024-01-04,B1,23.8,54,161.9,600,0.62
ENE077-000011,2024-01-04,B2,19.7,89,221.86,1200,0.62
ENE077-000012,2024-01-04,B3,20.3,119,346.56,1800,0.62
ENE077-000013,2024-01-05,B1,18.7,44,113.92,600,0.62
ENE077-000014,2024-01-05,B2,18.9,90,222.73,1200,0.62
ENE077-000015,2024-01-05,B3,20.6,89,286.53,1800,0.62
ENE077-000016,2024-01-06,B1,17.2,3,42.48,600,0.62
ENE077-000017,2024-01-06,B2,21.3,16,130.15,1200,0.62
ENE077-000019,2024-01-07,B1,20.6,10,62.13,600,0.62
ENE077-000020,2024-01-07,B2,20.2,17,114.24,1200,0.62
ENE077-000021,2024-01-07,B3,20.1,22,187.22,1800,0.62
ENE077-000022,2024-01-08,B1,19.4,41,123.12,600,0.62
ENE077-000023,2024-01-08,B2,21.2,62,191.31,1200,0.62
ENE077-000024,2024-01-08,B3,17.5,108,309.4,1800,0.62
ENE077-000025,2024-01-09,B1,19.6,63,131.03,600,0.62
ENE077-000026,2024-01-09,B2,19.0,64,183.53,1200,0.62
ENE077-000027,2024-01-09,B3,19.5,104,304.11,1800,0.62
ENE077-000028,2024-01-10,B1,21.9,63,148.25,600,0.62
ENE077-000029,2024-01-10,B2,20.1,87,243.88,1200,0.62
ENE077-000030,2024-01-10,B3,19.9,93,284.18,1800,0.62
ENE077-000031,2024-01-11,B1,20.6,56,148.52,600,0.62
ENE077-000032,2024-01-11,B2,20.2,62,206.14,1200,0.62
ENE077-000033,2024-01-11,B3,19.9,117,317.97,1800,0.62
ENE077-000034,2024-01-12,B1,21.5,40,119.96,600,0.62
ENE077-000035,2024-01-12,B2,19.7,74,207.03,1200,0.62
ENE077-000036,2024-01-12,B3,18.5,109,299.22,1800,0.62
ENE077-000037,2024-01-13,B1,19.5,8,57.7,600,0.62
