evento_id,registro_id,fecha_evento,estado_evento
EV000001,SOP043-000001,2024-01-01,abierto
EV000002,SOP043-000001,2024-01-02,cerrado
EV000003,SOP043-000002,2024-01-01,abierto
EV000004,SOP043-000003,2024-01-02,abierto
EV000005,SOP043-000003,2024-01-04,cerrado
EV000006,SOP043-000004,2024-01-02,abierto
EV000007,SOP043-000004,2024-01-03,cerrado
EV000008,SOP043-000005,2024-01-03,abierto
EV000009,SOP043-000005,2024-01-04,cerrado
EV000010,SOP043-000006,2024-01-03,abierto
EV000011,SOP043-000006,2024-01-04,cerrado
EV000012,SOP043-000007,2024-01-04,abierto
EV000013,SOP043-000008,2024-01-05,abierto
EV000014,SOP043-000008,2024-01-06,cerrado
EV000015,SOP043-000008,2024-01-07,abierto
EV000016,SOP043-000008,2024-01-09,cerrado
EV000017,SOP043-000009,2024-01-05,abierto
EV000018,SOP043-000010,2024-01-06,abierto
EV000019,SOP043-000010,2024-01-07,cerrado
EV000020,SOP043-000010,2024-01-08,abierto
EV000021,SOP043-000010,2024-01-10,cerrado
EV000022,SOP043-000011,2024-01-06,abierto
EV000023,SOP043-000011,2024-01-07,cerrado
EV000024,SOP043-000012,2024-01-07,abierto
EV000025,SOP043-000013,2024-01-08,abierto
EV000026,SOP043-000014,2024-01-08,abierto
EV000027,SOP043-000014,2024-01-09,cerrado
EV000028,SOP043-000015,2024-01-09,abierto
EV000029,SOP043-000015,2024-01-10,cerrado
EV000030,SOP043-000016,2024-01-09,abierto
EV000031,SOP043-000016,2024-01-10,cerrado
EV000032,SOP043-000017,2024-01-10,abierto
EV000033,SOP043-000017,2024-01-11,cerrado
EV000034,SOP043-000017,2024-01-12,abierto
EV000035,SOP043-000017,2024-01-14,cerrado
EV000036,SOP043-000018,2024-01-11,abierto
EV000037,SOP043-000018,2024-01-12,cerrado
EV000038,SOP043-000018,2024-01-13,abierto
EV000039,SOP043-000018,2024-01-15,cerrado
EV000040,SOP043-000019,2024-01-11,abierto
EV000041,SOP043-000019,2024-01-12,cerrado
EV000042,SOP043-000020,2024-01-12,abierto
EV000043,SOP043-000020,2024-01-13,cerrado
EV000044,SOP043-000021,2024-01-12,abierto
EV000045,SOP043-000021,2024-01-13,cerrado
EV000046,SOP043-000022,2024-01-13,abierto
EV000047,SOP043-000022,2024-01-14,cerrado
EV000048,SOP043-000023,2024-01-14,abierto
EV000049,SOP043-000023,2024-01-15,cerrado
EV000050,SOP043-000024,2024-01-14,abierto
EV000051,SOP043-000024,2024-01-15,cerrado
EV000052,SOP043-000025,2024-01-15,abierto
EV000053,SOP043-000025,2024-01-16,cerrado
EV000054,SOP043-000025,2024-01-17,abierto
EV000055,SOP043-000025,2024-01-19,cerrado
EV000056,SOP043-000026,2024-01-15,abierto
EV000057,SOP043-000026,2024-01-16,cerrado
EV000058,SOP043-000027,2024-01-16,abierto
EV000059,SOP043-000027,2024-01-17,cerrado
EV000060,SOP043-000028,2024-01-17,abierto
EV000061,SOP043-000028,2024-01-18,cerrado
EV000062,SOP043-000029,2024-01-17,abierto
EV000063,SOP043-000030,2024-01-18,abierto
EV000064,SOP043-000031,2024-01-18,abierto
EV000065,SOP043-000032,2024-01-19,abierto
EV000066,SOP043-000032,2024-01-20,cerrado
EV000067,SOP043-000033,2024-01-20,abierto
EV000068,SOP043-000033,2024-01-21,cerrado
EV000069,SOP043-000034,2024-01-20,abierto
EV000070,SOP043-000035,2024-01-21,abierto
EV000071,SOP043-000035,2024-01-22,cerrado
EV000072,SOP043-000036,2024-01-21,abierto
EV000073,SOP043-000036,2024-01-22,cerrado
EV000074,SOP043-000036,2024-01-23,abierto
EV000075,SOP043-000036,2024-01-25,cerrado
EV000076,SOP043-000037,2024-01-22,abierto
EV000077,SOP043-000037,2024-01-23,cerrado
EV000078,SOP043-000038,2024-01-22,abierto
EV000079,SOP043-000038,2024-01-23,cerrado
EV000080,SOP043-000039,2024-01-23,abierto
EV000081,SOP043-000039,2024-01-24,cerrado
EV000082,SOP043-000040,2024-01-24,abierto
EV000083,SOP043-000040,2024-01-25,cerrado
EV000084,SOP043-000041,2024-01-24,abierto
EV000085,SOP043-000041,2024-01-25,cerrado
EV000086,SOP043-000042,2024-01-25,abierto
EV000087,SOP043-000042,2024-01-26,cerrado
EV000088,SOP043-000043,2024-01-25,abierto
EV000089,SOP043-000043,2024-01-26,cerrado
EV000090,SOP043-000044,2024-01-26,abierto
