registro_id	fecha	sensor	zona	valor	unidad	horas_operativas
SEN069-000001	2024-01-01	S1	norte	18.11	C	12
SEN069-000002	2024-01-01	S2	centro	19.78	C	12
SEN069-000003	2024-01-01	S3	sur	76.59	F	6
SEN069-000004	2024-01-02	S1	norte	15.59	C	12
SEN069-000005	2024-01-02	S2	centro	20.69	C	24
SEN069-000006	2024-01-02	S3	sur	71.05	F	12
SEN069-000007	2024-01-03	S1	norte	20.13	C	12
SEN069-000008	2024-01-03	S2	centro	18.24	C	24
SEN069-000009	2024-01-03	S3	sur	67.24	F	24
SEN069-000010	2024-01-04	S1	norte	19.77	C	24
SEN069-000011	2024-01-04	S2	centro	20.17	C	24
SEN069-000012	2024-01-04	S3	sur	71.31	F	12
SEN069-000013	2024-01-05	S1	norte	20.6	C	24
SEN069-000014	2024-01-05	S2	centro	20.0	C	12
SEN069-000015	2024-01-05	S3	sur	70.99	F	24
SEN069-000016	2024-01-06	S1	norte	19.33	C	6
SEN069-000017	2024-01-06	S2	centro	20.88	C	24
SEN069-000019	2024-01-07	S1	norte	22.11	C	24
SEN069-000020	2024-01-07	S2	centro	21.29	C	6
SEN069-000021	2024-01-07	S3	sur	69.89	F	6
SEN069-000022	2024-01-08	S1	norte	20.05	C	24
SEN069-000023	2024-01-08	S2	centro	22.99	C	24
SEN069-000024	2024-01-08	S3	sur	77.58	F	18
SEN069-000025	2024-01-09	S1	norte	18.7	C	12
SEN069-000026	2024-01-09	S2	centro	23.58	C	24
SEN069-000027	2024-01-09	S3	sur	77.01	F	18
SEN069-000028	2024-01-10	S1	norte	18.32	C	6
SEN069-000029	2024-01-10	S2	centro	22.49	C	24
SEN069-000030	2024-01-10	S3	sur	71.17	F	24
SEN069-000031	2024-01-11	S1	norte	20.41	C	12
SEN069-000032	2024-01-11	S2	centro	21.11	C	24
SEN069-000033	2024-01-11	S3	sur	72.52	F	24
SEN069-000034	2024-01-12	S1	norte	22.75	C	24
SEN069-000035	2024-01-12	S2	centro	20.21	C	24
SEN069-000036	2024-01-12	S3	sur	77.46	F	24
SEN069-000037	2024-01-13	S1	norte	21.56	C	12
SEN069-000038	2024-01-13	S2	centro	21.74	C	6
SEN069-000039	2024-01-13	S3	sur	75.8	F	24
SEN069-000040	2024-01-14	S1	norte	20.29	C	12
SEN069-000041	2024-01-14	S2	centro	20.45	C	18
SEN069-000042	2024-01-14	S3	sur	71.61	F	24
SEN069-000043	2024-01-15	S1	norte	18.8	C	12
SEN069-000044	2024-01-15	S2	centro	22.04	C	12
SEN069-000045	2024-01-15	S3	sur	75.4	F	24
SEN069-000046	2024-01-16	S1	norte	19.59	C	12
SEN069-000047	2024-01-16	S2	centro	20.0	C	24
SEN069-000048	2024-01-16	S3	sur	78.54	F	18
SEN069-000049	2024-01-17	S1	norte	20.42	C	24
SEN069-000050	2024-01-17	S2	centro	23.23	C	18
SEN069-000051	2024-01-17	S3	sur	78.8	F	12
SEN069-000052	2024-01-18	S1	norte	22.35	C	6
SEN069-000053	2024-01-18	S2	centro	21.69	C	18
SEN069-000054	2024-01-18	S3	sur	71.58	F	6
SEN069-000055	2024-01-19	S1	norte	19.79	C	24
SEN069-000056	2024-01-19	S2	centro	24.44	C	18
SEN069-000057	2024-01-19	S3	sur	74.78	F	6
SEN069-000058	2024-01-20	S1	norte	17.66	C	24
SEN069-000059	2024-01-20	S2	centro	27.38	C	12
SEN069-000060	2024-01-20	S3	sur	80.66	F	24
SEN069-000061	2024-01-21	S1	norte	17.6	C	18
SEN069-000062	2024-01-21	S2	centro	26.4	C	24
SEN069-000063	2024-01-21	S3	sur	71.3	F	12
SEN069-000064	2024-01-22	S1	norte	22.05	C	18
SEN069-000065	2024-01-22	S2	centro	22.37	C	24
SEN069-000066	2024-01-22	S3	sur	73.92	F	24
SEN069-000067	2024-01-23	S1	norte	20.75	C	24
SEN069-000068	2024-01-23	S2	centro	24.38	C	24
SEN069-000069	2024-01-23	S3	sur	73.76	F	24
SEN069-000070	2024-01-24	S1	norte	23.03	C	18
SEN069-000072	2024-01-24	S3	sur	79.55	F	18
SEN069-000073	2024-01-25	S1	norte	22.3	C	24
SEN069-000074	2024-01-25	S2	centro	18.75	C	12
SEN069-000075	2024-01-25	S3	sur	77.89	F	18
SEN069-000076	2024-01-26	S1	norte	20.12	C	18
SEN069-000077	2024-01-26	S2	centro	22.93	C	24
SEN069-000078	2024-01-26	S3	sur	81.18	F	18
SEN069-000079	2024-01-27	S1	norte	24.04	C	24
SEN069-000080	2024-01-27	S2	centro	23.94	C	12
SEN069-000081	2024-01-27	S3	sur	78.79	F	24
SEN069-000082	2024-01-28	S1	norte	20.84	C	24
SEN069-000083	2024-01-28	S2	centro	25.76	C	18
SEN069-000084	2024-01-28	S3	sur		F	18
SEN069-000085	2024-01-29	S1	norte	25.1	C	12
SEN069-000086	2024-01-29	S2	centro	23.95	C	24
SEN069-000087	2024-01-29	S3	sur	85.28	F	24
SEN069-000088	2024-01-30	S1	norte	21.1	C	24
SEN069-000089	2024-01-30	S2	centro	26.42	C	24
SEN069-000090	2024-01-30	S3	sur	85.57	F	24
SEN069-000091	2024-01-31	S1	norte	24.27	C	18
SEN069-000092	2024-01-31	S2	centro	23.25	C	24
SEN069-000093	2024-01-31	S3	sur	76.72	F	12
SEN069-000094	2024-02-01	S1	norte	18.99	C	12
SEN069-000095	2024-02-01	S2	centro	23.1	C	24
SEN069-000096	2024-02-01	S3	sur	81.46	F	24
