registro_id	fecha	sensor	zona	valor	unidad	horas_operativas
SEN094-000001	2024-01-01	S1	norte	20.54	C	6
SEN094-000002	2024-01-01	S2	centro	22.72	C	6
SEN094-000003	2024-01-01	S3	sur	71.1	F	24
SEN094-000004	2024-01-02	S1	norte	19.91	C	24
SEN094-000005	2024-01-02	S2	centro	19.93	C	12
SEN094-000006	2024-01-02	S3	sur	65.84	F	24
SEN094-000007	2024-01-03	S1	norte	18.62	C	6
SEN094-000008	2024-01-03	S2	centro	21.09	C	6
SEN094-000009	2024-01-03	S3	sur	73.62	F	6
SEN094-000010	2024-01-04	S1	norte	16.76	C	24
SEN094-000011	2024-01-04	S2	centro	20.16	C	12
SEN094-000012	2024-01-04	S3	sur	69.02	F	18
SEN094-000013	2024-01-05	S1	norte	18.25	C	6
SEN094-000014	2024-01-05	S2	centro	22.85	C	6
SEN094-000015	2024-01-05	S3	sur	72.08	F	24
SEN094-000016	2024-01-06	S1	norte	20.91	C	18
SEN094-000017	2024-01-06	S2	centro	20.43	C	12
SEN094-000019	2024-01-07	S1	norte	19.95	C	18
SEN094-000020	2024-01-07	S2	centro	24.41	C	24
SEN094-000021	2024-01-07	S3	sur	71.87	F	24
SEN094-000022	2024-01-08	S1	norte	19.18	C	24
SEN094-000023	2024-01-08	S2	centro	21.68	C	12
SEN094-000024	2024-01-08	S3	sur	81.09	F	24
SEN094-000025	2024-01-09	S1	norte	20.68	C	18
SEN094-000026	2024-01-09	S2	centro	18.16	C	18
SEN094-000027	2024-01-09	S3	sur	72.26	F	24
SEN094-000028	2024-01-10	S1	norte	20.16	C	24
SEN094-000029	2024-01-10	S2	centro	22.76	C	24
SEN094-000030	2024-01-10	S3	sur	77.39	F	6
SEN094-000031	2024-01-11	S1	norte	21.3	C	12
SEN094-000032	2024-01-11	S2	centro	23.09	C	6
SEN094-000033	2024-01-11	S3	sur	76.38	F	24
SEN094-000034	2024-01-12	S1	norte	20.35	C	24
SEN094-000035	2024-01-12	S2	centro	26.47	C	24
SEN094-000036	2024-01-12	S3	sur	78.7	F	18
SEN094-000037	2024-01-13	S1	norte	19.62	C	24
SEN094-000038	2024-01-13	S2	centro	19.53	C	18
SEN094-000039	2024-01-13	S3	sur	77.05	F	24
SEN094-000040	2024-01-14	S1	norte	19.93	C	24
SEN094-000041	2024-01-14	S2	centro	21.16	C	18
SEN094-000042	2024-01-14	S3	sur	73.91	F	24
SEN094-000043	2024-01-15	S1	norte	22.5	C	12
SEN094-000044	2024-01-15	S2	centro	24.51	C	18
SEN094-000045	2024-01-15	S3	sur	74.26	F	18
SEN094-000046	2024-01-16	S1	norte	19.76	C	6
SEN094-000047	2024-01-16	S2	centro	24.11	C	24
SEN094-000048	2024-01-16	S3	sur	74.05	F	18
SEN094-000049	2024-01-17	S1	norte	20.76	C	6
SEN094-000050	2024-01-17	S2	centro	22.13	C	24
SEN094-000051	2024-01-17	S3	sur	74.62	F	18
SEN094-000052	2024-01-18	S1	norte	18.28	C	24
SEN094-000053	2024-01-18	S2	centro	18.61	C	18
SEN094-000054	2024-01-18	S3	sur	77.55	F	18
SEN094-000055	2024-01-19	S1	norte	23.38	C	24
SEN094-000056	2024-01-19	S2	centro	22.37	C	6
SEN094-000057	2024-01-19	S3	sur	76.94	F	24
SEN094-000058	2024-01-20	S1	norte	21.31	C	24
SEN094-000059	2024-01-20	S2	centro	24.58	C	24
SEN094-000060	2024-01-20	S3	sur	76.42	F	18
SEN094-000061	2024-01-21	S1	norte	24.35	C	12
SEN094-000062	2024-01-21	S2	centro	24.39	C	6
SEN094-000063	2024-01-21	S3	sur	77.11	F	12
SEN094-000064	2024-01-22	S1	norte	21.64	C	6
SEN094-000065	2024-01-22	S2	centro	23.28	C	6
SEN094-000066	2024-01-22	S3	sur	79.27	F	24
SEN094-000067	2024-01-23	S1	norte	22.33	C	24
SEN094-000068	2024-01-23	S2	centro	22.76	C	6
SEN094-000069	2024-01-23	S3	sur	76.62	F	24
SEN094-000070	2024-01-24	S1	norte	20.21	C	6
SEN094-000072	2024-01-24	S3	sur	79.63	F	6
SEN094-000073	2024-01-25	S1	norte	17.59	C	18
SEN094-000074	2024-01-25	S2	centro	22.0	C	24
SEN094-000075	2024-01-25	S3	sur	77.89	F	6
SEN094-000076	2024-01-26	S1	norte	21.11	C	24
SEN094-000077	2024-01-26	S2	centro	22.56	C	24
SEN094-000078	2024-01-26	S3	sur	71.68	F	12
SEN094-000079	2024-01-27	S1	norte	23.1	C	24
SEN094-000080	2024-01-27	S2	centro	24.75	C	6
SEN094-000081	2024-01-27	S3	sur	76.84	F	24
SEN094-000082	2024-01-28	S1	norte	22.21	C	6
SEN094-000083	2024-01-28	S2	centro	27.56	C	24
SEN094-000084	2024-01-28	S3	sur		F	6
SEN094-000085	2024-01-29	S1	norte	23.88	C	24
SEN094-000086	2024-01-29	S2	centro	26.22	C	18
SEN094-000087	2024-01-29	S3	sur	75.63	F	24
SEN094-000088	2024-01-30	S1	norte	23.58	C	18
SEN094-000089	2024-01-30	S2	centro	22.35	C	12
SEN094-000090	2024-01-30	S3	sur	75.39	F	24
SEN094-000091	2024-01-31	S1	norte	21.21	C	12
SEN094-000092	2024-01-31	S2	centro	25.85	C	12
SEN094-000093	2024-01-31	S3	sur	78.68	F	24
SEN094-000094	2024-02-01	S1	norte	24.62	C	18
SEN094-000095	2024-02-01	S2	centro	24.02	C	18
SEN094-000096	2024-02-01	S3	sur	74.63	F	12
SEN094-000097	2024-02-02	S1	norte	19.27	C	24
SEN094-000098	2024-02-02	S2	 CENTRO 	21.77	C	18
SEN094-000099	2024-02-02	S3	sur	78.0	F	18
SEN094-000100	2024-02-03	S1	norte	20.61	C	18
SEN094-000101	2024-02-03	S2	centro	26.05	C	18
SEN094-000102	2024-02-03	S3	sur	82.24	F	24
SEN094-000103	2024-02-04	S1	norte	26.42	C	18
SEN094-000104	2024-02-04	S2	centro	25.29	C	24
SEN094-000105	2024-02-04	S3	sur	83.47	F	6
SEN094-000106	2024-02-05	S1	norte	21.33	C	24
SEN094-000107	2024-02-05	S2	centro	28.41	C	6
SEN094-000108	2024-02-05	S3	sur	83.14	F	24
SEN094-000109	2024-02-06	S1	norte	22.7	C	6
SEN094-000110	2024-02-06	S2	centro	22.8	C	6
SEN094-000111	2024-02-06	S3	sur	76.04	F	24
SEN094-000112	2024-02-07	S1	norte	22.42	C	24
SEN094-000113	2024-02-07	S2	centro	24.37	C	24
SEN094-000114	2024-02-07	S3	sur	77.37	F	24
SEN094-000115	2024-02-08	S1	norte	22.55	C	24
SEN094-000116	2024-02-08	S2	centro	22.86	C	24
SEN094-000117	2024-02-08	S3	sur	77.3	F	12
SEN094-000118	2024-02-09	S1	norte	24.39	C	18
SEN094-000119	2024-02-09	S2	centro	24.32	C	18
SEN094-000120	2024-02-09	S3	sur	79.55	F	24
SEN094-000121	2024-02-10	S1	norte	20.94	C	12
SEN094-000122	2024-02-10	S2	centro	25.74	C	12
SEN094-000123	2024-02-10	S3	sur	80.8	F	18
SEN094-000125	2024-02-11	S2	centro	27.95	C	6
SEN094-000126	2024-02-11	S3	sur	82.7	F	18
SEN094-000127	2024-02-12	S1	norte	24.42	C	24
SEN094-000128	2024-02-12	S2	centro	24.97	C	24
SEN094-000129	2024-02-12	S3	sur	83.57	F	24
SEN094-000130	2024-02-13	S1	norte	25.06	C	24
SEN094-000131	2024-02-13	S2	centro	24.63	C	24
SEN094-000132	2024-02-13	S3	sur	77.62	F	24
SEN094-000133	2024-02-14	S1	norte	23.41	C	12
SEN094-000134	2024-02-14	S2	centro	22.59	C	24
SEN094-000135	2024-02-14	S3	sur	76.97	F	12
SEN094-000136	2024-02-15	S1	norte	22.79	C	12
SEN094-000137	2024-02-15	S2	centro	24.74	C	18
SEN094-000138	2024-02-15	S3	sur	76.41	F	6
SEN094-000139	2024-02-16	S1	norte	27.36	C	6
SEN094-000140	2024-02-16	S2	centro	25.78	C	18
SEN094-000141	2024-02-16	S3	sur	79.73	F	6
SEN094-000142	2024-02-17	S1	norte	22.61	C	24
SEN094-000143	2024-02-17	S2	centro	23.4	C	24
SEN094-000144	2024-02-17	S3	sur	79.97	F	18
SEN094-000145	2024-02-18	S1	norte	22.9	C	24
SEN094-000146	2024-02-18	S2	centro	26.22	C	24
SEN094-000147	2024-02-18	S3	sur	84.22	F	24
SEN094-000148	2024-02-19	S1	norte	26.02	C	24
SEN094-000149	2024-02-19	S2	centro	23.85	C	6
SEN094-000150	2024-02-19	S3	sur	85.38	F	18
SEN094-000151	2024-02-20	S1	norte	24.84	C	24
SEN094-000152	2024-02-20	S2	centro	27.33	C	24
SEN094-000153	2024-02-20	S3	sur	85.42	F	18
SEN094-000154	2024-02-21	S1	norte	22.45	C	24
SEN094-000155	2024-02-21	S2	centro	27.91	C	18
SEN094-000156	2024-02-21	S3	sur	85.53	F	24
SEN094-000157	2024-02-22	S1	norte	27.9	C	6
SEN094-000158	2024-02-22	S2	centro	26.51	C	24
SEN094-000159	2024-02-22	S3	sur	77.19	F	24
SEN094-000160	2024-02-23	S1	norte	23.07	C	24
SEN094-000161	2024-02-23	S2	centro	27.58	C	24
SEN094-000162	2024-02-23	S3	sur	89.8	F	18
SEN094-000163	2024-02-24	S1	norte	25.46	C	24
SEN094-000164	2024-02-24	S2	centro	25.3	C	24
SEN094-000165	2024-02-24	S3	sur	73.85	F	18
SEN094-000166	2024-02-25	S1	norte	25.49	C	24
SEN094-000167	2024-02-25	S2	centro		C	24
SEN094-000168	2024-02-25	S3	sur	82.08	F	18
SEN094-000169	2024-02-26	S1	norte	27.98	C	18
SEN094-000170	2024-02-26	S2	centro	25.69	C	24
SEN094-000171	2024-02-26	S3	sur	83.95	F	18
SEN094-000172	2024-02-27	S1	norte	25.62	C	24
SEN094-000173	2024-02-27	S2	centro	26.35	C	24
SEN094-000174	2024-02-27	S3	sur	84.69	F	24
SEN094-000175	2024-02-28	S1	norte	21.12	C	24
SEN094-000176	2024-02-28	S2	centro	22.94	C	18
SEN094-000178	2024-02-29	S1	norte	21.32	C	18
SEN094-000179	2024-02-29	S2	centro	24.91	C	24
SEN094-000180	2024-02-29	S3	sur	83.74	F	12
SEN094-000181	2024-03-01	S1	norte	24.73	C	24
SEN094-000182	2024-03-01	S2	centro	25.99	C	6
SEN094-000183	2024-03-01	S3	sur	83.2	F	24
SEN094-000184	2024-03-02	S1	norte	22.82	C	18
SEN094-000185	2024-03-02	S2	centro	24.32	C	24
SEN094-000186	2024-03-02	S3	sur	83.37	F	12
SEN094-000187	2024-03-03	S1	norte	24.37	C	24
SEN094-000188	2024-03-03	S2	centro	24.95	C	24
SEN094-000189	2024-03-03	S3	sur	82.99	F	6
SEN094-000190	2024-03-04	S1	norte	22.32	C	12
SEN094-000191	2024-03-04	S2	centro	25.99	C	12
SEN094-000192	2024-03-04	S3	sur	83.96	F	12
SEN094-000193	2024-03-05	S1	norte	28.17	C	24
SEN094-000194	2024-03-05	S2	centro	26.34	C	24
SEN094-000195	2024-03-05	S3	 SUR 	81.64	F	6
SEN094-000196	2024-03-06	S1	norte	23.47	C	12
SEN094-000197	2024-03-06	S2	centro	24.56	C	6
SEN094-000198	2024-03-06	S3	sur	83.07	F	24
SEN094-000199	2024-03-07	S1	norte	24.03	C	24
SEN094-000200	2024-03-07	S2	centro	26.95	C	12
SEN094-000201	2024-03-07	S3	sur	86.3	F	12
SEN094-000202	2024-03-08	S1	norte	25.19	C	24
SEN094-000203	2024-03-08	S2	centro	28.17	C	12
SEN094-000204	2024-03-08	S3	sur	83.68	F	24
SEN094-000205	2024-03-09	S1	norte	24.78	C	12
SEN094-000206	2024-03-09	S2	centro	27.78	C	24
SEN094-000207	2024-03-09	S3	sur	81.51	F	18
SEN094-000208	2024-03-10	S1	norte	21.48	C	6
SEN094-000209	2024-03-10	S2	centro	27.71	C	24
SEN094-000210	2024-03-10	S3	sur	85.29	F	6
SEN094-000211	2024-03-11	S1	norte	27.3	C	24
SEN094-000212	2024-03-11	S2	centro	24,42	C	24
SEN094-000213	2024-03-11	S3	sur	84.63	F	6
SEN094-000214	2024-03-12	S1	norte	23.35	C	12
SEN094-000215	2024-03-12	S2	centro	25.62	C	24
SEN094-000216	2024-03-12	S3	sur	81.41	F	24
SEN094-000217	2024-03-13	S1	norte	23.03	C	12
SEN094-000218	2024-03-13	S2	centro	29.05	C	12
SEN094-000219	2024-03-13	S3	sur	85.81	F	24
SEN094-000220	2024-03-14	S1	norte	27.53	C	12
SEN094-000221	2024-03-14	S2	centro	22.65	C	24
SEN094-000222	2024-03-14	S3	sur	87.03	F	6
SEN094-000223	2024-03-15	S1	norte	22.37	C	24
SEN094-000224	2024-03-15	S2	centro	23.87	C	24
SEN094-000225	2024-03-15	S3	sur	82.14	F	12
SEN094-000226	2024-03-16	S1	norte	24.67	C	24
SEN094-000227	2024-03-16	S2	centro	27.55	C	6
SEN094-000228	2024-03-16	S3	sur	81.58	F	12
SEN094-000229	2024-03-17	S1	norte	24.16	C	24
SEN094-000231	2024-03-17	S3	sur	85.98	F	24
SEN094-000232	2024-03-18	S1	norte	26.52	C	24
SEN094-000233	2024-03-18	S2	centro	27.48	C	12
SEN094-000234	2024-03-18	S3	sur	87.05	F	24
SEN094-000235	2024-03-19	S1	norte	27.2	C	6
SEN094-000236	2024-03-19	S2	centro	25.0	C	6
SEN094-000237	2024-03-19	S3	sur	82.67	F	24
SEN094-000238	2024-03-20	S1	norte	26.8	C	24
SEN094-000239	2024-03-20	S2	centro	27.19	C	12
SEN094-000240	2024-03-20	S3	sur	82.59	F	6
SEN094-000241	2024-03-21	S1	norte	23.6	C	12
SEN094-000242	2024-03-21	S2	centro	26.58	C	24
SEN094-000243	2024-03-21	S3	sur	88.88	F	24
SEN094-000244	2024-03-22	S1	norte	28.55	C	6
SEN094-000245	2024-03-22	S2	centro	26.65	C	24
SEN094-000246	2024-03-22	S3	sur	85.26	F	12
SEN094-000247	2024-03-23	S1	norte	22.06	C	24
SEN094-000248	2024-03-23	S2	centro	25.24	C	12
SEN094-000249	2024-03-23	S3	sur	90.59	F	24
SEN094-000250	2024-03-24	S1	norte		C	24
SEN094-000251	2024-03-24	S2	centro	28.72	C	12
SEN094-000252	2024-03-24	S3	sur	90.77	F	12
SEN094-000253	2024-03-25	S1	norte	25.0	C	24
SEN094-000254	2024-03-25	S2	centro	25.03	C	12
SEN094-000255	2024-03-25	S3	sur	84.33	F	24
SEN094-000256	2024-03-26	S1	norte	29.04	C	18
SEN094-000257	2024-03-26	S2	centro	25.25	C	24
SEN094-000258	2024-03-26	S3	sur	83.02	F	6
SEN094-000259	2024-03-27	S1	norte	23.99	C	18
SEN094-000260	2024-03-27	S2	centro	26.69	C	24
SEN094-000261	2024-03-27	S3	sur	82.52	F	18
SEN094-000262	2024-03-28	S1	norte	26.66	C	6
SEN094-000263	2024-03-28	S2	centro	26.32	C	24
SEN094-000264	2024-03-28	S3	sur	82.73	F	24
SEN094-000265	2024-03-29	S1	norte	24.97	C	18
SEN094-000266	2024-03-29	S2	centro	28.89	C	6
SEN094-000267	2024-03-29	S3	sur	89.5	F	6
SEN094-000268	2024-03-30	S1	norte	27.24	C	24
SEN094-000269	2024-03-30	S2	centro	27.26	C	24
SEN094-000270	2024-03-30	S3	sur	78.55	F	24
SEN094-000271	2024-03-31	S1	norte	22.73	C	18
SEN094-000272	2024-03-31	S2	centro	26.25	C	6
SEN094-000273	2024-03-31	S3	sur	85.09	F	6
SEN094-000274	2024-04-01	S1	norte	23.16	C	24
SEN094-000275	2024-04-01	S2	centro	28.4	C	18
SEN094-000276	2024-04-01	S3	sur	82.28	F	6
SEN094-000277	2024-04-02	S1	norte	26.07	C	6
SEN094-000278	2024-04-02	S2	centro	27.15	C	24
SEN094-000279	2024-04-02	S3	sur	85.7	F	18
SEN094-000280	2024-04-03	S1	norte	25.58	C	24
SEN094-000281	2024-04-03	S2	centro	26.91	C	18
SEN094-000282	2024-04-03	S3	sur	81.2	F	24
SEN094-000284	2024-04-04	S2	centro	25.72	C	6
SEN094-000285	2024-04-04	S3	sur	84.09	F	6
SEN094-000286	2024-04-05	S1	norte	26.67	C	6
SEN094-000287	2024-04-05	S2	centro	24.3	C	12
SEN094-000288	2024-04-05	S3	sur	81.96	F	24
SEN094-000289	2024-04-06	S1	norte	25.45	C	24
SEN094-000290	2024-04-06	S2	centro	29.2	C	24
SEN094-000291	2024-04-06	S3	sur	80.67	F	24
SEN094-000292	2024-04-07	S1	 NORTE 	21.9	C	12
SEN094-000293	2024-04-07	S2	centro	24.92	C	24
SEN094-000294	2024-04-07	S3	sur	86.53	F	12
SEN094-000295	2024-04-08	S1	norte	24.74	C	12
SEN094-000296	2024-04-08	S2	centro	26.35	C	24
SEN094-000297	2024-04-08	S3	sur	79.79	F	24
SEN094-000298	2024-04-09	S1	norte	22.55	C	24
SEN094-000299	2024-04-09	S2	centro	27.43	C	12
SEN094-000300	2024-04-09	S3	sur	84.35	F	6
SEN094-000301	2024-04-10	S1	norte	24.48	C	18
SEN094-000302	2024-04-10	S2	centro	22.13	C	24
SEN094-000303	2024-04-10	S3	sur	84.34	F	24
SEN094-000304	2024-04-11	S1	norte	23.88	C	12
SEN094-000305	2024-04-11	S2	centro	31.47	C	24
