registro_id,fecha,tienda,producto,unidades,precio,descuento,estado
CAJ042-000001,2024-01-01,T1,P11,4,49.5,0,completada
CAJ042-000002,2024-01-01,T2,P03,9,16.32,0.15,completada
CAJ042-000003,2024-01-02,T3,P08,2,36.26,0.05,completada
CAJ042-000004,2024-01-02,T1,P01,6,8.37,0.15,completada
CAJ042-000005,2024-01-03,T2,P06,1,29.45,0,completada
CAJ042-000006,2024-01-03,T3,P09,1,40.54,0,completada
CAJ042-000007,2024-01-04,T1,P02,4,13.1,0.1,completada
CAJ042-000008,2024-01-05,T2,P02,4,12.63,0.05,completada
CAJ042-000009,2024-01-05,T3,P11,3,48.53,0.1,completada
CAJ042-000010,2024-01-06,T1,P07,3,32.87,0.05,completada
CAJ042-000011,2024-01-06,T2,P03,9,16.3,0.1,completada
CAJ042-000012,2024-01-07,T3,P10,2,45.85,0.1,completada
CAJ042-000013,2024-01-08,T1,P07,3,32.9,0.05,completada
CAJ042-000014,2024-01-08,T2,P04,7,20.29,0.15,completada
CAJ042-000015,2024-01-09,T3,P07,1,32.27,0,completada
CAJ042-000016,2024-01-09,T1,P11,1,49.7,0.1,completada
CAJ042-000017,2024-01-10,T2,P01,9,8.28,0.15,completada
CAJ042-000018,2024-01-11,T3,P12,3,53.72,0.05,completada
CAJ042-000019,2024-01-11,T1,P08,4,36.65,0.05,completada
CAJ042-000020,2024-01-12,T2,P11,6,49.97,0.15,completada
CAJ042-000021,2024-01-12,T3,P08,6,36.86,0.1,anulada
CAJ042-000022,2024-01-13,T1,P03,7,16.14,0.1,completada
CAJ042-000023,2024-01-14,T2,P12,1,53.22,0.1,completada
CAJ042-000024,2024-01-14,T3,P11,7,49.74,0.15,completada
CAJ042-000025,2024-01-15,T1,P11,7,48.78,0.1,completada
CAJ042-000026,2024-01-15,T2,P06,2,28.71,0.05,completada
CAJ042-000027,2024-01-16,T3,P10,9,45.13,0.2,completada
CAJ042-000028,2024-01-17,T1,P03,5,16.57,0.15,completada
CAJ042-000029,2024-01-17,T2,P04,3,21.86,0.05,completada
CAJ042-000030,2024-01-18,T3,P09,4,41.92,0,anulada
CAJ042-000031,2024-01-18,T1,P02,4,13.51,0.05,completada
CAJ042-000032,2024-01-19,T2,P09,6,41.1,0.1,completada
CAJ042-000033,2024-01-20,T3,P12,9,53.99,0.1,completada
CAJ042-000034,2024-01-20,T1,P05,9,24.1,0.1,completada
CAJ042-000035,2024-01-21,T2,P12,7,53.69,0.15,completada
CAJ042-000036,2024-01-21,T3,P02,8,13.13,0.2,completada
CAJ042-000037,2024-01-22,T1,P12,8,52.22,0.15,completada
CAJ042-000038,2024-01-23,T2,P06,8,28.92,0.2,completada
CAJ042-000039,2024-01-23,T3,P08,9,36.72,0.1,completada
CAJ042-000040,2024-01-24,T1,P05,7,25.88,0.1,completada
CAJ042-000041,2024-01-24,T2,P07,7,32.12,0.2,completada
CAJ042-000042,2024-01-25,T3,P07,2,33.71,0.05,completada
CAJ042-000043,2024-01-26,T1,P09,1,40.68,0.05,completada
CAJ042-000044,2024-01-26,T2,P07,2,32.49,0.1,anulada
CAJ042-000045,2024-01-27,T3,P11,5,48.97,0.1,completada
CAJ042-000046,2024-01-27,T1,P07,7,32.7,0.1,completada
CAJ042-000047,2024-01-28,T2,P11,4,49.58,0,completada
CAJ042-000048,2024-01-29,T3,P08,5,36.51,0.1,completada
CAJ042-000049,2024-01-29,T1,P09,4,41.46,0.1,completada
CAJ042-000050,2024-01-30,T2,P08,9,37.23,0.1,anulada
CAJ042-000051,2024-01-30,T3,P08,1,37.14,0.1,completada
CAJ042-000052,2024-01-31,T1,P03,6,17.12,0.1,completada
CAJ042-000053,2024-02-01,T2,P01,4,8.89,0.05,completada
CAJ042-000054,2024-02-01,T3,P01,1,8.89,0.05,completada
CAJ042-000055,2024-02-02,T1,P08,8,36.04,0.15,completada
CAJ042-000056,2024-02-02,T2,P07,1,32.38,0.1,completada
CAJ042-000057,2024-02-03,T3,P09,4,41.36,0.05,completada
CAJ042-000058,2024-02-04,T1,P11,1,48.89,0,completada
CAJ042-000059,2024-02-04,T2,P11,3,49.06,0.1,completada
CAJ042-000060,2024-02-05,T3,P01,6,9.4,0.1,completada
CAJ042-000061,2024-02-05,T1,P03,6,17.95,0.2,completada
CAJ042-000062,2024-02-06,T2,P04,2,20.64,0.1,completada
CAJ042-000063,2024-02-07,T3,P01,1,8.79,0,completada
CAJ042-000064,2024-02-07,T1,P04,1,20.51,0.1,completada
CAJ042-000065,2024-02-08,T2,P12,9,52.05,0.1,completada
CAJ042-000066,2024-02-08,T3,P01,2,8.17,0.1,completada
CAJ042-000067,2024-02-09,T1,P05,2,24.66,0,completada
CAJ042-000068,2024-02-10,T2,P07,5,32.1,0.15,completada
CAJ042-000069,2024-02-10,T3,P01,8,9.34,0.15,completada
CAJ042-000070,2024-02-11,T1,P04,1,21.2,0,completada
CAJ042-000071,2024-02-11,T2,P11,3,49.26,0.1,completada
CAJ042-000072,2024-02-12,T3,P02,4,12.57,0.05,completada
CAJ042-000073,2024-02-13,T1,P03,8,16.9,0.15,completada
CAJ042-000074,2024-02-13,T2,P06,7,29.63,0.2,completada
CAJ042-000075,2024-02-14,T3,P08,2,37.63,0,completada
CAJ042-000076,2024-02-14,T1,P06,2,28.35,0,completada
CAJ042-000077,2024-02-15,T2,P08,9,37.49,0.1,completada
CAJ042-000078,2024-02-16,T3,P11,2,49.31,0,completada
CAJ042-000079,2024-02-16,T1,P05,6,25.78,0.2,completada
CAJ042-000080,2024-02-17,T2,P01,8,9.61,0.2,completada
CAJ042-000081,2024-02-17,T3,P12,8,53.3,0.15,completada
CAJ042-000082,2024-02-18,T1,P08,9,36.03,0.2,completada
CAJ042-000083,2024-02-19,T2,P12,8,52.13,0.2,completada
CAJ042-000084,2024-02-19,T3,P08,7,,0.15,completada
CAJ042-000085,2024-02-20,T1,P03,9,17.5,0.1,completada
CAJ042-000086,2024-02-20,T2,P02,9,12.34,0.15,anulada
CAJ042-000087,2024-02-21,T3,P08,1,36.84,0.1,completada
CAJ042-000088,2024-02-22,T1,P08,1,37.64,0,completada
CAJ042-000089,2024-02-22,T2,P09,4,40.32,0,completada
CAJ042-000090,2024-02-23,T3,P12,8,52.29,0.15,completada
CAJ042-000091,2024-02-23,T1,P05,7,24.67,0.15,completada
CAJ042-000092,2024-02-24,T2,P07,4,33.93,0.05,completada
CAJ042-000093,2024-02-25,T3,P05,4,24.62,0,completada
CAJ042-000094,2024-02-25,T1,P10,8,44.6,0.2,completada
CAJ042-000095,2024-02-26,T2,P06,8,28.11,0.15,completada
CAJ042-000096,2024-02-26,T3,P01,7,8.94,0.2,completada
CAJ042-000097,2024-02-27,T1,P04,5,21.32,0.2,completada
CAJ042-000098,2024-02-28, T2 ,P03,1,17.92,0,completada
CAJ042-000099,2024-02-28,T3,P01,6,9.97,0.2,completada
CAJ042-000100,2024-02-29,T1,P05,7,25.46,0.15,completada
CAJ042-000101,2024-02-29,T2,P01,8,9.67,0.15,completada
CAJ042-000102,2024-03-01,T3,P11,8,48.26,0.1,completada
CAJ042-000103,2024-03-02,T1,P07,6,32.73,0.15,completada
