registro_id,fecha,edificio,temperatura_c,ocupacion,kwh,superficie_m2,tarifa
ENE086-000001,2024-01-01,B1,18.6,57,140.08,600,0.62
ENE086-000002,2024-01-01,B2,18.8,91,239.19,1200,0.62
ENE086-000003,2024-01-01,B3,18.2,122,330.29,1800,0.62
ENE086-000004,2024-01-02,B1,19.9,45,114.6,600,0.62
ENE086-000005,2024-01-02,B2,18.4,82,222.62,1200,0.62
ENE086-000006,2024-01-02,B3,19.1,124,338.33,1800,0.62
ENE086-000007,2024-01-03,B1,18.8,62,117.33,600,0.62
ENE086-000008,2024-01-03,B2,19.5,95,244.21,1200,0.62
ENE086-000009,2024-01-03,B3,20.8,112,319.3,1800,0.62
ENE086-000010,2024-01-04,B1,21.2,37,104.95,600,0.62
ENE086-000011,2024-01-04,B2,19.2,78,212.1,1200,0.62
ENE086-000012,2024-01-04,B3,17.3,98,318.6,1800,0.62
ENE086-000013,2024-01-05,B1,19.9,38,105.83,600,0.62
ENE086-000014,2024-01-05,B2,19.8,75,208.53,1200,0.62
ENE086-000015,2024-01-05,B3,19.3,106,289.88,1800,0.62
ENE086-000016,2024-01-06,B1,19.4,13,75.07,600,0.62
ENE086-000017,2024-01-06,B2,21.3,16,132.86,1200,0.62
ENE086-000019,2024-01-07,B1,19.0,14,79.32,600,0.62
ENE086-000020,2024-01-07,B2,21.6,14,138.24,1200,0.62
ENE086-000021,2024-01-07,B3,20.3,18,170.65,1800,0.62
ENE086-000022,2024-01-08,B1,20.3,65,162.65,600,0.62
ENE086-000023,2024-01-08,B2,20.1,90,233.32,1200,0.62
ENE086-000024,2024-01-08,B3,21.8,104,321.67,1800,0.62
ENE086-000025,2024-01-09,B1,22.1,23,87.17,600,0.62
ENE086-000026,2024-01-09,B2,20.0,84,226.09,1200,0.62
ENE086-000027,2024-01-09,B3,19.8,105,311.07,1800,0.62
ENE086-000028,2024-01-10,B1,21.3,38,114.54,600,0.62
ENE086-000029,2024-01-10,B2,19.8,80,223.2,1200,0.62
ENE086-000030,2024-01-10,B3,20.3,139,349.8,1800,0.62
ENE086-000031,2024-01-11,B1,19.2,51,131.47,600,0.62
ENE086-000032,2024-01-11,B2,20.3,74,198.16,1200,0.62
ENE086-000033,2024-01-11,B3,21.2,101,317.78,1800,0.62
ENE086-000034,2024-01-12,B1,23.4,45,127.3,600,0.62
ENE086-000035,2024-01-12,B2,19.9,83,221.3,1200,0.62
ENE086-000036,2024-01-12,B3,20.3,102,314.58,1800,0.62
ENE086-000037,2024-01-13,B1,21.1,10,67.78,600,0.62
ENE086-000038,2024-01-13,B2,20.9,19,125.36,1200,0.62
ENE086-000039,2024-01-13,B3,19.4,19,184.02,1800,0.62
ENE086-000040,2024-01-14,B1,19.8,9,71.43,600,0.62
ENE086-000041,2024-01-14,B2,21.3,16,126.35,1200,0.62
ENE086-000042,2024-01-14,B3,21.3,25,198.77,1800,0.62
ENE086-000043,2024-01-15,B1,22.6,38,121.18,600,0.62
ENE086-000044,2024-01-15,B2,19.5,59,178.05,1200,0.62
ENE086-000045,2024-01-15,B3,19.2,96,285.01,1800,0.62
ENE086-000046,2024-01-16,B1,19.3,64,138.34,600,0.62
ENE086-000047,2024-01-16,B2,20.3,67,200.73,1200,0.62
ENE086-000048,2024-01-16,B3,23.7,115,403.65,1800,0.62
ENE086-000049,2024-01-17,B1,23.9,17,107.04,600,0.62
ENE086-000050,2024-01-17,B2,21.0,70,217.21,1200,0.62
ENE086-000051,2024-01-17,B3,21.9,102,323.86,1800,0.62
ENE086-000052,2024-01-18,B1,25.0,48,157.92,600,0.62
ENE086-000053,2024-01-18,B2,18.4,66,200.93,1200,0.62
ENE086-000054,2024-01-18,B3,21.4,93,307.4,1800,0.62
ENE086-000055,2024-01-19,B1,21.5,57,140.47,600,0.62
ENE086-000056,2024-01-19,B2,23.2,84,270.23,1200,0.62
ENE086-000057,2024-01-19,B3,19.6,111,295.52,1800,0.62
ENE086-000058,2024-01-20,B1,22.7,9,75.66,600,0.62
ENE086-000059,2024-01-20,B2,21.8,17,133.27,1200,0.62
ENE086-000060,2024-01-20,B3,20.3,19,177.97,1800,0.62
ENE086-000061,2024-01-21,B1,21.4,6,63.25,600,0.62
ENE086-000062,2024-01-21,B2,20.7,15,114.89,1200,0.62
ENE086-000063,2024-01-21,B3,20.7,22,184.85,1800,0.62
ENE086-000064,2024-01-22,B1,23.6,42,138.13,600,0.62
ENE086-000065,2024-01-22,B2,23.2,72,244.86,1200,0.62
ENE086-000066,2024-01-22,B3,23.4,93,345.0,1800,0.62
ENE086-000067,2024-01-23,B1,21.6,40,118.44,600,0.62
ENE086-000068,2024-01-23,B2,20.8,100,256.5,1200,0.62
ENE086-000069,2024-01-23,B3,22.5,111,345.22,1800,0.62
ENE086-000070,2024-01-24,B1,21.1,48,127.24,600,0.62
ENE086-000072,2024-01-24,B3,22.5,127,380.49,1800,0.62
ENE086-000073,2024-01-25,B1,23.3,53,152.19,600,0.62
ENE086-000074,2024-01-25,B2,22.5,72,231.39,1200,0.62
ENE086-000075,2024-01-25,B3,25.6,94,445.87,1800,0.62
ENE086-000076,2024-01-26,B1,25.2,49,168.74,600,0.62
ENE086-000077,2024-01-26,B2,20.2,74,200.3,1200,0.62
ENE086-000078,2024-01-26,B3,22.6,119,366.86,1800,0.62
ENE086-000079,2024-01-27,B1,23.2,8,87.0,600,0.62
ENE086-000080,2024-01-27,B2,21.2,13,124.3,1200,0.62
ENE086-000081,2024-01-27,B3,23.1,23,236.23,1800,0.62
ENE086-000082,2024-01-28,B1,23.1,10,77.97,600,0.62
ENE086-000083,2024-01-28,B2,23.2,17,178.78,1200,0.62
ENE086-000084,2024-01-28,B3,20.2,21,,1800,0.62
ENE086-000085,2024-01-29,B1,23.4,25,98.59,600,0.62
ENE086-000086,2024-01-29,B2,23.6,81,274.58,1200,0.62
ENE086-000087,2024-01-29,B3,21.5,123,345.76,1800,0.62
ENE086-000088,2024-01-30,B1,23.5,41,131.71,600,0.62
ENE086-000089,2024-01-30,B2,21.0,72,203.26,1200,0.62
ENE086-000090,2024-01-30,B3,22.3,118,373.16,1800,0.62
ENE086-000091,2024-01-31,B1,23.7,50,154.98,600,0.62
ENE086-000092,2024-01-31,B2,22.7,98,288.85,1200,0.62
ENE086-000093,2024-01-31,B3,23.2,105,359.92,1800,0.62
ENE086-000094,2024-02-01,B1,24.7,39,146.84,600,0.62
ENE086-000095,2024-02-01,B2,24.2,88,296.3,1200,0.62
ENE086-000096,2024-02-01,B3,23.7,101,380.96,1800,0.62
ENE086-000097,2024-02-02,B1,22.7,35,126.28,600,0.62
ENE086-000098,2024-02-02,B2,22.6,82,254.37,1200,0.62
ENE086-000099,2024-02-02,B3,24.3,98,405.25,1800,0.62
ENE086-000100,2024-02-03,B1,25.4,7,105.67,600,0.62
ENE086-000101,2024-02-03,B2,22.3,10,128.73,1200,0.62
ENE086-000102,2024-02-03,B3,25.4,21,323.75,1800,0.62
ENE086-000103,2024-02-04,B1,24.8,14,103.97,600,0.62
ENE086-000104,2024-02-04,B2,22.8,16,146.3,1200,0.62
ENE086-000105,2024-02-04,B3,25.3,22,315.93,1800,0.62
ENE086-000106,2024-02-05,B1,26.2,67,221.93,600,0.62
ENE086-000107,2024-02-05,B2,22.6,53,207.98,1200,0.62
ENE086-000108,2024-02-05,B3,22.4,86,309.67,1800,0.62
ENE086-000109,2024-02-06,B1,23.7,29,113.87,600,0.62
ENE086-000110,2024-02-06,B2,23.4,81,266.18,1200,0.62
ENE086-000111,2024-02-06,B3,25.3,103,449.8,1800,0.62
ENE086-000112,2024-02-07,B1,26.3,54,201.08,600,0.62
ENE086-000113,2024-02-07,B2,23.5,76,263.04,1200,0.62
ENE086-000114,2024-02-07,B3,26.8,87,498.54,1800,0.62
ENE086-000115,2024-02-08,B1,27.1,55,218.53,600,0.62
ENE086-000116,2024-02-08,B2,26.3,77,331.69,1200,0.62
ENE086-000117,2024-02-08,B3,24.5,96,397.13,1800,0.62
ENE086-000118,2024-02-09,B1,26.3,38,170.29,600,0.62
ENE086-000119,2024-02-09,B2,23.1,86,262.86,1200,0.62
ENE086-000120,2024-02-09,B3,24.7,90,392.35,1800,0.62
ENE086-000121,2024-02-10,B1,24.0,4,84.62,600,0.62
ENE086-000122,2024-02-10,B2,25.3,13,202.55,1200,0.62
ENE086-000123,2024-02-10,B3,22.0,24,204.81,1800,0.62
ENE086-000125,2024-02-11,B2,25.3,12,216.03,1200,0.62
ENE086-000126,2024-02-11,B3,25.0,23,302.03,1800,0.62
ENE086-000127,2024-02-12,B1,26.0,80,227.76,600,0.62
ENE086-000128,2024-02-12,B2,25.1,85,321.96,1200,0.62
ENE086-000129,2024-02-12,B3,25.0,97,409.64,1800,0.62
ENE086-000130,2024-02-13,B1,22.0,42,119.3,600,0.62
