registro_id,fecha,sede,espera_min,atencion_min,estado,prioridad
TUR089-000001,2024-01-01,S1,6.3,8.4,atendido,ordinaria
TUR089-000002,2024-01-01,S2,21.1,8.2,atendido,ordinaria
TUR089-000003,2024-01-01,S3,20.9,3.4,atendido,preferente
TUR089-000004,2024-01-01,S1,4.4,9.8,atendido,ordinaria
TUR089-000005,2024-01-01,S2,8.9,7.6,atendido,ordinaria
TUR089-000006,2024-01-01,S3,13.4,4.0,atendido,ordinaria
TUR089-000007,2024-01-01,S1,6.2,16.1,atendido,ordinaria
TUR089-000008,2024-01-02,S2,5.1,12.3,atendido,preferente
TUR089-000009,2024-01-02,S3,1.5,17.1,atendido,ordinaria
TUR089-000010,2024-01-02,S1,5.5,12.6,atendido,ordinaria
TUR089-000011,2024-01-02,S2,5.0,4.5,atendido,preferente
TUR089-000012,2024-01-02,S3,7.6,16.3,atendido,preferente
TUR089-000013,2024-01-02,S1,11.5,13.8,atendido,ordinaria
TUR089-000014,2024-01-03,S2,13.3,16.7,atendido,ordinaria
TUR089-000015,2024-01-03,S3,7.8,5.9,atendido,preferente
TUR089-000016,2024-01-03,S1,11.0,8.0,atendido,preferente
TUR089-000017,2024-01-03,S2,20.0,17.6,atendido,ordinaria
TUR089-000018,2024-01-03,S3,5.6,3.2,atendido,preferente
TUR089-000019,2024-01-03,S1,10.4,11.8,atendido,preferente
TUR089-000020,2024-01-04,S2,2.9,11.9,atendido,preferente
TUR089-000021,2024-01-04,S3,20.3,7.7,atendido,ordinaria
TUR089-000022,2024-01-04,S1,11.0,3.4,atendido,preferente
TUR089-000023,2024-01-04,S2,14.6,17.7,atendido,ordinaria
TUR089-000024,2024-01-04,S3,9.7,8.3,atendido,ordinaria
TUR089-000025,2024-01-04,S1,6.5,12.8,atendido,preferente
TUR089-000026,2024-01-05,S2,11.8,12.4,atendido,preferente
TUR089-000027,2024-01-05,S3,6.4,15.6,atendido,ordinaria
TUR089-000028,2024-01-05,S1,22.9,11.2,atendido,ordinaria
TUR089-000029,2024-01-05,S2,17.3,10.5,atendido,ordinaria
TUR089-000030,2024-01-05,S3,10.3,13.9,atendido,ordinaria
TUR089-000031,2024-01-05,S1,16.8,6.6,atendido,preferente
TUR089-000032,2024-01-06,S2,7.9,3.1,atendido,preferente
TUR089-000033,2024-01-06,S3,15.2,15.6,atendido,ordinaria
TUR089-000034,2024-01-06,S1,6.3,4.6,atendido,preferente
TUR089-000035,2024-01-06,S2,7.8,17.3,atendido,preferente
TUR089-000036,2024-01-06,S3,3.2,14.6,atendido,ordinaria
TUR089-000037,2024-01-06,S1,4.9,15.8,atendido,ordinaria
TUR089-000038,2024-01-07,S2,14.3,10.8,atendido,preferente
TUR089-000039,2024-01-07,S3,7.4,13.0,atendido,preferente
TUR089-000040,2024-01-07,S1,8.0,13.3,atendido,preferente
TUR089-000041,2024-01-07,S2,5.0,12.8,atendido,preferente
TUR089-000042,2024-01-07,S3,5.8,8.9,atendido,ordinaria
TUR089-000043,2024-01-07,S1,9.3,11.2,atendido,ordinaria
TUR089-000044,2024-01-07,S2,5.6,12.3,atendido,ordinaria
TUR089-000045,2024-01-08,S3,28.3,9.4,atendido,ordinaria
TUR089-000046,2024-01-08,S1,26.1,,abandono,preferente
TUR089-000047,2024-01-08,S2,6.0,5.8,atendido,ordinaria
TUR089-000048,2024-01-08,S3,20.8,10.3,atendido,ordinaria
TUR089-000049,2024-01-08,S1,6.3,15.5,atendido,preferente
TUR089-000050,2024-01-08,S2,15.2,,abandono,ordinaria
TUR089-000051,2024-01-09,S3,11.0,13.4,atendido,ordinaria
TUR089-000052,2024-01-09,S1,12.1,11.7,atendido,ordinaria
TUR089-000053,2024-01-09,S2,10.2,,abandono,preferente
TUR089-000054,2024-01-09,S3,17.4,3.1,atendido,ordinaria
TUR089-000055,2024-01-09,S1,3.7,14.7,atendido,preferente
TUR089-000056,2024-01-09,S2,19.3,,abandono,ordinaria
TUR089-000057,2024-01-10,S3,6.2,11.0,atendido,ordinaria
TUR089-000058,2024-01-10,S1,1.7,5.1,atendido,preferente
TUR089-000059,2024-01-10,S2,4.9,3.5,atendido,ordinaria
TUR089-000060,2024-01-10,S3,8.7,9.7,atendido,ordinaria
TUR089-000061,2024-01-10,S1,4.8,7.1,atendido,preferente
TUR089-000062,2024-01-10,S2,8.8,9.7,atendido,ordinaria
TUR089-000063,2024-01-11,S3,15.3,13.1,atendido,ordinaria
TUR089-000064,2024-01-11,S1,4.7,15.2,atendido,preferente
TUR089-000065,2024-01-11,S2,2.6,14.1,atendido,preferente
TUR089-000066,2024-01-11,S3,11.2,10.9,atendido,ordinaria
TUR089-000067,2024-01-11,S1,11.6,12.0,atendido,ordinaria
TUR089-000068,2024-01-11,S2,21.5,16.5,atendido,ordinaria
TUR089-000069,2024-01-12,S3,24.7,4.4,atendido,ordinaria
TUR089-000070,2024-01-12,S1,10.7,10.5,atendido,ordinaria
TUR089-000071,2024-01-12,S2,16.1,10.4,atendido,ordinaria
TUR089-000072,2024-01-12,S3,10.0,,abandono,ordinaria
TUR089-000073,2024-01-12,S1,26.7,,abandono,ordinaria
TUR089-000074,2024-01-12,S2,9.4,7.9,atendido,ordinaria
TUR089-000075,2024-01-13,S3,7.0,13.2,atendido,preferente
TUR089-000076,2024-01-13,S1,6.3,13.5,atendido,ordinaria
TUR089-000077,2024-01-13,S2,8.0,13.3,atendido,ordinaria
TUR089-000078,2024-01-13,S3,17.2,3.6,atendido,ordinaria
TUR089-000079,2024-01-13,S1,9.6,16.7,atendido,ordinaria
TUR089-000080,2024-01-13,S2,5.5,16.1,atendido,preferente
TUR089-000081,2024-01-13,S3,19.6,12.7,atendido,preferente
TUR089-000082,2024-01-14,S1,5.8,12.0,atendido,preferente
TUR089-000083,2024-01-14,S2,27.5,16.4,atendido,ordinaria
TUR089-000084,2024-01-14,S3,,9.4,atendido,ordinaria
TUR089-000085,2024-01-14,S1,10.2,5.6,atendido,preferente
TUR089-000086,2024-01-14,S2,0.8,6.2,atendido,preferente
TUR089-000087,2024-01-14,S3,10.9,8.3,atendido,preferente
TUR089-000088,2024-01-15,S1,13.1,9.4,atendido,preferente
TUR089-000089,2024-01-15,S2,5.3,15.5,atendido,ordinaria
TUR089-000090,2024-01-15,S3,1.7,16.9,atendido,preferente
TUR089-000091,2024-01-15,S1,20.9,12.2,atendido,ordinaria
TUR089-000092,2024-01-15,S2,3.6,11.3,atendido,ordinaria
TUR089-000093,2024-01-15,S3,8.8,16.2,atendido,ordinaria
TUR089-000094,2024-01-16,S1,2.9,3.5,atendido,ordinaria
TUR089-000095,2024-01-16,S2,10.4,15.9,atendido,preferente
TUR089-000096,2024-01-16,S3,11.4,11.6,atendido,ordinaria
TUR089-000097,2024-01-16,S1,3.3,4.7,atendido,preferente
TUR089-000098,2024-01-16,S2,6.6,5.7, ATENDIDO ,preferente
TUR089-000099,2024-01-16,S3,12.5,17.4,atendido,preferente
TUR089-000100,2024-01-17,S1,5.3,10.6,atendido,ordinaria
TUR089-000101,2024-01-17,S2,11.1,11.3,atendido,ordinaria
TUR089-000102,2024-01-17,S3,18.6,3.9,atendido,ordinaria
TUR089-000103,2024-01-17,S1,14.8,9.6,atendido,ordinaria
TUR089-000104,2024-01-17,S2,15.0,12.0,atendido,ordinaria
TUR089-000105,2024-01-17,S3,13.2,13.3,atendido,ordinaria
TUR089-000106,2024-01-18,S1,10.1,13.4,atendido,ordinaria
TUR089-000107,2024-01-18,S2,8.7,14.5,atendido,ordinaria
TUR089-000108,2024-01-18,S3,10.3,16.2,atendido,ordinaria
TUR089-000109,2024-01-18,S1,24.5,9.0,atendido,ordinaria
TUR089-000110,2024-01-18,S2,9.2,3.5,atendido,preferente
TUR089-000111,2024-01-18,S3,13.9,6.9,atendido,preferente
TUR089-000112,2024-01-19,S1,9.0,8.7,atendido,preferente
TUR089-000113,2024-01-19,S2,41.6,17.5,atendido,ordinaria
TUR089-000114,2024-01-19,S3,5.2,17.9,atendido,preferente
TUR089-000115,2024-01-19,S1,7.1,18.0,atendido,ordinaria
TUR089-000116,2024-01-19,S2,17.6,14.6,atendido,ordinaria
TUR089-000117,2024-01-19,S3,16.0,12.6,atendido,ordinaria
TUR089-000118,2024-01-20,S1,21.0,15.7,atendido,preferente
TUR089-000119,2024-01-20,S2,13.5,11.7,atendido,ordinaria
TUR089-000120,2024-01-20,S3,13.7,10.4,atendido,ordinaria
TUR089-000121,2024-01-20,S1,4.0,10.3,atendido,ordinaria
TUR089-000122,2024-01-20,S2,13.4,12.6,atendido,ordinaria
TUR089-000123,2024-01-20,S3,25.1,3.4,atendido,ordinaria
TUR089-000124,2024-01-20,S1,7.3,3.2,atendido,ordinaria
TUR089-000125,2024-01-21,S2,9.3,14.4,atendido,preferente
TUR089-000126,2024-01-21,S3,17.3,6.5,atendido,ordinaria
TUR089-000127,2024-01-21,S1,24.4,17.9,atendido,ordinaria
TUR089-000128,2024-01-21,S2,18.1,6.9,atendido,ordinaria
TUR089-000129,2024-01-21,S3,13.3,4.2,atendido,preferente
TUR089-000130,2024-01-21,S1,34.7,,abandono,ordinaria
TUR089-000131,2024-01-22,S2,13.9,11.7,atendido,ordinaria
TUR089-000132,2024-01-22,S3,8.9,17.9,atendido,ordinaria
TUR089-000133,2024-01-22,S1,18.8,11.2,atendido,ordinaria
TUR089-000134,2024-01-22,S2,6.0,16.4,atendido,ordinaria
TUR089-000135,2024-01-22,S3,5.8,5.3,atendido,preferente
TUR089-000136,2024-01-22,S1,8.2,8.7,atendido,preferente
TUR089-000137,2024-01-23,S2,5.8,18.0,atendido,preferente
TUR089-000138,2024-01-23,S3,14.9,3.9,atendido,preferente
TUR089-000139,2024-01-23,S1,17.4,7.3,atendido,preferente
TUR089-000140,2024-01-23,S2,2.8,5.7,atendido,preferente
TUR089-000141,2024-01-23,S3,2.3,12.9,atendido,preferente
TUR089-000142,2024-01-23,S1,6.6,13.3,atendido,preferente
TUR089-000143,2024-01-24,S2,5.3,3.8,atendido,ordinaria
TUR089-000144,2024-01-24,S3,6.9,16.2,atendido,preferente
TUR089-000145,2024-01-24,S1,5.0,8.1,atendido,ordinaria
TUR089-000146,2024-01-24,S2,9.7,8.5,atendido,preferente
TUR089-000147,2024-01-24,S3,42.2,8.8,atendido,ordinaria
TUR089-000148,2024-01-24,S1,1.3,11.7,atendido,preferente
TUR089-000149,2024-01-25,S2,6.8,17.8,atendido,ordinaria
TUR089-000150,2024-01-25,S3,7.4,12.8,atendido,preferente
TUR089-000151,2024-01-25,S1,4.8,6.7,atendido,preferente
TUR089-000152,2024-01-25,S2,4.4,16.0,atendido,ordinaria
TUR089-000153,2024-01-25,S3,8.1,4.1,atendido,ordinaria
TUR089-000154,2024-01-25,S1,21.9,11.0,atendido,preferente
TUR089-000155,2024-01-26,S2,35.5,11.4,atendido,ordinaria
TUR089-000156,2024-01-26,S3,12.4,11.8,atendido,ordinaria
TUR089-000157,2024-01-26,S1,8.0,14.0,atendido,ordinaria
TUR089-000158,2024-01-26,S2,15.2,9.5,atendido,ordinaria
TUR089-000159,2024-01-26,S3,10.9,7.1,atendido,preferente
TUR089-000160,2024-01-26,S1,5.1,7.5,atendido,ordinaria
TUR089-000161,2024-01-26,S2,8.6,8.2,atendido,preferente
TUR089-000162,2024-01-27,S3,6.8,15.2,atendido,preferente
TUR089-000163,2024-01-27,S1,20.0,12.7,atendido,ordinaria
TUR089-000164,2024-01-27,S2,6.4,14.3,atendido,ordinaria
TUR089-000165,2024-01-27,S3,11.2,16.2,atendido,ordinaria
TUR089-000166,2024-01-27,S1,10.3,14.0,atendido,ordinaria
TUR089-000167,2024-01-27,S2,,,abandono,ordinaria
TUR089-000168,2024-01-28,S3,5.2,12.6,atendido,ordinaria
TUR089-000169,2024-01-28,S1,10.4,11.4,atendido,ordinaria
TUR089-000170,2024-01-28,S2,7.4,12.2,atendido,ordinaria
TUR089-000171,2024-01-28,S3,8.1,8.1,atendido,ordinaria
TUR089-000172,2024-01-28,S1,6.7,,abandono,ordinaria
TUR089-000173,2024-01-28,S2,10.6,16.7,atendido,ordinaria
TUR089-000174,2024-01-29,S3,8.9,12.3,atendido,ordinaria
TUR089-000175,2024-01-29,S1,6.6,,abandono,ordinaria
TUR089-000176,2024-01-29,S2,11.4,3.7,atendido,preferente
TUR089-000177,2024-01-29,S3,4.4,8.7,atendido,preferente
TUR089-000178,2024-01-29,S1,7.5,16.2,atendido,ordinaria
TUR089-000179,2024-01-29,S2,5.6,5.1,atendido,preferente
TUR089-000180,2024-01-30,S3,16.8,6.2,atendido,ordinaria
TUR089-000181,2024-01-30,S1,8.5,6.7,atendido,ordinaria
TUR089-000182,2024-01-30,S2,8.1,4.6,atendido,ordinaria
TUR089-000183,2024-01-30,S3,5.0,13.5,atendido,preferente
TUR089-000184,2024-01-30,S1,9.2,6.2,atendido,ordinaria
TUR089-000185,2024-01-30,S2,13.0,3.1,atendido,ordinaria
TUR089-000186,2024-01-31,S3,31.1,13.8,atendido,ordinaria
TUR089-000187,2024-01-31,S1,21.0,11.1,atendido,ordinaria
TUR089-000188,2024-01-31,S2,15.8,17.4,atendido,ordinaria
TUR089-000189,2024-01-31,S3,19.2,17.3,atendido,preferente
TUR089-000190,2024-01-31,S1,1.8,16.0,atendido,preferente
TUR089-000191,2024-01-31,S2,11.7,7.2,atendido,ordinaria
TUR089-000192,2024-02-01,S3,12.6,10.7,atendido,ordinaria
TUR089-000193,2024-02-01,S1,22.0,9.1,atendido,ordinaria
TUR089-000194,2024-02-01,S2,32.8,,abandono,ordinaria
TUR089-000195,2024-02-01,S3,17.4,6.3, ATENDIDO ,preferente
TUR089-000196,2024-02-01,S1,3.1,6.2,atendido,preferente
TUR089-000197,2024-02-01,S2,1.9,17.6,atendido,preferente
TUR089-000198,2024-02-02,S3,10.2,4.9,atendido,ordinaria
TUR089-000199,2024-02-02,S1,5.8,7.9,atendido,preferente
TUR089-000200,2024-02-02,S2,16.7,5.0,atendido,ordinaria
TUR089-000201,2024-02-02,S3,10.0,14.9,atendido,preferente
TUR089-000202,2024-02-02,S1,1.8,6.8,atendido,preferente
TUR089-000203,2024-02-02,S2,3.6,15.5,atendido,preferente
TUR089-000204,2024-02-02,S3,15.4,16.8,atendido,ordinaria
TUR089-000205,2024-02-03,S1,9.6,6.7,atendido,ordinaria
TUR089-000206,2024-02-03,S2,4.7,3.1,atendido,ordinaria
TUR089-000207,2024-02-03,S3,4.1,17.2,atendido,preferente
TUR089-000208,2024-02-03,S1,2.0,15.7,atendido,ordinaria
TUR089-000209,2024-02-03,S2,22.3,,abandono,preferente
TUR089-000210,2024-02-03,S3,13.6,,abandono,ordinaria
TUR089-000211,2024-02-04,S1,5.3,5.4,atendido,preferente
