registro_id,fecha,tienda,producto,unidades,precio,descuento,estado
CAJ090-000001,2024-01-01,T1,P07,1,32.0,0,anulada
CAJ090-000002,2024-01-01,T2,P09,2,40.79,0,completada
CAJ090-000003,2024-01-01,T3,P09,9,40.15,0.1,completada
CAJ090-000004,2024-01-01,T1,P11,6,48.23,0.15,completada
CAJ090-000005,2024-01-01,T2,P02,6,13.19,0.15,completada
CAJ090-000006,2024-01-01,T3,P08,2,37.4,0.05,completada
CAJ090-000007,2024-01-01,T1,P07,8,33.74,0.2,completada
CAJ090-000008,2024-01-02,T2,P05,1,24.58,0,completada
CAJ090-000009,2024-01-02,T3,P06,9,28.82,0.1,completada
CAJ090-000010,2024-01-02,T1,P02,5,12.08,0.2,completada
CAJ090-000011,2024-01-02,T2,P05,2,24.63,0,completada
CAJ090-000012,2024-01-02,T3,P01,2,8.86,0.05,anulada
CAJ090-000013,2024-01-02,T1,P08,3,37.74,0.05,completada
CAJ090-000014,2024-01-03,T2,P12,8,53.66,0.15,completada
CAJ090-000015,2024-01-03,T3,P07,2,33.02,0.1,anulada
CAJ090-000016,2024-01-03,T1,P03,4,16.53,0,completada
CAJ090-000017,2024-01-03,T2,P01,3,9.63,0,anulada
CAJ090-000018,2024-01-03,T3,P10,1,45.51,0,completada
CAJ090-000019,2024-01-03,T1,P01,3,8.27,0,completada
CAJ090-000020,2024-01-04,T2,P07,3,32.02,0.05,completada
CAJ090-000021,2024-01-04,T3,P09,5,41.47,0.1,completada
CAJ090-000022,2024-01-04,T1,P12,9,52.51,0.15,completada
CAJ090-000023,2024-01-04,T2,P08,3,36.69,0.1,completada
CAJ090-000024,2024-01-04,T3,P01,4,9.37,0.05,completada
CAJ090-000025,2024-01-04,T1,P03,6,17.5,0.2,completada
CAJ090-000026,2024-01-05,T2,P08,6,37.92,0.15,completada
CAJ090-000027,2024-01-05,T3,P03,2,16.34,0.05,completada
CAJ090-000028,2024-01-05,T1,P08,1,37.99,0.1,completada
CAJ090-000029,2024-01-05,T2,P02,7,12.2,0.1,completada
CAJ090-000030,2024-01-05,T3,P01,3,9.16,0,completada
CAJ090-000031,2024-01-05,T1,P08,6,36.99,0.2,anulada
CAJ090-000032,2024-01-06,T2,P10,6,44.42,0.2,completada
CAJ090-000033,2024-01-06,T3,P06,7,28.03,0.2,completada
CAJ090-000034,2024-01-06,T1,P08,1,37.08,0.05,completada
CAJ090-000035,2024-01-06,T2,P10,3,45.76,0.1,completada
CAJ090-000036,2024-01-06,T3,P02,4,13.7,0.1,anulada
CAJ090-000037,2024-01-06,T1,P06,3,28.86,0.05,completada
CAJ090-000038,2024-01-07,T2,P02,9,13.63,0.2,completada
CAJ090-000039,2024-01-07,T3,P11,6,48.25,0.15,completada
CAJ090-000040,2024-01-07,T1,P05,2,24.34,0.1,completada
CAJ090-000041,2024-01-07,T2,P02,8,13.42,0.2,completada
CAJ090-000042,2024-01-07,T3,P09,7,41.0,0.2,completada
CAJ090-000043,2024-01-07,T1,P12,9,53.62,0.15,completada
CAJ090-000044,2024-01-07,T2,P08,6,36.81,0.15,completada
CAJ090-000045,2024-01-08,T3,P10,3,45.15,0.05,completada
CAJ090-000046,2024-01-08,T1,P08,8,37.72,0.1,completada
CAJ090-000047,2024-01-08,T2,P08,9,37.89,0.15,completada
CAJ090-000048,2024-01-08,T3,P10,6,45.03,0.1,completada
CAJ090-000049,2024-01-08,T1,P04,2,20.74,0,completada
CAJ090-000050,2024-01-08,T2,P12,2,52.12,0.1,completada
CAJ090-000051,2024-01-09,T3,P06,3,29.69,0.05,completada
CAJ090-000052,2024-01-09,T1,P03,1,17.92,0.1,completada
CAJ090-000053,2024-01-09,T2,P11,4,49.22,0.1,completada
CAJ090-000054,2024-01-09,T3,P10,8,45.2,0.2,completada
CAJ090-000055,2024-01-09,T1,P09,2,40.71,0,completada
CAJ090-000056,2024-01-09,T2,P10,8,45.35,0.2,completada
CAJ090-000057,2024-01-10,T3,P11,9,49.38,0.1,completada
CAJ090-000058,2024-01-10,T1,P09,3,40.02,0,completada
CAJ090-000059,2024-01-10,T2,P10,1,44.87,0,completada
CAJ090-000060,2024-01-10,T3,P11,3,49.0,0.05,anulada
CAJ090-000061,2024-01-10,T1,P03,4,16.2,0.1,completada
CAJ090-000062,2024-01-10,T2,P01,1,9.92,0.1,completada
