registro_id,fecha,sede,modalidad,asistencia_pct,nota_inicial,nota_final,horas_estudio,tutorias
NOT024-000001,2024-01-01,S1,presencial,63.9,9.0,9.9,11.9,5
NOT024-000002,2024-01-01,S2,virtual,69.1,8.6,8.9,3.7,4
NOT024-000003,2024-01-02,S3,presencial,63.8,11.1,9.1,9.8,0
NOT024-000004,2024-01-03,S1,virtual,71.7,14.4,14.0,8.2,2
NOT024-000005,2024-01-04,S2,virtual,93.9,15.7,16.7,5.5,0
NOT024-000006,2024-01-05,S3,virtual,85.8,11.7,14.3,6.8,2
NOT024-000007,2024-01-06,S1,virtual,82.1,16.1,20,11.6,0
NOT024-000008,2024-01-06,S2,virtual,75.0,8.3,8.8,7.6,8
NOT024-000009,2024-01-07,S3,virtual,66.4,14.5,13.5,2.1,3
NOT024-000010,2024-01-08,S1,presencial,57.0,6.1,12.5,10.1,9
NOT024-000011,2024-01-09,S2,virtual,60.9,12.8,13.3,7.9,0
NOT024-000012,2024-01-10,S3,virtual,63.3,13.5,15.0,9.5,2
NOT024-000013,2024-01-11,S1,presencial,92.3,10.1,10.4,0.4,3
NOT024-000014,2024-01-11,S2,presencial,94.0,9.0,12.8,5.4,2
NOT024-000015,2024-01-12,S3,virtual,70.8,8.7,11.7,1.0,7
NOT024-000016,2024-01-13,S1,virtual,100,13.9,11.9,3.7,3
NOT024-000017,2024-01-14,S2,presencial,98.4,2.7,7.2,3.1,3
NOT024-000018,2024-01-15,S3,presencial,56.1,13.1,8.6,0.8,0
NOT024-000019,2024-01-16,S1,presencial,71.2,10.3,10.9,5.2,2
NOT024-000020,2024-01-17,S2,presencial,82.5,15.2,12.8,4.3,2
NOT024-000021,2024-01-17,S3,presencial,74.8,15.9,14.1,6.2,3
NOT024-000022,2024-01-18,S1,virtual,56.6,10.8,14.2,8.8,2
NOT024-000023,2024-01-19,S2,presencial,100,9.3,10.5,9.4,6
NOT024-000024,2024-01-20,S3,presencial,86.0,10.0,8.9,6.0,1
NOT024-000025,2024-01-21,S1,virtual,90.8,11.3,10.8,2.7,0
NOT024-000026,2024-01-22,S2,virtual,76.0,12.2,13.3,7.1,1
NOT024-000027,2024-01-22,S3,virtual,65.8,6.6,9.2,7.5,4
NOT024-000028,2024-01-23,S1,presencial,86.3,6.5,11.6,10.7,7
NOT024-000029,2024-01-24,S2,presencial,63.1,9.6,11.4,9.0,8
NOT024-000030,2024-01-25,S3,presencial,77.4,8.8,8.2,10.5,5
NOT024-000031,2024-01-26,S1,virtual,58.1,11.0,12.9,5.7,3
NOT024-000032,2024-01-27,S2,presencial,75.4,14.3,13.2,9.8,3
NOT024-000033,2024-01-28,S3,presencial,61.5,11.6,13.4,10.3,3
NOT024-000034,2024-01-28,S1,virtual,74.3,8.0,8.5,4.5,7
NOT024-000035,2024-01-29,S2,presencial,100,6.4,9.6,7.7,2
