registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL073-000001,2024-01-01,C0001,esencial,norte,7,10.23,0,0,
TEL073-000002,2024-01-01,C0002,plus,norte,8,42.69,0,0,
TEL073-000003,2024-01-01,C0003,total,sur,31,48.81,0,0,
TEL073-000004,2024-01-01,C0004,esencial,norte,80,14.33,1,0,
TEL073-000005,2024-01-01,C0005,plus,sur,17,22.71,0,0,
TEL073-000006,2024-01-01,C0006,total,norte,2,49.27,1,0,
TEL073-000007,2024-01-01,C0007,esencial,centro,75,9.39,0,0,
TEL073-000008,2024-01-01,C0008,plus,norte,70,31.14,0,0,
TEL073-000009,2024-01-01,C0009,total,sur,43,40.92,1,0,
TEL073-000010,2024-01-01,C0010,esencial,sur,87,0.44,0,0,
TEL073-000011,2024-01-01,C0011,plus,norte,89,32.53,0,0,
TEL073-000012,2024-01-01,C0012,total,sur,12,41.08,1,0,
TEL073-000013,2024-01-01,C0013,esencial,norte,5,13.55,0,0,
TEL073-000014,2024-01-01,C0014,plus,centro,70,35.79,0,0,
TEL073-000015,2024-01-01,C0015,total,centro,90,52.13,1,0,
TEL073-000016,2024-01-01,C0016,esencial,sur,51,6.94,0,0,
TEL073-000017,2024-01-01,C0017,plus,sur,60,23.8,1,0,
TEL073-000018,2024-01-01,C0018,total,sur,14,50.24,0,0,
TEL073-000019,2024-01-01,C0019,esencial,norte,35,16.92,3,0,
TEL073-000020,2024-01-01,C0020,plus,sur,73,41.24,3,0,
TEL073-000021,2024-01-01,C0021,total,sur,13,50.4,0,0,
TEL073-000022,2024-01-01,C0022,esencial,centro,90,17.55,1,0,
TEL073-000023,2024-01-01,C0023,plus,centro,50,13.76,2,0,
TEL073-000024,2024-01-01,C0024,total,sur,89,40.79,0,0,
TEL073-000025,2024-01-01,C0025,esencial,centro,29,26.63,3,1,mudanza
TEL073-000026,2024-01-01,C0026,plus,sur,56,45.26,1,1,mudanza
TEL073-000027,2024-01-01,C0027,total,centro,13,37.07,0,0,
TEL073-000028,2024-01-01,C0028,esencial,norte,50,7.45,0,0,
TEL073-000029,2024-01-01,C0029,plus,centro,37,16.61,1,0,
TEL073-000030,2024-01-01,C0030,total,norte,42,40.22,0,0,
TEL073-000031,2024-01-01,C0031,esencial,centro,10,14.98,0,0,
TEL073-000032,2024-01-01,C0032,plus,norte,32,29.85,1,0,
TEL073-000033,2024-01-01,C0033,total,sur,89,41.13,4,0,
TEL073-000034,2024-01-01,C0034,esencial,norte,69,20.98,3,1,servicio
TEL073-000035,2024-01-01,C0035,plus,sur,81,35.02,3,0,
TEL073-000036,2024-01-01,C0036,total,norte,51,41.74,0,0,
TEL073-000037,2024-01-01,C0037,esencial,norte,33,8.06,2,0,
TEL073-000038,2024-01-01,C0038,plus,centro,37,34.65,0,1,precio
TEL073-000039,2024-01-01,C0039,total,norte,81,50.23,0,0,
TEL073-000040,2024-01-01,C0040,esencial,norte,74,11.73,0,0,
TEL073-000041,2024-01-01,C0041,plus,norte,73,24.61,0,0,
TEL073-000042,2024-01-01,C0042,total,norte,22,55.45,0,0,
TEL073-000043,2024-01-01,C0043,esencial,centro,7,11.06,1,0,
TEL073-000044,2024-01-01,C0044,plus,centro,90,18.58,3,0,
TEL073-000045,2024-01-01,C0045,total,norte,52,43.3,0,0,
TEL073-000046,2024-01-01,C0046,esencial,norte,13,10.83,2,0,
TEL073-000047,2024-01-01,C0047,plus,centro,62,38.27,0,0,
TEL073-000048,2024-01-01,C0048,total,sur,62,37.99,1,0,
TEL073-000049,2024-01-01,C0049,esencial,centro,86,23.86,0,0,
TEL073-000050,2024-01-01,C0050,plus,norte,34,23.34,1,0,
TEL073-000051,2024-01-01,C0051,total,centro,69,33.86,0,0,
TEL073-000052,2024-01-01,C0052,esencial,norte,85,8.81,1,0,
TEL073-000053,2024-01-01,C0053,plus,centro,47,22.2,0,0,
TEL073-000054,2024-01-01,C0054,total,sur,48,41.73,1,1,precio
TEL073-000055,2024-01-01,C0055,esencial,norte,32,12.64,0,0,
TEL073-000056,2024-01-01,C0056,plus,centro,64,19.51,2,0,
TEL073-000057,2024-01-01,C0057,total,sur,34,48.98,2,0,
TEL073-000058,2024-01-01,C0058,esencial,centro,54,10.9,0,1,servicio
TEL073-000059,2024-01-01,C0059,plus,centro,85,33.02,0,0,
TEL073-000060,2024-01-01,C0060,total,norte,57,48.16,0,0,
TEL073-000061,2024-01-01,C0061,esencial,centro,10,14.78,0,0,
TEL073-000062,2024-01-01,C0062,plus,centro,32,20.14,0,0,
TEL073-000063,2024-01-01,C0063,total,centro,3,50.07,2,0,
TEL073-000064,2024-01-01,C0064,esencial,centro,82,21.55,0,0,
TEL073-000065,2024-01-01,C0065,plus,centro,6,35.16,1,0,
TEL073-000066,2024-01-01,C0066,total,sur,42,55.38,0,0,
TEL073-000067,2024-01-01,C0067,esencial,sur,64,10.47,0,0,
TEL073-000068,2024-01-01,C0068,plus,norte,26,28.49,0,0,
TEL073-000069,2024-01-01,C0069,total,sur,48,42.11,0,0,
TEL073-000070,2024-01-01,C0070,esencial,centro,2,0,0,0,
TEL073-000071,2024-01-01,C0071,plus,centro,68,29.59,0,0,
TEL073-000072,2024-01-01,C0072,total,norte,27,42.44,3,0,
TEL073-000073,2024-01-01,C0073,esencial,sur,21,4.62,2,0,
TEL073-000074,2024-01-01,C0074,plus,centro,42,27.76,0,0,
TEL073-000075,2024-01-01,C0075,total,sur,52,45.05,3,0,
TEL073-000076,2024-01-01,C0076,esencial,centro,45,14.58,0,0,
TEL073-000077,2024-01-01,C0077,plus,sur,27,40.45,2,0,
TEL073-000078,2024-01-01,C0078,total,centro,69,50.28,1,0,
TEL073-000079,2024-01-01,C0079,esencial,sur,77,6.01,1,0,
TEL073-000080,2024-01-01,C0080,plus,sur,72,30.15,0,0,
TEL073-000081,2024-01-01,C0081,total,norte,19,40.6,0,0,
TEL073-000082,2024-01-01,C0082,esencial,centro,26,16.97,2,0,
TEL073-000083,2024-01-01,C0083,plus,centro,30,19.22,0,0,
TEL073-000084,2024-01-01,C0084,total,norte,18,,0,0,
TEL073-000085,2024-01-01,C0085,esencial,centro,37,6.62,0,0,
TEL073-000086,2024-01-01,C0086,plus,norte,65,26.64,0,0,
TEL073-000087,2024-01-01,C0087,total,centro,46,60.67,1,0,
TEL073-000088,2024-01-01,C0088,esencial,norte,10,26.93,0,1,servicio
TEL073-000089,2024-01-01,C0089,plus,sur,31,29.82,1,0,
TEL073-000090,2024-01-01,C0090,total,sur,32,56.36,1,0,
TEL073-000091,2024-01-01,C0091,esencial,norte,52,18.53,0,0,
TEL073-000092,2024-01-01,C0092,plus,sur,28,30.14,0,0,
TEL073-000093,2024-01-01,C0093,total,centro,53,47.66,0,0,
TEL073-000094,2024-01-01,C0094,esencial,norte,34,21.03,1,0,
