usuario,alta,pais
U0001,2023-12-31,CL
U0002,2023-12-30,CO
U0003,2023-12-30,PE
U0004,2023-12-30,CL
U0005,2023-12-30,CO
U0006,2023-12-30,PE
U0007,2023-12-29,CL
U0008,2023-12-29,CO
U0009,2023-12-29,PE
U0010,2024-01-08,CL
U0011,2024-01-08,CO
U0012,2024-01-07,PE
U0013,2024-01-07,CL
U0014,2024-01-07,CO
U0015,2024-01-07,PE
U0016,2024-01-07,CL
U0017,2024-01-06,CO
U0018,2024-01-06,PE
U0019,2024-01-06,CL
U0020,2024-01-16,CO
U0021,2024-01-16,PE
U0022,2024-01-16,CL
U0023,2024-01-15,CO
U0024,2024-01-15,PE
U0025,2024-01-15,CL
U0026,2024-01-15,CO
U0027,2024-01-15,PE
U0028,2024-01-14,CL
U0029,2024-01-14,CO
U0030,2024-01-24,PE
U0031,2024-01-24,CL
U0032,2024-01-24,CO
U0033,2024-01-23,PE
U0034,2024-01-23,CL
U0035,2024-01-23,CO
U0036,2024-01-23,PE
U0037,2024-01-23,CL
U0038,2024-01-23,CO
U0039,2024-01-22,PE
U0040,2024-02-01,CL
U0041,2024-02-01,CO
U0042,2024-02-01,PE
U0043,2024-02-01,CL
U0044,2024-01-31,CO
U0045,2024-01-31,PE
U0046,2024-01-31,CL
U0047,2024-01-31,CO
U0048,2024-01-31,PE
U0049,2024-01-30,CL
U0050,2024-02-09,CO
U0051,2024-02-09,PE
U0052,2024-02-09,CL
U0053,2024-02-09,CO
U0054,2024-02-09,PE
U0055,2024-02-08,CL
U0056,2024-02-08,CO
U0057,2024-02-08,PE
U0058,2024-02-08,CL
U0059,2024-02-08,CO
U0060,2024-02-17,PE
U0061,2024-02-17,CL
U0062,2024-02-17,CO
U0063,2024-02-17,PE
U0064,2024-02-17,CL
U0065,2024-02-16,CO
U0066,2024-02-16,PE
U0067,2024-02-16,CL
U0068,2024-02-16,CO
U0069,2024-02-16,PE
U0070,2024-02-26,CL
U0071,2024-02-25,CO
U0072,2024-02-25,PE
U0073,2024-02-25,CL
U0074,2024-02-25,CO
U0075,2024-02-25,PE
U0076,2024-02-24,CL
U0077,2024-02-24,CO
U0078,2024-02-24,PE
U0079,2024-02-24,CL
U0080,2024-03-05,CO
U0081,2024-03-04,PE
U0082,2024-03-04,CL
U0083,2024-03-04,CO
U0084,2024-03-04,PE
U0085,2024-03-04,CL
U0086,2024-03-04,CO
U0087,2024-03-03,PE
U0088,2024-03-03,CL
U0089,2024-03-03,CO
U0090,2024-03-13,PE
U0091,2024-03-13,CL
U0092,2024-03-12,CO
U0093,2024-03-12,PE
U0094,2024-03-12,CL
U0095,2024-03-12,CO
U0096,2024-03-12,PE
U0097,2024-03-11,CL
U0098,2024-03-11,CO
U0099,2024-03-11,PE
