registro_id,fecha,ruta,transportista,distancia_km,carga_kg,tiempo_min,prometido_min,entregado
TRA048-000001,2024-01-01,R4,T1,128.0,118.2,200.6,177.2,1
TRA048-000002,2024-01-01,R5,T2,136.6,139.8,217.8,187.1,1
TRA048-000003,2024-01-02,R5,T3,47.6,19.5,62.1,84.7,1
TRA048-000004,2024-01-02,R1,T1,26.4,26.2,43.8,60.4,1
TRA048-000005,2024-01-03,R6,T2,70.8,121.4,110.9,111.4,1
TRA048-000006,2024-01-03,R3,T3,45.5,120.7,105.5,82.3,1
TRA048-000007,2024-01-04,R2,T1,97.3,24.2,,141.9,0
TRA048-000008,2024-01-04,R1,T2,73.9,94.0,110.3,115.0,1
TRA048-000009,2024-01-05,R1,T3,54.9,2.7,83.6,93.1,1
TRA048-000010,2024-01-06,R1,T1,110.6,11.7,162.2,157.2,1
TRA048-000011,2024-01-06,R1,T2,11.8,47.2,41.7,43.6,1
TRA048-000012,2024-01-07,R2,T3,117.9,16.7,156.8,165.6,1
TRA048-000013,2024-01-07,R6,T1,11.6,52.6,46.5,43.3,1
TRA048-000014,2024-01-08,R6,T2,67.1,84.2,88.3,107.2,1
TRA048-000015,2024-01-08,R5,T3,25.5,19.9,30.5,59.3,1
TRA048-000016,2024-01-09,R5,T1,123.4,9.2,,171.9,0
TRA048-000017,2024-01-10,R5,T2,17.5,92.3,34.2,50.1,1
TRA048-000018,2024-01-10,R4,T3,55.7,1.6,81.9,94.1,1
TRA048-000019,2024-01-11,R6,T1,38.0,76.8,71.1,73.7,1
TRA048-000020,2024-01-11,R2,T2,98.9,38.6,156.8,143.7,1
TRA048-000021,2024-01-12,R1,T3,145.0,26.2,197.8,196.8,1
TRA048-000022,2024-01-12,R1,T1,99.6,89.8,128.5,144.5,1
TRA048-000023,2024-01-13,R1,T2,120.4,131.0,186.8,168.5,1
TRA048-000024,2024-01-14,R4,T3,3.6,91.4,7.8,34.1,1
TRA048-000025,2024-01-14,R2,T1,91.6,5.0,139.1,135.3,1
TRA048-000026,2024-01-15,R2,T2,29.1,10.3,65.9,63.5,1
TRA048-000027,2024-01-15,R1,T3,52.5,125.9,117.0,90.4,1
TRA048-000028,2024-01-16,R6,T1,27.5,94.7,56.5,61.6,1
TRA048-000029,2024-01-16,R5,T2,128.7,69.9,184.7,178.0,1
TRA048-000030,2024-01-17,R1,T3,104.3,118.5,156.3,149.9,1
TRA048-000031,2024-01-18,R6,T1,120.7,137.9,172.5,168.8,1
TRA048-000032,2024-01-18,R3,T2,65.6,116.2,123.6,105.4,1
TRA048-000033,2024-01-19,R6,T3,87.8,27.0,156.8,131.0,1
TRA048-000034,2024-01-19,R6,T1,29.1,107.6,30.1,63.5,1
TRA048-000035,2024-01-20,R4,T2,7.5,97.6,40.9,38.6,1
TRA048-000036,2024-01-20,R5,T3,103.3,42.5,162.5,148.8,1
TRA048-000037,2024-01-21,R6,T1,140.8,54.5,163.9,191.9,1
TRA048-000038,2024-01-22,R6,T2,98.8,22.4,103.9,143.6,1
TRA048-000039,2024-01-22,R3,T3,69.9,135.7,,110.4,0
TRA048-000040,2024-01-23,R2,T1,78.8,119.2,121.8,120.6,1
TRA048-000041,2024-01-23,R2,T2,49.7,105.0,103.0,87.2,1
TRA048-000042,2024-01-24,R5,T3,135.3,39.0,184.8,185.6,1
TRA048-000043,2024-01-24,R2,T1,67.9,81.6,93.1,108.1,1
TRA048-000044,2024-01-25,R2,T2,75.8,14.0,94.0,117.2,1
TRA048-000045,2024-01-26,R5,T3,6.2,51.7,24.9,37.1,1
TRA048-000046,2024-01-26,R2,T1,134.5,57.4,136.2,184.7,1
TRA048-000047,2024-01-27,R4,T2,52.7,25.8,65.0,90.6,1
TRA048-000048,2024-01-27,R5,T3,66.7,82.6,84.9,106.7,1
TRA048-000049,2024-01-28,R2,T1,135.1,81.1,158.5,185.4,1
TRA048-000050,2024-01-28,R6,T2,135.2,95.1,192.5,185.5,1
TRA048-000051,2024-01-29,R5,T3,145.2,91.6,217.1,197.0,1
TRA048-000052,2024-01-30,R5,T1,68.6,100.2,119.8,108.9,1
TRA048-000053,2024-01-30,R2,T2,13.7,10.8,,45.8,0
TRA048-000054,2024-01-31,R1,T3,53.7,103.2,72.5,91.8,1
TRA048-000055,2024-01-31,R5,T1,21.0,33.3,53.2,54.1,1
TRA048-000056,2024-02-01,R6,T2,28.7,82.5,70.1,63.0,1
TRA048-000057,2024-02-01,R1,T3,70.9,57.3,88.9,111.5,1
TRA048-000058,2024-02-02,R5,T1,63.7,30.0,94.2,103.3,1
TRA048-000059,2024-02-03,R5,T2,142.2,111.4,191.6,193.5,1
TRA048-000060,2024-02-03,R5,T3,121.5,90.9,219.4,169.7,1
TRA048-000061,2024-02-04,R2,T1,121.2,77.4,155.5,169.4,1
TRA048-000062,2024-02-04,R1,T2,23.5,27.8,48.5,57.0,1
TRA048-000063,2024-02-05,R2,T3,120.9,26.8,172.7,169.0,1
TRA048-000064,2024-02-05,R6,T1,112.2,29.9,127.5,159.0,1
TRA048-000065,2024-02-06,R3,T2,88.6,60.0,142.3,131.9,1
TRA048-000066,2024-02-07,R5,T3,29.6,26.2,63.1,64.0,1
TRA048-000067,2024-02-07,R4,T1,17.0,1.1,19.5,49.5,1
TRA048-000068,2024-02-08,R2,T2,52.4,106.4,99.7,90.3,1
TRA048-000069,2024-02-08,R1,T3,132.9,24.8,189.2,182.8,1
TRA048-000070,2024-02-09,R5,T1,117.9,120.5,,165.6,0
TRA048-000071,2024-02-09,R2,T2,36.6,55.9,41.4,72.1,1
TRA048-000072,2024-02-10,R5,T3,117.9,3.8,142.4,165.6,1
TRA048-000073,2024-02-11,R5,T1,72.1,32.6,,112.9,0
TRA048-000074,2024-02-11,R4,T2,149.3,49.4,204.3,201.7,1
TRA048-000075,2024-02-12,R4,T3,145.7,87.6,202.1,197.6,1
TRA048-000076,2024-02-12,R6,T1,95.4,3.0,108.0,139.7,1
TRA048-000077,2024-02-13,R4,T2,28.5,40.6,,62.8,0
TRA048-000078,2024-02-13,R6,T3,18.0,126.7,58.9,50.7,1
TRA048-000079,2024-02-14,R4,T1,5.8,34.3,34.8,36.7,1
TRA048-000080,2024-02-15,R2,T2,89.7,19.7,136.2,133.2,1
TRA048-000081,2024-02-15,R3,T3,61.7,71.3,100.0,101.0,1
TRA048-000082,2024-02-16,R2,T1,105.4,108.0,130.5,151.2,1
TRA048-000083,2024-02-16,R2,T2,131.9,44.9,170.3,181.7,1
TRA048-000084,2024-02-17,R6,T3,115.0,89.6,,162.2,1
TRA048-000085,2024-02-17,R3,T1,17.1,130.8,51.5,49.7,1
TRA048-000086,2024-02-18,R2,T2,92.0,141.3,,135.8,0
TRA048-000087,2024-02-19,R4,T3,75.4,27.6,108.5,116.7,1
TRA048-000088,2024-02-19,R2,T1,5.0,20.9,34.3,35.8,1
TRA048-000089,2024-02-20,R4,T2,103.6,85.4,,149.1,0
TRA048-000090,2024-02-20,R5,T3,43.4,21.5,52.5,79.9,1
TRA048-000091,2024-02-21,R6,T1,101.3,91.3,,146.5,0
TRA048-000092,2024-02-21,R5,T2,42.4,7.4,61.6,78.8,1
TRA048-000093,2024-02-22,R4,T3,105.6,74.7,160.7,151.4,1
TRA048-000094,2024-02-23,R2,T1,84.9,130.2,112.2,127.6,1
TRA048-000095,2024-02-23,R4,T2,51.1,145.0,99.2,88.8,1
TRA048-000096,2024-02-24,R1,T3,5.7,93.7,33.5,36.6,1
TRA048-000097,2024-02-24,R5,T1,74.3,11.9,95.4,115.4,1
TRA048-000098,2024-02-25,R6,T2,79.9,40.0,112.2,121.9,1
TRA048-000099,2024-02-25,R2,T3,55.6,6.3,63.2,93.9,1
TRA048-000100,2024-02-26,R5,T1,40.3,111.0,66.8,76.3,1
TRA048-000101,2024-02-27,R4,T2,112.1,42.6,,158.9,0
TRA048-000102,2024-02-27,R6,T3,122.3,83.6,196.5,170.6,1
TRA048-000103,2024-02-28,R4,T1,97.3,44.7,102.6,141.9,1
TRA048-000104,2024-02-28,R4,T2,9.3,130.8,,40.7,0
TRA048-000105,2024-02-29,R4,T3,19.3,102.1,44.8,52.2,1
TRA048-000106,2024-02-29,R6,T1,60.3,139.8,107.6,99.3,1
TRA048-000107,2024-03-01,R3,T2,14.6,4.6,20.1,46.8,1
TRA048-000108,2024-03-02,R2,T3,58.8,103.6,77.4,97.6,1
TRA048-000109,2024-03-02,R3,T1,93.8,29.2,126.8,137.9,1
TRA048-000110,2024-03-03,R1,T2,56.4,35.0,89.6,94.9,1
TRA048-000111,2024-03-03,R6,T3,149.9,123.1,259.2,202.4,1
TRA048-000112,2024-03-04,R2,T1,78.5,141.4,,120.3,0
TRA048-000113,2024-03-04,R5,T2,121.9,83.0,191.9,170.2,1
TRA048-000114,2024-03-05,R3,T3,41.0,91.4,82.7,77.2,1
TRA048-000115,2024-03-06,R1,T1,62.6,16.7,76.1,102.0,1
TRA048-000116,2024-03-06,R2,T2,23.9,57.5,24.5,57.5,1
TRA048-000117,2024-03-07,R3,T3,77.1,9.9,118.0,118.7,1
TRA048-000118,2024-03-07,R5,T1,111.8,124.8,156.8,158.6,1
TRA048-000119,2024-03-08,R5,T2,121.6,75.5,150.0,169.8,1
TRA048-000120,2024-03-08,R4,T3,99.4,37.3,166.3,144.3,1
TRA048-000121,2024-03-09,R5,T1,60.0,17.7,64.9,99.0,1
TRA048-000122,2024-03-10,R3,T2,114.2,143.9,157.8,161.3,1
TRA048-000123,2024-03-10,R1,T3,38.1,26.4,65.0,73.8,1
TRA048-000124,2024-03-11,R3,T1,143.5,51.4,180.7,195.0,1
TRA048-000125,2024-03-11,R1,T2,124.1,119.6,186.8,172.7,1
TRA048-000126,2024-03-12,R4,T3,18.6,65.9,63.3,51.4,1
TRA048-000127,2024-03-12,R3,T1,61.4,49.9,104.0,100.6,1
TRA048-000128,2024-03-13,R6,T2,74.7,73.0,109.6,115.9,1
TRA048-000129,2024-03-14,R1,T3,122.0,114.3,181.5,170.3,1
TRA048-000130,2024-03-14,R1,T1,61.6,25.0,84.2,100.8,1
TRA048-000131,2024-03-15,R6,T2,25.9,107.7,78.5,59.8,1
TRA048-000132,2024-03-15,R4,T3,55.5,138.1,116.2,93.8,1
TRA048-000133,2024-03-16,R1,T1,104.5,121.6,167.0,150.2,1
TRA048-000134,2024-03-16,R1,T2,99.0,82.4,145.3,143.8,1
TRA048-000135,2024-03-17,R1,T3,67.9,53.2,,108.1,0
TRA048-000136,2024-03-18,R1,T1,102.1,67.0,140.5,147.4,1
TRA048-000137,2024-03-18,R5,T2,38.6,44.3,61.5,74.4,1
TRA048-000138,2024-03-19,R2,T3,8.1,84.9,26.6,39.3,1
TRA048-000139,2024-03-19,R2,T1,79.6,77.7,120.4,121.5,1
TRA048-000140,2024-03-20,R1,T2,18.0,36.6,30.4,50.7,1
TRA048-000141,2024-03-20,R6,T3,7.9,33.1,24.9,39.1,1
TRA048-000142,2024-03-21,R4,T1,123.9,76.4,154.9,172.5,1
TRA048-000143,2024-03-22,R2,T2,122.7,144.1,193.4,171.1,1
TRA048-000144,2024-03-22,R3,T3,33.6,98.4,36.2,68.6,1
TRA048-000145,2024-03-23,R5,T1,65.6,70.1,79.8,105.4,1
TRA048-000146,2024-03-23,R3,T2,27.6,62.8,55.3,61.7,1
TRA048-000147,2024-03-24,R5,T3,41.5,26.9,78.8,77.7,1
TRA048-000148,2024-03-24,R3,T1,7.6,68.0,27.9,38.7,1
TRA048-000149,2024-03-25,R1,T2,87.2,40.5,116.3,130.3,1
TRA048-000150,2024-03-26,R3,T3,138.5,34.9,,189.3,0
TRA048-000151,2024-03-26,R6,T1,130.2,9.9,148.7,179.7,1
TRA048-000152,2024-03-27,R1,T2,109.0,79.0,155.6,155.3,1
TRA048-000153,2024-03-27,R2,T3,96.7,38.5,147.9,141.2,1
TRA048-000154,2024-03-28,R6,T1,117.3,47.5,149.3,164.9,1
TRA048-000155,2024-03-28,R1,T2,89.0,145.0,139.8,132.3,1
TRA048-000156,2024-03-29,R4,T3,8.7,96.7,23.5,40.0,1
TRA048-000157,2024-03-30,R2,T1,65.5,4.6,58.0,105.3,1
TRA048-000158,2024-03-30,R6,T2,57.7,124.8,,96.4,0
TRA048-000159,2024-03-31,R6,T3,113.6,134.7,199.2,160.6,1
TRA048-000160,2024-03-31,R6,T1,82.5,117.3,114.4,124.9,1
TRA048-000161,2024-04-01,R4,T2,101.0,68.7,154.6,146.1,1
TRA048-000162,2024-04-01,R1,T3,85.8,18.7,125.1,128.7,1
TRA048-000163,2024-04-02,R5,T1,57.8,19.5,74.1,96.5,1
TRA048-000164,2024-04-03,R2,T2,30.7,132.7,37.2,65.3,1
TRA048-000165,2024-04-03,R3,T3,74.2,61.6,111.0,115.3,1
TRA048-000166,2024-04-04,R5,T1,125.8,70.3,170.1,174.7,1
TRA048-000167,2024-04-04,R1,T2,56.3,113.7,,94.7,1
TRA048-000168,2024-04-05,R3,T3,16.4,48.3,54.7,48.9,1
TRA048-000169,2024-04-05,R3,T1,54.2,131.5,107.9,92.3,1
TRA048-000170,2024-04-06,R2,T2,129.2,54.6,197.8,178.6,1
TRA048-000171,2024-04-07,R6,T3,89.7,106.3,,133.2,0
TRA048-000172,2024-04-07,R1,T1,75.5,147.4,,116.8,0
TRA048-000173,2024-04-08,R2,T2,116.8,41.7,157.8,164.3,1
TRA048-000174,2024-04-08,R1,T3,106.9,43.4,165.2,152.9,1
TRA048-000175,2024-04-09,R5,T1,124.1,38.2,138.6,172.7,1
TRA048-000176,2024-04-09,R6,T2,40.0,40.7,60.9,76.0,1
TRA048-000177,2024-04-10,R5,T3,116.9,40.2,193.4,164.4,1
TRA048-000178,2024-04-11,R6,T1,139.8,114.6,176.9,190.8,1
TRA048-000179,2024-04-11,R1,T2,116.6,11.6,163.8,164.1,1
TRA048-000180,2024-04-12,R5,T3,69.2,107.3,110.5,109.6,1
TRA048-000181,2024-04-12,R4,T1,42.6,116.8,52.4,79.0,1
TRA048-000182,2024-04-13,R5,T2,115.0,140.9,159.3,162.2,1
TRA048-000183,2024-04-13,R2,T3,120.8,98.8,165.6,168.9,1
TRA048-000184,2024-04-14,R1,T1,14.7,20.0,33.2,46.9,1
TRA048-000185,2024-04-15,R2,T2,41.3,37.1,77.9,77.5,1
TRA048-000186,2024-04-15,R2,T3,79.8,143.2,139.2,121.8,1
TRA048-000187,2024-04-16,R3,T1,24.7,130.4,68.9,58.4,1
TRA048-000188,2024-04-16,R5,T2,69.4,39.3,101.4,109.8,1
TRA048-000189,2024-04-17,R4,T3,54.6,108.2,99.2,92.8,1
TRA048-000190,2024-04-17,R1,T1,145.5,63.2,208.6,197.3,1
TRA048-000191,2024-04-18,R6,T2,42.1,139.9,95.7,78.4,1
TRA048-000192,2024-04-19,R4,T3,68.9,133.4,129.4,109.2,1
TRA048-000193,2024-04-19,R5,T1,43.8,26.0,52.2,80.4,1
TRA048-000194,2024-04-20,R1,T2,98.6,37.2,129.6,143.4,1
TRA048-000195,2024-04-20,R1,T3,28.3,67.5,39.3,62.5,1
TRA048-000196,2024-04-21,R4,T1,126.2,57.6,138.8,175.1,1
TRA048-000197,2024-04-21,R6,T2,119.1,40.5,153.3,167.0,1
TRA048-000198,2024-04-22,R2,T3,91.2,92.5,148.7,134.9,1
TRA048-000199,2024-04-23,R2,T1,143.6,51.8,183.4,195.1,1
TRA048-000200,2024-04-23,R3,T2,41.2,141.0,71.3,77.4,1
TRA048-000201,2024-04-24,R2,T3,113.3,51.4,,160.3,0
TRA048-000202,2024-04-24,R2,T1,109.9,57.3,132.8,156.4,1
TRA048-000203,2024-04-25,R3,T2,27.8,76.4,46.8,62.0,1
TRA048-000204,2024-04-25,R2,T3,32.7,103.4,58.9,67.6,1
