registro_id,fecha,ruta,transportista,distancia_km,carga_kg,tiempo_min,prometido_min,entregado
TRA076-000001,2024-01-01,R4,T1,110.8,108.5,149.6,157.4,1
TRA076-000002,2024-01-01,R2,T2,2.8,89.7,40.6,33.2,1
TRA076-000003,2024-01-01,R3,T3,44.4,72.7,,81.1,0
TRA076-000004,2024-01-01,R2,T1,89.0,37.1,122.1,132.3,1
TRA076-000005,2024-01-01,R5,T2,141.7,14.6,202.9,193.0,1
TRA076-000006,2024-01-02,R6,T3,140.6,21.6,175.1,191.7,1
TRA076-000007,2024-01-02,R5,T1,56.4,32.4,81.9,94.9,1
TRA076-000008,2024-01-02,R3,T2,51.2,120.4,,88.9,0
TRA076-000009,2024-01-02,R2,T3,5.9,81.2,26.4,36.8,1
TRA076-000010,2024-01-03,R2,T1,59.5,109.1,112.3,98.4,1
TRA076-000011,2024-01-03,R6,T2,67.6,75.8,111.7,107.7,1
TRA076-000012,2024-01-03,R5,T3,148.4,9.0,201.0,200.7,1
TRA076-000013,2024-01-03,R2,T1,7.0,82.6,34.6,38.0,1
TRA076-000014,2024-01-04,R6,T2,65.9,137.2,107.9,105.8,1
TRA076-000015,2024-01-04,R1,T3,69.9,52.8,127.6,110.4,1
TRA076-000016,2024-01-04,R5,T1,41.4,133.2,91.6,77.6,1
TRA076-000017,2024-01-04,R1,T2,141.0,99.3,191.8,192.1,1
TRA076-000018,2024-01-05,R6,T3,12.6,132.4,37.6,44.5,1
TRA076-000019,2024-01-05,R3,T1,77.0,74.9,96.3,118.5,1
TRA076-000020,2024-01-05,R5,T2,146.9,9.6,189.3,198.9,1
TRA076-000021,2024-01-05,R2,T3,65.8,9.9,96.9,105.7,1
TRA076-000022,2024-01-06,R6,T1,116.8,12.9,137.2,164.3,1
TRA076-000023,2024-01-06,R1,T2,139.2,20.7,167.8,190.1,1
TRA076-000024,2024-01-06,R2,T3,9.1,21.6,23.7,40.5,1
TRA076-000025,2024-01-06,R5,T1,64.7,30.6,95.7,104.4,1
TRA076-000026,2024-01-07,R1,T2,26.1,38.9,70.2,60.0,1
TRA076-000027,2024-01-07,R2,T3,32.1,8.4,68.8,66.9,1
TRA076-000028,2024-01-07,R2,T1,5.2,146.2,7.0,36.0,1
TRA076-000029,2024-01-07,R6,T2,110.6,1.2,144.2,157.2,1
TRA076-000030,2024-01-08,R3,T3,44.4,46.4,73.3,81.1,1
TRA076-000031,2024-01-08,R1,T1,83.7,48.4,133.8,126.3,1
TRA076-000032,2024-01-08,R6,T2,52.1,129.3,63.4,89.9,1
TRA076-000033,2024-01-08,R3,T3,81.2,112.6,168.1,123.4,1
TRA076-000034,2024-01-09,R6,T1,95.7,140.5,139.7,140.1,1
TRA076-000035,2024-01-09,R3,T2,112.5,114.6,174.6,159.4,1
TRA076-000036,2024-01-09,R5,T3,96.4,64.1,147.5,140.9,1
TRA076-000037,2024-01-09,R2,T1,116.2,101.1,153.2,163.6,1
TRA076-000038,2024-01-10,R4,T2,96.9,126.2,146.7,141.4,1
TRA076-000039,2024-01-10,R4,T3,94.6,100.0,133.2,138.8,1
TRA076-000040,2024-01-10,R6,T1,71.6,104.7,109.5,112.3,1
TRA076-000041,2024-01-10,R6,T2,111.1,112.1,143.1,157.8,1
TRA076-000042,2024-01-10,R3,T3,139.0,38.5,219.3,189.8,1
TRA076-000043,2024-01-11,R3,T1,83.8,36.6,75.7,126.4,1
TRA076-000044,2024-01-11,R4,T2,96.7,141.7,142.6,141.2,1
TRA076-000045,2024-01-11,R2,T3,117.9,137.0,205.8,165.6,1
TRA076-000046,2024-01-11,R5,T1,17.4,115.5,34.9,50.0,1
TRA076-000047,2024-01-12,R6,T2,75.1,47.1,93.1,116.4,1
TRA076-000048,2024-01-12,R4,T3,146.1,126.4,242.5,198.0,1
