registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL100-000001,2024-01-01,C0001,esencial,norte,7,0,1,1,precio
TEL100-000002,2024-01-01,C0002,plus,norte,8,22.5,0,1,mudanza
TEL100-000003,2024-01-01,C0003,total,sur,31,50.17,0,0,
TEL100-000004,2024-01-01,C0004,esencial,norte,80,18.52,1,0,
TEL100-000005,2024-01-01,C0005,plus,sur,17,32.33,0,0,
TEL100-000006,2024-01-01,C0006,total,norte,2,51.22,0,0,
TEL100-000007,2024-01-01,C0007,esencial,centro,75,10.42,0,0,
TEL100-000008,2024-01-01,C0008,plus,norte,70,32.24,0,0,
TEL100-000009,2024-01-01,C0009,total,sur,43,39.14,2,0,
TEL100-000010,2024-01-01,C0010,esencial,sur,87,8.3,0,0,
TEL100-000011,2024-01-01,C0011,plus,norte,89,27.01,1,0,
TEL100-000012,2024-01-01,C0012,total,sur,12,49.73,1,1,servicio
TEL100-000013,2024-01-01,C0013,esencial,norte,5,12.72,3,1,precio
TEL100-000014,2024-01-01,C0014,plus,centro,70,32.67,0,0,
TEL100-000015,2024-01-01,C0015,total,centro,90,40.01,0,0,
TEL100-000016,2024-01-01,C0016,esencial,sur,51,18.63,1,0,
TEL100-000017,2024-01-01,C0017,plus,sur,60,32.16,2,0,
TEL100-000018,2024-01-01,C0018,total,sur,14,48.85,3,0,
TEL100-000019,2024-01-01,C0019,esencial,norte,35,28.21,1,0,
TEL100-000020,2024-01-01,C0020,plus,sur,73,33.76,0,0,
TEL100-000021,2024-01-01,C0021,total,sur,13,40.36,0,0,
TEL100-000022,2024-01-01,C0022,esencial,centro,90,11.18,0,1,precio
TEL100-000023,2024-01-01,C0023,plus,centro,50,27.17,0,0,
TEL100-000024,2024-01-01,C0024,total,sur,89,58.3,1,0,
TEL100-000025,2024-01-01,C0025,esencial,centro,29,11.69,0,0,
TEL100-000026,2024-01-01,C0026,plus,sur,56,31.58,1,0,
TEL100-000027,2024-01-01,C0027,total,centro,13,55.59,0,0,
TEL100-000028,2024-01-01,C0028,esencial,norte,50,5.15,0,0,
TEL100-000029,2024-01-01,C0029,plus,centro,37,29.75,0,0,
TEL100-000030,2024-01-01,C0030,total,norte,42,32.3,3,0,
