registro_id,fecha,proveedor,producto,solicitado,recibido,prometido_dias,plazo_dias,estado
COM074-000001,2024-01-01,P01,P01,105,105,7,12,completo
COM074-000002,2024-01-01,P02,P01,175,175,8,9,completo
COM074-000003,2024-01-01,P03,P01,163,163,9,3,completo
COM074-000004,2024-01-02,P04,P01,178,178,10,13,completo
COM074-000005,2024-01-02,P05,P01,175,175,7,8,completo
COM074-000006,2024-01-02,P06,P01,113,113,8,11,completo
COM074-000007,2024-01-03,P07,P01,94,94,9,16,completo
COM074-000008,2024-01-03,P08,P01,188,188,10,8,completo
COM074-000009,2024-01-03,P09,P01,27,15,7,13,parcial
COM074-000010,2024-01-04,P10,P01,103,103,8,13,completo
COM074-000011,2024-01-04,P11,P01,30,30,9,14,completo
COM074-000012,2024-01-04,P12,P01,158,158,10,12,completo
COM074-000013,2024-01-05,P01,P02,184,184,7,4,completo
COM074-000014,2024-01-05,P02,P02,13,0,8,726,pendiente
COM074-000015,2024-01-05,P03,P02,185,185,9,6,completo
COM074-000016,2024-01-06,P04,P02,150,150,10,5,completo
COM074-000017,2024-01-06,P05,P02,28,28,7,7,completo
COM074-000018,2024-01-06,P06,P02,103,0,8,725,pendiente
COM074-000019,2024-01-07,P07,P02,10,10,9,11,completo
COM074-000020,2024-01-07,P08,P02,50,50,10,10,completo
COM074-000021,2024-01-07,P09,P02,140,140,7,14,completo
COM074-000022,2024-01-08,P10,P02,44,44,8,12,completo
COM074-000023,2024-01-08,P11,P02,60,60,9,13,completo
COM074-000024,2024-01-09,P12,P02,100,100,10,19,completo
COM074-000025,2024-01-09,P01,P03,155,155,7,2,completo
COM074-000026,2024-01-09,P02,P03,191,191,8,14,completo
COM074-000027,2024-01-10,P03,P03,59,59,9,9,completo
COM074-000028,2024-01-10,P04,P03,200,200,10,7,completo
COM074-000029,2024-01-10,P05,P03,84,84,7,8,completo
COM074-000030,2024-01-11,P06,P03,77,77,8,10,completo
COM074-000031,2024-01-11,P07,P03,161,0,9,720,pendiente
COM074-000032,2024-01-11,P08,P03,60,60,10,3,completo
COM074-000033,2024-01-12,P09,P03,113,113,7,13,completo
COM074-000034,2024-01-12,P10,P03,144,0,8,719,pendiente
COM074-000035,2024-01-12,P11,P03,104,104,9,16,completo
COM074-000036,2024-01-13,P12,P03,185,185,10,7,completo
COM074-000037,2024-01-13,P01,P04,84,0,7,718,pendiente
COM074-000038,2024-01-13,P02,P04,96,96,8,10,completo
COM074-000039,2024-01-14,P03,P04,119,0,9,717,pendiente
COM074-000040,2024-01-14,P04,P04,191,191,10,8,completo
COM074-000041,2024-01-14,P05,P04,145,145,7,10,completo
COM074-000042,2024-01-15,P06,P04,160,160,8,2,completo
COM074-000043,2024-01-15,P07,P04,41,41,9,12,completo
COM074-000044,2024-01-15,P08,P04,94,94,10,12,completo
COM074-000045,2024-01-16,P09,P04,96,96,7,11,completo
COM074-000046,2024-01-16,P10,P04,133,133,8,9,completo
COM074-000047,2024-01-17,P11,P04,82,82,9,17,completo
COM074-000048,2024-01-17,P12,P04,67,67,10,13,completo
COM074-000049,2024-01-17,P01,P05,17,17,7,10,completo
COM074-000050,2024-01-18,P02,P05,89,89,8,11,completo
COM074-000051,2024-01-18,P03,P05,86,86,9,4,completo
COM074-000052,2024-01-18,P04,P05,176,62,10,1,parcial
COM074-000053,2024-01-19,P05,P05,111,111,7,13,completo
COM074-000054,2024-01-19,P06,P05,122,122,8,7,completo
COM074-000055,2024-01-19,P07,P05,13,13,9,9,completo
COM074-000056,2024-01-20,P08,P05,183,183,10,12,completo
COM074-000057,2024-01-20,P09,P05,135,47,7,15,parcial
COM074-000058,2024-01-20,P10,P05,70,0,8,711,pendiente
COM074-000059,2024-01-21,P11,P05,161,161,9,9,completo
COM074-000060,2024-01-21,P12,P05,82,82,10,15,completo
COM074-000061,2024-01-21,P01,P06,127,28,7,3,parcial
COM074-000062,2024-01-22,P02,P06,65,17,8,9,parcial
COM074-000063,2024-01-22,P03,P06,124,61,9,9,parcial
COM074-000064,2024-01-22,P04,P06,141,141,10,6,completo
COM074-000065,2024-01-23,P05,P06,166,54,7,5,parcial
COM074-000066,2024-01-23,P06,P06,182,182,8,5,completo
COM074-000067,2024-01-23,P07,P06,72,72,9,6,completo
COM074-000068,2024-01-24,P08,P06,17,17,10,11,completo
COM074-000069,2024-01-24,P09,P06,19,19,7,13,completo
COM074-000070,2024-01-25,P10,P06,35,35,8,14,completo
COM074-000071,2024-01-25,P11,P06,149,149,9,14,completo
COM074-000072,2024-01-25,P12,P06,181,169,10,13,parcial
COM074-000073,2024-01-26,P01,P07,60,60,7,7,completo
COM074-000074,2024-01-26,P02,P07,35,35,8,10,completo
COM074-000075,2024-01-26,P03,P07,68,68,9,10,completo
COM074-000076,2024-01-27,P04,P07,95,95,10,8,completo
COM074-000077,2024-01-27,P05,P07,121,121,7,11,completo
COM074-000078,2024-01-27,P06,P07,162,162,8,12,completo
COM074-000079,2024-01-28,P07,P07,46,46,9,6,completo
COM074-000080,2024-01-28,P08,P07,182,0,10,703,pendiente
COM074-000081,2024-01-28,P09,P07,89,89,7,5,completo
