registro_id,fecha,almacen,producto,saldo,demanda,reposicion,plazo_dias,coste_unitario
STO005-000001,2024-01-01,A1,P01,15,23,0,3,4.0
STO005-000002,2024-01-01,A2,P01,9,10,24,3,4.0
STO005-000003,2024-01-01,A3,P01,13,9,12,3,4.0
STO005-000004,2024-01-02,A1,P02,9,20,0,4,6.2
STO005-000005,2024-01-02,A2,P02,32,18,0,4,6.2
STO005-000006,2024-01-02,A3,P02,17,7,12,4,6.2
STO005-000007,2024-01-03,A1,P03,25,23,0,5,8.4
STO005-000008,2024-01-03,A2,P03,64,5,0,5,8.4
STO005-000009,2024-01-04,A3,P03,36,0,0,5,8.4
STO005-000010,2024-01-04,A1,P04,54,16,0,6,10.6
STO005-000011,2024-01-04,A2,P04,4,16,24,6,10.6
STO005-000012,2024-01-05,A3,P04,4,19,0,6,10.6
STO005-000013,2024-01-05,A1,P05,40,24,0,7,12.8
STO005-000014,2024-01-06,A2,P05,23,15,24,7,12.8
STO005-000015,2024-01-06,A3,P05,13,22,0,7,12.8
STO005-000016,2024-01-06,A1,P06,4,23,0,8,15.0
STO005-000017,2024-01-07,A2,P06,6,25,24,8,15.0
STO005-000018,2024-01-07,A3,P06,10,28,24,8,15.0
STO005-000019,2024-01-08,A1,P07,39,20,0,9,17.2
STO005-000020,2024-01-08,A2,P07,24,19,24,9,17.2
STO005-000021,2024-01-08,A3,P07,2,5,0,9,17.2
STO005-000022,2024-01-09,A1,P08,30,15,24,3,19.4
STO005-000023,2024-01-09,A2,P08,27,10,0,3,19.4
STO005-000024,2024-01-09,A3,P08,44,9,0,3,19.4
STO005-000025,2024-01-10,A1,P09,42,37,24,4,21.6
STO005-000026,2024-01-10,A2,P09,49,19,12,4,21.6
STO005-000027,2024-01-11,A3,P09,63,24,0,4,21.6
STO005-000028,2024-01-11,A1,P10,14,15,24,5,23.8
STO005-000029,2024-01-11,A2,P10,54,23,12,5,23.8
STO005-000030,2024-01-12,A3,P10,48,5,24,5,23.8
STO005-000031,2024-01-12,A1,P11,29,32,24,6,26.0
STO005-000032,2024-01-13,A2,P11,68,18,0,6,26.0
STO005-000033,2024-01-13,A3,P11,46,25,24,6,26.0
STO005-000034,2024-01-13,A1,P12,16,22,0,7,28.2
STO005-000035,2024-01-14,A2,P12,4,19,12,7,28.2
STO005-000036,2024-01-14,A3,P12,49,35,0,7,28.2
STO005-000037,2024-01-15,A1,P01,51,7,24,3,4.0
STO005-000038,2024-01-15,A2,P01,58,21,12,3,4.0
STO005-000039,2024-01-15,A3,P01,61,12,0,3,4.0
STO005-000040,2024-01-16,A1,P02,56,31,0,4,6.2
STO005-000041,2024-01-16,A2,P02,33,12,12,4,6.2
STO005-000042,2024-01-16,A3,P02,1,18,24,4,6.2
STO005-000043,2024-01-17,A1,P03,31,8,0,5,8.4
STO005-000044,2024-01-17,A2,P03,54,10,12,5,8.4
STO005-000045,2024-01-18,A3,P03,20,30,0,5,8.4
STO005-000046,2024-01-18,A1,P04,65,12,12,6,10.6
STO005-000047,2024-01-18,A2,P04,14,8,0,6,10.6
STO005-000048,2024-01-19,A3,P04,5,3,0,6,10.6
STO005-000049,2024-01-19,A1,P05,47,20,24,7,12.8
STO005-000050,2024-01-20,A2,P05,59,25,0,7,12.8
STO005-000051,2024-01-20,A3,P05,16,13,0,7,12.8
STO005-000052,2024-01-20,A1,P06,31,20,24,8,15.0
STO005-000053,2024-01-21,A2,P06,59,17,24,8,15.0
STO005-000054,2024-01-21,A3,P06,30,22,12,8,15.0
