registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL034-000001,2024-01-01,C0001,esencial,norte,7,7.96,3,0,
TEL034-000002,2024-01-01,C0002,plus,norte,8,30.6,2,0,
TEL034-000003,2024-01-01,C0003,total,sur,31,59.79,1,0,
TEL034-000004,2024-01-01,C0004,esencial,norte,80,9.25,0,0,
TEL034-000005,2024-01-01,C0005,plus,sur,17,20.52,0,0,
TEL034-000006,2024-01-01,C0006,total,norte,2,49.93,0,0,
TEL034-000007,2024-01-01,C0007,esencial,centro,75,18.46,0,0,
TEL034-000008,2024-01-01,C0008,plus,norte,70,38.01,0,0,
TEL034-000009,2024-01-01,C0009,total,sur,43,45.65,0,0,
TEL034-000010,2024-01-01,C0010,esencial,sur,87,23.93,0,0,
TEL034-000011,2024-01-01,C0011,plus,norte,89,29.38,0,0,
TEL034-000012,2024-01-01,C0012,total,sur,12,41.43,0,0,
TEL034-000013,2024-01-01,C0013,esencial,norte,5,7.84,0,0,
TEL034-000014,2024-01-01,C0014,plus,centro,70,27.8,0,0,
TEL034-000015,2024-01-01,C0015,total,centro,90,52.6,1,0,
TEL034-000016,2024-01-01,C0016,esencial,sur,51,13.77,2,0,
TEL034-000017,2024-01-01,C0017,plus,sur,60,37.81,3,0,
TEL034-000018,2024-01-01,C0018,total,sur,14,39.84,1,0,
TEL034-000019,2024-01-01,C0019,esencial,norte,35,14.61,0,1,precio
TEL034-000020,2024-01-01,C0020,plus,sur,73,46.19,0,0,
TEL034-000021,2024-01-01,C0021,total,sur,13,57.75,2,0,
TEL034-000022,2024-01-01,C0022,esencial,centro,90,13.67,0,0,
TEL034-000023,2024-01-01,C0023,plus,centro,50,36.26,1,0,
TEL034-000024,2024-01-01,C0024,total,sur,89,48.24,4,1,mudanza
TEL034-000025,2024-01-01,C0025,esencial,centro,29,10.2,0,0,
TEL034-000026,2024-01-01,C0026,plus,sur,56,19.28,1,0,
TEL034-000027,2024-01-01,C0027,total,centro,13,63.5,0,0,
TEL034-000028,2024-01-01,C0028,esencial,norte,50,16.5,4,0,
TEL034-000029,2024-01-01,C0029,plus,centro,37,35.26,2,0,
TEL034-000030,2024-01-01,C0030,total,norte,42,44.51,0,0,
TEL034-000031,2024-01-01,C0031,esencial,centro,10,14.2,1,0,
TEL034-000032,2024-01-01,C0032,plus,norte,32,22.65,0,0,
TEL034-000033,2024-01-01,C0033,total,sur,89,49.1,0,0,
TEL034-000034,2024-01-01,C0034,esencial,norte,69,17.98,3,0,
TEL034-000035,2024-01-01,C0035,plus,sur,81,32.42,0,0,
TEL034-000036,2024-01-01,C0036,total,norte,51,44.1,0,0,
TEL034-000037,2024-01-01,C0037,esencial,norte,33,13.79,0,0,
