registro_id,fecha,maquina,turno,unidades,defectos,horas,parada_min,vibracion,mantenimiento,fallo_7d,reparacion_coste
IND053-000001,2024-01-01,M1,dia,349,4,3.9,27.8,3.92,0,0,0
IND053-000002,2024-01-01,M2,dia,289,7,4.2,27.6,2.14,0,0,0
IND053-000003,2024-01-02,M3,dia,414,12,4.5,17.5,2.68,0,0,0
IND053-000004,2024-01-02,M4,dia,310,10,5.4,45.1,3.41,0,0,0
IND053-000005,2024-01-03,M5,dia,584,11,6.8,4.9,3.61,0,0,0
IND053-000006,2024-01-03,M6,dia,363,16,6.5,28.0,4.29,0,0,0
IND053-000007,2024-01-04,M1,noche,685,11,7.9,27.8,3.27,0,0,0
IND053-000008,2024-01-04,M2,noche,480,14,4.3,33.1,3.17,1,0,0
IND053-000009,2024-01-05,M3,noche,475,10,7.0,11.4,2.63,0,0,0
IND053-000010,2024-01-05,M4,noche,422,13,7.9,11.7,4.97,1,0,0
IND053-000011,2024-01-06,M5,noche,564,13,4.1,8.1,5.43,1,0,0
IND053-000012,2024-01-07,M6,noche,216,8,4.4,33.7,3.31,1,0,0
IND053-000013,2024-01-07,M1,dia,694,8,6.4,5.2,0.56,1,0,0
IND053-000014,2024-01-08,M2,dia,622,16,4.5,2.0,3.16,0,0,0
IND053-000015,2024-01-08,M3,dia,789,21,4.6,28.0,4.13,0,0,0
IND053-000016,2024-01-09,M4,dia,386,14,3.1,33.3,3.51,0,0,0
IND053-000017,2024-01-09,M5,dia,621,20,5.9,14.0,3.02,0,0,0
IND053-000018,2024-01-10,M6,dia,161,7,4.0,49.4,2.68,0,0,0
IND053-000019,2024-01-10,M1,noche,722,9,4.3,0.4,3.24,0,0,0
IND053-000020,2024-01-11,M2,noche,472,11,7.2,12.3,1.84,0,0,0
IND053-000021,2024-01-11,M3,noche,712,15,5.6,5.5,2.27,0,0,0
IND053-000022,2024-01-12,M4,noche,374,11,3.8,18.9,1.43,0,0,0
IND053-000023,2024-01-13,M5,noche,372,7,3.9,18.9,4.48,0,0,0
IND053-000024,2024-01-13,M6,noche,209,7,3.1,19.1,2.81,0,0,0
IND053-000025,2024-01-14,M1,dia,632,11,3.4,19.1,1.25,0,0,0
IND053-000026,2024-01-14,M2,dia,202,6,7.7,14.1,2.37,0,0,0
IND053-000027,2024-01-15,M3,dia,216,8,6.3,42.5,1.32,0,0,0
IND053-000028,2024-01-15,M4,dia,678,22,6.3,1.2,3.71,0,0,0
IND053-000029,2024-01-16,M5,dia,266,5,6.2,9.2,5.14,0,0,0
IND053-000030,2024-01-16,M6,dia,769,26,3.5,18.5,4.85,0,0,0
IND053-000031,2024-01-17,M1,noche,149,0,6.6,3.6,2.4,0,1,2910.96
IND053-000032,2024-01-18,M2,noche,274,8,5.3,3.3,1.52,1,0,0
IND053-000033,2024-01-18,M3,noche,191,7,7.5,33.5,2.23,0,0,0
