registro_id,fecha,ruta,transportista,distancia_km,carga_kg,tiempo_min,prometido_min,entregado
TRA028-000001,2024-01-01,R2,T1,64.7,138.0,85.8,104.4,1
TRA028-000002,2024-01-01,R6,T2,91.7,146.7,130.0,135.5,1
TRA028-000003,2024-01-02,R2,T3,3.7,90.0,44.2,34.3,1
TRA028-000004,2024-01-03,R3,T1,146.2,102.9,177.0,198.1,1
TRA028-000005,2024-01-04,R3,T2,142.4,80.8,215.4,193.8,1
TRA028-000006,2024-01-04,R2,T3,107.9,92.6,174.1,154.1,1
TRA028-000007,2024-01-05,R3,T1,133.2,45.8,141.3,183.2,1
TRA028-000008,2024-01-06,R2,T2,57.1,49.7,101.8,95.7,1
TRA028-000009,2024-01-07,R6,T3,57.0,18.1,98.7,95.5,1
TRA028-000010,2024-01-08,R1,T1,89.8,70.0,97.4,133.3,1
TRA028-000011,2024-01-08,R3,T2,61.1,73.8,108.1,100.3,1
TRA028-000012,2024-01-09,R2,T3,102.3,66.8,129.8,147.6,1
TRA028-000013,2024-01-10,R3,T1,109.8,39.1,146.4,156.3,1
TRA028-000014,2024-01-11,R3,T2,13.3,69.2,38.4,45.3,1
TRA028-000015,2024-01-12,R4,T3,82.4,93.6,124.8,124.8,1
TRA028-000016,2024-01-12,R5,T1,40.4,83.1,78.9,76.5,1
TRA028-000017,2024-01-13,R5,T2,34.5,38.6,,69.7,0
TRA028-000018,2024-01-14,R5,T3,100.2,125.3,169.1,145.2,1
TRA028-000019,2024-01-15,R4,T1,56.3,56.0,90.6,94.7,1
TRA028-000020,2024-01-15,R5,T2,49.3,75.7,68.0,86.7,1
TRA028-000021,2024-01-16,R1,T3,73.7,41.5,115.1,114.8,1
TRA028-000022,2024-01-17,R1,T1,82.0,120.5,127.6,124.3,1
TRA028-000023,2024-01-18,R1,T2,77.9,97.7,108.2,119.6,1
TRA028-000024,2024-01-19,R6,T3,50.1,142.5,109.8,87.6,1
TRA028-000025,2024-01-19,R2,T1,44.3,32.8,64.6,80.9,1
TRA028-000026,2024-01-20,R2,T2,6.6,72.0,5,37.6,1
TRA028-000027,2024-01-21,R2,T3,40.1,109.2,80.8,76.1,1
TRA028-000028,2024-01-22,R6,T1,80.0,56.7,128.4,122.0,1
TRA028-000029,2024-01-23,R6,T2,56.7,124.1,105.7,95.2,1
TRA028-000030,2024-01-23,R5,T3,103.3,97.3,120.7,148.8,1
TRA028-000031,2024-01-24,R2,T1,39.7,62.1,46.2,75.7,1
TRA028-000032,2024-01-25,R1,T2,145.6,106.5,196.6,197.4,1
TRA028-000033,2024-01-26,R5,T3,93.9,24.9,131.0,138.0,1
TRA028-000034,2024-01-26,R5,T1,64.7,105.4,125.6,104.4,1
TRA028-000035,2024-01-27,R1,T2,101.7,124.0,173.7,147.0,1
TRA028-000036,2024-01-28,R5,T3,144.9,9.5,203.7,196.6,1
TRA028-000037,2024-01-29,R1,T1,140.4,38.6,179.0,191.5,1
TRA028-000038,2024-01-30,R4,T2,61.5,107.8,103.1,100.7,1
TRA028-000039,2024-01-30,R3,T3,10.8,57.1,30.3,42.4,1
TRA028-000040,2024-01-31,R6,T1,64.4,141.8,109.7,104.1,1
TRA028-000041,2024-02-01,R6,T2,82.5,138.0,127.9,124.9,1
TRA028-000042,2024-02-02,R4,T3,44.8,37.6,56.3,81.5,1
TRA028-000043,2024-02-03,R1,T1,149.8,110.8,194.9,202.3,1
TRA028-000044,2024-02-03,R6,T2,77.2,115.9,112.7,118.8,1
TRA028-000045,2024-02-04,R4,T3,32.2,73.0,90.7,67.0,1
TRA028-000046,2024-02-05,R1,T1,109.3,51.6,117.4,155.7,1
TRA028-000047,2024-02-06,R1,T2,128.3,109.7,179.7,177.5,1
TRA028-000048,2024-02-06,R2,T3,107.8,14.7,190.3,154.0,1
TRA028-000049,2024-02-07,R3,T1,57.8,128.9,89.2,96.5,1
TRA028-000050,2024-02-08,R1,T2,29.2,108.7,61.0,63.6,1
TRA028-000051,2024-02-09,R3,T3,62.0,95.9,,101.3,0
TRA028-000052,2024-02-10,R2,T1,35.8,76.8,62.6,71.2,1
TRA028-000053,2024-02-10,R3,T2,43.5,12.8,38.6,80.0,1
TRA028-000054,2024-02-11,R3,T3,90.3,10.6,113.8,133.8,1
TRA028-000055,2024-02-12,R4,T1,4.3,68.0,31.4,34.9,1
TRA028-000056,2024-02-13,R4,T2,9.0,108.5,59.7,40.4,1
TRA028-000057,2024-02-14,R3,T3,129.9,3.5,179.9,179.4,1
