registro_id,fecha,tienda,producto,unidades,precio,descuento,estado
CAJ002-000001,2024-01-01,T1,P01,9,9.4,0.2,completada
CAJ002-000002,2024-01-01,T2,P12,1,52.56,0.05,completada
CAJ002-000003,2024-01-02,T3,P08,9,37.88,0.15,completada
CAJ002-000004,2024-01-02,T1,P04,1,20.41,0.05,completada
CAJ002-000005,2024-01-03,T2,P02,6,13.79,0.15,completada
CAJ002-000006,2024-01-03,T3,P05,8,25.0,0.1,completada
CAJ002-000007,2024-01-04,T1,P08,8,37.93,0.15,completada
CAJ002-000008,2024-01-05,T2,P05,1,24.33,0.1,completada
CAJ002-000009,2024-01-05,T3,P12,7,53.01,0.1,completada
CAJ002-000010,2024-01-06,T1,P08,9,36.84,0.2,completada
CAJ002-000011,2024-01-06,T2,P02,1,12.45,0.05,completada
CAJ002-000012,2024-01-07,T3,P05,7,24.25,0.1,completada
CAJ002-000013,2024-01-08,T1,P01,5,8.38,0.15,completada
CAJ002-000014,2024-01-08,T2,P10,6,44.97,0.2,completada
CAJ002-000015,2024-01-09,T3,P04,6,21.9,0.1,completada
CAJ002-000016,2024-01-09,T1,P05,7,24.04,0.2,completada
CAJ002-000017,2024-01-10,T2,P12,4,52.63,0.05,completada
CAJ002-000018,2024-01-10,T3,P12,7,53.01,0.15,completada
CAJ002-000019,2024-01-11,T1,P01,2,8.58,0.1,completada
CAJ002-000020,2024-01-12,T2,P11,2,49.47,0.1,completada
CAJ002-000021,2024-01-12,T3,P09,1,41.33,0.05,completada
CAJ002-000022,2024-01-13,T1,P11,1,48.18,0.1,completada
CAJ002-000023,2024-01-13,T2,P05,9,24.21,0.1,completada
CAJ002-000024,2024-01-14,T3,P09,1,40.58,0.1,anulada
CAJ002-000025,2024-01-15,T1,P08,7,36.9,0.1,completada
CAJ002-000026,2024-01-15,T2,P07,6,32.99,0.2,completada
CAJ002-000027,2024-01-16,T3,P01,7,8.47,0.15,completada
CAJ002-000028,2024-01-16,T1,P06,2,28.92,0.1,completada
CAJ002-000029,2024-01-17,T2,P02,3,13.46,0.05,completada
CAJ002-000030,2024-01-17,T3,P02,5,13.13,0.15,completada
CAJ002-000031,2024-01-18,T1,P06,3,28.04,0,completada
CAJ002-000032,2024-01-19,T2,P03,4,17.17,0,completada
CAJ002-000033,2024-01-19,T3,P12,5,52.12,0.15,completada
CAJ002-000034,2024-01-20,T1,P06,4,29.8,0.05,completada
CAJ002-000035,2024-01-20,T2,P10,4,44.87,0,completada
CAJ002-000036,2024-01-21,T3,P12,6,53.53,0.1,completada
