registro_id,fecha,sede,modalidad,asistencia_pct,nota_inicial,nota_final,horas_estudio,tutorias
NOT004-000001,2024-01-01,S1,virtual,79.3,11.5,10.2,2.7,1
NOT004-000002,2024-01-01,S2,presencial,83.4,9.9,11.3,9.2,8
NOT004-000003,2024-01-01,S3,presencial,51.5,10.1,7.0,7.3,1
NOT004-000004,2024-01-02,S1,virtual,83.6,8.5,7.4,2.3,7
NOT004-000005,2024-01-02,S2,virtual,80.8,11.0,16.4,11.2,2
NOT004-000006,2024-01-03,S3,virtual,85.3,6.7,10.9,10.9,10
NOT004-000007,2024-01-03,S1,virtual,52.7,8.9,9.5,9.7,8
NOT004-000008,2024-01-04,S2,presencial,92.3,7.5,12.4,1.9,5
NOT004-000009,2024-01-04,S3,virtual,58.1,14.6,8.8,6.7,0
NOT004-000010,2024-01-04,S1,presencial,70.4,12.5,15.6,11.1,0
NOT004-000011,2024-01-05,S2,presencial,89.3,12.9,10.6,1.2,0
NOT004-000012,2024-01-05,S3,presencial,61.6,9.8,11.1,7.8,4
NOT004-000013,2024-01-06,S1,virtual,92.4,9.1,14.8,5.9,9
NOT004-000014,2024-01-06,S2,virtual,56.7,10.4,9.6,6.8,0
NOT004-000015,2024-01-07,S3,presencial,72.2,14.6,12.1,10.1,1
NOT004-000016,2024-01-07,S1,presencial,67.2,13.4,12.2,3.6,3
NOT004-000017,2024-01-08,S2,presencial,86.1,13.3,11.7,10.6,2
NOT004-000018,2024-01-08,S3,virtual,69.5,10.9,12.9,4.7,0
NOT004-000019,2024-01-08,S1,presencial,56.3,11.6,14.3,7.9,2
NOT004-000020,2024-01-09,S2,virtual,84.5,10.6,8.1,4.2,0
NOT004-000021,2024-01-09,S3,virtual,86.4,14.9,12.3,4.4,2
NOT004-000022,2024-01-10,S1,virtual,65.7,13.8,15.0,10.7,3
NOT004-000023,2024-01-10,S2,virtual,80.8,9.6,9.1,9.5,2
NOT004-000024,2024-01-11,S3,virtual,96.6,9.9,15.3,7.3,8
NOT004-000025,2024-01-11,S1,virtual,77.4,11.0,11.4,0.6,1
NOT004-000026,2024-01-11,S2,virtual,84.6,12.2,12.7,3.4,1
NOT004-000027,2024-01-12,S3,presencial,82.1,11.9,8.8,6.6,2
NOT004-000028,2024-01-12,S1,presencial,55.2,14.4,13.8,1.4,0
NOT004-000029,2024-01-13,S2,presencial,68.4,13.5,15.5,10.4,1
NOT004-000030,2024-01-13,S3,virtual,45.8,13.5,13.1,11.0,2
NOT004-000031,2024-01-14,S1,presencial,73.0,5.8,9.8,9.0,10
NOT004-000032,2024-01-14,S2,presencial,79.2,10.9,12.1,9.6,0
NOT004-000033,2024-01-15,S3,presencial,100,9.6,10.3,2.4,8
NOT004-000034,2024-01-15,S1,presencial,69.6,13.8,11.5,5.2,0
NOT004-000035,2024-01-15,S2,virtual,64.7,15.6,12.8,11.0,0
NOT004-000036,2024-01-16,S3,presencial,92.7,8.8,11.7,5.8,3
NOT004-000037,2024-01-16,S1,virtual,94.4,17.8,14.3,9.3,0
NOT004-000038,2024-01-17,S2,virtual,53.9,10.3,14.7,10.2,3
NOT004-000039,2024-01-17,S3,virtual,54.6,18.0,10.3,8.5,1
NOT004-000040,2024-01-18,S1,presencial,71.0,12.5,11.3,4.0,2
NOT004-000041,2024-01-18,S2,virtual,74.7,13.4,17.1,10.4,1
NOT004-000042,2024-01-18,S3,presencial,53.7,18.1,19.4,11.4,0
NOT004-000043,2024-01-19,S1,virtual,84.1,11.3,13.0,0.5,3
NOT004-000044,2024-01-19,S2,virtual,86.9,13.7,14.5,8.3,0
NOT004-000045,2024-01-20,S3,presencial,77.7,14.9,12.5,1.6,1
NOT004-000046,2024-01-20,S1,virtual,53.2,8.9,12.5,8.9,8
NOT004-000047,2024-01-21,S2,presencial,49.0,16.3,16.7,6.4,1
NOT004-000048,2024-01-21,S3,presencial,74.5,5.3,10.2,6.0,7
