registro_id,fecha,distrito,kg,reciclable_kg,habitantes,km,cobertura_pct
RES037-000001,2024-01-01,norte,201.3,42.3,2400,21.9,60
RES037-000002,2024-01-01,centro,1222.0,264.1,6000,8.7,100
RES037-000003,2024-01-01,sur,744.5,186.9,3600,20.4,100
RES037-000004,2024-01-02,norte,284.3,49.6,2400,25.7,60
RES037-000005,2024-01-02,centro,848.8,211.1,6000,26.9,80
RES037-000006,2024-01-02,sur,418.7,87.0,3600,28.0,60
RES037-000007,2024-01-03,norte,427.6,77.4,2400,13.0,100
RES037-000008,2024-01-03,centro,1126.7,259.6,6000,26.3,100
RES037-000009,2024-01-03,sur,591.2,141.3,3600,13.7,100
RES037-000010,2024-01-04,norte,336.6,58.0,2400,27.9,80
RES037-000011,2024-01-04,centro,836.8,153.4,6000,29.2,80
RES037-000012,2024-01-04,sur,464.8,90.0,3600,22.6,60
RES037-000013,2024-01-05,norte,270.2,39.2,2400,19.7,60
RES037-000014,2024-01-05,centro,674.8,121.9,6000,28.0,60
RES037-000015,2024-01-05,sur,535.4,111.0,3600,29.1,80
RES037-000016,2024-01-06,norte,357.0,62.4,2400,14.5,100
RES037-000017,2024-01-06,centro,1107.8,240.0,6000,18.5,100
RES037-000019,2024-01-07,norte,410.4,72.0,2400,13.3,100
RES037-000020,2024-01-07,centro,1092.9,253.3,6000,16.5,100
RES037-000021,2024-01-07,sur,661.7,143.8,3600,28.3,100
RES037-000022,2024-01-08,norte,431.4,86.1,2400,25.0,80
RES037-000023,2024-01-08,centro,1243.4,239.6,6000,28.1,100
RES037-000024,2024-01-08,sur,691.1,180.2,3600,19.5,80
RES037-000025,2024-01-09,norte,383.1,68.3,2400,22.4,80
RES037-000026,2024-01-09,centro,862.1,175.7,6000,13.6,80
RES037-000027,2024-01-09,sur,392.8,80.9,3600,23.7,60
RES037-000028,2024-01-10,norte,495.5,89.3,2400,14.4,100
RES037-000029,2024-01-10,centro,1073.2,260.1,6000,12.9,100
RES037-000030,2024-01-10,sur,473.9,126.4,3600,23.7,60
RES037-000031,2024-01-11,norte,463.7,77.4,2400,21.6,100
RES037-000032,2024-01-11,centro,907.1,158.7,6000,23.2,80
RES037-000033,2024-01-11,sur,618.7,151.6,3600,19.2,100
RES037-000034,2024-01-12,norte,450.1,93.9,2400,22.1,100
RES037-000035,2024-01-12,centro,800.0,152.3,6000,19.6,80
RES037-000036,2024-01-12,sur,635.1,147.7,3600,21.7,100
RES037-000037,2024-01-13,norte,232.3,46.4,2400,10.1,60
RES037-000038,2024-01-13,centro,1034.2,253.7,6000,29.7,100
RES037-000039,2024-01-13,sur,684.1,167.6,3600,14.1,100
RES037-000040,2024-01-14,norte,487.2,107.3,2400,11.2,100
RES037-000041,2024-01-14,centro,1043.8,183.5,6000,25.6,100
RES037-000042,2024-01-14,sur,656.9,169.6,3600,13.1,100
RES037-000043,2024-01-15,norte,317.0,64.0,2400,10.6,60
RES037-000044,2024-01-15,centro,720.1,137.8,6000,19.9,60
RES037-000045,2024-01-15,sur,792.3,191.9,3600,13.6,100
RES037-000046,2024-01-16,norte,410.4,85.3,2400,26.8,100
RES037-000047,2024-01-16,centro,1072.0,226.2,6000,15.8,100
RES037-000048,2024-01-16,sur,670.9,147.0,3600,16.5,100
RES037-000049,2024-01-17,norte,370.4,64.3,2400,27.6,100
RES037-000050,2024-01-17,centro,853.2,203.5,6000,18.9,80
RES037-000051,2024-01-17,sur,634.7,141.7,3600,8.0,100
RES037-000052,2024-01-18,norte,235.9,40.6,2400,17.1,60
RES037-000053,2024-01-18,centro,1162.3,254.1,6000,9.7,100
RES037-000054,2024-01-18,sur,643.0,134.9,3600,19.6,100
RES037-000055,2024-01-19,norte,392.8,76.4,2400,20.3,100
RES037-000056,2024-01-19,centro,1159.7,240.0,6000,9.8,100
RES037-000057,2024-01-19,sur,595.9,115.1,3600,9.0,100
RES037-000058,2024-01-20,norte,419.3,94.4,2400,21.2,100
RES037-000059,2024-01-20,centro,794.7,161.1,6000,22.1,80
RES037-000060,2024-01-20,sur,688.7,141.9,3600,22.6,100
RES037-000061,2024-01-21,norte,435.9,84.8,2400,25.4,100
RES037-000062,2024-01-21,centro,1069.9,248.1,6000,9.5,100
RES037-000063,2024-01-21,sur,322.0,69.6,3600,25.8,60
RES037-000064,2024-01-22,norte,385.2,78.9,2400,27.1,80
RES037-000065,2024-01-22,centro,1040.4,216.7,6000,27.8,80
RES037-000066,2024-01-22,sur,794.0,164.1,3600,22.1,100
RES037-000067,2024-01-23,norte,414.4,102.6,2400,13.9,100
RES037-000068,2024-01-23,centro,883.1,210.3,6000,8.7,80
RES037-000069,2024-01-23,sur,642.6,157.0,3600,19.7,100
RES037-000070,2024-01-24,norte,350.4,57.2,2400,21.9,100
RES037-000072,2024-01-24,sur,576.2,119.9,3600,14.6,80
RES037-000073,2024-01-25,norte,400.1,83.7,2400,29.3,100
RES037-000074,2024-01-25,centro,648.2,152.3,6000,9.3,60
RES037-000075,2024-01-25,sur,672.9,141.8,3600,19.9,100
RES037-000076,2024-01-26,norte,205.4,45.3,2400,23.1,60
RES037-000077,2024-01-26,centro,1032.5,201.0,6000,22.8,100
RES037-000078,2024-01-26,sur,508.0,112.8,3600,24.9,80
RES037-000079,2024-01-27,norte,340.5,62.5,2400,24.5,80
RES037-000080,2024-01-27,centro,1042.9,226.7,6000,22.1,100
RES037-000081,2024-01-27,sur,483.1,94.8,3600,28.5,80
RES037-000082,2024-01-28,norte,414.2,76.1,2400,16.2,80
RES037-000083,2024-01-28,centro,1103.6,199.5,6000,10.4,100
RES037-000084,2024-01-28,sur,,113.3,3600,28.8,80
RES037-000085,2024-01-29,norte,449.1,89.6,2400,10.3,80
RES037-000086,2024-01-29,centro,757.0,182.6,6000,18.2,60
RES037-000087,2024-01-29,sur,530.3,133.8,3600,14.2,80
RES037-000088,2024-01-30,norte,473.7,78.3,2400,18.1,100
RES037-000089,2024-01-30,centro,1132.9,215.9,6000,22.0,100
RES037-000090,2024-01-30,sur,683.7,159.3,3600,17.6,100
RES037-000091,2024-01-31,norte,506.9,103.8,2400,24.6,100
RES037-000092,2024-01-31,centro,1075.7,249.1,6000,17.9,100
RES037-000093,2024-01-31,sur,601.4,128.0,3600,25.5,100
RES037-000094,2024-02-01,norte,188.4,34.0,2400,23.6,60
RES037-000095,2024-02-01,centro,669.4,134.2,6000,9.0,60
RES037-000096,2024-02-01,sur,707.5,184.1,3600,16.3,100
RES037-000097,2024-02-02,norte,451.0,97.6,2400,27.2,100
RES037-000098,2024-02-02,centro,1014.2,164.6,6000,28.6,100
RES037-000099,2024-02-02,sur,380.4,75.1,3600,18.3,60
RES037-000100,2024-02-03,norte,350.9,65.3,2400,19.5,80
