registro_id,fecha,muestra,replica,instrumento,concentracion,limite,bajo_limite,unidad
LAB018-000001,2024-01-01,Q00001,1,A,23.966,2,0,mg/L
LAB018-000002,2024-01-01,Q00001,2,A,24.692,2,0,mg/L
LAB018-000003,2024-01-01,Q00001,3,A,23.72,2,0,mg/L
LAB018-000004,2024-01-01,Q00001,1,B,25.646,3,0,mg/L
LAB018-000005,2024-01-01,Q00001,2,B,25.944,3,0,mg/L
LAB018-000006,2024-01-01,Q00001,3,B,26.171,3,0,mg/L
LAB018-000007,2024-01-01,Q00002,1,A,21.124,2,0,mg/L
LAB018-000008,2024-01-01,Q00002,2,A,20.738,2,0,mg/L
LAB018-000009,2024-01-01,Q00002,3,A,19.997,2,0,mg/L
LAB018-000010,2024-01-01,Q00002,1,B,22.727,3,0,mg/L
LAB018-000011,2024-01-01,Q00002,2,B,22.239,3,0,mg/L
LAB018-000012,2024-01-01,Q00002,3,B,21.171,3,0,mg/L
LAB018-000013,2024-01-01,Q00003,1,A,9.448,2,0,mg/L
LAB018-000014,2024-01-01,Q00003,2,A,10.473,2,0,mg/L
LAB018-000015,2024-01-01,Q00003,3,A,8.946,2,0,mg/L
LAB018-000016,2024-01-01,Q00003,1,B,10.18,3,0,mg/L
LAB018-000017,2024-01-01,Q00003,2,B,9.184,3,0,mg/L
LAB018-000018,2024-01-01,Q00003,3,B,9.567,3,0,mg/L
LAB018-000019,2024-01-01,Q00004,1,A,3.902,2,0,mg/L
LAB018-000020,2024-01-01,Q00004,2,A,3.822,2,0,mg/L
LAB018-000021,2024-01-01,Q00004,3,A,3.456,2,0,mg/L
LAB018-000022,2024-01-01,Q00004,1,B,4.265,3,0,mg/L
LAB018-000023,2024-01-01,Q00004,2,B,3.751,3,0,mg/L
LAB018-000024,2024-01-01,Q00004,3,B,3.967,3,0,mg/L
LAB018-000025,2024-01-02,Q00005,1,A,4.496,2,0,mg/L
LAB018-000026,2024-01-02,Q00005,2,A,3.831,2,0,mg/L
LAB018-000027,2024-01-02,Q00005,3,A,4.748,2,0,mg/L
LAB018-000028,2024-01-02,Q00005,1,B,4.964,3,0,mg/L
LAB018-000029,2024-01-02,Q00005,2,B,4.677,3,0,mg/L
LAB018-000030,2024-01-02,Q00005,3,B,5.414,3,0,mg/L
LAB018-000031,2024-01-02,Q00006,1,A,2.257,2,0,mg/L
LAB018-000032,2024-01-02,Q00006,2,A,2.367,2,0,mg/L
LAB018-000033,2024-01-02,Q00006,3,A,,2,1,mg/L
LAB018-000034,2024-01-02,Q00006,1,B,,3,1,mg/L
LAB018-000035,2024-01-02,Q00006,2,B,3.147,3,0,mg/L
LAB018-000036,2024-01-02,Q00006,3,B,,3,1,mg/L
LAB018-000037,2024-01-02,Q00007,1,A,9.455,2,0,mg/L
LAB018-000038,2024-01-02,Q00007,2,A,11.469,2,0,mg/L
LAB018-000039,2024-01-02,Q00007,3,A,10.399,2,0,mg/L
LAB018-000040,2024-01-02,Q00007,1,B,10.801,3,0,mg/L
LAB018-000041,2024-01-02,Q00007,2,B,10.429,3,0,mg/L
LAB018-000042,2024-01-02,Q00007,3,B,11.641,3,0,mg/L
LAB018-000043,2024-01-02,Q00008,1,A,9.578,2,0,mg/L
LAB018-000044,2024-01-02,Q00008,2,A,9.84,2,0,mg/L
LAB018-000045,2024-01-02,Q00008,3,A,9.168,2,0,mg/L
LAB018-000046,2024-01-02,Q00008,1,B,11.89,3,0,mg/L
LAB018-000047,2024-01-02,Q00008,2,B,11.806,3,0,mg/L
LAB018-000048,2024-01-02,Q00008,3,B,10.357,3,0,mg/L
LAB018-000049,2024-01-03,Q00009,1,A,2.961,2,0,mg/L
LAB018-000050,2024-01-03,Q00009,2,A,3.576,2,0,mg/L
LAB018-000051,2024-01-03,Q00009,3,A,,2,1,mg/L
LAB018-000052,2024-01-03,Q00009,1,B,3.345,3,0,mg/L
LAB018-000053,2024-01-03,Q00009,2,B,4.389,3,0,mg/L
LAB018-000054,2024-01-03,Q00009,3,B,4.059,3,0,mg/L
LAB018-000055,2024-01-03,Q00010,1,A,13.183,2,0,mg/L
LAB018-000056,2024-01-03,Q00010,2,A,12.535,2,0,mg/L
LAB018-000057,2024-01-03,Q00010,3,A,11.866,2,0,mg/L
LAB018-000058,2024-01-03,Q00010,1,B,13.413,3,0,mg/L
LAB018-000059,2024-01-03,Q00010,2,B,13.468,3,0,mg/L
LAB018-000060,2024-01-03,Q00010,3,B,13.245,3,0,mg/L
LAB018-000061,2024-01-03,Q00011,1,A,2.319,2,0,mg/L
LAB018-000062,2024-01-03,Q00011,2,A,,2,1,mg/L
LAB018-000063,2024-01-03,Q00011,3,A,3.029,2,0,mg/L
LAB018-000064,2024-01-03,Q00011,1,B,3.41,3,0,mg/L
LAB018-000065,2024-01-03,Q00011,2,B,,3,1,mg/L
LAB018-000066,2024-01-03,Q00011,3,B,4.108,3,0,mg/L
LAB018-000067,2024-01-03,Q00012,1,A,7.154,2,0,mg/L
LAB018-000068,2024-01-03,Q00012,2,A,7.671,2,0,mg/L
LAB018-000069,2024-01-03,Q00012,3,A,7.057,2,0,mg/L
LAB018-000070,2024-01-03,Q00012,1,B,8.925,3,0,mg/L
LAB018-000071,2024-01-03,Q00012,2,B,8.167,3,0,mg/L
LAB018-000072,2024-01-03,Q00012,3,B,,3,0,mg/L
LAB018-000073,2024-01-04,Q00013,1,A,2.793,2,0,mg/L
LAB018-000074,2024-01-04,Q00013,2,A,2.207,2,0,mg/L
LAB018-000075,2024-01-04,Q00013,3,A,2.738,2,0,mg/L
LAB018-000076,2024-01-04,Q00013,1,B,3.217,3,0,mg/L
LAB018-000077,2024-01-04,Q00013,2,B,4.095,3,0,mg/L
LAB018-000078,2024-01-04,Q00013,3,B,,3,1,mg/L
LAB018-000079,2024-01-04,Q00014,1,A,11.601,2,0,mg/L
LAB018-000080,2024-01-04,Q00014,2,A,11.324,2,0,mg/L
LAB018-000081,2024-01-04,Q00014,3,A,10.096,2,0,mg/L
LAB018-000082,2024-01-04,Q00014,1,B,11.616,3,0,mg/L
LAB018-000083,2024-01-04,Q00014,2,B,12.222,3,0,mg/L
LAB018-000084,2024-01-04,Q00014,3,B,11.041,3,0,mg/L
LAB018-000085,2024-01-04,Q00015,1,A,33.225,2,0,mg/L
LAB018-000086,2024-01-04,Q00015,2,A,33.124,2,0,mg/L
LAB018-000087,2024-01-04,Q00015,3,A,33.515,2,0,mg/L
LAB018-000088,2024-01-04,Q00015,1,B,33.654,3,0,mg/L
LAB018-000089,2024-01-04,Q00015,2,B,33.647,3,0,mg/L
LAB018-000090,2024-01-04,Q00015,3,B,34.684,3,0,mg/L
LAB018-000091,2024-01-04,Q00016,1,A,7.463,2,0,mg/L
LAB018-000092,2024-01-04,Q00016,2,A,8.257,2,0,mg/L
