registro_id,fecha,maquina,turno,unidades,defectos,horas,parada_min,vibracion,mantenimiento,fallo_7d,reparacion_coste
IND070-000001,2024-01-01,M1,dia,305,3,7.8,42.9,3.68,1,0,0
IND070-000002,2024-01-01,M2,dia,196,5,3.3,17.4,2.67,1,0,0
IND070-000003,2024-01-01,M3,dia,227,8,3.8,4.7,4.91,1,0,0
IND070-000004,2024-01-02,M4,dia,333,15,7.5,9.8,1.95,0,0,0
IND070-000005,2024-01-02,M5,dia,745,20,4.1,7.8,4.45,1,0,0
IND070-000006,2024-01-02,M6,dia,124,5,7.8,10.7,2.6,0,0,0
IND070-000007,2024-01-03,M1,noche,329,6,6.6,4.8,2.64,0,0,0
IND070-000008,2024-01-03,M2,noche,310,9,3.1,3.4,1.08,0,0,0
IND070-000009,2024-01-03,M3,noche,166,4,4.2,61.9,3.95,0,0,0
IND070-000010,2024-01-04,M4,noche,762,22,3.4,3.3,2.7,1,0,0
IND070-000011,2024-01-04,M5,noche,303,11,4.8,19.6,4.09,1,0,0
IND070-000012,2024-01-04,M6,noche,722,32,3.9,23.8,2.22,0,0,0
IND070-000013,2024-01-05,M1,dia,295,5,5.0,12.9,2.91,0,0,0
IND070-000014,2024-01-05,M2,dia,222,5,5.0,6.1,2.3,0,0,0
IND070-000015,2024-01-05,M3,dia,684,15,5.1,64.0,2.75,0,0,0
IND070-000016,2024-01-06,M4,dia,140,6,6.5,9.8,4.11,0,0,0
IND070-000017,2024-01-06,M5,dia,137,6,6.7,6.3,3.35,0,0,0
IND070-000018,2024-01-06,M6,dia,452,22,5.3,24.5,3.18,0,0,0
IND070-000019,2024-01-07,M1,noche,92,1,6.5,4.8,0.1,0,0,0
IND070-000020,2024-01-07,M2,noche,202,7,3.1,11.9,3.26,0,0,0
IND070-000021,2024-01-07,M3,noche,91,1,7.8,62.8,5.52,0,1,915.74
IND070-000022,2024-01-08,M4,noche,146,2,6.9,19.5,0.54,0,0,0
IND070-000023,2024-01-08,M5,noche,671,16,6.5,3.3,3.88,0,0,0
