registro_id	fecha	sensor	zona	valor	unidad	horas_operativas
SEN046-000001	2024-01-01	S1	norte	17.7	C	12
SEN046-000002	2024-01-01	S2	centro	19.13	C	18
SEN046-000003	2024-01-01	S3	sur	74.78	F	12
SEN046-000004	2024-01-02	S1	norte	19.26	C	24
SEN046-000005	2024-01-02	S2	centro	20.05	C	24
SEN046-000006	2024-01-02	S3	sur	74.4	F	24
SEN046-000007	2024-01-03	S1	norte	21.25	C	24
SEN046-000008	2024-01-03	S2	centro	21.0	C	24
SEN046-000009	2024-01-03	S3	sur	78.64	F	24
SEN046-000010	2024-01-04	S1	norte	17.68	C	24
SEN046-000011	2024-01-04	S2	centro	19.13	C	18
SEN046-000012	2024-01-04	S3	sur	75.07	F	12
SEN046-000013	2024-01-05	S1	norte	20.46	C	24
SEN046-000014	2024-01-05	S2	centro	20.87	C	24
SEN046-000015	2024-01-05	S3	sur	71.82	F	6
SEN046-000016	2024-01-06	S1	norte	22.33	C	18
SEN046-000017	2024-01-06	S2	centro	21.82	C	24
SEN046-000019	2024-01-07	S1	norte	20.02	C	24
SEN046-000020	2024-01-07	S2	centro	21.53	C	24
SEN046-000021	2024-01-07	S3	sur	68.23	F	24
SEN046-000022	2024-01-08	S1	norte	14.11	C	24
SEN046-000023	2024-01-08	S2	centro	22.72	C	24
SEN046-000024	2024-01-08	S3	sur	74.66	F	24
SEN046-000025	2024-01-09	S1	norte	17.9	C	24
SEN046-000026	2024-01-09	S2	centro	22.19	C	18
SEN046-000027	2024-01-09	S3	sur	76.35	F	12
SEN046-000028	2024-01-10	S1	norte	21.42	C	24
SEN046-000029	2024-01-10	S2	centro	23.04	C	12
SEN046-000030	2024-01-10	S3	sur	76.18	F	18
SEN046-000031	2024-01-11	S1	norte	21.15	C	18
SEN046-000032	2024-01-11	S2	centro	23.06	C	24
SEN046-000033	2024-01-11	S3	sur	77.75	F	18
SEN046-000034	2024-01-12	S1	norte	21.32	C	18
SEN046-000035	2024-01-12	S2	centro	19.61	C	24
SEN046-000036	2024-01-12	S3	sur	74.58	F	24
SEN046-000037	2024-01-13	S1	norte	17.98	C	18
SEN046-000038	2024-01-13	S2	centro	20.26	C	24
SEN046-000039	2024-01-13	S3	sur	75.29	F	6
SEN046-000040	2024-01-14	S1	norte	20.61	C	24
SEN046-000041	2024-01-14	S2	centro	20.09	C	6
SEN046-000042	2024-01-14	S3	sur	78.18	F	24
SEN046-000043	2024-01-15	S1	norte	19.91	C	6
SEN046-000044	2024-01-15	S2	centro	22.0	C	24
SEN046-000045	2024-01-15	S3	sur	77.24	F	6
SEN046-000046	2024-01-16	S1	norte	21.09	C	24
SEN046-000047	2024-01-16	S2	centro	16.82	C	6
SEN046-000048	2024-01-16	S3	sur	76.53	F	12
SEN046-000049	2024-01-17	S1	norte	20.64	C	24
SEN046-000050	2024-01-17	S2	centro	21.09	C	18
SEN046-000051	2024-01-17	S3	sur	75.74	F	24
SEN046-000052	2024-01-18	S1	norte	22.12	C	6
SEN046-000053	2024-01-18	S2	centro	22.52	C	24
SEN046-000054	2024-01-18	S3	sur	78.74	F	12
SEN046-000055	2024-01-19	S1	norte	18.03	C	24
SEN046-000056	2024-01-19	S2	centro	23.71	C	18
SEN046-000057	2024-01-19	S3	sur	79.77	F	24
SEN046-000058	2024-01-20	S1	norte	24.97	C	24
SEN046-000059	2024-01-20	S2	centro	24.81	C	12
