registro_id,fecha,proveedor,producto,solicitado,recibido,prometido_dias,plazo_dias,estado
COM039-000001,2024-01-01,P01,P01,46,46,7,10,completo
COM039-000002,2024-01-01,P02,P01,173,173,8,10,completo
COM039-000003,2024-01-02,P03,P01,47,0,9,729,pendiente
COM039-000004,2024-01-02,P04,P01,77,77,10,8,completo
COM039-000005,2024-01-03,P05,P01,81,2,7,13,parcial
COM039-000006,2024-01-04,P06,P01,43,43,8,7,completo
COM039-000007,2024-01-04,P07,P01,63,63,9,11,completo
COM039-000008,2024-01-05,P08,P01,128,128,10,16,completo
COM039-000009,2024-01-06,P09,P01,45,45,7,10,completo
COM039-000010,2024-01-06,P10,P01,50,50,8,7,completo
COM039-000011,2024-01-07,P11,P01,123,123,9,15,completo
COM039-000012,2024-01-08,P12,P01,168,5,10,15,parcial
COM039-000013,2024-01-08,P01,P02,75,75,7,7,completo
COM039-000014,2024-01-09,P02,P02,187,187,8,12,completo
COM039-000015,2024-01-10,P03,P02,39,39,9,7,completo
COM039-000016,2024-01-10,P04,P02,65,65,10,12,completo
COM039-000017,2024-01-11,P05,P02,77,77,7,2,completo
COM039-000018,2024-01-12,P06,P02,158,158,8,8,completo
COM039-000019,2024-01-12,P07,P02,86,86,9,13,completo
COM039-000020,2024-01-13,P08,P02,147,136,10,13,parcial
COM039-000021,2024-01-14,P09,P02,152,152,7,11,completo
COM039-000022,2024-01-14,P10,P02,151,0,8,717,pendiente
COM039-000023,2024-01-15,P11,P02,165,0,9,716,pendiente
COM039-000024,2024-01-16,P12,P02,191,191,10,10,completo
COM039-000025,2024-01-16,P01,P03,188,188,7,11,completo
COM039-000026,2024-01-17,P02,P03,117,117,8,6,completo
COM039-000027,2024-01-18,P03,P03,82,82,9,9,completo
COM039-000028,2024-01-18,P04,P03,187,0,10,713,pendiente
COM039-000029,2024-01-19,P05,P03,129,129,7,5,completo
COM039-000030,2024-01-20,P06,P03,76,76,8,5,completo
COM039-000031,2024-01-20,P07,P03,104,104,9,11,completo
COM039-000032,2024-01-21,P08,P03,128,112,10,13,parcial
COM039-000033,2024-01-22,P09,P03,193,0,7,709,pendiente
COM039-000034,2024-01-22,P10,P03,80,80,8,16,completo
COM039-000035,2024-01-23,P11,P03,27,13,9,12,parcial
COM039-000036,2024-01-24,P12,P03,141,141,10,10,completo
COM039-000037,2024-01-24,P01,P04,167,167,7,4,completo
COM039-000038,2024-01-25,P02,P04,166,166,8,8,completo
COM039-000039,2024-01-26,P03,P04,166,166,9,9,completo
COM039-000040,2024-01-26,P04,P04,117,0,10,705,pendiente
COM039-000041,2024-01-27,P05,P04,185,0,7,704,pendiente
COM039-000042,2024-01-28,P06,P04,14,14,8,9,completo
COM039-000043,2024-01-28,P07,P04,74,74,9,11,completo
COM039-000044,2024-01-29,P08,P04,160,160,10,12,completo
COM039-000045,2024-01-30,P09,P04,77,77,7,15,completo
COM039-000046,2024-01-30,P10,P04,88,88,8,13,completo
COM039-000047,2024-01-31,P11,P04,155,155,9,13,completo
COM039-000048,2024-02-01,P12,P04,54,54,10,16,completo
COM039-000049,2024-02-01,P01,P05,86,56,7,14,parcial
COM039-000050,2024-02-02,P02,P05,107,107,8,8,completo
COM039-000051,2024-02-03,P03,P05,109,109,9,9,completo
COM039-000052,2024-02-03,P04,P05,94,16,10,5,parcial
COM039-000053,2024-02-04,P05,P05,31,31,7,15,completo
COM039-000054,2024-02-05,P06,P05,115,19,8,9,parcial
COM039-000055,2024-02-05,P07,P05,169,169,9,15,completo
COM039-000056,2024-02-06,P08,P05,196,196,10,11,completo
COM039-000057,2024-02-07,P09,P05,178,48,7,16,parcial
COM039-000058,2024-02-07,P10,P05,49,0,8,693,pendiente
COM039-000059,2024-02-08,P11,P05,140,140,9,9,completo
COM039-000060,2024-02-09,P12,P05,128,128,10,10,completo
COM039-000061,2024-02-09,P01,P06,17,17,7,7,completo
COM039-000062,2024-02-10,P02,P06,98,98,8,6,completo
COM039-000063,2024-02-10,P03,P06,145,145,9,6,completo
COM039-000064,2024-02-11,P04,P06,187,109,10,9,parcial
COM039-000065,2024-02-12,P05,P06,24,0,7,688,pendiente
COM039-000066,2024-02-12,P06,P06,153,67,8,12,parcial
COM039-000067,2024-02-13,P07,P06,51,34,9,11,parcial
COM039-000068,2024-02-14,P08,P06,178,178,10,9,completo
COM039-000069,2024-02-14,P09,P06,67,3,7,8,parcial
COM039-000070,2024-02-15,P10,P06,88,88,8,13,completo
COM039-000071,2024-02-16,P11,P06,134,134,9,14,completo
COM039-000072,2024-02-16,P12,P06,23,23,10,14,completo
COM039-000073,2024-02-17,P01,P07,167,167,7,8,completo
COM039-000074,2024-02-18,P02,P07,65,65,8,6,completo
COM039-000075,2024-02-18,P03,P07,165,165,9,7,completo
COM039-000076,2024-02-19,P04,P07,122,122,10,4,completo
COM039-000077,2024-02-20,P05,P07,60,0,7,680,pendiente
COM039-000078,2024-02-20,P06,P07,24,24,8,7,completo
COM039-000079,2024-02-21,P07,P07,155,155,9,10,completo
COM039-000080,2024-02-22,P08,P07,120,120,10,9,completo
COM039-000081,2024-02-22,P09,P07,168,168,7,9,completo
COM039-000082,2024-02-23,P10,P07,185,185,8,15,completo
COM039-000083,2024-02-24,P11,P07,55,55,9,10,completo
COM039-000084,2024-02-24,P12,P07,192,192,10,,completo
COM039-000085,2024-02-25,P01,P08,128,128,7,3,completo
COM039-000086,2024-02-26,P02,P08,11,11,8,3,completo
COM039-000087,2024-02-26,P03,P08,114,114,9,7,completo
COM039-000088,2024-02-27,P04,P08,48,48,10,14,completo
COM039-000089,2024-02-28,P05,P08,18,18,7,8,completo
COM039-000090,2024-02-28,P06,P08,114,114,8,7,completo
COM039-000091,2024-02-29,P07,P08,120,120,9,14,completo
COM039-000092,2024-03-01,P08,P08,37,0,10,670,pendiente
COM039-000093,2024-03-01,P09,P08,153,153,7,8,completo
COM039-000094,2024-03-02,P10,P08,29,29,8,11,completo
COM039-000095,2024-03-03,P11,P08,27,27,9,8,completo
COM039-000096,2024-03-03,P12,P08,16,16,10,8,completo
COM039-000097,2024-03-04,P01,P09,62,62,7,4,completo
COM039-000098,2024-03-05,P02,P09,134,0,8,666, PENDIENTE 
COM039-000099,2024-03-05,P03,P09,14,14,9,13,completo
COM039-000100,2024-03-06,P04,P09,69,69,10,9,completo
COM039-000101,2024-03-07,P05,P09,123,123,7,13,completo
COM039-000102,2024-03-07,P06,P09,26,26,8,7,completo
COM039-000103,2024-03-08,P07,P09,16,16,9,6,completo
COM039-000104,2024-03-09,P08,P09,135,135,10,9,completo
COM039-000105,2024-03-09,P09,P09,168,168,7,3,completo
COM039-000106,2024-03-10,P10,P09,98,98,8,17,completo
COM039-000107,2024-03-11,P11,P09,30,30,9,12,completo
COM039-000108,2024-03-11,P12,P09,107,107,10,9,completo
COM039-000109,2024-03-12,P01,P10,137,137,7,7,completo
COM039-000110,2024-03-13,P02,P10,163,163,8,8,completo
COM039-000111,2024-03-13,P03,P10,25,25,9,11,completo
COM039-000112,2024-03-14,P04,P10,148,64,10,8,parcial
COM039-000113,2024-03-15,P05,P10,21,0,7,656,pendiente
COM039-000114,2024-03-15,P06,P10,100,0,8,656,pendiente
COM039-000115,2024-03-16,P07,P10,83,83,9,8,completo
COM039-000116,2024-03-17,P08,P10,169,169,10,10,completo
COM039-000117,2024-03-17,P09,P10,172,172,7,8,completo
COM039-000118,2024-03-18,P10,P10,134,134,8,11,completo
COM039-000119,2024-03-19,P11,P10,109,0,9,652,pendiente
COM039-000120,2024-03-19,P12,P10,150,150,10,10,completo
COM039-000121,2024-03-20,P01,P11,49,40,7,6,parcial
COM039-000122,2024-03-21,P02,P11,105,105,8,8,completo
COM039-000123,2024-03-21,P03,P11,105,105,9,11,completo
COM039-000124,2024-03-22,P04,P11,74,74,10,6,completo
COM039-000125,2024-03-22,P05,P11,162,162,7,7,completo
COM039-000126,2024-03-23,P06,P11,113,113,8,10,completo
COM039-000127,2024-03-24,P07,P11,200,113,9,8,parcial
COM039-000128,2024-03-24,P08,P11,69,69,10,8,completo
COM039-000129,2024-03-25,P09,P11,129,129,7,7,completo
COM039-000130,2024-03-26,P10,P11,171,0,8,645,pendiente
