registro_id,fecha,proveedor,producto,solicitado,recibido,prometido_dias,plazo_dias,estado
COM059-000001,2024-01-01,P01,P01,194,194,7,9,completo
COM059-000002,2024-01-01,P02,P01,115,115,8,11,completo
COM059-000003,2024-01-02,P03,P01,152,152,9,10,completo
COM059-000004,2024-01-02,P04,P01,191,0,10,729,pendiente
COM059-000005,2024-01-03,P05,P01,64,22,7,11,parcial
COM059-000006,2024-01-03,P06,P01,169,169,8,8,completo
COM059-000007,2024-01-04,P07,P01,36,36,9,14,completo
COM059-000008,2024-01-04,P08,P01,131,131,10,12,completo
COM059-000009,2024-01-05,P09,P01,186,186,7,9,completo
COM059-000010,2024-01-05,P10,P01,56,44,8,12,parcial
COM059-000011,2024-01-06,P11,P01,58,0,9,725,pendiente
COM059-000012,2024-01-06,P12,P01,136,136,10,15,completo
COM059-000013,2024-01-07,P01,P02,105,105,7,8,completo
COM059-000014,2024-01-07,P02,P02,80,80,8,7,completo
COM059-000015,2024-01-08,P03,P02,175,104,9,1,parcial
COM059-000016,2024-01-08,P04,P02,140,140,10,12,completo
COM059-000017,2024-01-09,P05,P02,43,43,7,8,completo
COM059-000018,2024-01-09,P06,P02,90,90,8,10,completo
COM059-000019,2024-01-10,P07,P02,133,133,9,6,completo
COM059-000020,2024-01-10,P08,P02,105,105,10,10,completo
COM059-000021,2024-01-11,P09,P02,122,122,7,13,completo
COM059-000022,2024-01-12,P10,P02,84,84,8,10,completo
COM059-000023,2024-01-12,P11,P02,60,60,9,12,completo
COM059-000024,2024-01-13,P12,P02,155,155,10,12,completo
COM059-000025,2024-01-13,P01,P03,61,61,7,4,completo
COM059-000026,2024-01-14,P02,P03,179,0,8,717,pendiente
COM059-000027,2024-01-14,P03,P03,140,140,9,11,completo
COM059-000028,2024-01-15,P04,P03,188,0,10,716,pendiente
COM059-000029,2024-01-15,P05,P03,37,25,7,10,parcial
COM059-000030,2024-01-16,P06,P03,128,128,8,11,completo
COM059-000031,2024-01-16,P07,P03,79,79,9,11,completo
COM059-000032,2024-01-17,P08,P03,62,0,10,714,pendiente
COM059-000033,2024-01-17,P09,P03,134,134,7,11,completo
COM059-000034,2024-01-18,P10,P03,94,94,8,12,completo
COM059-000035,2024-01-18,P11,P03,81,10,9,12,parcial
COM059-000036,2024-01-19,P12,P03,82,0,10,712,pendiente
COM059-000037,2024-01-19,P01,P04,61,4,7,7,parcial
COM059-000038,2024-01-20,P02,P04,64,44,8,11,parcial
COM059-000039,2024-01-20,P03,P04,22,22,9,11,completo
COM059-000040,2024-01-21,P04,P04,73,73,10,10,completo
COM059-000041,2024-01-22,P05,P04,32,32,7,7,completo
COM059-000042,2024-01-22,P06,P04,200,200,8,9,completo
COM059-000043,2024-01-23,P07,P04,152,152,9,12,completo
COM059-000044,2024-01-23,P08,P04,89,79,10,9,parcial
COM059-000045,2024-01-24,P09,P04,129,129,7,14,completo
COM059-000046,2024-01-24,P10,P04,119,119,8,12,completo
COM059-000047,2024-01-25,P11,P04,199,199,9,10,completo
COM059-000048,2024-01-25,P12,P04,68,68,10,12,completo
COM059-000049,2024-01-26,P01,P05,29,0,7,705,pendiente
COM059-000050,2024-01-26,P02,P05,13,13,8,7,completo
COM059-000051,2024-01-27,P03,P05,111,111,9,7,completo
COM059-000052,2024-01-27,P04,P05,29,29,10,7,completo
COM059-000053,2024-01-28,P05,P05,45,45,7,9,completo
COM059-000054,2024-01-28,P06,P05,39,39,8,5,completo
COM059-000055,2024-01-29,P07,P05,130,130,9,16,completo
COM059-000056,2024-01-29,P08,P05,44,8,10,14,parcial
COM059-000057,2024-01-30,P09,P05,90,14,7,13,parcial
COM059-000058,2024-01-30,P10,P05,94,94,8,13,completo
COM059-000059,2024-01-31,P11,P05,39,39,9,16,completo
COM059-000060,2024-02-01,P12,P05,124,110,10,17,parcial
COM059-000061,2024-02-01,P01,P06,32,0,7,699,pendiente
COM059-000062,2024-02-02,P02,P06,144,0,8,698,pendiente
COM059-000063,2024-02-02,P03,P06,100,100,9,8,completo
COM059-000064,2024-02-03,P04,P06,123,123,10,14,completo
COM059-000065,2024-02-03,P05,P06,107,107,7,9,completo
COM059-000066,2024-02-04,P06,P06,10,10,8,8,completo
COM059-000067,2024-02-04,P07,P06,137,87,9,5,parcial
COM059-000068,2024-02-05,P08,P06,192,31,10,9,parcial
COM059-000069,2024-02-05,P09,P06,24,2,7,8,parcial
COM059-000070,2024-02-06,P10,P06,75,75,8,16,completo
COM059-000071,2024-02-06,P11,P06,185,185,9,9,completo
COM059-000072,2024-02-07,P12,P06,104,104,10,14,completo
COM059-000073,2024-02-07,P01,P07,34,0,7,693,pendiente
COM059-000074,2024-02-08,P02,P07,95,95,8,8,completo
COM059-000075,2024-02-08,P03,P07,128,31,9,6,parcial
COM059-000076,2024-02-09,P04,P07,76,76,10,7,completo
COM059-000077,2024-02-09,P05,P07,144,144,7,7,completo
COM059-000078,2024-02-10,P06,P07,41,41,8,11,completo
