registro_id,fecha,equipo,canal,prioridad,minutos_resolucion,estado,reabierto
SOP003-000001,2024-01-01,E1,telefono,normal,111.5,cerrado,0
SOP003-000002,2024-01-01,E2,web,normal,1281.9,cerrado,0
SOP003-000003,2024-01-02,E3,web,normal,1107.1,cerrado,0
SOP003-000004,2024-01-02,E1,telefono,baja,5523.4,cerrado,1
SOP003-000005,2024-01-03,E2,correo,baja,955.3,cerrado,0
SOP003-000006,2024-01-03,E3,web,baja,461.1,cerrado,0
SOP003-000007,2024-01-04,E1,correo,baja,844.2,cerrado,0
SOP003-000008,2024-01-04,E2,telefono,alta,942.5,cerrado,0
SOP003-000009,2024-01-05,E3,web,normal,,abierto,0
SOP003-000010,2024-01-05,E1, Correo ,normal,356.7,cerrado,0
SOP003-000011,2024-01-06,E2,web,normal,,abierto,0
SOP003-000012,2024-01-06,E3,correo,baja,1854.9,cerrado,0
SOP003-000013,2024-01-07,E1,telefono,baja,600.5,cerrado,0
SOP003-000014,2024-01-07,E2,correo,normal,,abierto,0
SOP003-000015,2024-01-08,E3,web,baja,,abierto,0
SOP003-000016,2024-01-08,E1,telefono,normal,158.2,cerrado,0
SOP003-000017,2024-01-09,E2,telefono,alta,163.9,cerrado,0
SOP003-000018,2024-01-09,E3,WEB,normal,,abierto,0
SOP003-000019,2024-01-10,E1,web,normal,150.4,cerrado,0
SOP003-000020,2024-01-10,E2,telefono,normal,227.3,cerrado,0
SOP003-000021,2024-01-11,E3,web,baja,592.8,cerrado,0
SOP003-000022,2024-01-11,E1,telefono,alta,106.8,cerrado,0
SOP003-000023,2024-01-12,E2,telefono,alta,555.6,cerrado,0
SOP003-000024,2024-01-12,E3,telefono,baja,281.0,cerrado,0
SOP003-000025,2024-01-13,E1,telefono,normal,1185.2,cerrado,0
SOP003-000026,2024-01-13,E2,teléfono,normal,,abierto,0
SOP003-000027,2024-01-14,E3,correo,baja,563.8,cerrado,0
SOP003-000028,2024-01-14,E1,correo,baja,401.3,cerrado,0
SOP003-000029,2024-01-15,E2,correo,normal,391.0,cerrado,0
SOP003-000030,2024-01-15,E3,correo,baja,,abierto,0
SOP003-000031,2024-01-16,E1,correo,normal,293.7,cerrado,0
SOP003-000032,2024-01-16,E2,telefono,normal,1043.4,cerrado,0
SOP003-000033,2024-01-17,E3,web,baja,670.7,cerrado,0
SOP003-000034,2024-01-17,E1,correo,normal,5430.4,cerrado,1
SOP003-000035,2024-01-18,E2,correo,alta,1028.1,cerrado,0
SOP003-000036,2024-01-18,E3,correo,baja,278.1,cerrado,0
SOP003-000037,2024-01-19,E1,web,normal,,abierto,0
SOP003-000038,2024-01-19,E2,telefono,baja,212.9,cerrado,0
SOP003-000039,2024-01-20,E3,correo,baja,402.1,cerrado,0
SOP003-000040,2024-01-20,E1,telefono,normal,696.5,cerrado,0
SOP003-000041,2024-01-21,E2,web,normal,,abierto,0
SOP003-000042,2024-01-21,E3,web,alta,4729.9,cerrado,1
