registro_id,fecha,maquina,turno,unidades,defectos,horas,parada_min,vibracion,mantenimiento,fallo_7d,reparacion_coste
IND033-000001,2024-01-01,M1,dia,297,3,4.8,29.8,0.32,0,0,0
IND033-000002,2024-01-01,M2,dia,380,9,5.8,24.5,1.87,0,0,0
IND033-000003,2024-01-02,M3,dia,497,10,6.4,29.9,4.15,0,1,2435.02
IND033-000004,2024-01-03,M4,dia,554,21,3.7,6.4,5.02,0,1,393.5
IND033-000005,2024-01-03,M5,dia,238,7,4.1,10.0,4.41,0,0,0
IND033-000006,2024-01-04,M6,dia,635,18,3.6,7.9,4.04,0,0,0
IND033-000007,2024-01-05,M1,noche,684,6,3.9,11.6,3.73,0,0,0
IND033-000008,2024-01-06,M2,noche,353,9,6.9,6.0,1.86,0,0,0
IND033-000009,2024-01-06,M3,noche,460,10,3.5,15.6,2.64,0,0,0
IND033-000010,2024-01-07,M4,noche,551,18,6.2,6.1,5.11,0,1,1507.33
IND033-000011,2024-01-08,M5,noche,545,10,6.0,6.5,5.42,0,0,0
IND033-000012,2024-01-08,M6,noche,175,7,7.9,16.2,3.69,0,0,0
IND033-000013,2024-01-09,M1,dia,719,12,8.0,2.8,2.65,0,0,0
IND033-000014,2024-01-10,M2,dia,377,5,7.4,50.9,1.67,0,0,0
IND033-000015,2024-01-11,M3,dia,324,6,7.0,4.2,3.36,0,0,0
IND033-000016,2024-01-11,M4,dia,684,24,6.7,10.3,2.65,1,0,0
IND033-000017,2024-01-12,M5,dia,223,11,7.0,17.5,2.66,0,0,0
IND033-000018,2024-01-13,M6,dia,568,25,3.3,9.5,3.26,0,0,0
IND033-000019,2024-01-14,M1,noche,606,10,3.9,51.6,2.76,1,0,0
IND033-000020,2024-01-14,M2,noche,358,9,6.7,13.4,1.46,0,0,0
IND033-000021,2024-01-15,M3,noche,143,2,5.8,41.2,3.52,0,0,0
IND033-000022,2024-01-16,M4,noche,202,7,3.3,2.7,2.83,0,0,0
IND033-000023,2024-01-16,M5,noche,585,11,5.6,13.6,4.43,0,0,0
IND033-000024,2024-01-17,M6,noche,229,14,6.1,0.5,5.24,0,0,0
IND033-000025,2024-01-18,M1,dia,692,11,4.7,10.8,1.21,1,0,0
IND033-000026,2024-01-19,M2,dia,567,14,4.7,6.3,2.58,0,0,0
IND033-000027,2024-01-19,M3,dia,233,9,4.4,48.9,1.26,0,0,0
IND033-000028,2024-01-20,M4,dia,314,11,3.0,7.5,4.9,0,0,0
IND033-000029,2024-01-21,M5,dia,375,6,8.0,0.1,2.6,0,0,0
IND033-000030,2024-01-22,M6,dia,728,30,6.9,7.7,3.5,1,0,0
IND033-000031,2024-01-22,M1,noche,305,3,3.2,1.5,3.24,0,0,0
IND033-000032,2024-01-23,M2,noche,553,18,7.5,2.5,3.17,0,0,0
IND033-000033,2024-01-24,M3,noche,227,3,3.7,3.0,3.89,0,0,0
IND033-000034,2024-01-24,M4,noche,259,11,4.0,19.7,3.81,0,0,0
IND033-000035,2024-01-25,M5,noche,444,11,7.7,15.5,2.07,0,0,0
IND033-000036,2024-01-26,M6,noche,508,16,5.8,10.0,4.95,0,1,284.73
IND033-000037,2024-01-27,M1,dia,102,0,5.0,2.2,2.35,1,0,0
IND033-000038,2024-01-27,M2,dia,164,6,4.3,20.8,4.66,0,0,0
IND033-000039,2024-01-28,M3,dia,265,6,5.6,1.4,3.59,0,0,0
IND033-000040,2024-01-29,M4,dia,139,7,4.6,9.5,2.2,0,0,0
IND033-000041,2024-01-29,M5,dia,312,10,3.1,12.0,4.7,0,0,0
IND033-000042,2024-01-30,M6,dia,274,12,3.9,8.4,4.98,0,1,1171.94
IND033-000043,2024-01-31,M1,noche,761,9,3.9,1.5,4.68,0,0,0
IND033-000044,2024-02-01,M2,noche,411,10,3.9,0.9,0.79,0,0,0
IND033-000045,2024-02-01,M3,noche,159,4,6.6,11.9,2.59,0,0,0
IND033-000046,2024-02-02,M4,noche,369,9,4.9,25.1,3.3,0,0,0
IND033-000047,2024-02-03,M5,noche,195,4,6.5,23.5,3.34,0,0,0
IND033-000048,2024-02-04,M6,noche,443,17,6.9,16.6,3.38,0,0,0
IND033-000049,2024-02-04,M1,dia,159,1,7.7,18.8,2.77,0,1,1274.39
IND033-000050,2024-02-05,M2,dia,626,14,4.9,4.5,3.85,0,0,0
IND033-000051,2024-02-06,M3,dia,176,0,7.1,13.8,4.28,0,1,2250.51
IND033-000052,2024-02-06,M4,dia,103,6,7.8,21.7,1.81,1,0,0
IND033-000053,2024-02-07,M5,dia,104,3,5.3,32.8,4.28,0,0,0
IND033-000054,2024-02-08,M6,dia,311,12,6.9,28.7,3.27,0,0,0
IND033-000055,2024-02-09,M1,noche,768,8,3.2,28.9,1.09,0,0,0
IND033-000056,2024-02-09,M2,noche,632,14,4.2,14.9,3.92,0,0,0
IND033-000057,2024-02-10,M3,noche,551,11,6.4,4.4,4.82,0,1,571.81
IND033-000058,2024-02-11,M4,noche,373,10,5.5,2.7,3.46,0,0,0
IND033-000059,2024-02-12,M5,noche,634,24,6.3,6.0,3.78,0,0,0
IND033-000060,2024-02-12,M6,noche,135,6,6.9,20.7,2.92,0,0,0
IND033-000061,2024-02-13,M1,dia,97,1,3.5,15.8,3.44,0,0,0
IND033-000062,2024-02-14,M2,dia,179,8,7.2,8.1,4.51,0,0,0
IND033-000063,2024-02-14,M3,dia,114,2,6.6,18.3,1.5,0,0,0
IND033-000064,2024-02-15,M4,dia,348,8,4.3,28.4,3.88,1,0,0
IND033-000065,2024-02-16,M5,dia,497,13,6.8,15.8,2.39,0,0,0
IND033-000066,2024-02-17,M6,dia,263,13,4.8,27.0,5.42,0,0,0
IND033-000067,2024-02-17,M1,noche,226,3,5.7,5.1,2.08,0,0,0
IND033-000068,2024-02-18,M2,noche,403,11,4.7,25.3,0.52,0,0,0
IND033-000069,2024-02-19,M3,noche,323,5,4.1,24.8,3.04,1,0,0
IND033-000070,2024-02-19,M4,noche,671,14,7.1,13.0,3.58,0,0,0
IND033-000071,2024-02-20,M5,noche,693,21,3.5,63.0,4.11,0,0,0
IND033-000072,2024-02-21,M6,noche,499,14,3.1,45.0,3.44,0,0,0
IND033-000073,2024-02-22,M1,dia,160,3,6.1,30.7,3.51,0,0,0
IND033-000074,2024-02-22,M2,dia,771,23,6.7,16.0,2.89,0,0,0
IND033-000075,2024-02-23,M3,dia,382,4,6.0,6.7,2.92,0,0,0
IND033-000076,2024-02-24,M4,dia,345,8,4.4,17.7,3.44,0,0,0
IND033-000077,2024-02-25,M5,dia,587,17,6.9,45.0,2.29,0,0,0
IND033-000078,2024-02-25,M6,dia,647,27,6.4,11.4,1.65,0,0,0
IND033-000079,2024-02-26,M1,noche,773,12,7.6,37.2,1.55,1,0,0
IND033-000080,2024-02-27,M2,noche,269,2,5.2,23.1,3.0,0,0,0
IND033-000081,2024-02-27,M3,noche,651,11,4.9,4.2,3.48,0,0,0
IND033-000082,2024-02-28,M4,noche,337,16,6.0,92.8,3.09,0,0,0
IND033-000083,2024-02-29,M5,noche,582,25,6.2,0.8,2.18,0,0,0
IND033-000084,2024-03-01,M6,noche,581,19,5.8,1.3,,0,0,0
IND033-000085,2024-03-01,M1,dia,265,10,4.5,12.0,1.8,0,0,0
IND033-000086,2024-03-02,M2,dia,436,10,7.9,39.3,3.28,0,0,0
IND033-000087,2024-03-03,M3,dia,172,6,4.5,11.6,2.01,0,0,0
IND033-000088,2024-03-04,M4,dia,274,7,4.6,44.3,2.16,0,0,0
IND033-000089,2024-03-04,M5,dia,587,13,5.5,17.0,2.22,1,0,0
IND033-000090,2024-03-05,M6,dia,362,19,7.5,1.7,2.44,0,0,0
IND033-000091,2024-03-06,M1,noche,357,5,5.9,9.2,2.83,0,0,0
IND033-000092,2024-03-06,M2,noche,417,10,6.4,8.5,3.84,0,0,0
IND033-000093,2024-03-07,M3,noche,390,2,4.2,1.9,3.41,0,0,0
IND033-000094,2024-03-08,M4,noche,793,26,5.2,11.2,2.44,0,0,0
IND033-000095,2024-03-09,M5,noche,685,14,7.9,2.1,3.03,0,0,0
IND033-000096,2024-03-09,M6,noche,375,13,3.6,2.5,3.68,1,0,0
IND033-000097,2024-03-10,M1,dia,436,9,7.2,1.7,2.34,0,0,0
IND033-000098,2024-03-11,M2, DIA ,627,13,3.2,2.6,2.47,0,0,0
