registro_id,fecha,maquina,turno,unidades,defectos,horas,parada_min,vibracion,mantenimiento,fallo_7d,reparacion_coste
IND013-000001,2024-01-01,M1,dia,549,6,3.3,4.7,3.97,0,0,0
IND013-000002,2024-01-01,M2,dia,722,14,6.7,9.1,3.22,1,0,0
IND013-000003,2024-01-01,M3,dia,618,15,7.6,27.0,3.3,0,0,0
IND013-000004,2024-01-01,M4,dia,602,19,3.6,18.4,4.34,0,0,0
IND013-000005,2024-01-01,M5,dia,673,17,5.2,44.7,3.41,0,0,0
IND013-000006,2024-01-02,M6,dia,541,19,7.5,2.1,6.62,1,0,0
IND013-000007,2024-01-02,M1,noche,628,11,6.1,7.4,2.31,0,0,0
IND013-000008,2024-01-02,M2,noche,437,13,3.5,11.9,2.78,0,0,0
IND013-000009,2024-01-02,M3,noche,185,9,7.3,70.7,2.21,0,0,0
IND013-000010,2024-01-02,M4,noche,117,4,6.9,35.9,4.17,1,0,0
IND013-000011,2024-01-03,M5,noche,156,2,5.3,6.4,3.79,0,0,0
IND013-000012,2024-01-03,M6,noche,781,16,3.0,16.6,3.9,0,0,0
IND013-000013,2024-01-03,M1,dia,630,4,4.5,16.0,1.08,0,0,0
IND013-000014,2024-01-03,M2,dia,155,3,3.1,33.0,2.63,0,0,0
IND013-000015,2024-01-03,M3,dia,748,14,5.9,42.8,3.34,0,0,0
IND013-000016,2024-01-04,M4,dia,314,9,3.9,18.2,3.14,0,0,0
IND013-000017,2024-01-04,M5,dia,372,8,5.1,33.2,3.37,0,0,0
IND013-000018,2024-01-04,M6,dia,505,13,3.2,6.5,4.37,0,0,0
IND013-000019,2024-01-04,M1,noche,567,6,3.3,4.9,2.35,1,0,0
IND013-000020,2024-01-04,M2,noche,370,10,7.0,3.0,2.14,0,0,0
IND013-000021,2024-01-05,M3,noche,392,6,5.3,0.3,3.88,0,0,0
IND013-000022,2024-01-05,M4,noche,536,15,6.0,10.4,4.49,0,0,0
IND013-000023,2024-01-05,M5,noche,146,6,6.1,2.6,4.89,0,0,0
IND013-000024,2024-01-05,M6,noche,93,7,5.9,3.1,3.99,0,0,0
IND013-000025,2024-01-05,M1,dia,769,13,5.1,1.2,2.31,0,0,0
IND013-000026,2024-01-06,M2,dia,694,17,6.9,0.2,2.38,1,0,0
IND013-000027,2024-01-06,M3,dia,571,15,3.1,5.2,3.64,1,0,0
IND013-000028,2024-01-06,M4,dia,733,19,3.9,64.7,2.52,1,0,0
IND013-000029,2024-01-06,M5,dia,511,18,5.2,11.3,5.45,0,0,0
IND013-000030,2024-01-06,M6,dia,748,24,3.8,6.9,5.4,0,0,0
IND013-000031,2024-01-07,M1,noche,735,12,3.1,2.0,3.16,0,0,0
IND013-000032,2024-01-07,M2,noche,620,14,7.1,4.6,2.16,1,0,0
IND013-000033,2024-01-07,M3,noche,390,7,6.2,4.8,3.25,0,0,0
IND013-000034,2024-01-07,M4,noche,395,12,6.7,11.3,2.72,0,0,0
IND013-000035,2024-01-08,M5,noche,777,25,6.0,53.7,1.53,1,0,0
IND013-000036,2024-01-08,M6,noche,608,17,3.7,21.3,4.25,0,0,0
IND013-000037,2024-01-08,M1,dia,90,2,5.4,3.9,3.84,0,0,0
IND013-000038,2024-01-08,M2,dia,302,10,7.2,8.9,1.39,1,0,0
IND013-000039,2024-01-08,M3,dia,455,7,5.7,1.1,2.82,0,0,0
IND013-000040,2024-01-09,M4,dia,337,12,3.7,42.9,4.62,1,1,1818.96
IND013-000041,2024-01-09,M5,dia,156,4,7.3,11.1,5.6,0,0,0
IND013-000042,2024-01-09,M6,dia,285,13,5.8,28.5,3.28,0,0,0
IND013-000043,2024-01-09,M1,noche,496,8,5.2,11.8,3.11,0,0,0
IND013-000044,2024-01-09,M2,noche,671,16,5.6,86.8,2.75,1,0,0
IND013-000045,2024-01-10,M3,noche,584,11,7.0,20.3,1.3,0,0,0
IND013-000046,2024-01-10,M4,noche,636,19,3.3,36.2,3.71,0,1,2679.85
IND013-000047,2024-01-10,M5,noche,542,11,7.1,0.9,3.66,0,0,0
IND013-000048,2024-01-10,M6,noche,512,17,5.1,4.0,3.12,0,0,0
IND013-000049,2024-01-10,M1,dia,750,10,7.5,87.7,0.1,0,0,0
IND013-000050,2024-01-11,M2,dia,646,15,5.1,3.1,3.34,0,0,0
IND013-000051,2024-01-11,M3,dia,593,16,4.5,9.1,1.58,0,0,0
IND013-000052,2024-01-11,M4,dia,437,10,4.9,1.2,3.91,0,1,319.93
IND013-000053,2024-01-11,M5,dia,570,16,6.2,1.8,3.84,0,0,0
IND013-000054,2024-01-11,M6,dia,121,2,7.1,2.4,3.34,0,0,0
IND013-000055,2024-01-12,M1,noche,298,2,6.9,19.8,2.2,0,0,0
IND013-000056,2024-01-12,M2,noche,223,2,3.9,46.1,2.55,1,0,0
IND013-000057,2024-01-12,M3,noche,339,5,4.9,18.5,3.53,0,0,0
IND013-000058,2024-01-12,M4,noche,103,3,4.6,12.0,4.46,0,1,1120.18
IND013-000059,2024-01-12,M5,noche,225,7,6.0,25.0,1.16,1,0,0
IND013-000060,2024-01-13,M6,noche,264,9,4.4,0.1,3.12,0,0,0
IND013-000061,2024-01-13,M1,dia,185,7,4.3,14.1,3.87,0,0,0
IND013-000062,2024-01-13,M2,dia,616,17,4.5,20.5,2.92,0,0,0
IND013-000063,2024-01-13,M3,dia,481,18,4.8,27.1,2.88,0,0,0
IND013-000064,2024-01-13,M4,dia,558,16,3.5,29.9,4.32,0,1,2553.58
IND013-000065,2024-01-14,M5,dia,425,11,3.1,37.4,4.61,0,0,0
IND013-000066,2024-01-14,M6,dia,469,17,5.7,3.4,3.95,1,0,0
IND013-000067,2024-01-14,M1,noche,88,3,7.2,12.6,0.43,0,0,0
IND013-000068,2024-01-14,M2,noche,432,12,3.5,10.3,3.52,0,0,0
IND013-000069,2024-01-15,M3,noche,311,6,5.7,5.6,3.71,0,0,0
IND013-000070,2024-01-15,M4,noche,704,22,6.0,5.2,4.61,0,0,0
IND013-000071,2024-01-15,M5,noche,113,1,7.2,14.7,2.43,0,0,0
IND013-000072,2024-01-15,M6,noche,695,28,7.1,21.7,,0,0,0
IND013-000073,2024-01-15,M1,dia,757,9,5.2,17.1,2.0,0,0,0
IND013-000074,2024-01-16,M2,dia,561,16,5.2,70.3,2.78,1,0,0
IND013-000075,2024-01-16,M3,dia,661,22,4.8,8.1,0.75,0,0,0
IND013-000076,2024-01-16,M4,dia,263,8,6.6,16.4,3.42,0,0,0
IND013-000077,2024-01-16,M5,dia,467,15,5.0,21.7,2.47,0,0,0
IND013-000078,2024-01-16,M6,dia,462,10,3.7,58.8,2.88,0,0,0
IND013-000079,2024-01-17,M1,noche,663,7,7.8,21.2,2.31,0,0,0
IND013-000080,2024-01-17,M2,noche,551,16,5.1,36.2,1.59,0,0,0
IND013-000081,2024-01-17,M3,noche,695,19,3.7,14.5,4.4,0,0,0
IND013-000082,2024-01-17,M4,noche,779,21,3.4,2.7,3.26,0,0,0
IND013-000083,2024-01-17,M5,noche,231,9,5.8,10.7,4.3,0,0,0
IND013-000084,2024-01-18,M6,noche,380,15,5.2,6.1,4.35,0,0,0
IND013-000085,2024-01-18,M1,dia,441,7,4.5,74.6,4.26,0,0,0
IND013-000086,2024-01-18,M2,dia,420,9,4.1,14.5,2.53,0,0,0
IND013-000087,2024-01-18,M3,dia,447,9,5.1,9.4,2.15,0,0,0
IND013-000088,2024-01-18,M4,dia,350,10,7.2,3.7,4.25,0,0,0
IND013-000089,2024-01-19,M5,dia,131,4,7.4,10.5,2.61,0,0,0
IND013-000090,2024-01-19,M6,dia,788,36,4.9,35.2,3.01,0,0,0
IND013-000091,2024-01-19,M1,noche,398,6,7.8,0.4,2.89,1,0,0
IND013-000092,2024-01-19,M2,noche,453,8,3.9,57.1,2.96,0,0,0
IND013-000093,2024-01-19,M3,noche,735,11,4.6,5.0,2.01,0,0,0
IND013-000094,2024-01-20,M4,noche,238,9,4.5,1.0,4.54,0,0,0
IND013-000095,2024-01-20,M5,noche,784,17,5.8,57.5,1.82,0,0,0
IND013-000096,2024-01-20,M6,noche,464,25,6.2,30.0,4.59,1,0,0
IND013-000097,2024-01-20,M1,dia,227,2,6.6,6.8,0.54,0,0,0
IND013-000098,2024-01-20,M2, DIA ,500,13,4.4,7.0,2.17,1,0,0
IND013-000099,2024-01-21,M3,dia,641,13,3.7,0.3,4.37,0,0,0
IND013-000100,2024-01-21,M4,dia,432,17,5.7,39.2,1.92,0,0,0
IND013-000101,2024-01-21,M5,dia,449,14,4.6,2.2,3.01,0,0,0
IND013-000102,2024-01-21,M6,dia,95,4,5.4,5.7,5.73,0,0,0
IND013-000051,2024-01-11,M3,dia,593,16,4.5,9.1,1.58,0,0,0
