registro_id,fecha_reserva,fecha_llegada,hotel,canal,noches,tarifa,cancelada,pais
TUR031-000001,2024-01-01,2024-04-29,H1,agencia,9,117.63,0,CL
TUR031-000002,2024-01-01,2024-02-03,H2,agencia,6,164.55,1,ES
TUR031-000003,2024-01-02,2024-05-15,H3,plataforma,2,195.45,0,CO
TUR031-000004,2024-01-03,2024-02-29,H1,directo,6,103.87,0,CL
TUR031-000005,2024-01-03,2024-03-03,H2,plataforma,7,157.13,0,CO
TUR031-000006,2024-01-04,2024-04-04,H3,agencia,11,209.14,0,ES
TUR031-000007,2024-01-05,2024-05-10,H1,directo,5,103.63,0,PE
TUR031-000008,2024-01-06,2024-05-26,H2,plataforma,11,146.54,1,CO
TUR031-000009,2024-01-06,2024-04-11,H3,directo,1,204.52,0,ES
TUR031-000010,2024-01-07,2024-03-12,H1,agencia,4,110.04,0,CL
TUR031-000011,2024-01-08,2024-03-23,H2,agencia,9,158.72,0,CO
TUR031-000012,2024-01-09,2024-04-13,H3,plataforma,6,211.42,0,CL
TUR031-000013,2024-01-09,2024-06-03,H1,plataforma,3,123.17,0,CL
TUR031-000014,2024-01-10,2024-05-25,H2,agencia,2,149.87,0,PE
TUR031-000015,2024-01-11,2024-02-21,H3,agencia,10,192.16,0,CL
TUR031-000016,2024-01-12,2024-01-27,H1,plataforma,11,119.92,0,PE
TUR031-000017,2024-01-12,2024-04-06,H2,agencia,12,167.74,0,ES
TUR031-000018,2024-01-13,2024-03-27,H3,plataforma,1,212.76,0,CO
TUR031-000019,2024-01-14,2024-03-19,H1,agencia,4,121.83,0,CL
TUR031-000020,2024-01-15,2024-03-02,H2,directo,8,162.91,0,ES
TUR031-000021,2024-01-15,2024-01-18,H3,agencia,9,216.62,0,PE
TUR031-000022,2024-01-16,2024-04-09,H1,plataforma,11,125.62,1,PE
TUR031-000023,2024-01-17,2024-04-01,H2,agencia,4,148.83,0,PE
TUR031-000024,2024-01-18,2024-02-27,H3,plataforma,5,194.57,0,PE
TUR031-000025,2024-01-18,2024-05-20,H1,directo,12,117.41,0,PE
TUR031-000026,2024-01-19,2024-04-02,H2,directo,9,154.65,0,ES
TUR031-000027,2024-01-20,2024-05-06,H3,plataforma,12,211.49,0,CO
TUR031-000028,2024-01-21,2024-01-22,H1,agencia,4,117.9,0,ES
TUR031-000029,2024-01-21,2024-03-20,H2,agencia,9,153.33,0,CO
TUR031-000030,2024-01-22,2024-06-15,H3,plataforma,6,206.7,1,CL
TUR031-000031,2024-01-23,2024-06-18,H1,directo,6,116.01,0,ES
TUR031-000032,2024-01-24,2024-06-14,H2,agencia,9,167.11,0,ES
TUR031-000033,2024-01-24,2024-02-10,H3,plataforma,3,199.08,0,CL
TUR031-000034,2024-01-25,2024-04-18,H1,agencia,6,108.5,1,CL
TUR031-000035,2024-01-26,2024-06-09,H2,directo,7,176.46,0,CL
TUR031-000036,2024-01-27,2024-03-14,H3,agencia,4,201.54,0,ES
TUR031-000037,2024-01-27,2024-05-04,H1,directo,4,122.7,0,PE
TUR031-000038,2024-01-28,2024-04-18,H2,directo,3,166.92,0,CL
TUR031-000039,2024-01-29,2024-04-23,H3,agencia,4,220.66,1,PE
TUR031-000040,2024-01-30,2024-05-21,H1,agencia,12,109.65,0,ES
TUR031-000041,2024-01-30,2024-02-22,H2,agencia,4,176.86,0,CO
TUR031-000042,2024-01-31,2024-03-14,H3,directo,10,209.92,0,CO
TUR031-000043,2024-02-01,2024-02-25,H1,plataforma,1,131.25,0,CL
TUR031-000044,2024-02-02,2024-03-23,H2,agencia,1,169.24,0,CL
TUR031-000045,2024-02-02,2024-02-28,H3,directo,1,209.72,0,ES
TUR031-000046,2024-02-03,2024-06-24,H1,directo,3,117.82,0,ES
TUR031-000047,2024-02-04,2024-02-21,H2,directo,8,179.21,0,CO
TUR031-000048,2024-02-05,2024-03-22,H3,plataforma,5,216.26,0,PE
TUR031-000049,2024-02-05,2024-05-19,H1,plataforma,5,113.74,1,CO
TUR031-000050,2024-02-06,2024-07-03,H2,plataforma,5,165.48,1,PE
TUR031-000051,2024-02-07,2024-05-14,H3,plataforma,4,206.79,0,CL
TUR031-000052,2024-02-08,2024-07-04,H1,agencia,5,115.91,0,CL
TUR031-000053,2024-02-08,2024-02-15,H2,plataforma,5,168.24,0,PE
TUR031-000054,2024-02-09,2024-02-12,H3,agencia,2,214.71,0,CO
TUR031-000055,2024-02-10,2024-04-25,H1,directo,8,136.05,0,ES
TUR031-000056,2024-02-11,2024-02-21,H2,plataforma,6,160.05,1,ES
TUR031-000057,2024-02-11,2024-05-09,H3,agencia,11,206.55,0,CO
TUR031-000058,2024-02-12,2024-03-20,H1,agencia,11,116.52,1,CO
TUR031-000059,2024-02-13,2024-05-11,H2,plataforma,4,180.87,0,PE
TUR031-000060,2024-02-14,2024-07-01,H3,plataforma,1,223.06,0,ES
TUR031-000061,2024-02-14,2024-02-18,H1,agencia,11,123.18,0,PE
TUR031-000062,2024-02-15,2024-04-02,H2,directo,6,161.15,0,CO
TUR031-000063,2024-02-16,2024-05-20,H3,agencia,2,210.57,0,ES
TUR031-000064,2024-02-17,2024-05-27,H1,plataforma,2,122.78,0,CO
TUR031-000065,2024-02-17,2024-03-16,H2,agencia,9,169.34,0,ES
TUR031-000066,2024-02-18,2024-03-11,H3,plataforma,4,216.41,0,PE
TUR031-000067,2024-02-19,2024-07-05,H1,directo,6,123.93,0,ES
TUR031-000068,2024-02-20,2024-03-04,H2,agencia,8,179.57,0,CL
TUR031-000069,2024-02-20,2024-05-17,H3,directo,12,213.79,0,PE
TUR031-000070,2024-02-21,2024-04-01,H1,directo,5,127.17,0,CO
TUR031-000071,2024-02-22,2024-05-22,H2,agencia,6,174.49,0,ES
TUR031-000072,2024-02-23,2024-05-09,H3,agencia,12,212.31,0,CO
TUR031-000073,2024-02-23,2024-07-05,H1,agencia,9,137.17,0,CO
TUR031-000074,2024-02-24,2024-07-08,H2,plataforma,5,177.27,1,ES
TUR031-000075,2024-02-25,2024-05-05,H3,plataforma,5,211.73,0,CO
TUR031-000076,2024-02-26,2024-03-08,H1,directo,3,121.91,0,CO
TUR031-000077,2024-02-26,2024-07-14,H2,plataforma,1,186.46,0,CL
TUR031-000078,2024-02-27,2024-04-14,H3,plataforma,6,228.45,0,CL
TUR031-000079,2024-02-28,2024-06-12,H1,plataforma,1,143.43,0,PE
TUR031-000080,2024-02-29,2024-05-21,H2,directo,2,168.3,1,ES
TUR031-000081,2024-02-29,2024-07-15,H3,directo,9,235.06,1,ES
TUR031-000082,2024-03-01,2024-04-29,H1,agencia,12,123.6,0,CO
TUR031-000083,2024-03-02,2024-04-24,H2,agencia,1,173.51,0,ES
TUR031-000084,2024-03-03,2024-04-10,H3,directo,9,,0,CL
TUR031-000085,2024-03-03,2024-04-17,H1,directo,3,138.31,0,ES
TUR031-000086,2024-03-04,2024-05-01,H2,plataforma,9,182.9,0,ES
TUR031-000087,2024-03-05,2024-05-09,H3,agencia,10,213.08,0,PE
TUR031-000088,2024-03-06,2024-07-12,H1,plataforma,7,134.72,0,CO
TUR031-000089,2024-03-06,2024-04-22,H2,agencia,6,169.43,0,CL
TUR031-000090,2024-03-07,2024-06-23,H3,agencia,1,217.6,0,PE
TUR031-000091,2024-03-08,2024-05-21,H1,plataforma,6,131.35,0,PE
TUR031-000092,2024-03-09,2024-05-31,H2,directo,10,172.43,0,CL
TUR031-000093,2024-03-09,2024-05-05,H3,plataforma,4,228.13,0,CO
TUR031-000094,2024-03-10,2024-06-23,H1,plataforma,5,139.58,0,ES
TUR031-000095,2024-03-11,2024-08-05,H2,agencia,8,182.79,0,ES
TUR031-000096,2024-03-12,2024-06-06,H3,directo,1,233.44,0,ES
TUR031-000097,2024-03-12,2024-05-23,H1,directo,8,143.06,1,CL
TUR031-000098,2024-03-13,2024-04-13,H2, PLATAFORMA ,5,179.42,0,PE
TUR031-000099,2024-03-14,2024-06-25,H3,agencia,2,213.65,0,PE
TUR031-000100,2024-03-15,2024-07-22,H1,plataforma,10,141.54,0,CO
TUR031-000101,2024-03-15,2024-04-10,H2,directo,9,172.12,0,CL
TUR031-000102,2024-03-16,2024-04-25,H3,plataforma,5,226.84,1,CO
TUR031-000103,2024-03-17,2024-04-10,H1,directo,1,147.11,0,CO
TUR031-000104,2024-03-18,2024-04-19,H2,plataforma,6,180.88,0,ES
TUR031-000105,2024-03-18,2024-05-10,H3,plataforma,10,214.2,0,CL
TUR031-000106,2024-03-19,2024-05-20,H1,directo,4,148.26,0,ES
TUR031-000107,2024-03-20,2024-07-28,H2,plataforma,6,175.29,0,ES
TUR031-000108,2024-03-21,2024-08-11,H3,agencia,1,222.25,0,CL
TUR031-000109,2024-03-21,2024-08-07,H1,directo,5,145.95,0,PE
TUR031-000110,2024-03-22,2024-06-20,H2,plataforma,5,190.17,0,CL
TUR031-000111,2024-03-23,2024-06-27,H3,agencia,9,231.35,0,CL
TUR031-000112,2024-03-24,2024-04-30,H1,agencia,4,136.35,0,PE
TUR031-000113,2024-03-24,2024-06-15,H2,plataforma,10,178.34,0,CO
TUR031-000114,2024-03-25,2024-08-21,H3,agencia,7,233.14,0,ES
TUR031-000115,2024-03-26,2024-08-16,H1,directo,10,135.05,1,PE
TUR031-000116,2024-03-27,2024-06-03,H2,directo,7,190.98,0,ES
TUR031-000117,2024-03-27,2024-05-06,H3,agencia,1,228.59,0,PE
TUR031-000118,2024-03-28,2024-04-23,H1,agencia,4,141.1,0,ES
TUR031-000119,2024-03-29,2024-06-28,H2,agencia,5,177.54,1,ES
TUR031-000120,2024-03-30,2024-06-23,H3,plataforma,2,219.35,0,PE
TUR031-000121,2024-03-30,2024-08-05,H1,directo,6,144.04,0,CO
TUR031-000122,2024-03-31,2024-06-05,H2,agencia,11,172.85,0,CO
TUR031-000123,2024-04-01,2024-05-12,H3,plataforma,11,229.64,0,CO
TUR031-000124,2024-04-01,2024-07-12,H1,directo,12,132.52,0,CO
TUR031-000125,2024-04-02,2024-08-01,H2,plataforma,9,190.71,0,PE
