usuario,alta,pais
U0001,2023-12-31,CL
U0002,2023-12-31,CO
U0003,2023-12-31,PE
U0004,2023-12-31,CL
U0005,2023-12-31,CO
U0006,2024-01-01,PE
U0007,2024-01-01,CL
U0008,2024-01-01,CO
U0009,2024-01-01,PE
U0010,2024-01-11,CL
U0011,2024-01-12,CO
U0012,2024-01-12,PE
U0013,2024-01-12,CL
U0014,2024-01-12,CO
U0015,2024-01-13,PE
U0016,2024-01-13,CL
U0017,2024-01-13,CO
U0018,2024-01-13,PE
U0019,2024-01-13,CL
U0020,2024-01-24,CO
U0021,2024-01-24,PE
U0022,2024-01-24,CL
U0023,2024-01-24,CO
U0024,2024-01-25,PE
U0025,2024-01-25,CL
U0026,2024-01-25,CO
U0027,2024-01-25,PE
U0028,2024-01-25,CL
U0029,2024-01-26,CO
U0030,2024-02-05,PE
U0031,2024-02-05,CL
U0032,2024-02-05,CO
U0033,2024-02-05,PE
U0034,2024-02-06,CL
U0035,2024-02-06,CO
U0036,2024-02-06,PE
U0037,2024-02-06,CL
U0038,2024-02-07,CO
U0039,2024-02-07,PE
U0040,2024-02-17,CL
U0041,2024-02-17,CO
U0042,2024-02-17,PE
U0043,2024-02-18,CL
U0044,2024-02-18,CO
U0045,2024-02-18,PE
U0046,2024-02-18,CL
U0047,2024-02-19,CO
U0048,2024-02-19,PE
U0049,2024-02-19,CL
U0050,2024-02-29,CO
U0051,2024-02-29,PE
U0052,2024-03-01,CL
U0053,2024-03-01,CO
U0054,2024-03-01,PE
U0055,2024-03-01,CL
U0056,2024-03-02,CO
U0057,2024-03-02,PE
U0058,2024-03-02,CL
U0059,2024-03-02,CO
U0060,2024-03-12,PE
U0061,2024-03-13,CL
U0062,2024-03-13,CO
U0063,2024-03-13,PE
U0064,2024-03-13,CL
U0065,2024-03-13,CO
U0066,2024-03-14,PE
U0067,2024-03-14,CL
U0068,2024-03-14,CO
U0069,2024-03-14,PE
U0070,2024-03-25,CL
U0071,2024-03-25,CO
U0072,2024-03-25,PE
U0073,2024-03-25,CL
U0074,2024-03-25,CO
U0075,2024-03-26,PE
U0076,2024-03-26,CL
U0077,2024-03-26,CO
U0078,2024-03-26,PE
U0079,2024-03-27,CL
U0080,2024-04-06,CO
U0081,2024-04-06,PE
U0082,2024-04-06,CL
U0083,2024-04-06,CO
U0084,2024-04-07,PE
U0085,2024-04-07,CL
U0086,2024-04-07,CO
U0087,2024-04-07,PE
U0088,2024-04-07,CL
U0089,2024-04-08,CO
U0090,2024-04-18,PE
U0091,2024-04-18,CL
U0092,2024-04-18,CO
U0093,2024-04-19,PE
U0094,2024-04-19,CL
U0095,2024-04-19,CO
U0096,2024-04-19,PE
U0097,2024-04-19,CL
U0098,2024-04-20,CO
U0099,2024-04-20,PE
U0100,2024-04-30,CL
U0101,2024-04-30,CO
U0102,2024-05-01,PE
U0103,2024-05-01,CL
U0104,2024-05-01,CO
U0105,2024-05-01,PE
U0106,2024-05-01,CL
U0107,2024-05-02,CO
U0108,2024-05-02,PE
U0109,2024-05-02,CL
U0110,2024-05-12,CO
U0111,2024-05-13,PE
U0112,2024-05-13,CL
U0113,2024-05-13,CO
U0114,2024-05-13,PE
U0115,2024-05-13,CL
U0116,2024-05-14,CO
U0117,2024-05-14,PE
U0118,2024-05-14,CL
U0119,2024-05-14,CO
U0120,2024-05-24,PE
U0121,2024-05-25,CL
U0122,2024-05-25,CO
U0123,2024-05-25,PE
U0124,2024-05-25,CL
U0125,2024-05-26,CO
U0126,2024-05-26,PE
U0127,2024-05-26,CL
U0128,2024-05-26,CO
U0129,2024-05-26,PE
U0130,2024-06-06,CL
U0131,2024-06-06,CO
U0132,2024-06-06,PE
U0133,2024-06-06,CL
U0134,2024-06-07,CO
U0135,2024-06-07,PE
U0136,2024-06-07,CL
U0137,2024-06-07,CO
U0138,2024-06-07,PE
U0139,2024-06-08,CL
U0140,2024-06-18,CO
U0141,2024-06-18,PE
U0142,2024-06-18,CL
U0143,2024-06-19,CO
U0144,2024-06-19,PE
U0145,2024-06-19,CL
U0146,2024-06-19,CO
U0147,2024-06-19,PE
U0148,2024-06-20,CL
U0149,2024-06-20,CO
U0150,2024-06-30,PE
U0151,2024-06-30,CL
U0152,2024-06-30,CO
U0153,2024-07-01,PE
U0154,2024-07-01,CL
U0155,2024-07-01,CO
U0156,2024-07-01,PE
U0157,2024-07-02,CL
U0158,2024-07-02,CO
U0159,2024-07-02,PE
U0160,2024-07-12,CL
U0161,2024-07-12,CO
U0162,2024-07-13,PE
U0163,2024-07-13,CL
U0164,2024-07-13,CO
U0165,2024-07-13,PE
U0166,2024-07-14,CL
U0167,2024-07-14,CO
U0168,2024-07-14,PE
U0169,2024-07-14,CL
U0170,2024-07-24,CO
U0171,2024-07-25,PE
U0172,2024-07-25,CL
U0173,2024-07-25,CO
U0174,2024-07-25,PE
U0175,2024-07-25,CL
U0176,2024-07-26,CO
U0177,2024-07-26,PE
U0178,2024-07-26,CL
U0179,2024-07-26,CO
U0180,2024-08-06,PE
U0181,2024-08-06,CL
U0182,2024-08-06,CO
U0183,2024-08-06,PE
U0184,2024-08-06,CL
U0185,2024-08-07,CO
U0186,2024-08-07,PE
U0187,2024-08-07,CL
U0188,2024-08-07,CO
U0189,2024-08-08,PE
U0190,2024-08-18,CL
U0191,2024-08-18,CO
U0192,2024-08-18,PE
U0193,2024-08-18,CL
U0194,2024-08-19,CO
U0195,2024-08-19,PE
U0196,2024-08-19,CL
U0197,2024-08-19,CO
U0198,2024-08-20,PE
U0199,2024-08-20,CL
U0200,2024-08-30,CO
U0201,2024-08-30,PE
U0202,2024-08-30,CL
U0203,2024-08-31,CO
U0204,2024-08-31,PE
U0205,2024-08-31,CL
U0206,2024-08-31,CO
U0207,2024-08-31,PE
U0208,2024-09-01,CL
U0209,2024-09-01,CO
U0210,2024-09-11,PE
U0211,2024-09-11,CL
U0212,2024-09-12,CO
U0213,2024-09-12,PE
U0214,2024-09-12,CL
U0215,2024-09-12,CO
U0216,2024-09-12,PE
U0217,2024-09-13,CL
U0218,2024-09-13,CO
U0219,2024-09-13,PE
U0220,2024-09-23,CL
U0221,2024-09-24,CO
U0222,2024-09-24,PE
U0223,2024-09-24,CL
U0224,2024-09-24,CO
U0225,2024-09-24,PE
U0226,2024-09-25,CL
U0227,2024-09-25,CO
U0228,2024-09-25,PE
U0229,2024-09-25,CL
U0230,2024-10-05,CO
U0231,2024-10-06,PE
U0232,2024-10-06,CL
U0233,2024-10-06,CO
U0234,2024-10-06,PE
U0235,2024-10-07,CL
U0236,2024-10-07,CO
U0237,2024-10-07,PE
U0238,2024-10-07,CL
U0239,2024-10-07,CO
U0240,2024-10-18,PE
U0241,2024-10-18,CL
U0242,2024-10-18,CO
U0243,2024-10-18,PE
U0244,2024-10-19,CL
U0245,2024-10-19,CO
U0246,2024-10-19,PE
U0247,2024-10-19,CL
U0248,2024-10-19,CO
U0249,2024-10-20,PE
U0250,2024-10-30,CL
U0251,2024-10-30,CO
U0252,2024-10-30,PE
U0253,2024-10-31,CL
U0254,2024-10-31,CO
U0255,2024-10-31,PE
U0256,2024-10-31,CL
U0257,2024-10-31,CO
U0258,2024-11-01,PE
U0259,2024-11-01,CL
U0260,2024-11-11,CO
U0261,2024-11-11,PE
U0262,2024-11-11,CL
U0263,2024-11-12,CO
U0264,2024-11-12,PE
U0265,2024-11-12,CL
U0266,2024-11-12,CO
U0267,2024-11-13,PE
U0268,2024-11-13,CL
U0269,2024-11-13,CO
U0270,2024-11-23,PE
U0271,2024-11-23,CL
U0272,2024-11-24,CO
U0273,2024-11-24,PE
U0274,2024-11-24,CL
U0275,2024-11-24,CO
U0276,2024-11-25,PE
U0277,2024-11-25,CL
U0278,2024-11-25,CO
U0279,2024-11-25,PE
U0280,2024-12-05,CL
U0281,2024-12-06,CO
U0282,2024-12-06,PE
U0283,2024-12-06,CL
U0284,2024-12-06,CO
U0285,2024-12-07,PE
U0286,2024-12-07,CL
U0287,2024-12-07,CO
U0288,2024-12-07,PE
U0289,2024-12-07,CL
U0290,2024-12-18,CO
U0291,2024-12-18,PE
U0292,2024-12-18,CL
U0293,2024-12-18,CO
U0294,2024-12-18,PE
U0295,2024-12-19,CL
U0296,2024-12-19,CO
U0297,2024-12-19,PE
U0298,2024-12-19,CL
U0299,2024-12-20,CO
U0300,2024-12-30,PE
U0301,2024-12-30,CL
U0302,2024-12-30,CO
U0303,2024-12-30,PE
U0304,2024-12-31,CL
U0305,2024-12-31,CO
U0306,2024-12-31,PE
U0307,2024-12-31,CL
U0308,2025-01-01,CO
U0309,2025-01-01,PE
U0310,2025-01-11,CL
U0311,2025-01-11,CO
U0312,2025-01-11,PE
U0313,2025-01-12,CL
U0314,2025-01-12,CO
U0315,2025-01-12,PE
U0316,2025-01-12,CL
U0317,2025-01-12,CO
U0318,2025-01-13,PE
U0319,2025-01-13,CL
U0320,2025-01-23,CO
U0321,2025-01-23,PE
U0322,2025-01-24,CL
U0323,2025-01-24,CO
U0324,2025-01-24,PE
U0325,2025-01-24,CL
U0326,2025-01-24,CO
U0327,2025-01-25,PE
U0328,2025-01-25,CL
U0329,2025-01-25,CO
U0330,2025-02-04,PE
U0331,2025-02-05,CL
U0332,2025-02-05,CO
U0333,2025-02-05,PE
U0334,2025-02-05,CL
U0335,2025-02-05,CO
U0336,2025-02-06,PE
U0337,2025-02-06,CL
U0338,2025-02-06,CO
U0339,2025-02-06,PE
U0340,2025-02-17,CL
U0341,2025-02-17,CO
U0342,2025-02-17,PE
U0343,2025-02-17,CL
U0344,2025-02-17,CO
U0345,2025-02-18,PE
U0346,2025-02-18,CL
U0347,2025-02-18,CO
U0348,2025-02-18,PE
U0349,2025-02-18,CL
U0350,2025-03-01,CO
U0351,2025-03-01,PE
U0352,2025-03-01,CL
U0353,2025-03-01,CO
U0354,2025-03-02,PE
U0355,2025-03-02,CL
U0356,2025-03-02,CO
U0357,2025-03-02,PE
U0358,2025-03-02,CL
U0359,2025-03-03,CO
U0360,2025-03-13,PE
U0361,2025-03-13,CL
U0362,2025-03-13,CO
U0363,2025-03-14,PE
U0364,2025-03-14,CL
U0365,2025-03-14,CO
U0366,2025-03-14,PE
U0367,2025-03-14,CL
U0368,2025-03-15,CO
U0369,2025-03-15,PE
U0370,2025-03-25,CL
U0371,2025-03-25,CO
U0372,2025-03-26,PE
U0373,2025-03-26,CL
U0374,2025-03-26,CO
U0375,2025-03-26,PE
U0376,2025-03-26,CL
U0377,2025-03-27,CO
U0378,2025-03-27,PE
U0379,2025-03-27,CL
U0380,2025-04-06,CO
U0381,2025-04-06,PE
U0382,2025-04-07,CL
U0383,2025-04-07,CO
U0384,2025-04-07,PE
U0385,2025-04-07,CL
U0386,2025-04-08,CO
U0387,2025-04-08,PE
U0388,2025-04-08,CL
U0389,2025-04-08,CO
U0390,2025-07-26,PE
U0391,2025-04-19,CL
U0392,2025-04-19,CO
U0393,2025-04-19,PE
U0394,2025-04-19,CL
U0395,2025-04-20,CO
U0396,2025-04-20,PE
U0397,2025-04-20,CL
U0398,2025-04-20,CO
U0399,2025-04-20,PE
U0400,2025-05-01,CL
U0401,2025-05-01,CO
U0402,2025-05-01,PE
U0403,2025-05-01,CL
U0404,2025-05-01,CO
U0405,2025-05-02,PE
U0406,2025-05-02,CL
U0407,2025-05-02,CO
U0408,2025-05-02,PE
U0409,2025-05-03,CL
U0410,2025-05-13,CO
U0411,2025-05-13,PE
U0412,2025-05-13,CL
U0413,2025-05-13,CO
U0414,2025-05-14,PE
U0415,2025-05-14,CL
U0416,2025-05-14,CO
U0417,2025-05-14,PE
U0418,2025-05-15,CL
U0419,2025-05-15,CO
U0420,2025-05-25,PE
U0421,2025-05-25,CL
U0422,2025-05-25,CO
U0423,2025-05-26,PE
U0424,2025-05-26,CL
U0425,2025-05-26,CO
U0426,2025-05-26,PE
U0427,2025-05-27,CL
U0428,2025-05-27,CO
U0429,2025-05-27,PE
U0430,2025-06-06,CL
U0431,2025-06-06,CO
U0432,2025-06-07,PE
U0433,2025-06-07,CL
U0434,2025-06-07,CO
U0435,2025-06-07,PE
U0436,2025-06-07,CL
U0437,2025-06-08,CO
U0438,2025-06-08,PE
U0439,2025-06-08,CL
U0440,2025-06-18,CO
U0441,2025-06-19,PE
U0442,2025-06-19,CL
U0443,2025-06-19,CO
U0444,2025-06-19,PE
U0445,2025-06-19,CL
U0446,2025-06-20,CO
U0447,2025-06-20,PE
U0448,2025-06-20,CL
U0449,2025-06-20,CO
U0450,2025-07-01,PE
