registro_id,fecha,equipo,canal,prioridad,minutos_resolucion,estado,reabierto
SOP023-000001,2024-01-01,E1,telefono,normal,555.4,cerrado,0
SOP023-000002,2024-01-01,E2,web,normal,,abierto,0
SOP023-000003,2024-01-02,E3,telefono,normal,2082.8,cerrado,0
SOP023-000004,2024-01-03,E1,web,baja,391.6,cerrado,0
SOP023-000005,2024-01-04,E2,telefono,normal,232.1,cerrado,0
SOP023-000006,2024-01-05,E3,correo,normal,2629.9,cerrado,0
SOP023-000007,2024-01-06,E1,correo,normal,1964.2,cerrado,0
SOP023-000008,2024-01-07,E2,correo,baja,3066.4,cerrado,0
SOP023-000009,2024-01-07,E3,telefono,normal,,abierto,0
SOP023-000010,2024-01-08,E1,correo,alta,,abierto,0
SOP023-000011,2024-01-09,E2,correo,normal,642.9,cerrado,0
SOP023-000012,2024-01-10,E3,telefono,normal,,abierto,0
SOP023-000013,2024-01-11,E1,web,normal,765.5,cerrado,0
SOP023-000014,2024-01-12,E2,web,normal,861.5,cerrado,0
SOP023-000015,2024-01-13,E3,correo,normal,205.2,cerrado,0
SOP023-000016,2024-01-13,E1,correo,baja,232.5,cerrado,0
SOP023-000017,2024-01-14,E2,telefono,normal,,abierto,0
SOP023-000018,2024-01-15,E3,telefono,alta,238.6,cerrado,0
SOP023-000019,2024-01-16,E1,correo,normal,247.6,cerrado,0
SOP023-000020,2024-01-17,E2,telefono,baja,,abierto,0
SOP023-000021,2024-01-18,E3,telefono,baja,4824.6,cerrado,1
SOP023-000022,2024-01-19,E1,web,normal,1226.7,cerrado,0
SOP023-000023,2024-01-19,E2,telefono,normal,1438.0,cerrado,0
SOP023-000024,2024-01-20,E3,web,alta,4693.4,cerrado,1
SOP023-000025,2024-01-21,E1,web,alta,,abierto,0
SOP023-000026,2024-01-22,E2,telefono,baja,312.1,cerrado,0
SOP023-000027,2024-01-23,E3,web,baja,83.5,cerrado,0
SOP023-000028,2024-01-24,E1,telefono,alta,354.4,cerrado,0
SOP023-000029,2024-01-25,E2,telefono,alta,5155.8,cerrado,1
SOP023-000030,2024-01-25,E3,telefono,normal,239.1,cerrado,0
SOP023-000031,2024-01-26,E1,correo,baja,193.5,cerrado,0
SOP023-000032,2024-01-27,E2,telefono,normal,285.0,cerrado,0
SOP023-000033,2024-01-28,E3,web,alta,798.6,cerrado,0
SOP023-000034,2024-01-29,E1,telefono,alta,,abierto,0
SOP023-000035,2024-01-30,E2,telefono,normal,648.8,cerrado,0
SOP023-000036,2024-01-31,E3,web,normal,361.8,cerrado,0
SOP023-000037,2024-01-31,E1,web,alta,1271.2,cerrado,0
SOP023-000038,2024-02-01,E2,web,normal,613.3,cerrado,0
SOP023-000039,2024-02-02,E3,telefono,baja,,abierto,0
SOP023-000040,2024-02-03,E1,correo,normal,488.7,cerrado,0
SOP023-000041,2024-02-04,E2,web,normal,191.6,cerrado,0
SOP023-000042,2024-02-05,E3,web,baja,679.2,cerrado,0
SOP023-000043,2024-02-06,E1,correo,alta,707.3,cerrado,0
SOP023-000044,2024-02-07,E2,telefono,alta,281.7,cerrado,0
SOP023-000045,2024-02-07,E3,web,normal,653.6,cerrado,0
SOP023-000046,2024-02-08,E1,web,baja,900.4,cerrado,0
SOP023-000047,2024-02-09,E2,correo,alta,144.3,cerrado,0
SOP023-000048,2024-02-10,E3,web,alta,1244.8,cerrado,0
SOP023-000049,2024-02-11,E1,telefono,normal,4463.5,cerrado,1
SOP023-000050,2024-02-12,E2,web,alta,909.3,cerrado,0
SOP023-000051,2024-02-13,E3,telefono,normal,201.9,cerrado,0
SOP023-000052,2024-02-13,E1,correo,alta,663.0,cerrado,0
SOP023-000053,2024-02-14,E2,telefono,alta,742.0,cerrado,0
SOP023-000054,2024-02-15,E3,web,normal,633.9,cerrado,0
SOP023-000055,2024-02-16,E1,web,normal,,abierto,0
SOP023-000056,2024-02-17,E2,correo,normal,4934.4,cerrado,0
SOP023-000057,2024-02-18,E3,web,normal,1074.7,cerrado,0
SOP023-000058,2024-02-19,E1,telefono,baja,65.6,cerrado,0
SOP023-000059,2024-02-19,E2,correo,normal,216.8,cerrado,0
SOP023-000060,2024-02-20,E3,telefono,alta,3220.0,cerrado,0
SOP023-000061,2024-02-21,E1,web,normal,,abierto,0
SOP023-000062,2024-02-22,E2,telefono,normal,961.9,cerrado,0
SOP023-000063,2024-02-23,E3,web,alta,269.1,cerrado,0
SOP023-000064,2024-02-24,E1,telefono,baja,,abierto,0
SOP023-000065,2024-02-25,E2,web,baja,4727.7,cerrado,1
SOP023-000066,2024-02-25,E3,correo,normal,,abierto,0
SOP023-000067,2024-02-26,E1,web,baja,794.5,cerrado,0
SOP023-000068,2024-02-27,E2,telefono,alta,137.4,cerrado,0
SOP023-000069,2024-02-28,E3,correo,normal,,abierto,0
SOP023-000070,2024-02-29,E1,correo,normal,341.4,cerrado,0
SOP023-000071,2024-03-01,E2,web,baja,2055.7,cerrado,0
SOP023-000072,2024-03-02,E3,correo,baja,1966.4,cerrado,0
SOP023-000073,2024-03-02,E1,correo,alta,286.6,cerrado,0
SOP023-000074,2024-03-03,E2,web,baja,,abierto,0
SOP023-000075,2024-03-04,E3,telefono,normal,1513.2,cerrado,0
SOP023-000076,2024-03-05,E1,telefono,alta,,abierto,0
SOP023-000077,2024-03-06,E2,telefono,baja,1273.6,cerrado,0
SOP023-000078,2024-03-07,E3,web,normal,262.2,cerrado,0
SOP023-000079,2024-03-08,E1,correo,alta,522.5,cerrado,0
SOP023-000080,2024-03-09,E2,telefono,normal,537.3,cerrado,0
SOP023-000081,2024-03-09,E3,telefono,alta,580.6,cerrado,0
SOP023-000082,2024-03-10,E1,correo,baja,1361.3,cerrado,0
SOP023-000083,2024-03-11,E2,telefono,normal,61.2,cerrado,0
SOP023-000084,2024-03-12,E3,correo,baja,,cerrado,0
SOP023-000085,2024-03-13,E1,telefono,normal,964.3,cerrado,0
SOP023-000086,2024-03-14,E2,correo,normal,807.1,cerrado,0
SOP023-000087,2024-03-15,E3,telefono,normal,4966.8,cerrado,1
SOP023-000088,2024-03-15,E1,correo,baja,485.5,cerrado,0
SOP023-000089,2024-03-16,E2,telefono,baja,102.9,cerrado,0
SOP023-000090,2024-03-17,E3,web,normal,7687.5,cerrado,1
SOP023-000091,2024-03-18,E1,correo,normal,,abierto,0
SOP023-000092,2024-03-19,E2,web,normal,733.8,cerrado,0
SOP023-000093,2024-03-20,E3,correo,alta,2084.8,cerrado,0
SOP023-000094,2024-03-21,E1,web,normal,1071.6,cerrado,0
SOP023-000095,2024-03-21,E2,correo,normal,569.5,cerrado,0
SOP023-000096,2024-03-22,E3,correo,alta,,abierto,0
SOP023-000097,2024-03-23,E1,web,normal,4735.7,cerrado,1
SOP023-000098,2024-03-24,E2, CORREO ,alta,797.3,cerrado,0
SOP023-000099,2024-03-25,E3,web,alta,33.1,cerrado,0
SOP023-000100,2024-03-26,E1,web,normal,404.5,cerrado,0
SOP023-000101,2024-03-27,E2,telefono,normal,94.7,cerrado,0
SOP023-000102,2024-03-27,E3,telefono,normal,684.7,cerrado,0
SOP023-000103,2024-03-28,E1,web,baja,705.4,cerrado,0
SOP023-000104,2024-03-29,E2,telefono,baja,143.1,cerrado,0
SOP023-000105,2024-03-30,E3,correo,normal,4492.3,cerrado,0
SOP023-000106,2024-03-31,E1,telefono,normal,1328.0,cerrado,0
SOP023-000107,2024-04-01,E2,web,alta,272.5,cerrado,0
SOP023-000108,2024-04-02,E3,web,normal,639.0,cerrado,0
