registro_id,fecha,zona,canal,invitado,responde,satisfaccion,peso
ENC009-000001,2024-01-01,norte,web,1,1,5,92.307692
ENC009-000002,2024-01-01,centro,telefono,1,0,,230.769231
ENC009-000003,2024-01-01,sur,web,1,0,,138.461538
ENC009-000004,2024-01-01,norte,telefono,1,1,4,92.307692
ENC009-000005,2024-01-02,centro,web,1,0,,230.769231
ENC009-000006,2024-01-02,sur,web,1,0,,138.461538
ENC009-000007,2024-01-02,norte,web,1,0,,92.307692
ENC009-000008,2024-01-02,centro,telefono,1,1,2,230.769231
ENC009-000009,2024-01-03,sur,web,1,1,4,138.461538
ENC009-000010,2024-01-03,norte,web,1,1,5,92.307692
ENC009-000011,2024-01-03,centro,web,1,1,5,230.769231
ENC009-000012,2024-01-03,sur,telefono,1,1,3,138.461538
ENC009-000013,2024-01-04,norte,telefono,1,1,4,92.307692
ENC009-000014,2024-01-04,centro,telefono,1,0,,230.769231
ENC009-000015,2024-01-04,sur,web,1,0,,138.461538
ENC009-000016,2024-01-05,norte,web,1,1,5,92.307692
ENC009-000017,2024-01-05,centro,web,1,0,,230.769231
ENC009-000018,2024-01-05,sur,web,1,1,2,138.461538
ENC009-000019,2024-01-05,norte,telefono,1,1,4,92.307692
ENC009-000020,2024-01-06,centro,telefono,1,0,,230.769231
ENC009-000021,2024-01-06,sur,web,1,1,2,138.461538
ENC009-000022,2024-01-06,norte,web,1,1,4,92.307692
ENC009-000023,2024-01-06,centro,telefono,1,0,,230.769231
ENC009-000024,2024-01-07,sur,web,1,0,,138.461538
ENC009-000025,2024-01-07,norte,telefono,1,0,,92.307692
ENC009-000026,2024-01-07,centro,telefono,1,0,,230.769231
ENC009-000027,2024-01-08,sur,web,1,1,2,138.461538
ENC009-000028,2024-01-08,norte,web,1,1,4,92.307692
ENC009-000029,2024-01-08,centro,web,1,0,,230.769231
ENC009-000030,2024-01-08,sur,telefono,1,1,4,138.461538
ENC009-000031,2024-01-09,norte,web,1,0,,92.307692
ENC009-000032,2024-01-09,centro,telefono,1,0,,230.769231
ENC009-000033,2024-01-09,sur,web,1,1,3,138.461538
ENC009-000034,2024-01-09,norte,web,1,0,,92.307692
ENC009-000035,2024-01-10,centro,web,1,0,,230.769231
ENC009-000036,2024-01-10,sur,web,1,1,3,138.461538
ENC009-000037,2024-01-10,norte,telefono,1,1,4,92.307692
ENC009-000038,2024-01-10,centro,web,1,0,,230.769231
ENC009-000039,2024-01-11,sur,telefono,1,1,4,138.461538
ENC009-000040,2024-01-11,norte,web,1,1,5,92.307692
ENC009-000041,2024-01-11,centro,web,1,1,3,230.769231
ENC009-000042,2024-01-12,sur,telefono,1,0,,138.461538
ENC009-000043,2024-01-12,norte,web,1,1,4,92.307692
ENC009-000044,2024-01-12,centro,web,1,1,2,230.769231
ENC009-000045,2024-01-12,sur,web,1,1,2,138.461538
ENC009-000046,2024-01-13,norte,web,1,1,4,92.307692
ENC009-000047,2024-01-13,centro,telefono,1,1,1,230.769231
ENC009-000048,2024-01-13,sur,web,1,0,,138.461538
ENC009-000049,2024-01-13,norte,web,1,1,5,92.307692
ENC009-000050,2024-01-14,centro,telefono,1,0,,230.769231
ENC009-000051,2024-01-14,sur,telefono,1,1,5,138.461538
ENC009-000052,2024-01-14,norte,web,1,1,3,92.307692
ENC009-000053,2024-01-15,centro,web,1,0,,230.769231
ENC009-000054,2024-01-15,sur,web,1,0,,138.461538
ENC009-000055,2024-01-15,norte,web,1,1,3,92.307692
ENC009-000056,2024-01-15,centro,telefono,1,0,,230.769231
ENC009-000057,2024-01-16,sur,telefono,1,1,3,138.461538
ENC009-000058,2024-01-16,norte,telefono,1,1,3,92.307692
ENC009-000059,2024-01-16,centro,web,1,1,3,230.769231
ENC009-000060,2024-01-16,sur,web,1,1,5,138.461538
ENC009-000061,2024-01-17,norte,telefono,1,0,,92.307692
ENC009-000062,2024-01-17,centro,web,1,0,,230.769231
ENC009-000063,2024-01-17,sur,telefono,1,1,4,138.461538
ENC009-000064,2024-01-17,norte,web,1,1,3,92.307692
ENC009-000065,2024-01-18,centro,telefono,1,0,,230.769231
ENC009-000066,2024-01-18,sur,telefono,1,1,5,138.461538
ENC009-000067,2024-01-18,norte,web,1,0,,92.307692
ENC009-000068,2024-01-19,centro,telefono,1,1,3,230.769231
ENC009-000069,2024-01-19,sur,web,1,1,3,138.461538
ENC009-000070,2024-01-19,norte,web,1,1,5,92.307692
ENC009-000071,2024-01-19,centro,telefono,1,0,,230.769231
ENC009-000072,2024-01-20,sur,telefono,1,0,,138.461538
ENC009-000073,2024-01-20,norte,web,1,1,3,92.307692
ENC009-000074,2024-01-20,centro,telefono,1,1,3,230.769231
ENC009-000075,2024-01-20,sur,telefono,1,1,4,138.461538
ENC009-000076,2024-01-21,norte,telefono,1,1,5,92.307692
ENC009-000077,2024-01-21,centro,telefono,1,0,,230.769231
ENC009-000078,2024-01-21,sur,web,1,0,,138.461538
ENC009-000048,2024-01-13,sur,web,1,0,,138.461538
