registro_id,fecha,edificio,temperatura_c,ocupacion,kwh,superficie_m2,tarifa
ENE030-000001,2024-01-01,B1,19.5,55,122.21,600,0.62
ENE030-000002,2024-01-01,B2,18.6,82,218.42,1200,0.62
ENE030-000003,2024-01-01,B3,17.1,94,306.81,1800,0.62
ENE030-000004,2024-01-02,B1,19.3,49,122.83,600,0.62
ENE030-000005,2024-01-02,B2,18.0,61,194.02,1200,0.62
ENE030-000006,2024-01-02,B3,19.4,101,305.41,1800,0.62
ENE030-000007,2024-01-03,B1,19.1,41,105.7,600,0.62
ENE030-000008,2024-01-03,B2,17.5,60,173.08,1200,0.62
ENE030-000009,2024-01-03,B3,19.9,103,301.92,1800,0.62
ENE030-000010,2024-01-04,B1,17.3,30,87.69,600,0.62
ENE030-000011,2024-01-04,B2,20.0,53,176.25,1200,0.62
ENE030-000012,2024-01-04,B3,17.9,102,301.93,1800,0.62
ENE030-000013,2024-01-05,B1,19.1,67,146.79,600,0.62
ENE030-000014,2024-01-05,B2,20.2,74,218.22,1200,0.62
ENE030-000015,2024-01-05,B3,16.7,116,350.58,1800,0.62
ENE030-000016,2024-01-06,B1,18.3,12,64.94,600,0.62
ENE030-000017,2024-01-06,B2,21.7,14,135.09,1200,0.62
ENE030-000019,2024-01-07,B1,21.5,8,68.19,600,0.62
ENE030-000020,2024-01-07,B2,18.7,13,111.96,1200,0.62
ENE030-000021,2024-01-07,B3,20.1,22,182.52,1800,0.62
ENE030-000022,2024-01-08,B1,20.2,52,130.4,600,0.62
ENE030-000023,2024-01-08,B2,22.5,77,242.11,1200,0.62
ENE030-000024,2024-01-08,B3,16.8,113,340.4,1800,0.62
ENE030-000025,2024-01-09,B1,19.2,45,110.46,600,0.62
ENE030-000026,2024-01-09,B2,19.1,90,225.34,1200,0.62
ENE030-000027,2024-01-09,B3,20.9,100,310.7,1800,0.62
ENE030-000028,2024-01-10,B1,18.6,36,84.17,600,0.62
ENE030-000029,2024-01-10,B2,21.9,68,222.29,1200,0.62
ENE030-000030,2024-01-10,B3,20.7,112,326.58,1800,0.62
ENE030-000031,2024-01-11,B1,22.2,38,117.49,600,0.62
ENE030-000032,2024-01-11,B2,21.1,94,237.65,1200,0.62
ENE030-000033,2024-01-11,B3,20.7,121,330.35,1800,0.62
ENE030-000034,2024-01-12,B1,20.5,27,88.24,600,0.62
ENE030-000035,2024-01-12,B2,21.6,70,229.16,1200,0.62
ENE030-000036,2024-01-12,B3,20.5,88,288.45,1800,0.62
ENE030-000037,2024-01-13,B1,21.1,5,50.89,600,0.62
ENE030-000038,2024-01-13,B2,21.9,16,135.52,1200,0.62
ENE030-000039,2024-01-13,B3,20.3,20,168.94,1800,0.62
ENE030-000040,2024-01-14,B1,21.9,11,76.21,600,0.62
ENE030-000041,2024-01-14,B2,20.5,21,130.19,1200,0.62
ENE030-000042,2024-01-14,B3,19.9,20,183.74,1800,0.62
ENE030-000043,2024-01-15,B1,22.3,57,139.59,600,0.62
ENE030-000044,2024-01-15,B2,22.9,73,242.02,1200,0.62
ENE030-000045,2024-01-15,B3,19.7,113,310.01,1800,0.62
ENE030-000046,2024-01-16,B1,19.0,45,109.13,600,0.62
ENE030-000047,2024-01-16,B2,24.0,100,311.32,1200,0.62
ENE030-000048,2024-01-16,B3,21.1,130,353.21,1800,0.62
ENE030-000049,2024-01-17,B1,18.0,46,126.69,600,0.62
ENE030-000050,2024-01-17,B2,23.5,83,272.27,1200,0.62
ENE030-000051,2024-01-17,B3,21.4,110,321.17,1800,0.62
ENE030-000052,2024-01-18,B1,22.0,56,149.18,600,0.62
ENE030-000053,2024-01-18,B2,21.4,80,230.05,1200,0.62
ENE030-000054,2024-01-18,B3,22.9,120,377.61,1800,0.62
ENE030-000055,2024-01-19,B1,22.3,49,134.88,600,0.62
ENE030-000056,2024-01-19,B2,20.8,80,213.96,1200,0.62
ENE030-000057,2024-01-19,B3,19.8,114,302.62,1800,0.62
ENE030-000058,2024-01-20,B1,22.8,12,82.07,600,0.62
ENE030-000059,2024-01-20,B2,23.0,11,162.38,1200,0.62
ENE030-000060,2024-01-20,B3,21.0,24,204.63,1800,0.62
ENE030-000061,2024-01-21,B1,23.7,10,92.0,600,0.62
ENE030-000062,2024-01-21,B2,24.2,12,182.65,1200,0.62
ENE030-000063,2024-01-21,B3,22.3,23,220.59,1800,0.62
ENE030-000064,2024-01-22,B1,23.1,51,139.71,600,0.62
ENE030-000065,2024-01-22,B2,24.6,87,310.57,1200,0.62
ENE030-000066,2024-01-22,B3,24.0,126,425.25,1800,0.62
ENE030-000067,2024-01-23,B1,21.8,46,113.13,600,0.62
ENE030-000068,2024-01-23,B2,24.0,76,263.07,1200,0.62
ENE030-000069,2024-01-23,B3,22.7,112,370.12,1800,0.62
ENE030-000070,2024-01-24,B1,22.6,40,136.33,600,0.62
ENE030-000072,2024-01-24,B3,24.6,107,412.84,1800,0.62
ENE030-000073,2024-01-25,B1,23.9,63,175.43,600,0.62
ENE030-000074,2024-01-25,B2,22.3,88,258.99,1200,0.62
ENE030-000075,2024-01-25,B3,20.1,116,324.7,1800,0.62
ENE030-000076,2024-01-26,B1,23.0,62,159.81,600,0.62
ENE030-000077,2024-01-26,B2,21.0,96,245.03,1200,0.62
ENE030-000078,2024-01-26,B3,24.3,101,395.87,1800,0.62
ENE030-000079,2024-01-27,B1,23.5,5,81.69,600,0.62
ENE030-000080,2024-01-27,B2,24.1,18,190.58,1200,0.62
ENE030-000081,2024-01-27,B3,25.6,16,328.46,1800,0.62
ENE030-000082,2024-01-28,B1,22.6,5,73.88,600,0.62
ENE030-000083,2024-01-28,B2,27.2,11,277.54,1200,0.62
ENE030-000084,2024-01-28,B3,21.6,21,,1800,0.62
ENE030-000085,2024-01-29,B1,22.7,19,97.16,600,0.62
ENE030-000086,2024-01-29,B2,24.1,95,297.43,1200,0.62
ENE030-000087,2024-01-29,B3,22.5,104,349.45,1800,0.62
ENE030-000088,2024-01-30,B1,26.4,29,157.19,600,0.62
ENE030-000089,2024-01-30,B2,23.3,105,287.48,1200,0.62
ENE030-000090,2024-01-30,B3,24.1,102,397.02,1800,0.62
ENE030-000091,2024-01-31,B1,23.7,44,152.7,600,0.62
ENE030-000092,2024-01-31,B2,22.7,65,227.41,1200,0.62
ENE030-000093,2024-01-31,B3,27.9,125,620.03,1800,0.62
ENE030-000094,2024-02-01,B1,23.5,45,135.99,600,0.62
ENE030-000095,2024-02-01,B2,23.4,58,226.32,1200,0.62
ENE030-000096,2024-02-01,B3,24.1,113,405.33,1800,0.62
ENE030-000097,2024-02-02,B1,27.0,39,183.64,600,0.62
ENE030-000098,2024-02-02,B2,21.4,88,250.95,1200,0.62
ENE030-000099,2024-02-02,B3,23.0,110,357.74,1800,0.62
ENE030-000100,2024-02-03,B1,25.9,8,115.76,600,0.62
ENE030-000101,2024-02-03,B2,24.4,13,181.13,1200,0.62
ENE030-000102,2024-02-03,B3,24.8,22,301.85,1800,0.62
ENE030-000103,2024-02-04,B1,23.9,10,107.93,600,0.62
ENE030-000104,2024-02-04,B2,22.7,11,139.32,1200,0.62
ENE030-000105,2024-02-04,B3,22.7,18,229.22,1800,0.62
ENE030-000106,2024-02-05,B1,26.2,49,187.2,600,0.62
ENE030-000107,2024-02-05,B2,24.3,78,302.03,1200,0.62
ENE030-000108,2024-02-05,B3,24.1,108,406.54,1800,0.62
ENE030-000109,2024-02-06,B1,23.4,43,142.35,600,0.62
ENE030-000110,2024-02-06,B2,25.1,84,310.79,1200,0.62
ENE030-000111,2024-02-06,B3,24.5,110,426.8,1800,0.62
ENE030-000112,2024-02-07,B1,25.1,31,129.96,600,0.62
