registro_id,fecha_reserva,fecha_llegada,hotel,canal,noches,tarifa,cancelada,pais
TUR011-000001,2024-01-01,2024-01-23,H1,agencia,6,97.44,0,ES
TUR011-000002,2024-01-01,2024-05-26,H2,directo,11,162.32,0,CL
TUR011-000003,2024-01-01,2024-05-24,H3,agencia,8,203.06,0,PE
TUR011-000004,2024-01-01,2024-03-29,H1,plataforma,7,109.33,0,ES
TUR011-000005,2024-01-01,2024-01-29,H2,agencia,11,143.82,0,CL
TUR011-000006,2024-01-02,2024-03-29,H3,plataforma,3,198.66,0,CL
TUR011-000007,2024-01-02,2024-02-03,H1,agencia,3,113.42,0,ES
TUR011-000008,2024-01-02,2024-03-14,H2,agencia,9,154.34,0,CL
TUR011-000009,2024-01-02,2024-04-12,H3,agencia,5,201.35,0,CO
TUR011-000010,2024-01-03,2024-02-27,H1,directo,6,96.27,0,CO
TUR011-000011,2024-01-03,2024-03-19,H2,plataforma,1,162.46,0,CO
TUR011-000012,2024-01-03,2024-02-25,H3,plataforma,11,190.23,0,PE
TUR011-000013,2024-01-03,2024-04-15,H1,agencia,9,118.86,0,CL
TUR011-000014,2024-01-04,2024-03-07,H2,plataforma,1,152.25,1,PE
TUR011-000015,2024-01-04,2024-01-31,H3,plataforma,1,200.29,1,CL
TUR011-000016,2024-01-04,2024-04-29,H1,plataforma,12,102.25,1,PE
TUR011-000017,2024-01-04,2024-01-15,H2,plataforma,12,153.6,1,ES
TUR011-000018,2024-01-04,2024-03-14,H3,plataforma,9,209.02,0,CL
TUR011-000019,2024-01-05,2024-05-14,H1,agencia,9,110.33,0,CO
TUR011-000020,2024-01-05,2024-05-05,H2,directo,4,159.93,0,CO
TUR011-000021,2024-01-05,2024-05-14,H3,directo,6,211.53,1,CO
TUR011-000022,2024-01-05,2024-04-14,H1,plataforma,1,118.56,0,CL
TUR011-000023,2024-01-06,2024-03-26,H2,directo,11,167.17,1,ES
