registro_id	fecha	sensor	zona	valor	unidad	horas_operativas
SEN026-000001	2024-01-01	S1	norte	23.94	C	24
SEN026-000002	2024-01-01	S2	centro	23.77	C	24
SEN026-000003	2024-01-01	S3	sur	67.22	F	18
SEN026-000004	2024-01-02	S1	norte	19.85	C	6
SEN026-000005	2024-01-02	S2	centro	21.19	C	6
SEN026-000006	2024-01-02	S3	sur	72.62	F	6
SEN026-000007	2024-01-03	S1	norte	16.08	C	6
SEN026-000008	2024-01-03	S2	centro	22.86	C	24
SEN026-000009	2024-01-03	S3	sur	72.98	F	24
SEN026-000010	2024-01-04	S1	norte	17.1	C	24
SEN026-000011	2024-01-04	S2	centro	20.38	C	12
SEN026-000012	2024-01-04	S3	sur	74.68	F	18
SEN026-000013	2024-01-05	S1	norte	21.76	C	24
SEN026-000014	2024-01-05	S2	centro	21.88	C	24
SEN026-000015	2024-01-05	S3	sur	73.35	F	24
SEN026-000016	2024-01-06	S1	norte	18.47	C	24
SEN026-000017	2024-01-06	S2	centro	21.25	C	24
SEN026-000019	2024-01-07	S1	norte	21.17	C	12
SEN026-000020	2024-01-07	S2	centro	20.79	C	24
SEN026-000021	2024-01-07	S3	sur	74.7	F	24
SEN026-000022	2024-01-08	S1	norte	15.88	C	12
SEN026-000023	2024-01-08	S2	centro	20.42	C	12
SEN026-000024	2024-01-08	S3	sur	78.19	F	24
SEN026-000025	2024-01-09	S1	norte	18.31	C	24
SEN026-000026	2024-01-09	S2	centro	20.79	C	24
SEN026-000027	2024-01-09	S3	sur	71.48	F	24
SEN026-000028	2024-01-10	S1	norte	19.8	C	12
SEN026-000029	2024-01-10	S2	centro	20.27	C	24
SEN026-000030	2024-01-10	S3	sur	74.25	F	18
SEN026-000031	2024-01-11	S1	norte	20.21	C	12
SEN026-000032	2024-01-11	S2	centro	22.07	C	24
SEN026-000033	2024-01-11	S3	sur	72.83	F	24
SEN026-000034	2024-01-12	S1	norte	21.82	C	18
SEN026-000035	2024-01-12	S2	centro	21.88	C	24
SEN026-000036	2024-01-12	S3	sur	72.06	F	24
SEN026-000037	2024-01-13	S1	norte	19.84	C	18
SEN026-000038	2024-01-13	S2	centro	20.73	C	24
SEN026-000039	2024-01-13	S3	sur	74.06	F	24
SEN026-000040	2024-01-14	S1	norte	21.39	C	24
SEN026-000041	2024-01-14	S2	centro	20.79	C	12
SEN026-000042	2024-01-14	S3	sur	76.2	F	18
SEN026-000043	2024-01-15	S1	norte	18.61	C	6
SEN026-000044	2024-01-15	S2	centro	22.81	C	18
SEN026-000045	2024-01-15	S3	sur	75.5	F	18
SEN026-000046	2024-01-16	S1	norte	19.93	C	24
SEN026-000047	2024-01-16	S2	centro	19.01	C	24
SEN026-000048	2024-01-16	S3	sur	74.39	F	24
SEN026-000049	2024-01-17	S1	norte	19.16	C	12
SEN026-000050	2024-01-17	S2	centro	21.75	C	24
SEN026-000051	2024-01-17	S3	sur	73.3	F	24
SEN026-000052	2024-01-18	S1	norte	19.78	C	12
SEN026-000053	2024-01-18	S2	centro	20.32	C	18
SEN026-000054	2024-01-18	S3	sur	74.86	F	24
SEN026-000055	2024-01-19	S1	norte	20.59	C	6
SEN026-000056	2024-01-19	S2	centro	21.05	C	24
SEN026-000057	2024-01-19	S3	sur	77.49	F	24
SEN026-000058	2024-01-20	S1	norte	16.07	C	6
SEN026-000059	2024-01-20	S2	centro	20.86	C	6
SEN026-000060	2024-01-20	S3	sur	76.65	F	18
SEN026-000061	2024-01-21	S1	norte	21.86	C	12
SEN026-000062	2024-01-21	S2	centro	22.54	C	12
SEN026-000063	2024-01-21	S3	sur	77.6	F	6
SEN026-000064	2024-01-22	S1	norte	20.52	C	24
SEN026-000065	2024-01-22	S2	centro	23.33	C	24
SEN026-000066	2024-01-22	S3	sur	70.84	F	24
SEN026-000067	2024-01-23	S1	norte	20.03	C	24
SEN026-000068	2024-01-23	S2	centro	21.92	C	24
SEN026-000069	2024-01-23	S3	sur	74.96	F	24
SEN026-000070	2024-01-24	S1	norte	23.38	C	12
SEN026-000072	2024-01-24	S3	sur	82.98	F	24
SEN026-000073	2024-01-25	S1	norte	22.69	C	24
SEN026-000074	2024-01-25	S2	centro	21.69	C	12
SEN026-000075	2024-01-25	S3	sur	83.62	F	24
SEN026-000076	2024-01-26	S1	norte	20.74	C	6
SEN026-000077	2024-01-26	S2	centro	21.01	C	24
SEN026-000078	2024-01-26	S3	sur	77.18	F	18
SEN026-000079	2024-01-27	S1	norte	19.96	C	24
SEN026-000080	2024-01-27	S2	centro	26.68	C	18
SEN026-000081	2024-01-27	S3	sur	81.77	F	24
SEN026-000082	2024-01-28	S1	norte	20.49	C	24
SEN026-000083	2024-01-28	S2	centro	24.18	C	24
SEN026-000084	2024-01-28	S3	sur		F	24
SEN026-000085	2024-01-29	S1	norte	21.5	C	24
SEN026-000086	2024-01-29	S2	centro	24.88	C	24
SEN026-000087	2024-01-29	S3	sur	79.87	F	24
SEN026-000088	2024-01-30	S1	norte	20.46	C	18
SEN026-000089	2024-01-30	S2	centro	24.25	C	24
SEN026-000090	2024-01-30	S3	sur	81.28	F	24
SEN026-000091	2024-01-31	S1	norte	21.61	C	6
SEN026-000092	2024-01-31	S2	centro	25.24	C	24
SEN026-000093	2024-01-31	S3	sur	78.92	F	6
SEN026-000094	2024-02-01	S1	norte	25.26	C	24
SEN026-000095	2024-02-01	S2	centro	23.96	C	6
SEN026-000096	2024-02-01	S3	sur	74.67	F	12
SEN026-000097	2024-02-02	S1	norte	19.25	C	18
SEN026-000098	2024-02-02	S2	 CENTRO 	23.33	C	24
SEN026-000099	2024-02-02	S3	sur	81.89	F	24
SEN026-000100	2024-02-03	S1	norte	21.64	C	24
SEN026-000101	2024-02-03	S2	centro	21.49	C	24
SEN026-000102	2024-02-03	S3	sur	82.68	F	24
SEN026-000103	2024-02-04	S1	norte	19.64	C	24
SEN026-000104	2024-02-04	S2	centro	24.5	C	12
SEN026-000105	2024-02-04	S3	sur	69.75	F	24
SEN026-000106	2024-02-05	S1	norte	18.75	C	24
SEN026-000107	2024-02-05	S2	centro	24.92	C	12
SEN026-000108	2024-02-05	S3	sur	80.99	F	24
SEN026-000109	2024-02-06	S1	norte	22.13	C	24
SEN026-000110	2024-02-06	S2	centro	26.05	C	24
SEN026-000111	2024-02-06	S3	sur	80.92	F	24
SEN026-000112	2024-02-07	S1	norte	20.87	C	24
SEN026-000113	2024-02-07	S2	centro	23.76	C	24
SEN026-000114	2024-02-07	S3	sur	79.42	F	12
SEN026-000115	2024-02-08	S1	norte	20.77	C	18
SEN026-000116	2024-02-08	S2	centro	25.27	C	24
SEN026-000117	2024-02-08	S3	sur	78.45	F	18
SEN026-000118	2024-02-09	S1	norte	19.94	C	18
SEN026-000119	2024-02-09	S2	centro	24.01	C	24
SEN026-000120	2024-02-09	S3	sur	76.63	F	12
SEN026-000121	2024-02-10	S1	norte	22.67	C	24
SEN026-000122	2024-02-10	S2	centro	23.27	C	18
SEN026-000123	2024-02-10	S3	sur	85.84	F	24
SEN026-000125	2024-02-11	S2	centro	24.78	C	6
SEN026-000126	2024-02-11	S3	sur	73.09	F	24
SEN026-000127	2024-02-12	S1	norte	21.15	C	18
SEN026-000128	2024-02-12	S2	centro	26.87	C	18
SEN026-000129	2024-02-12	S3	sur	83.29	F	12
SEN026-000130	2024-02-13	S1	norte	24.82	C	6
SEN026-000131	2024-02-13	S2	centro	24.56	C	6
SEN026-000132	2024-02-13	S3	sur	82.46	F	12
SEN026-000133	2024-02-14	S1	norte	24.04	C	24
SEN026-000134	2024-02-14	S2	centro	24.48	C	24
SEN026-000135	2024-02-14	S3	sur	82.65	F	6
SEN026-000136	2024-02-15	S1	norte	23.14	C	24
SEN026-000137	2024-02-15	S2	centro	27.73	C	18
SEN026-000138	2024-02-15	S3	sur	79.95	F	6
SEN026-000139	2024-02-16	S1	norte	25.27	C	12
SEN026-000140	2024-02-16	S2	centro	28.72	C	24
SEN026-000141	2024-02-16	S3	sur	80.01	F	6
SEN026-000142	2024-02-17	S1	norte	20.77	C	6
SEN026-000143	2024-02-17	S2	centro	22.89	C	24
SEN026-000144	2024-02-17	S3	sur	73.52	F	6
SEN026-000145	2024-02-18	S1	norte	25.71	C	24
SEN026-000146	2024-02-18	S2	centro	25.38	C	24
