registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL054-000001,2024-01-01,C0001,esencial,norte,7,18.76,2,0,
TEL054-000002,2024-01-01,C0002,plus,norte,8,19.61,1,0,
TEL054-000003,2024-01-01,C0003,total,sur,31,49.21,2,0,
TEL054-000004,2024-01-01,C0004,esencial,norte,80,14.71,0,0,
TEL054-000005,2024-01-01,C0005,plus,sur,17,38.03,0,0,
TEL054-000006,2024-01-01,C0006,total,norte,2,49.51,0,0,
TEL054-000007,2024-01-01,C0007,esencial,centro,75,16.16,0,0,
TEL054-000008,2024-01-01,C0008,plus,norte,70,35.26,1,0,
TEL054-000009,2024-01-01,C0009,total,sur,43,32.11,0,0,
TEL054-000010,2024-01-01,C0010,esencial,sur,87,9.92,0,0,
TEL054-000011,2024-01-01,C0011,plus,norte,89,19.41,1,0,
TEL054-000012,2024-01-01,C0012,total,sur,12,43.6,1,0,
TEL054-000013,2024-01-01,C0013,esencial,norte,5,20.15,0,0,
TEL054-000014,2024-01-01,C0014,plus,centro,70,39.19,0,0,
TEL054-000015,2024-01-01,C0015,total,centro,90,38.67,3,0,
TEL054-000016,2024-01-01,C0016,esencial,sur,51,0,1,0,
TEL054-000017,2024-01-01,C0017,plus,sur,60,15.65,0,0,
TEL054-000018,2024-01-01,C0018,total,sur,14,45.82,0,0,
TEL054-000019,2024-01-01,C0019,esencial,norte,35,8.43,0,0,
TEL054-000020,2024-01-01,C0020,plus,sur,73,37.5,0,0,
TEL054-000021,2024-01-01,C0021,total,sur,13,45.41,1,1,mudanza
TEL054-000022,2024-01-01,C0022,esencial,centro,90,0.62,1,0,
TEL054-000023,2024-01-01,C0023,plus,centro,50,20.37,3,0,
TEL054-000024,2024-01-01,C0024,total,sur,89,45.42,2,0,
TEL054-000025,2024-01-01,C0025,esencial,centro,29,0,0,0,
TEL054-000026,2024-01-01,C0026,plus,sur,56,15.89,0,0,
TEL054-000027,2024-01-01,C0027,total,centro,13,46.05,2,0,
TEL054-000028,2024-01-01,C0028,esencial,norte,50,8.99,0,0,
TEL054-000029,2024-01-01,C0029,plus,centro,37,37.98,0,0,
TEL054-000030,2024-01-01,C0030,total,norte,42,52.21,2,0,
TEL054-000031,2024-01-01,C0031,esencial,centro,10,2.43,0,1,precio
TEL054-000032,2024-01-01,C0032,plus,norte,32,30.22,1,0,
TEL054-000033,2024-01-01,C0033,total,sur,89,46.69,2,0,
TEL054-000034,2024-01-01,C0034,esencial,norte,69,17.17,0,0,
TEL054-000035,2024-01-01,C0035,plus,sur,81,38.91,0,0,
TEL054-000036,2024-01-01,C0036,total,norte,51,45.44,0,0,
TEL054-000037,2024-01-01,C0037,esencial,norte,33,16.05,0,0,
TEL054-000038,2024-01-01,C0038,plus,centro,37,42.8,0,0,
TEL054-000039,2024-01-01,C0039,total,norte,81,50.31,1,0,
TEL054-000040,2024-01-01,C0040,esencial,norte,74,15.43,2,0,
TEL054-000041,2024-01-01,C0041,plus,norte,73,15.24,0,0,
TEL054-000042,2024-01-01,C0042,total,norte,22,63.2,1,0,
TEL054-000043,2024-01-01,C0043,esencial,centro,7,2.99,1,1,mudanza
TEL054-000044,2024-01-01,C0044,plus,centro,90,33.24,0,0,
TEL054-000045,2024-01-01,C0045,total,norte,52,52.31,1,0,
TEL054-000046,2024-01-01,C0046,esencial,norte,13,19.06,0,0,
TEL054-000047,2024-01-01,C0047,plus,centro,62,33.31,2,1,precio
TEL054-000048,2024-01-01,C0048,total,sur,62,60.97,0,0,
TEL054-000049,2024-01-01,C0049,esencial,centro,86,14.22,1,0,
TEL054-000050,2024-01-01,C0050,plus,norte,34,22.19,0,0,
TEL054-000051,2024-01-01,C0051,total,centro,69,51.56,3,0,
TEL054-000052,2024-01-01,C0052,esencial,norte,85,16.62,0,0,
TEL054-000053,2024-01-01,C0053,plus,centro,47,16.43,2,0,
TEL054-000054,2024-01-01,C0054,total,sur,48,46.18,0,0,
TEL054-000055,2024-01-01,C0055,esencial,norte,32,4.12,0,0,
TEL054-000056,2024-01-01,C0056,plus,centro,64,35.09,0,0,
TEL054-000057,2024-01-01,C0057,total,sur,34,56.46,1,0,
TEL054-000058,2024-01-01,C0058,esencial,centro,54,5.88,0,0,
TEL054-000059,2024-01-01,C0059,plus,centro,85,18.88,3,0,
TEL054-000060,2024-01-01,C0060,total,norte,57,52.69,2,0,
TEL054-000061,2024-01-01,C0061,esencial,centro,10,22.52,1,0,
TEL054-000062,2024-01-01,C0062,plus,centro,32,34.59,0,0,
TEL054-000063,2024-01-01,C0063,total,centro,3,47.21,1,0,
TEL054-000064,2024-01-01,C0064,esencial,centro,82,11.91,0,0,
TEL054-000065,2024-01-01,C0065,plus,centro,6,39.73,0,0,
TEL054-000066,2024-01-01,C0066,total,sur,42,45.03,1,0,
TEL054-000067,2024-01-01,C0067,esencial,sur,64,20.14,3,0,
TEL054-000068,2024-01-01,C0068,plus,norte,26,42.54,0,0,
TEL054-000069,2024-01-01,C0069,total,sur,48,59.19,0,0,
TEL054-000070,2024-01-01,C0070,esencial,centro,2,10.15,0,0,
TEL054-000071,2024-01-01,C0071,plus,centro,68,25.95,0,0,
TEL054-000072,2024-01-01,C0072,total,norte,27,51.53,1,0,
TEL054-000073,2024-01-01,C0073,esencial,sur,21,1.45,0,0,
TEL054-000074,2024-01-01,C0074,plus,centro,42,15.02,1,0,
TEL054-000075,2024-01-01,C0075,total,sur,52,35.15,1,1,servicio
TEL054-000076,2024-01-01,C0076,esencial,centro,45,7.23,2,0,
TEL054-000077,2024-01-01,C0077,plus,sur,27,28.18,1,0,
TEL054-000078,2024-01-01,C0078,total,centro,69,26.75,0,0,
TEL054-000079,2024-01-01,C0079,esencial,sur,77,5.32,1,1,servicio
TEL054-000080,2024-01-01,C0080,plus,sur,72,37.11,0,0,
TEL054-000081,2024-01-01,C0081,total,norte,19,58.61,0,0,
TEL054-000082,2024-01-01,C0082,esencial,centro,26,10.28,1,0,
TEL054-000083,2024-01-01,C0083,plus,centro,30,25.23,0,0,
TEL054-000084,2024-01-01,C0084,total,norte,18,,1,0,
TEL054-000085,2024-01-01,C0085,esencial,centro,37,0.5,0,0,
TEL054-000086,2024-01-01,C0086,plus,norte,65,42.82,0,0,
TEL054-000087,2024-01-01,C0087,total,centro,46,57.36,0,0,
TEL054-000088,2024-01-01,C0088,esencial,norte,10,16.69,0,0,
TEL054-000089,2024-01-01,C0089,plus,sur,31,33.2,1,0,
TEL054-000090,2024-01-01,C0090,total,sur,32,59.65,2,0,
TEL054-000091,2024-01-01,C0091,esencial,norte,52,33.17,1,0,
TEL054-000092,2024-01-01,C0092,plus,sur,28,20.61,2,0,
TEL054-000093,2024-01-01,C0093,total,centro,53,52.48,1,0,
TEL054-000094,2024-01-01,C0094,esencial,norte,34,14.12,3,0,
TEL054-000095,2024-01-01,C0095,plus,norte,75,29.2,0,0,
TEL054-000096,2024-01-01,C0096,total,sur,67,48.11,0,0,
TEL054-000097,2024-01-01,C0097,esencial,norte,20,26.3,0,1,servicio
