registro_id,fecha,sede,modalidad,asistencia_pct,nota_inicial,nota_final,horas_estudio,tutorias
NOT044-000001,2024-01-01,S1,virtual,82.0,15.9,14.0,6.4,1
NOT044-000002,2024-01-01,S2,presencial,83.8,10.2,9.4,1.7,2
NOT044-000003,2024-01-02,S3,virtual,81.1,14.4,15.5,7.4,3
NOT044-000004,2024-01-02,S1,presencial,77.8,8.6,11.2,10.5,6
NOT044-000005,2024-01-03,S2,presencial,95.9,6.7,8.4,2.1,8
NOT044-000006,2024-01-03,S3,virtual,100,9.3,11.2,10.6,3
NOT044-000007,2024-01-04,S1,presencial,77.2,9.4,10.4,1.9,2
NOT044-000008,2024-01-05,S2,presencial,66.9,10.6,9.7,6.6,3
NOT044-000009,2024-01-05,S3,presencial,72.3,13.7,11.6,3.1,0
NOT044-000010,2024-01-06,S1,virtual,81.6,12.5,16.5,6.9,1
NOT044-000011,2024-01-06,S2,presencial,100,8.8,8.5,1.0,10
NOT044-000012,2024-01-07,S3,presencial,59.7,13.7,12.0,4.6,2
NOT044-000013,2024-01-08,S1,virtual,100,7.4,8.0,9.4,3
NOT044-000014,2024-01-08,S2,presencial,88.6,6.5,9.1,10.3,7
NOT044-000015,2024-01-09,S3,presencial,55.7,11.3,7.8,11.7,3
NOT044-000016,2024-01-09,S1,presencial,91.9,14.5,14.6,5.8,2
NOT044-000017,2024-01-10,S2,presencial,53.3,9.0,8.6,10.1,6
NOT044-000018,2024-01-11,S3,presencial,100,13.6,13.2,7.1,1
NOT044-000019,2024-01-11,S1,virtual,68.0,7.2,13.5,4.6,2
NOT044-000020,2024-01-12,S2,virtual,82.8,12.2,10.3,11.7,3
NOT044-000021,2024-01-12,S3,presencial,92.7,10.2,12.4,1.0,1
NOT044-000022,2024-01-13,S1,presencial,74.7,11.1,8.6,0.6,3
NOT044-000023,2024-01-13,S2,virtual,59.2,8.4,8.5,8.0,3
NOT044-000024,2024-01-14,S3,virtual,58.5,14.7,14.2,6.4,2
NOT044-000025,2024-01-15,S1,presencial,100,10.9,12.7,7.1,3
NOT044-000026,2024-01-15,S2,virtual,60.7,9.4,13.5,5.9,2
NOT044-000027,2024-01-16,S3,presencial,96.5,8.0,7.8,2.2,5
NOT044-000028,2024-01-16,S1,virtual,59.8,12.9,14.8,7.2,3
NOT044-000029,2024-01-17,S2,virtual,94.9,15.7,14.1,4.1,1
NOT044-000030,2024-01-18,S3,virtual,88.0,16.4,17.9,0.9,2
NOT044-000031,2024-01-18,S1,presencial,70.0,9.5,10.9,2.5,9
NOT044-000032,2024-01-19,S2,virtual,86.4,12.1,12.4,8.2,1
NOT044-000033,2024-01-19,S3,presencial,87.2,9.1,12.8,0.8,4
NOT044-000034,2024-01-20,S1,virtual,76.2,10.3,11.5,4.6,3
NOT044-000035,2024-01-21,S2,virtual,66.3,9.0,9.1,0.8,7
NOT044-000036,2024-01-21,S3,presencial,48.2,10.2,8.7,8.1,0
NOT044-000037,2024-01-22,S1,virtual,50.8,8.8,9.0,0.3,5
NOT044-000038,2024-01-22,S2,virtual,68.6,8.6,9.6,8.4,4
NOT044-000039,2024-01-23,S3,virtual,67.9,18.8,14.2,0.7,3
NOT044-000040,2024-01-23,S1,virtual,80.5,11.0,10.8,9.5,0
NOT044-000041,2024-01-24,S2,virtual,78.3,12.8,13.0,6.5,3
NOT044-000042,2024-01-25,S3,presencial,75.3,14.7,15.6,1.4,0
NOT044-000043,2024-01-25,S1,virtual,65.2,5.1,9.6,11.4,9
