registro_id,fecha,zona,canal,invitado,responde,satisfaccion,peso
ENC049-000001,2024-01-01,norte,web,1,1,5,5.581395
ENC049-000002,2024-01-01,centro,telefono,1,1,4,13.953488
ENC049-000003,2024-01-02,sur,telefono,1,1,4,8.372093
ENC049-000004,2024-01-02,norte,telefono,1,1,3,5.581395
ENC049-000005,2024-01-03,centro,web,1,1,4,13.953488
ENC049-000006,2024-01-03,sur,web,1,0,,8.372093
ENC049-000007,2024-01-04,norte,web,1,1,5,5.581395
ENC049-000008,2024-01-04,centro,telefono,1,0,,13.953488
ENC049-000009,2024-01-05,sur,telefono,1,0,,8.372093
ENC049-000010,2024-01-06,norte,telefono,1,1,3,5.581395
ENC049-000011,2024-01-06,centro,web,1,0,,13.953488
ENC049-000012,2024-01-07,sur,telefono,1,1,4,8.372093
ENC049-000013,2024-01-07,norte,web,1,1,4,5.581395
ENC049-000014,2024-01-08,centro,telefono,1,1,5,13.953488
ENC049-000015,2024-01-08,sur,web,1,0,,8.372093
ENC049-000016,2024-01-09,norte,telefono,1,1,2,5.581395
ENC049-000017,2024-01-10,centro,web,1,1,4,13.953488
ENC049-000018,2024-01-10,sur,web,1,1,4,8.372093
ENC049-000019,2024-01-11,norte,web,1,0,,5.581395
ENC049-000020,2024-01-11,centro,web,1,0,,13.953488
ENC049-000021,2024-01-12,sur,web,1,1,2,8.372093
ENC049-000022,2024-01-12,norte,web,1,1,4,5.581395
ENC049-000023,2024-01-13,centro,telefono,1,0,,13.953488
ENC049-000024,2024-01-14,sur,telefono,1,0,,8.372093
ENC049-000025,2024-01-14,norte,telefono,1,1,4,5.581395
ENC049-000026,2024-01-15,centro,web,1,0,,13.953488
ENC049-000027,2024-01-15,sur,telefono,1,1,4,8.372093
ENC049-000028,2024-01-16,norte,telefono,1,1,4,5.581395
ENC049-000029,2024-01-16,centro,telefono,1,0,,13.953488
ENC049-000030,2024-01-17,sur,telefono,1,0,,8.372093
ENC049-000031,2024-01-18,norte,telefono,1,1,5,5.581395
ENC049-000032,2024-01-18,centro,web,1,1,3,13.953488
ENC049-000033,2024-01-19,sur,telefono,1,1,3,8.372093
ENC049-000034,2024-01-19,norte,web,1,1,4,5.581395
ENC049-000035,2024-01-20,centro,web,1,0,,13.953488
ENC049-000036,2024-01-20,sur,telefono,1,1,3,8.372093
