registro_id,fecha,ruta,transportista,distancia_km,carga_kg,tiempo_min,prometido_min,entregado
TRA067-000001,2024-01-01,R1,T1,65.6,40.9,101.9,105.4,1
TRA067-000002,2024-01-01,R3,T2,116.8,71.4,158.5,164.3,1
TRA067-000003,2024-01-01,R3,T3,145.4,23.6,178.6,197.2,1
TRA067-000004,2024-01-02,R1,T1,78.1,5.1,87.1,119.8,1
TRA067-000005,2024-01-02,R5,T2,23.8,19.4,36.5,57.4,1
TRA067-000006,2024-01-02,R2,T3,136.3,45.0,227.9,186.7,1
TRA067-000007,2024-01-03,R6,T1,132.1,145.3,,181.9,0
TRA067-000008,2024-01-03,R2,T2,25.5,33.7,69.4,59.3,1
TRA067-000009,2024-01-03,R2,T3,92.5,80.0,128.7,136.4,1
TRA067-000010,2024-01-04,R2,T1,122.4,138.7,165.3,170.8,1
TRA067-000011,2024-01-04,R2,T2,58.2,16.4,93.5,96.9,1
TRA067-000012,2024-01-04,R4,T3,28.9,147.5,93.3,63.2,1
TRA067-000013,2024-01-05,R3,T1,127.6,42.4,157.0,176.7,1
TRA067-000014,2024-01-05,R1,T2,107.0,112.2,,153.1,0
TRA067-000015,2024-01-05,R3,T3,61.0,104.2,117.9,100.1,1
TRA067-000016,2024-01-06,R2,T1,28.1,110.6,50.4,62.3,1
TRA067-000017,2024-01-06,R2,T2,13.0,74.0,26.1,45.0,1
TRA067-000018,2024-01-06,R6,T3,63.1,30.5,,102.6,0
TRA067-000019,2024-01-07,R5,T1,102.2,114.8,134.0,147.5,1
TRA067-000020,2024-01-07,R1,T2,116.9,19.4,144.2,164.4,1
TRA067-000021,2024-01-07,R2,T3,83.6,104.8,,126.1,0
TRA067-000022,2024-01-08,R6,T1,31.8,46.7,62.3,66.6,1
TRA067-000023,2024-01-08,R4,T2,80.5,18.9,90.9,122.6,1
TRA067-000024,2024-01-09,R3,T3,79.7,25.9,131.8,121.7,1
TRA067-000025,2024-01-09,R3,T1,68.1,64.9,87.8,108.3,1
TRA067-000026,2024-01-09,R4,T2,90.5,113.3,161.6,134.1,1
TRA067-000027,2024-01-10,R2,T3,109.6,91.6,191.0,156.0,1
TRA067-000028,2024-01-10,R5,T1,143.6,10.7,145.3,195.1,1
TRA067-000029,2024-01-10,R6,T2,140.0,99.6,182.2,191.0,1
TRA067-000030,2024-01-11,R4,T3,4.2,36.4,8.8,34.8,1
TRA067-000031,2024-01-11,R3,T1,18.4,93.3,56.7,51.2,1
TRA067-000032,2024-01-11,R4,T2,44.3,141.2,77.1,80.9,1
TRA067-000033,2024-01-12,R3,T3,8.9,145.8,58.3,40.2,1
TRA067-000034,2024-01-12,R5,T1,99.4,144.1,138.9,144.3,1
TRA067-000035,2024-01-12,R2,T2,107.9,53.5,171.7,154.1,1
TRA067-000036,2024-01-13,R4,T3,77.0,123.9,132.1,118.5,1
TRA067-000037,2024-01-13,R4,T1,103.5,92.6,120.5,149.0,1
TRA067-000038,2024-01-13,R4,T2,132.7,68.6,180.4,182.6,1
