registro_id,fecha,maquina,turno,unidades,defectos,horas,parada_min,vibracion,mantenimiento,fallo_7d,reparacion_coste
IND079-000001,2024-01-01,M1,dia,323,0,7.3,26.7,1.68,0,0,0
IND079-000002,2024-01-01,M2,dia,119,6,3.2,12.0,5.78,0,1,1172.47
IND079-000003,2024-01-01,M3,dia,725,18,3.1,10.8,3.69,0,0,0
IND079-000004,2024-01-01,M4,dia,793,24,3.1,14.9,4.04,0,0,0
IND079-000005,2024-01-01,M5,dia,107,2,3.4,44.6,3.57,0,0,0
IND079-000006,2024-01-02,M6,dia,502,22,4.4,12.5,3.86,1,0,0
IND079-000007,2024-01-02,M1,noche,663,5,7.2,32.0,3.84,0,0,0
IND079-000008,2024-01-02,M2,noche,258,4,4.9,23.6,2.92,0,1,1089.48
IND079-000009,2024-01-02,M3,noche,344,7,4.4,5.0,2.58,0,0,0
IND079-000010,2024-01-03,M4,noche,361,14,5.4,35.2,2.95,0,0,0
IND079-000011,2024-01-03,M5,noche,452,16,7.0,6.2,3.82,0,0,0
IND079-000012,2024-01-03,M6,noche,781,34,4.7,17.3,2.41,0,0,0
IND079-000013,2024-01-03,M1,dia,421,2,7.6,28.1,2.03,0,0,0
IND079-000014,2024-01-04,M2,dia,211,10,4.8,12.8,4.21,0,0,0
IND079-000015,2024-01-04,M3,dia,377,5,4.8,31.3,1.42,0,0,0
IND079-000016,2024-01-04,M4,dia,785,19,3.1,0.6,1.72,0,0,0
IND079-000017,2024-01-04,M5,dia,501,16,7.7,28.8,3.97,0,0,0
IND079-000018,2024-01-05,M6,dia,156,2,6.4,12.7,3.36,0,0,0
IND079-000019,2024-01-05,M1,noche,795,9,5.2,10.9,4.48,0,0,0
IND079-000020,2024-01-05,M2,noche,441,4,6.5,11.4,2.35,0,0,0
IND079-000021,2024-01-05,M3,noche,798,6,4.8,44.8,1.04,0,0,0
IND079-000022,2024-01-06,M4,noche,145,6,6.8,9.4,2.71,0,0,0
IND079-000023,2024-01-06,M5,noche,92,5,7.0,9.9,1.83,0,0,0
