registro_id,fecha,distrito,kg,reciclable_kg,habitantes,km,cobertura_pct
RES057-000001,2024-01-01,norte,360.6,63.4,2400,17.6,60
RES057-000002,2024-01-01,centro,1225.8,213.9,6000,27.2,100
RES057-000003,2024-01-01,sur,444.9,97.2,3600,25.5,60
RES057-000004,2024-01-02,norte,440.8,104.4,2400,23.6,100
RES057-000005,2024-01-02,centro,1120.1,193.9,6000,22.3,100
RES057-000006,2024-01-02,sur,735.4,162.7,3600,11.2,100
RES057-000007,2024-01-03,norte,462.4,91.9,2400,22.7,100
RES057-000008,2024-01-03,centro,1118.0,237.2,6000,12.7,100
RES057-000009,2024-01-03,sur,353.8,84.9,3600,8.6,60
RES057-000010,2024-01-04,norte,197.2,46.3,2400,10.0,60
RES057-000011,2024-01-04,centro,1108.8,294.6,6000,11.1,100
RES057-000012,2024-01-04,sur,403.6,92.7,3600,22.8,60
RES057-000013,2024-01-05,norte,379.4,89.0,2400,22.4,100
RES057-000014,2024-01-05,centro,926.9,187.8,6000,25.1,80
RES057-000015,2024-01-05,sur,379.2,80.7,3600,24.7,60
RES057-000016,2024-01-06,norte,481.0,96.7,2400,17.1,100
RES057-000017,2024-01-06,centro,1086.7,175.2,6000,29.7,100
RES057-000019,2024-01-07,norte,478.2,90.1,2400,15.8,100
RES057-000020,2024-01-07,centro,906.7,165.4,6000,28.7,80
RES057-000021,2024-01-07,sur,491.6,97.6,3600,11.7,80
RES057-000022,2024-01-08,norte,478.0,79.7,2400,18.2,100
RES057-000023,2024-01-08,centro,1218.9,175.6,6000,23.7,100
RES057-000024,2024-01-08,sur,503.5,118.9,3600,11.9,80
RES057-000025,2024-01-09,norte,351.3,62.3,2400,15.5,80
RES057-000026,2024-01-09,centro,1091.8,242.8,6000,23.7,100
RES057-000027,2024-01-09,sur,404.7,105.9,3600,15.6,60
RES057-000028,2024-01-10,norte,490.9,84.9,2400,10.4,100
RES057-000029,2024-01-10,centro,998.1,224.2,6000,28.9,100
RES057-000030,2024-01-10,sur,617.3,139.6,3600,15.4,100
RES057-000031,2024-01-11,norte,332.6,50.0,2400,25.0,80
RES057-000032,2024-01-11,centro,567.4,104.3,6000,8.2,60
RES057-000033,2024-01-11,sur,677.1,182.8,3600,16.2,100
RES057-000034,2024-01-12,norte,377.2,62.6,2400,25.9,80
RES057-000035,2024-01-12,centro,1111.1,240.8,6000,27.0,100
RES057-000036,2024-01-12,sur,652.8,165.2,3600,17.6,100
RES057-000037,2024-01-13,norte,514.1,79.3,2400,30.0,100
RES057-000038,2024-01-13,centro,941.8,222.5,6000,9.4,80
RES057-000039,2024-01-13,sur,627.8,176.6,3600,12.4,100
RES057-000040,2024-01-14,norte,325.0,57.7,2400,20.1,80
RES057-000041,2024-01-14,centro,613.0,101.8,6000,14.6,60
RES057-000042,2024-01-14,sur,574.2,148.5,3600,23.0,100
RES057-000043,2024-01-15,norte,422.6,71.0,2400,14.7,80
RES057-000044,2024-01-15,centro,1290.4,278.3,6000,11.8,100
RES057-000045,2024-01-15,sur,751.8,156.4,3600,11.7,100
RES057-000046,2024-01-16,norte,256.4,48.7,2400,9.4,80
RES057-000047,2024-01-16,centro,1148.0,245.6,6000,24.8,100
RES057-000048,2024-01-16,sur,699.7,201.5,3600,16.2,100
RES057-000049,2024-01-17,norte,222.0,44.8,2400,29.1,60
RES057-000050,2024-01-17,centro,1022.3,179.2,6000,21.0,100
RES057-000051,2024-01-17,sur,639.8,143.5,3600,9.0,100
RES057-000052,2024-01-18,norte,305.5,46.4,2400,25.8,100
RES057-000053,2024-01-18,centro,1028.4,219.2,6000,12.7,100
RES057-000054,2024-01-18,sur,653.3,133.4,3600,23.9,100
RES057-000055,2024-01-19,norte,343.6,64.1,2400,25.3,80
RES057-000056,2024-01-19,centro,649.6,131.8,6000,8.7,60
RES057-000057,2024-01-19,sur,648.2,151.5,3600,8.4,100
RES057-000058,2024-01-20,norte,367.5,78.7,2400,23.1,100
RES057-000059,2024-01-20,centro,1132.2,268.3,6000,16.2,100
RES057-000060,2024-01-20,sur,712.6,157.6,3600,26.8,100
RES057-000061,2024-01-21,norte,419.2,82.0,2400,19.5,80
RES057-000062,2024-01-21,centro,1202.7,233.2,6000,19.2,100
RES057-000063,2024-01-21,sur,643.5,168.8,3600,15.1,100
RES057-000064,2024-01-22,norte,405.0,86.8,2400,23.6,80
RES057-000065,2024-01-22,centro,982.8,216.0,6000,15.8,80
RES057-000066,2024-01-22,sur,579.0,134.3,3600,10.6,80
RES057-000067,2024-01-23,norte,428.3,76.8,2400,17.8,80
RES057-000068,2024-01-23,centro,628.5,142.6,6000,26.4,60
RES057-000069,2024-01-23,sur,639.8,150.0,3600,29.9,100
RES057-000070,2024-01-24,norte,497.0,70.2,2400,27.9,100
RES057-000072,2024-01-24,sur,532.4,140.5,3600,9.7,80
RES057-000073,2024-01-25,norte,396.7,72.5,2400,27.8,100
RES057-000074,2024-01-25,centro,1055.7,214.7,6000,8.3,100
RES057-000075,2024-01-25,sur,655.7,184.0,3600,28.3,100
