registro_id,fecha,ruta,transportista,distancia_km,carga_kg,tiempo_min,prometido_min,entregado
TRA096-000001,2024-01-01,R5,T1,128.8,30.9,162.4,178.1,1
TRA096-000002,2024-01-01,R5,T2,119.1,125.1,143.6,167.0,1
TRA096-000003,2024-01-01,R1,T3,42.4,86.8,84.7,78.8,1
TRA096-000004,2024-01-01,R1,T1,37.5,119.8,62.7,73.1,1
TRA096-000005,2024-01-01,R5,T2,13.2,118.5,49.2,45.2,1
TRA096-000006,2024-01-01,R6,T3,76.2,132.2,154.9,117.6,1
TRA096-000007,2024-01-01,R6,T1,73.8,123.4,89.4,114.9,1
TRA096-000008,2024-01-02,R3,T2,88.3,7.4,109.2,131.5,1
TRA096-000009,2024-01-02,R6,T3,83.1,107.2,140.7,125.6,1
TRA096-000010,2024-01-02,R6,T1,116.5,78.2,146.8,164.0,1
TRA096-000011,2024-01-02,R6,T2,72.1,77.4,119.7,112.9,1
TRA096-000012,2024-01-02,R2,T3,108.1,75.0,150.8,154.3,1
TRA096-000013,2024-01-02,R2,T1,31.2,147.7,73.0,65.9,1
TRA096-000014,2024-01-03,R4,T2,7.6,2.2,25.1,38.7,1
TRA096-000015,2024-01-03,R2,T3,32.2,18.2,37.0,67.0,1
TRA096-000016,2024-01-03,R6,T1,29.9,92.1,46.5,64.4,1
TRA096-000017,2024-01-03,R5,T2,55.1,103.4,79.9,93.4,1
TRA096-000018,2024-01-03,R6,T3,69.4,29.0,113.0,109.8,1
TRA096-000019,2024-01-03,R1,T1,58.3,125.9,92.9,97.0,1
TRA096-000020,2024-01-04,R2,T2,78.0,86.5,120.3,119.7,1
TRA096-000021,2024-01-04,R4,T3,142.8,149.1,244.2,194.2,1
TRA096-000022,2024-01-04,R1,T1,57.9,122.9,100.6,96.6,1
TRA096-000023,2024-01-04,R5,T2,83.0,34.4,125.3,125.4,1
TRA096-000024,2024-01-04,R1,T3,132.9,122.9,214.5,182.8,1
TRA096-000025,2024-01-04,R4,T1,91.0,60.1,115.6,134.6,1
TRA096-000026,2024-01-05,R5,T2,43.4,51.9,94.5,79.9,1
TRA096-000027,2024-01-05,R5,T3,58.7,31.0,74.1,97.5,1
TRA096-000028,2024-01-05,R3,T1,117.5,6.8,131.5,165.1,1
TRA096-000029,2024-01-05,R2,T2,109.9,8.7,113.0,156.4,1
TRA096-000030,2024-01-05,R3,T3,36.5,136.4,87.9,72.0,1
TRA096-000031,2024-01-05,R1,T1,97.2,9.0,128.3,141.8,1
