registro_id,fecha,equipo,canal,prioridad,minutos_resolucion,estado,reabierto
SOP071-000001,2024-01-01,E1,correo,normal,828.9,cerrado,0
SOP071-000002,2024-01-01,E2,telefono,normal,5882.1,cerrado,1
SOP071-000003,2024-01-01,E3,correo,normal,183.3,cerrado,0
SOP071-000004,2024-01-02,E1,web,baja,235.7,cerrado,0
SOP071-000005,2024-01-02,E2,telefono,alta,847.5,cerrado,0
SOP071-000006,2024-01-02,E3,telefono,baja,4671.8,cerrado,1
SOP071-000007,2024-01-03,E1,telefono,alta,255.8,cerrado,0
SOP071-000008,2024-01-03,E2,web,normal,366.3,cerrado,0
SOP071-000009,2024-01-03,E3,correo,normal,,abierto,0
SOP071-000010,2024-01-04,E1,telefono,normal,179.9,cerrado,0
SOP071-000011,2024-01-04,E2,correo,alta,684.0,cerrado,0
SOP071-000012,2024-01-04,E3,telefono,normal,5503.8,cerrado,1
SOP071-000013,2024-01-05,E1,telefono,baja,1239.3,cerrado,0
SOP071-000014,2024-01-05,E2,web,normal,153.9,cerrado,0
SOP071-000015,2024-01-05,E3,web,baja,416.0,cerrado,0
SOP071-000016,2024-01-06,E1,web,baja,1131.6,cerrado,0
SOP071-000017,2024-01-06,E2,web,normal,122.2,cerrado,0
SOP071-000018,2024-01-06,E3,correo,alta,467.1,cerrado,0
SOP071-000019,2024-01-07,E1,telefono,normal,4855.6,cerrado,1
SOP071-000020,2024-01-07,E2,correo,normal,607.1,cerrado,0
SOP071-000021,2024-01-07,E3,web,normal,259.5,cerrado,0
SOP071-000022,2024-01-08,E1,telefono,normal,526.2,cerrado,0
SOP071-000023,2024-01-08,E2,web,normal,5949.8,cerrado,1
SOP071-000024,2024-01-09,E3,correo,baja,,abierto,0
SOP071-000025,2024-01-09,E1,web,normal,191.5,cerrado,0
SOP071-000026,2024-01-09,E2,telefono,normal,328.5,cerrado,0
SOP071-000027,2024-01-10,E3,telefono,normal,1362.9,cerrado,0
SOP071-000028,2024-01-10,E1,telefono,normal,,abierto,0
SOP071-000029,2024-01-10,E2,web,normal,1691.0,cerrado,0
SOP071-000030,2024-01-11,E3,telefono,normal,791.9,cerrado,0
SOP071-000031,2024-01-11,E1,web,baja,283.0,cerrado,0
SOP071-000032,2024-01-11,E2,telefono,normal,,abierto,0
SOP071-000033,2024-01-12,E3,telefono,normal,203.2,cerrado,0
SOP071-000034,2024-01-12,E1,web,alta,5018.4,cerrado,1
SOP071-000035,2024-01-12,E2,web,alta,1035.7,cerrado,0
SOP071-000036,2024-01-13,E3,web,baja,1794.2,cerrado,0
SOP071-000037,2024-01-13,E1,correo,alta,189.1,cerrado,0
SOP071-000038,2024-01-13,E2,web,baja,1326.5,cerrado,0
SOP071-000039,2024-01-14,E3,correo,normal,,abierto,0
SOP071-000040,2024-01-14,E1,web,alta,,abierto,0
SOP071-000041,2024-01-14,E2,web,alta,124.6,cerrado,0
SOP071-000042,2024-01-15,E3,correo,normal,224.2,cerrado,0
SOP071-000043,2024-01-15,E1,web,normal,142.1,cerrado,0
SOP071-000044,2024-01-15,E2,web,alta,456.9,cerrado,0
SOP071-000045,2024-01-16,E3,web,alta,388.2,cerrado,0
SOP071-000046,2024-01-16,E1,telefono,normal,692.1,cerrado,0
SOP071-000047,2024-01-17,E2,correo,baja,,abierto,0
SOP071-000048,2024-01-17,E3,correo,alta,174.3,cerrado,0
SOP071-000049,2024-01-17,E1,telefono,normal,1449.3,cerrado,0
SOP071-000050,2024-01-18,E2,correo,normal,4987.7,cerrado,1
SOP071-000051,2024-01-18,E3,correo,normal,349.0,cerrado,0
SOP071-000052,2024-01-18,E1,correo,baja,255.2,cerrado,0
SOP071-000053,2024-01-19,E2,correo,normal,4500.8,cerrado,1
SOP071-000054,2024-01-19,E3,telefono,baja,152.9,cerrado,0
SOP071-000055,2024-01-19,E1,web,normal,,abierto,0
SOP071-000056,2024-01-20,E2,correo,normal,1047.2,cerrado,0
SOP071-000057,2024-01-20,E3,web,normal,1373.7,cerrado,0
SOP071-000058,2024-01-20,E1,web,alta,,abierto,0
SOP071-000059,2024-01-21,E2,correo,baja,281.9,cerrado,0
SOP071-000060,2024-01-21,E3,correo,normal,253.9,cerrado,0
SOP071-000061,2024-01-21,E1,correo,normal,,abierto,0
SOP071-000062,2024-01-22,E2,telefono,baja,495.6,cerrado,0
SOP071-000063,2024-01-22,E3,web,normal,444.9,cerrado,0
SOP071-000064,2024-01-22,E1,telefono,baja,1224.9,cerrado,0
SOP071-000065,2024-01-23,E2,telefono,alta,,abierto,0
SOP071-000066,2024-01-23,E3,web,baja,4836.4,cerrado,1
SOP071-000067,2024-01-23,E1,correo,baja,2832.2,cerrado,0
SOP071-000068,2024-01-24,E2,correo,baja,390.6,cerrado,0
SOP071-000069,2024-01-24,E3,web,normal,213.9,cerrado,0
SOP071-000070,2024-01-25,E1,correo,normal,251.2,cerrado,0
SOP071-000071,2024-01-25,E2,telefono,normal,619.1,cerrado,0
SOP071-000072,2024-01-25,E3,correo,normal,401.2,cerrado,0
SOP071-000073,2024-01-26,E1,telefono,normal,4433.4,cerrado,1
SOP071-000074,2024-01-26,E2,web,alta,,abierto,0
SOP071-000075,2024-01-26,E3,telefono,baja,183.9,cerrado,0
SOP071-000076,2024-01-27,E1,web,normal,,abierto,0
SOP071-000077,2024-01-27,E2,correo,normal,830.1,cerrado,0
SOP071-000078,2024-01-27,E3,correo,normal,128.3,cerrado,0
SOP071-000079,2024-01-28,E1,correo,normal,,abierto,0
SOP071-000080,2024-01-28,E2,web,alta,611.2,cerrado,0
SOP071-000081,2024-01-28,E3,telefono,normal,1033.8,cerrado,0
SOP071-000082,2024-01-29,E1,correo,baja,572.5,cerrado,0
SOP071-000083,2024-01-29,E2,correo,normal,5822.7,cerrado,1
SOP071-000084,2024-01-29,E3,web,normal,,cerrado,0
SOP071-000085,2024-01-30,E1,telefono,normal,309.6,cerrado,0
SOP071-000086,2024-01-30,E2,correo,normal,1110.0,cerrado,0
SOP071-000087,2024-01-30,E3,telefono,baja,1291.0,cerrado,0
SOP071-000088,2024-01-31,E1,telefono,normal,,abierto,0
SOP071-000089,2024-01-31,E2,correo,alta,,abierto,0
SOP071-000090,2024-01-31,E3,telefono,normal,234.5,cerrado,0
SOP071-000091,2024-02-01,E1,telefono,normal,894.3,cerrado,0
SOP071-000092,2024-02-01,E2,correo,normal,140.9,cerrado,0
SOP071-000093,2024-02-02,E3,telefono,alta,2439.0,cerrado,0
SOP071-000094,2024-02-02,E1,web,baja,838.4,cerrado,0
SOP071-000095,2024-02-02,E2,telefono,normal,4623.6,cerrado,1
SOP071-000096,2024-02-03,E3,web,baja,426.6,cerrado,0
SOP071-000097,2024-02-03,E1,telefono,normal,1079.5,cerrado,0
SOP071-000098,2024-02-03,E2, WEB ,normal,,abierto,0
SOP071-000099,2024-02-04,E3,correo,alta,552.1,cerrado,0
SOP071-000100,2024-02-04,E1,telefono,normal,141.7,cerrado,0
SOP071-000101,2024-02-04,E2,correo,alta,842.6,cerrado,0
SOP071-000102,2024-02-05,E3,telefono,normal,205.1,cerrado,0
SOP071-000103,2024-02-05,E1,telefono,baja,,abierto,0
SOP071-000104,2024-02-05,E2,telefono,baja,614.6,cerrado,0
SOP071-000105,2024-02-06,E3,telefono,normal,,abierto,0
SOP071-000106,2024-02-06,E1,correo,normal,139.4,cerrado,0
SOP071-000107,2024-02-06,E2,web,normal,3888.6,cerrado,0
SOP071-000108,2024-02-07,E3,correo,normal,1229.8,cerrado,0
SOP071-000109,2024-02-07,E1,correo,normal,620.3,cerrado,0
SOP071-000110,2024-02-07,E2,correo,alta,,abierto,0
SOP071-000111,2024-02-08,E3,correo,normal,,abierto,0
SOP071-000112,2024-02-08,E1,web,normal,114.2,cerrado,0
SOP071-000113,2024-02-08,E2,correo,normal,392.3,cerrado,0
SOP071-000114,2024-02-09,E3,web,normal,481.0,cerrado,0
SOP071-000115,2024-02-09,E1,web,normal,170.4,cerrado,0
SOP071-000116,2024-02-10,E2,web,baja,189.7,cerrado,0
SOP071-000117,2024-02-10,E3,web,baja,,abierto,0
SOP071-000118,2024-02-10,E1,web,normal,,abierto,0
SOP071-000119,2024-02-11,E2,correo,baja,301.8,cerrado,0
SOP071-000120,2024-02-11,E3,telefono,alta,174.4,cerrado,0
SOP071-000121,2024-02-11,E1,telefono,normal,,abierto,0
SOP071-000122,2024-02-12,E2,web,normal,623.5,cerrado,0
SOP071-000123,2024-02-12,E3,telefono,alta,,abierto,0
SOP071-000124,2024-02-12,E1,telefono,baja,,abierto,0
SOP071-000125,2024-02-13,E2,web,normal,,abierto,0
SOP071-000126,2024-02-13,E3,correo,baja,,abierto,0
SOP071-000127,2024-02-13,E1,web,baja,469.3,cerrado,0
SOP071-000128,2024-02-14,E2,correo,alta,252.3,cerrado,0
SOP071-000129,2024-02-14,E3,web,normal,2365.4,cerrado,0
SOP071-000130,2024-02-14,E1,telefono,baja,756.3,cerrado,0
SOP071-000131,2024-02-15,E2,telefono,normal,1606.7,cerrado,0
SOP071-000132,2024-02-15,E3,telefono,alta,,abierto,0
SOP071-000133,2024-02-15,E1,telefono,alta,4665.9,cerrado,1
SOP071-000134,2024-02-16,E2,correo,normal,1607.4,cerrado,0
SOP071-000135,2024-02-16,E3,telefono,normal,1752.1,cerrado,0
SOP071-000136,2024-02-16,E1,telefono,normal,306.5,cerrado,0
SOP071-000137,2024-02-17,E2,telefono,alta,5542.3,cerrado,1
SOP071-000138,2024-02-17,E3,web,baja,722.3,cerrado,0
SOP071-000139,2024-02-18,E1,web,alta,4749.9,cerrado,1
SOP071-000140,2024-02-18,E2,telefono,normal,1407.2,cerrado,0
