evento_id,registro_id,fecha_evento,estado_evento
EV000001,SOP071-000001,2024-01-01,abierto
EV000002,SOP071-000001,2024-01-02,cerrado
EV000003,SOP071-000002,2024-01-01,abierto
EV000004,SOP071-000002,2024-01-02,cerrado
EV000005,SOP071-000002,2024-01-03,abierto
EV000006,SOP071-000002,2024-01-06,cerrado
EV000007,SOP071-000003,2024-01-01,abierto
EV000008,SOP071-000003,2024-01-02,cerrado
EV000009,SOP071-000004,2024-01-02,abierto
EV000010,SOP071-000004,2024-01-03,cerrado
EV000011,SOP071-000005,2024-01-02,abierto
EV000012,SOP071-000005,2024-01-03,cerrado
EV000013,SOP071-000006,2024-01-02,abierto
EV000014,SOP071-000006,2024-01-03,cerrado
EV000015,SOP071-000006,2024-01-04,abierto
EV000016,SOP071-000006,2024-01-06,cerrado
EV000017,SOP071-000007,2024-01-03,abierto
EV000018,SOP071-000007,2024-01-04,cerrado
EV000019,SOP071-000008,2024-01-03,abierto
EV000020,SOP071-000008,2024-01-04,cerrado
EV000021,SOP071-000009,2024-01-03,abierto
EV000022,SOP071-000010,2024-01-04,abierto
EV000023,SOP071-000010,2024-01-05,cerrado
EV000024,SOP071-000011,2024-01-04,abierto
EV000025,SOP071-000011,2024-01-05,cerrado
EV000026,SOP071-000012,2024-01-04,abierto
EV000027,SOP071-000012,2024-01-05,cerrado
EV000028,SOP071-000012,2024-01-06,abierto
EV000029,SOP071-000012,2024-01-08,cerrado
EV000030,SOP071-000013,2024-01-05,abierto
EV000031,SOP071-000013,2024-01-06,cerrado
EV000032,SOP071-000014,2024-01-05,abierto
EV000033,SOP071-000014,2024-01-06,cerrado
EV000034,SOP071-000015,2024-01-05,abierto
EV000035,SOP071-000015,2024-01-06,cerrado
EV000036,SOP071-000016,2024-01-06,abierto
EV000037,SOP071-000016,2024-01-07,cerrado
EV000038,SOP071-000017,2024-01-06,abierto
EV000039,SOP071-000017,2024-01-07,cerrado
EV000040,SOP071-000018,2024-01-06,abierto
EV000041,SOP071-000018,2024-01-07,cerrado
EV000042,SOP071-000019,2024-01-07,abierto
EV000043,SOP071-000019,2024-01-08,cerrado
EV000044,SOP071-000019,2024-01-09,abierto
EV000045,SOP071-000019,2024-01-11,cerrado
EV000046,SOP071-000020,2024-01-07,abierto
EV000047,SOP071-000020,2024-01-08,cerrado
EV000048,SOP071-000021,2024-01-07,abierto
EV000049,SOP071-000021,2024-01-08,cerrado
EV000050,SOP071-000022,2024-01-08,abierto
EV000051,SOP071-000022,2024-01-09,cerrado
EV000052,SOP071-000023,2024-01-08,abierto
EV000053,SOP071-000023,2024-01-09,cerrado
EV000054,SOP071-000023,2024-01-10,abierto
EV000055,SOP071-000023,2024-01-13,cerrado
EV000056,SOP071-000024,2024-01-09,abierto
EV000057,SOP071-000025,2024-01-09,abierto
EV000058,SOP071-000025,2024-01-10,cerrado
EV000059,SOP071-000026,2024-01-09,abierto
EV000060,SOP071-000026,2024-01-10,cerrado
EV000061,SOP071-000027,2024-01-10,abierto
EV000062,SOP071-000027,2024-01-11,cerrado
EV000063,SOP071-000028,2024-01-10,abierto
EV000064,SOP071-000029,2024-01-10,abierto
EV000065,SOP071-000029,2024-01-12,cerrado
EV000066,SOP071-000030,2024-01-11,abierto
EV000067,SOP071-000030,2024-01-12,cerrado
EV000068,SOP071-000031,2024-01-11,abierto
EV000069,SOP071-000031,2024-01-12,cerrado
EV000070,SOP071-000032,2024-01-11,abierto
EV000071,SOP071-000033,2024-01-12,abierto
EV000072,SOP071-000033,2024-01-13,cerrado
EV000073,SOP071-000034,2024-01-12,abierto
EV000074,SOP071-000034,2024-01-13,cerrado
EV000075,SOP071-000034,2024-01-14,abierto
EV000076,SOP071-000034,2024-01-16,cerrado
EV000077,SOP071-000035,2024-01-12,abierto
EV000078,SOP071-000035,2024-01-13,cerrado
EV000079,SOP071-000036,2024-01-13,abierto
EV000080,SOP071-000036,2024-01-15,cerrado
EV000081,SOP071-000037,2024-01-13,abierto
EV000082,SOP071-000037,2024-01-14,cerrado
EV000083,SOP071-000038,2024-01-13,abierto
EV000084,SOP071-000038,2024-01-14,cerrado
EV000085,SOP071-000039,2024-01-14,abierto
EV000086,SOP071-000040,2024-01-14,abierto
EV000087,SOP071-000041,2024-01-14,abierto
EV000088,SOP071-000041,2024-01-15,cerrado
EV000089,SOP071-000042,2024-01-15,abierto
EV000090,SOP071-000042,2024-01-16,cerrado
EV000091,SOP071-000043,2024-01-15,abierto
EV000092,SOP071-000043,2024-01-16,cerrado
EV000093,SOP071-000044,2024-01-15,abierto
EV000094,SOP071-000044,2024-01-16,cerrado
EV000095,SOP071-000045,2024-01-16,abierto
EV000096,SOP071-000045,2024-01-17,cerrado
EV000097,SOP071-000046,2024-01-16,abierto
EV000098,SOP071-000046,2024-01-17,cerrado
EV000099,SOP071-000047,2024-01-17,abierto
EV000100,SOP071-000048,2024-01-17,abierto
EV000101,SOP071-000048,2024-01-18,cerrado
EV000102,SOP071-000049,2024-01-17,abierto
EV000103,SOP071-000049,2024-01-19,cerrado
EV000104,SOP071-000050,2024-01-18,abierto
EV000105,SOP071-000050,2024-01-19,cerrado
EV000106,SOP071-000050,2024-01-20,abierto
EV000107,SOP071-000050,2024-01-22,cerrado
EV000108,SOP071-000051,2024-01-18,abierto
EV000109,SOP071-000051,2024-01-19,cerrado
EV000110,SOP071-000052,2024-01-18,abierto
EV000111,SOP071-000052,2024-01-19,cerrado
EV000112,SOP071-000053,2024-01-19,abierto
EV000113,SOP071-000053,2024-01-20,cerrado
EV000114,SOP071-000053,2024-01-21,abierto
EV000115,SOP071-000053,2024-01-23,cerrado
EV000116,SOP071-000054,2024-01-19,abierto
EV000117,SOP071-000054,2024-01-20,cerrado
EV000118,SOP071-000055,2024-01-19,abierto
EV000119,SOP071-000056,2024-01-20,abierto
EV000120,SOP071-000056,2024-01-21,cerrado
EV000121,SOP071-000057,2024-01-20,abierto
EV000122,SOP071-000057,2024-01-21,cerrado
EV000123,SOP071-000058,2024-01-20,abierto
EV000124,SOP071-000059,2024-01-21,abierto
EV000125,SOP071-000059,2024-01-22,cerrado
EV000126,SOP071-000060,2024-01-21,abierto
EV000127,SOP071-000060,2024-01-22,cerrado
EV000128,SOP071-000061,2024-01-21,abierto
EV000129,SOP071-000062,2024-01-22,abierto
EV000130,SOP071-000062,2024-01-23,cerrado
EV000131,SOP071-000063,2024-01-22,abierto
EV000132,SOP071-000063,2024-01-23,cerrado
EV000133,SOP071-000064,2024-01-22,abierto
EV000134,SOP071-000064,2024-01-23,cerrado
EV000135,SOP071-000065,2024-01-23,abierto
EV000136,SOP071-000066,2024-01-23,abierto
EV000137,SOP071-000066,2024-01-24,cerrado
EV000138,SOP071-000066,2024-01-25,abierto
EV000139,SOP071-000066,2024-01-27,cerrado
EV000140,SOP071-000067,2024-01-23,abierto
EV000141,SOP071-000067,2024-01-25,cerrado
EV000142,SOP071-000068,2024-01-24,abierto
EV000143,SOP071-000068,2024-01-25,cerrado
EV000144,SOP071-000069,2024-01-24,abierto
EV000145,SOP071-000069,2024-01-25,cerrado
EV000146,SOP071-000070,2024-01-25,abierto
EV000147,SOP071-000070,2024-01-26,cerrado
EV000148,SOP071-000071,2024-01-25,abierto
EV000149,SOP071-000071,2024-01-26,cerrado
EV000150,SOP071-000072,2024-01-25,abierto
EV000151,SOP071-000072,2024-01-26,cerrado
EV000152,SOP071-000073,2024-01-26,abierto
EV000153,SOP071-000073,2024-01-27,cerrado
EV000154,SOP071-000073,2024-01-28,abierto
EV000155,SOP071-000073,2024-01-30,cerrado
EV000156,SOP071-000074,2024-01-26,abierto
EV000157,SOP071-000075,2024-01-26,abierto
EV000158,SOP071-000075,2024-01-27,cerrado
EV000159,SOP071-000076,2024-01-27,abierto
EV000160,SOP071-000077,2024-01-27,abierto
EV000161,SOP071-000077,2024-01-28,cerrado
EV000162,SOP071-000078,2024-01-27,abierto
EV000163,SOP071-000078,2024-01-28,cerrado
EV000164,SOP071-000079,2024-01-28,abierto
EV000165,SOP071-000080,2024-01-28,abierto
EV000166,SOP071-000080,2024-01-29,cerrado
EV000167,SOP071-000081,2024-01-28,abierto
EV000168,SOP071-000081,2024-01-29,cerrado
EV000169,SOP071-000082,2024-01-29,abierto
EV000170,SOP071-000082,2024-01-30,cerrado
EV000171,SOP071-000083,2024-01-29,abierto
