registro_id,fecha,equipo,canal,prioridad,minutos_resolucion,estado,reabierto
SOP091-000001,2024-01-01,E1,correo,baja,984.4,cerrado,0
SOP091-000002,2024-01-01,E2,web,alta,1150.4,cerrado,0
SOP091-000003,2024-01-01,E3,telefono,alta,,abierto,0
SOP091-000004,2024-01-01,E1,web,alta,171.7,cerrado,0
SOP091-000005,2024-01-01,E2,telefono,alta,,abierto,0
SOP091-000006,2024-01-01,E3,telefono,normal,1204.9,cerrado,0
SOP091-000007,2024-01-01,E1,correo,normal,1675.8,cerrado,0
SOP091-000008,2024-01-02,E2,correo,baja,128.5,cerrado,0
SOP091-000009,2024-01-02,E3,telefono,alta,1116.2,cerrado,0
SOP091-000010,2024-01-02,E1,telefono,alta,1317.3,cerrado,0
SOP091-000011,2024-01-02,E2,telefono,baja,,abierto,0
SOP091-000012,2024-01-02,E3,correo,alta,201.5,cerrado,0
SOP091-000013,2024-01-02,E1,correo,normal,109.1,cerrado,0
SOP091-000014,2024-01-03,E2,correo,alta,4604.3,cerrado,1
SOP091-000015,2024-01-03,E3,telefono,normal,3907.1,cerrado,0
SOP091-000016,2024-01-03,E1,web,alta,655.0,cerrado,0
SOP091-000017,2024-01-03,E2,telefono,baja,487.1,cerrado,0
SOP091-000018,2024-01-03,E3,correo,baja,3242.9,cerrado,0
SOP091-000019,2024-01-03,E1,web,normal,725.7,cerrado,0
SOP091-000020,2024-01-04,E2,telefono,normal,1276.9,cerrado,0
SOP091-000021,2024-01-04,E3,web,normal,989.6,cerrado,0
SOP091-000022,2024-01-04,E1,correo,normal,173.0,cerrado,0
SOP091-000023,2024-01-04,E2,web,normal,306.1,cerrado,0
SOP091-000024,2024-01-04,E3,correo,normal,833.7,cerrado,0
SOP091-000025,2024-01-04,E1,telefono,normal,22.8,cerrado,0
SOP091-000026,2024-01-05,E2,telefono,normal,2203.5,cerrado,0
SOP091-000027,2024-01-05,E3,telefono,alta,581.4,cerrado,0
SOP091-000028,2024-01-05,E1,web,normal,548.8,cerrado,0
SOP091-000029,2024-01-05,E2,telefono,baja,274.1,cerrado,0
