registro_id,fecha,sede,espera_min,atencion_min,estado,prioridad
TUR041-000001,2024-01-01,S1,4.3,11.8,atendido,ordinaria
TUR041-000002,2024-01-01,S2,5.0,12.0,atendido,ordinaria
TUR041-000003,2024-01-02,S3,26.6,17.4,atendido,preferente
TUR041-000004,2024-01-02,S1,5.1,17.5,atendido,ordinaria
TUR041-000005,2024-01-03,S2,2.3,3.8,atendido,preferente
TUR041-000006,2024-01-04,S3,13.1,13.9,atendido,ordinaria
TUR041-000007,2024-01-04,S1,5.0,8.0,atendido,ordinaria
TUR041-000008,2024-01-05,S2,16.1,10.5,atendido,preferente
TUR041-000009,2024-01-05,S3,18.7,13.9,atendido,ordinaria
TUR041-000010,2024-01-06,S1,6.0,13.5,atendido,preferente
TUR041-000011,2024-01-07,S2,10.8,10.2,atendido,ordinaria
TUR041-000012,2024-01-07,S3,13.1,5.2,atendido,preferente
TUR041-000013,2024-01-08,S1,8.1,15.8,atendido,ordinaria
TUR041-000014,2024-01-08,S2,7.5,12.8,atendido,preferente
TUR041-000015,2024-01-09,S3,23.1,4.6,atendido,ordinaria
TUR041-000016,2024-01-10,S1,4.4,4.4,atendido,ordinaria
TUR041-000017,2024-01-10,S2,11.2,10.0,atendido,ordinaria
TUR041-000018,2024-01-11,S3,9.8,6.0,atendido,ordinaria
TUR041-000019,2024-01-11,S1,9.3,6.6,atendido,preferente
TUR041-000020,2024-01-12,S2,4.8,8.1,atendido,preferente
TUR041-000021,2024-01-13,S3,10.7,10.9,atendido,preferente
TUR041-000022,2024-01-13,S1,16.0,17.0,atendido,ordinaria
TUR041-000023,2024-01-14,S2,2.4,7.1,atendido,ordinaria
TUR041-000024,2024-01-14,S3,14.0,9.0,atendido,ordinaria
TUR041-000025,2024-01-15,S1,5.8,17.4,atendido,ordinaria
TUR041-000026,2024-01-16,S2,0.7,14.0,atendido,preferente
TUR041-000027,2024-01-16,S3,6.2,9.0,atendido,preferente
TUR041-000028,2024-01-17,S1,11.7,6.7,atendido,ordinaria
TUR041-000029,2024-01-17,S2,5.8,3.8,atendido,ordinaria
TUR041-000030,2024-01-18,S3,53.6,12.8,atendido,ordinaria
