registro_id,fecha_reserva,fecha_llegada,hotel,canal,noches,tarifa,cancelada,pais
TUR051-000001,2024-01-01,2024-05-22,H1,agencia,2,98.75,0,ES
TUR051-000002,2024-01-01,2024-03-01,H2,agencia,8,161.38,0,ES
TUR051-000003,2024-01-02,2024-03-10,H3,directo,3,204.4,0,CO
TUR051-000004,2024-01-02,2024-01-07,H1,agencia,8,120.31,0,CL
TUR051-000005,2024-01-03,2024-03-15,H2,agencia,1,145.36,0,PE
TUR051-000006,2024-01-03,2024-04-20,H3,directo,12,201.89,0,CO
TUR051-000007,2024-01-04,2024-01-27,H1,plataforma,3,102.71,0,ES
TUR051-000008,2024-01-04,2024-02-08,H2,agencia,9,151.65,0,ES
TUR051-000009,2024-01-05,2024-05-09,H3,agencia,5,206.65,0,CO
TUR051-000010,2024-01-06,2024-04-20,H1,agencia,9,114.96,0,CO
TUR051-000011,2024-01-06,2024-03-10,H2,agencia,3,150.25,0,PE
TUR051-000012,2024-01-07,2024-03-30,H3,directo,11,206.2,0,PE
TUR051-000013,2024-01-07,2024-05-16,H1,plataforma,10,107.42,0,ES
TUR051-000014,2024-01-08,2024-03-21,H2,agencia,4,154.11,0,CL
TUR051-000015,2024-01-08,2024-04-19,H3,directo,11,196.46,0,ES
TUR051-000016,2024-01-09,2024-04-24,H1,plataforma,2,117.51,0,ES
TUR051-000017,2024-01-09,2024-03-01,H2,plataforma,5,166.83,0,CO
TUR051-000018,2024-01-10,2024-02-27,H3,plataforma,9,192.5,0,ES
TUR051-000019,2024-01-11,2024-04-26,H1,agencia,5,115.62,0,CO
TUR051-000020,2024-01-11,2024-04-10,H2,plataforma,5,146.4,0,ES
TUR051-000021,2024-01-12,2024-02-20,H3,directo,9,213.09,0,CO
TUR051-000022,2024-01-12,2024-01-30,H1,plataforma,7,104.85,0,CL
TUR051-000023,2024-01-13,2024-05-05,H2,directo,11,169.36,0,PE
TUR051-000024,2024-01-13,2024-04-14,H3,plataforma,6,195.87,1,PE
TUR051-000025,2024-01-14,2024-04-07,H1,directo,5,121.24,1,CL
TUR051-000026,2024-01-14,2024-04-05,H2,directo,11,158.24,0,PE
TUR051-000027,2024-01-15,2024-04-17,H3,plataforma,8,202.09,1,ES
TUR051-000028,2024-01-16,2024-06-01,H1,directo,4,105.57,0,CL
TUR051-000029,2024-01-16,2024-03-09,H2,directo,9,165.2,0,CO
TUR051-000030,2024-01-17,2024-05-13,H3,agencia,4,207.12,1,ES
TUR051-000031,2024-01-17,2024-02-22,H1,plataforma,3,105.47,0,ES
TUR051-000032,2024-01-18,2024-02-25,H2,plataforma,7,150.22,0,ES
TUR051-000033,2024-01-18,2024-04-06,H3,plataforma,3,198.23,0,CO
TUR051-000034,2024-01-19,2024-05-14,H1,directo,12,117.43,0,PE
TUR051-000035,2024-01-19,2024-04-16,H2,directo,1,161.48,0,ES
TUR051-000036,2024-01-20,2024-03-02,H3,plataforma,12,214.41,1,CL
TUR051-000037,2024-01-21,2024-05-25,H1,plataforma,12,116.29,0,CO
TUR051-000038,2024-01-21,2024-04-03,H2,plataforma,5,168.37,0,CL
TUR051-000039,2024-01-22,2024-02-10,H3,plataforma,1,210.45,0,PE
TUR051-000040,2024-01-22,2024-02-14,H1,plataforma,9,128.65,0,PE
TUR051-000041,2024-01-23,2024-05-08,H2,agencia,8,165.12,0,CO
TUR051-000042,2024-01-23,2024-05-13,H3,plataforma,9,214.71,0,CL
TUR051-000043,2024-01-24,2024-02-25,H1,directo,1,116.55,0,PE
TUR051-000044,2024-01-24,2024-06-04,H2,directo,11,175.07,1,CL
TUR051-000045,2024-01-25,2024-02-18,H3,agencia,4,210.69,0,CL
TUR051-000046,2024-01-26,2024-06-11,H1,plataforma,10,131.38,1,ES
TUR051-000047,2024-01-26,2024-06-05,H2,directo,12,176.61,0,CO
TUR051-000048,2024-01-27,2024-05-20,H3,directo,6,212.9,0,PE
TUR051-000049,2024-01-27,2024-02-28,H1,directo,10,113.22,0,CL
TUR051-000050,2024-01-28,2024-04-13,H2,agencia,2,166.08,0,ES
TUR051-000051,2024-01-28,2024-03-06,H3,agencia,3,203.84,0,CO
TUR051-000052,2024-01-29,2024-03-28,H1,directo,3,121.22,0,CL
TUR051-000053,2024-01-30,2024-06-28,H2,agencia,9,178.8,1,PE
TUR051-000054,2024-01-30,2024-04-09,H3,plataforma,5,215.15,0,CL
TUR051-000055,2024-01-31,2024-04-09,H1,directo,7,115.13,0,CL
TUR051-000056,2024-01-31,2024-04-10,H2,plataforma,2,163.41,0,ES
TUR051-000057,2024-02-01,2024-06-07,H3,plataforma,5,202.58,1,PE
TUR051-000058,2024-02-01,2024-06-21,H1,plataforma,10,112.45,0,ES
TUR051-000059,2024-02-02,2024-02-05,H2,directo,11,172.83,0,CO
TUR051-000060,2024-02-02,2024-04-26,H3,plataforma,1,201.62,0,ES
TUR051-000061,2024-02-03,2024-04-15,H1,plataforma,11,132.71,0,CL
TUR051-000062,2024-02-04,2024-03-22,H2,directo,3,164.02,0,CL
TUR051-000063,2024-02-04,2024-06-28,H3,directo,7,213.16,0,ES
TUR051-000064,2024-02-05,2024-03-26,H1,directo,7,114.24,0,PE
TUR051-000065,2024-02-05,2024-02-14,H2,agencia,2,166.86,0,CO
TUR051-000066,2024-02-06,2024-06-13,H3,directo,1,203.69,0,PE
TUR051-000067,2024-02-06,2024-04-19,H1,agencia,8,133.82,0,CL
TUR051-000068,2024-02-07,2024-02-18,H2,agencia,12,182.29,0,PE
TUR051-000069,2024-02-07,2024-05-13,H3,agencia,4,218.85,1,ES
TUR051-000070,2024-02-08,2024-04-02,H1,plataforma,2,135.92,0,ES
TUR051-000071,2024-02-09,2024-06-30,H2,agencia,4,177.26,0,ES
TUR051-000072,2024-02-09,2024-02-18,H3,plataforma,1,203.96,0,CL
TUR051-000073,2024-02-10,2024-06-19,H1,agencia,3,135.15,0,CO
TUR051-000074,2024-02-10,2024-06-18,H2,plataforma,12,163.84,1,PE
TUR051-000075,2024-02-11,2024-06-21,H3,plataforma,9,208.18,0,CO
TUR051-000076,2024-02-11,2024-03-10,H1,directo,1,122.73,0,CL
TUR051-000077,2024-02-12,2024-04-08,H2,agencia,11,171.7,0,ES
TUR051-000078,2024-02-12,2024-05-29,H3,agencia,8,210.26,0,ES
TUR051-000079,2024-02-13,2024-04-07,H1,plataforma,7,122.64,0,CO
TUR051-000080,2024-02-14,2024-03-05,H2,agencia,9,167.46,1,ES
TUR051-000081,2024-02-14,2024-04-26,H3,directo,4,219.21,0,PE
TUR051-000082,2024-02-15,2024-03-27,H1,plataforma,7,130.63,0,ES
TUR051-000083,2024-02-15,2024-04-26,H2,plataforma,3,182.72,1,CL
TUR051-000084,2024-02-16,2024-03-05,H3,plataforma,5,,0,CO
TUR051-000085,2024-02-16,2024-03-07,H1,directo,10,136.0,0,ES
TUR051-000086,2024-02-17,2024-03-07,H2,agencia,1,170.07,0,ES
TUR051-000087,2024-02-17,2024-05-20,H3,agencia,7,216.34,0,CL
TUR051-000088,2024-02-18,2024-05-26,H1,plataforma,5,134.32,0,ES
TUR051-000089,2024-02-19,2024-07-09,H2,directo,4,162.97,0,ES
TUR051-000090,2024-02-19,2024-05-05,H3,agencia,8,218.36,0,PE
TUR051-000091,2024-02-20,2024-06-16,H1,plataforma,9,127.43,0,CL
TUR051-000092,2024-02-20,2024-03-03,H2,plataforma,9,175.49,0,CL
TUR051-000093,2024-02-21,2024-04-14,H3,agencia,1,221.51,0,CO
TUR051-000094,2024-02-21,2024-05-29,H1,agencia,12,138.73,0,CL
TUR051-000095,2024-02-22,2024-05-13,H2,agencia,7,179.53,0,CO
TUR051-000096,2024-02-23,2024-06-05,H3,plataforma,2,228.83,0,ES
TUR051-000097,2024-02-23,2024-06-12,H1,plataforma,11,124.69,0,PE
TUR051-000098,2024-02-24,2024-07-20,H2, PLATAFORMA ,7,168.75,0,CL
TUR051-000099,2024-02-24,2024-03-09,H3,plataforma,3,218.85,0,ES
TUR051-000100,2024-02-25,2024-02-26,H1,plataforma,6,121.88,0,ES
TUR051-000101,2024-02-25,2024-07-04,H2,directo,2,177.15,0,CO
TUR051-000102,2024-02-26,2024-07-25,H3,directo,4,233.93,1,CO
TUR051-000103,2024-02-26,2024-06-13,H1,plataforma,3,125.7,1,ES
TUR051-000104,2024-02-27,2024-07-11,H2,directo,10,185.08,0,ES
TUR051-000105,2024-02-28,2024-04-15,H3,plataforma,2,216.41,0,ES
TUR051-000106,2024-02-28,2024-04-02,H1,directo,9,143.3,0,PE
TUR051-000107,2024-02-29,2024-04-06,H2,directo,11,170.04,0,CL
TUR051-000108,2024-02-29,2024-03-21,H3,directo,10,220.22,0,CL
TUR051-000109,2024-03-01,2024-06-26,H1,agencia,11,130.41,0,PE
TUR051-000110,2024-03-01,2024-03-20,H2,directo,4,173.49,0,PE
TUR051-000111,2024-03-02,2024-04-11,H3,directo,12,235.08,0,CO
TUR051-000112,2024-03-02,2024-03-13,H1,agencia,10,135.33,0,ES
TUR051-000113,2024-03-03,2024-06-24,H2,directo,10,186.41,0,ES
TUR051-000114,2024-03-04,2024-03-24,H3,plataforma,10,227.8,0,PE
TUR051-000115,2024-03-04,2024-03-16,H1,agencia,3,125.27,0,CL
TUR051-000116,2024-03-05,2024-08-02,H2,plataforma,4,168.16,1,PE
TUR051-000117,2024-03-05,2024-06-15,H3,directo,6,224.25,0,CL
TUR051-000118,2024-03-06,2024-05-15,H1,directo,11,130.93,0,CO
TUR051-000119,2024-03-06,2024-03-22,H2,plataforma,12,190.35,1,PE
TUR051-000120,2024-03-07,2024-05-15,H3,plataforma,8,226.12,0,PE
TUR051-000121,2024-03-07,2024-05-09,H1,plataforma,5,134.39,1,ES
TUR051-000122,2024-03-08,2024-03-24,H2,agencia,1,185.82,0,CL
TUR051-000123,2024-03-09,2024-03-14,H3,agencia,3,228.1,0,CL
TUR051-000124,2024-03-09,2024-05-08,H1,directo,7,124.6,1,PE
TUR051-000125,2024-03-10,2024-04-22,H2,directo,12,187.71,0,CO
TUR051-000126,2024-03-10,2024-05-16,H3,plataforma,9,214.48,1,CL
TUR051-000127,2024-03-11,2024-06-13,H1,plataforma,11,132.9,0,CL
TUR051-000128,2024-03-11,2024-04-24,H2,plataforma,2,178.18,0,CL
TUR051-000129,2024-03-12,2024-06-30,H3,directo,6,222.4,0,PE
TUR051-000130,2024-03-12,2024-07-04,H1,agencia,3,142.47,1,CO
TUR051-000131,2024-03-13,2024-03-30,H2,directo,10,175.03,0,ES
