registro_id,fecha,area,contrato,antiguedad_meses,horas,formacion_h,salario,absentismo_dias
PER012-000001,2024-01-01,operaciones,completo,36,160,0,2528.41,2
PER012-000002,2024-01-01,administracion,parcial,26,80,4.1,1421.15,0
PER012-000003,2024-01-01,comercial,completo,48,160,0,3316.74,1
PER012-000004,2024-01-01,operaciones,completo,132,160,4.5,2974.14,5
PER012-000005,2024-01-01,administracion,completo,141,160,5.9,3665.09,4
PER012-000006,2024-01-02,comercial,completo,87,160,14.5,3954.62,5
PER012-000007,2024-01-02,operaciones,parcial,10,80,9.6,1001.93,4
PER012-000008,2024-01-02,administracion,parcial,99,80,0,1603.96,2
PER012-000009,2024-01-02,comercial,parcial,59,80,6.5,1881.67,0
PER012-000010,2024-01-02,operaciones,completo,134,160,6.7,2925.5,4
PER012-000011,2024-01-03,administracion,completo,25,160,9.0,2784.73,2
PER012-000012,2024-01-03,comercial,parcial,53,80,14.1,1756.2,0
PER012-000013,2024-01-03,operaciones,completo,22,160,24.4,2449.21,3
PER012-000014,2024-01-03,administracion,completo,92,160,0,3088.43,2
PER012-000015,2024-01-04,comercial,parcial,137,80,4.4,2007.2,5
PER012-000016,2024-01-04,operaciones,completo,28,160,10.6,2383.64,0
PER012-000017,2024-01-04,administracion,completo,104,160,0,3149.18,1
PER012-000018,2024-01-04,comercial,completo,171,160,24.8,4235.04,5
PER012-000019,2024-01-04,operaciones,completo,94,160,5.4,3027.62,5
PER012-000020,2024-01-05,administracion,completo,78,160,7.5,3110.12,4
PER012-000021,2024-01-05,comercial,completo,20,160,13.2,3169.06,1
PER012-000022,2024-01-05,operaciones,parcial,18,80,10.0,1282.55,1
PER012-000023,2024-01-05,administracion,completo,18,160,3.2,2799.59,3
PER012-000024,2024-01-06,comercial,completo,43,160,0,3177.1,4
PER012-000025,2024-01-06,operaciones,completo,156,160,0,3248.78,2
PER012-000026,2024-01-06,administracion,completo,83,160,0,2982.15,4
PER012-000027,2024-01-06,comercial,completo,41,160,7.4,3291.75,4
PER012-000028,2024-01-06,operaciones,parcial,3,80,0,1092.44,2
PER012-000029,2024-01-07,administracion,completo,39,160,6.6,2722.05,3
