registro_id,fecha,almacen,producto,saldo,demanda,reposicion,plazo_dias,coste_unitario
STO045-000001,2024-01-01,A1,P01,23,26,0,3,4.0
STO045-000002,2024-01-01,A2,P01,51,12,0,3,4.0
STO045-000003,2024-01-02,A3,P01,50,17,12,3,4.0
STO045-000004,2024-01-02,A1,P02,65,12,0,4,6.2
STO045-000005,2024-01-03,A2,P02,50,12,0,4,6.2
STO045-000006,2024-01-03,A3,P02,21,28,12,4,6.2
STO045-000007,2024-01-04,A1,P03,18,8,0,5,8.4
STO045-000008,2024-01-05,A2,P03,15,5,24,5,8.4
STO045-000009,2024-01-05,A3,P03,13,16,12,5,8.4
STO045-000010,2024-01-06,A1,P04,51,15,0,6,10.6
STO045-000011,2024-01-06,A2,P04,54,10,0,6,10.6
STO045-000012,2024-01-07,A3,P04,62,11,24,6,10.6
STO045-000013,2024-01-08,A1,P05,8,25,0,7,12.8
STO045-000014,2024-01-08,A2,P05,50,13,0,7,12.8
STO045-000015,2024-01-09,A3,P05,3,36,12,7,12.8
STO045-000016,2024-01-09,A1,P06,44,21,0,8,15.0
STO045-000017,2024-01-10,A2,P06,57,24,24,8,15.0
STO045-000018,2024-01-10,A3,P06,63,23,24,8,15.0
STO045-000019,2024-01-11,A1,P07,41,23,24,9,17.2
STO045-000020,2024-01-12,A2,P07,9,20,24,9,17.2
STO045-000021,2024-01-12,A3,P07,60,20,24,9,17.2
STO045-000022,2024-01-13,A1,P08,70,28,0,3,19.4
STO045-000023,2024-01-13,A2,P08,50,14,12,3,19.4
STO045-000024,2024-01-14,A3,P08,56,31,12,3,19.4
STO045-000025,2024-01-15,A1,P09,38,2,12,4,21.6
STO045-000026,2024-01-15,A2,P09,62,14,12,4,21.6
STO045-000027,2024-01-16,A3,P09,40,4,12,4,21.6
STO045-000028,2024-01-16,A1,P10,43,28,12,5,23.8
STO045-000029,2024-01-17,A2,P10,47,29,0,5,23.8
STO045-000030,2024-01-17,A3,P10,32,20,0,5,23.8
STO045-000031,2024-01-18,A1,P11,39,40,24,6,26.0
STO045-000032,2024-01-19,A2,P11,66,17,12,6,26.0
STO045-000033,2024-01-19,A3,P11,44,15,0,6,26.0
STO045-000034,2024-01-20,A1,P12,58,20,24,7,28.2
STO045-000035,2024-01-20,A2,P12,54,27,24,7,28.2
STO045-000036,2024-01-21,A3,P12,4,25,0,7,28.2
STO045-000037,2024-01-22,A1,P01,29,11,24,3,4.0
STO045-000038,2024-01-22,A2,P01,25,33,0,3,4.0
STO045-000039,2024-01-23,A3,P01,67,14,0,3,4.0
STO045-000040,2024-01-23,A1,P02,22,23,0,4,6.2
STO045-000041,2024-01-24,A2,P02,11,19,0,4,6.2
STO045-000042,2024-01-24,A3,P02,36,6,0,4,6.2
STO045-000043,2024-01-25,A1,P03,64,21,24,5,8.4
STO045-000044,2024-01-26,A2,P03,29,10,0,5,8.4
STO045-000045,2024-01-26,A3,P03,12,17,0,5,8.4
STO045-000046,2024-01-27,A1,P04,29,22,0,6,10.6
STO045-000047,2024-01-27,A2,P04,3,14,24,6,10.6
STO045-000048,2024-01-28,A3,P04,63,14,0,6,10.6
STO045-000049,2024-01-29,A1,P05,42,24,24,7,12.8
STO045-000050,2024-01-29,A2,P05,60,15,0,7,12.8
STO045-000051,2024-01-30,A3,P05,58,15,24,7,12.8
STO045-000052,2024-01-30,A1,P06,47,5,12,8,15.0
STO045-000053,2024-01-31,A2,P06,28,20,24,8,15.0
STO045-000054,2024-01-31,A3,P06,46,14,12,8,15.0
STO045-000055,2024-02-01,A1,P07,24,26,0,9,17.2
STO045-000056,2024-02-02,A2,P07,44,26,12,9,17.2
STO045-000057,2024-02-02,A3,P07,37,20,0,9,17.2
STO045-000058,2024-02-03,A1,P08,6,23,24,3,19.4
STO045-000059,2024-02-03,A2,P08,37,9,12,3,19.4
STO045-000060,2024-02-04,A3,P08,36,22,12,3,19.4
STO045-000061,2024-02-05,A1,P09,14,33,0,4,21.6
STO045-000062,2024-02-05,A2,P09,6,23,0,4,21.6
STO045-000063,2024-02-06,A3,P09,68,37,0,4,21.6
STO045-000064,2024-02-06,A1,P10,31,20,0,5,23.8
STO045-000065,2024-02-07,A2,P10,58,6,24,5,23.8
STO045-000066,2024-02-08,A3,P10,68,13,0,5,23.8
STO045-000067,2024-02-08,A1,P11,33,22,0,6,26.0
STO045-000068,2024-02-09,A2,P11,31,10,24,6,26.0
STO045-000069,2024-02-09,A3,P11,68,5,12,6,26.0
STO045-000070,2024-02-10,A1,P12,0,24,24,7,28.2
STO045-000071,2024-02-10,A2,P12,31,40,0,7,28.2
STO045-000072,2024-02-11,A3,P12,69,32,24,7,28.2
STO045-000073,2024-02-12,A1,P01,54,6,12,3,4.0
STO045-000074,2024-02-12,A2,P01,49,26,0,3,4.0
STO045-000075,2024-02-13,A3,P01,68,19,12,3,4.0
STO045-000076,2024-02-13,A1,P02,50,27,12,4,6.2
STO045-000077,2024-02-14,A2,P02,59,27,0,4,6.2
STO045-000078,2024-02-15,A3,P02,57,13,12,4,6.2
STO045-000079,2024-02-15,A1,P03,58,10,0,5,8.4
STO045-000080,2024-02-16,A2,P03,23,19,12,5,8.4
STO045-000081,2024-02-16,A3,P03,58,0,24,5,8.4
STO045-000082,2024-02-17,A1,P04,70,10,0,6,10.6
STO045-000083,2024-02-17,A2,P04,31,22,24,6,10.6
STO045-000084,2024-02-18,A3,P04,,13,0,6,10.6
STO045-000085,2024-02-19,A1,P05,5,20,12,7,12.8
STO045-000086,2024-02-19,A2,P05,35,26,12,7,12.8
STO045-000087,2024-02-20,A3,P05,57,16,0,7,12.8
STO045-000088,2024-02-20,A1,P06,64,12,24,8,15.0
STO045-000089,2024-02-21,A2,P06,5,19,24,8,15.0
STO045-000090,2024-02-22,A3,P06,26,37,0,8,15.0
STO045-000091,2024-02-22,A1,P07,2,27,0,9,17.2
STO045-000092,2024-02-23,A2,P07,51,4,0,9,17.2
STO045-000093,2024-02-23,A3,P07,2,14,12,9,17.2
STO045-000094,2024-02-24,A1,P08,14,24,12,3,19.4
STO045-000095,2024-02-24,A2,P08,63,23,0,3,19.4
