registro_id,fecha,muestra,replica,instrumento,concentracion,limite,bajo_limite,unidad
LAB038-000001,2024-01-01,Q00001,1,A,24.129,2,0,mg/L
LAB038-000002,2024-01-01,Q00001,2,A,24.697,2,0,mg/L
LAB038-000003,2024-01-01,Q00001,3,A,25.154,2,0,mg/L
LAB038-000004,2024-01-01,Q00001,1,B,25.693,3,0,mg/L
LAB038-000005,2024-01-01,Q00001,2,B,25.885,3,0,mg/L
LAB038-000006,2024-01-01,Q00001,3,B,25.328,3,0,mg/L
LAB038-000007,2024-01-01,Q00002,1,A,21.828,2,0,mg/L
LAB038-000008,2024-01-01,Q00002,2,A,21.585,2,0,mg/L
LAB038-000009,2024-01-01,Q00002,3,A,22.379,2,0,mg/L
LAB038-000010,2024-01-01,Q00002,1,B,21.897,3,0,mg/L
LAB038-000011,2024-01-01,Q00002,2,B,21.269,3,0,mg/L
LAB038-000012,2024-01-01,Q00002,3,B,20.99,3,0,mg/L
LAB038-000013,2024-01-01,Q00003,1,A,8.251,2,0,mg/L
LAB038-000014,2024-01-01,Q00003,2,A,8.782,2,0,mg/L
LAB038-000015,2024-01-01,Q00003,3,A,8.523,2,0,mg/L
LAB038-000016,2024-01-01,Q00003,1,B,9.253,3,0,mg/L
LAB038-000017,2024-01-01,Q00003,2,B,9.051,3,0,mg/L
LAB038-000018,2024-01-01,Q00003,3,B,9.474,3,0,mg/L
LAB038-000019,2024-01-01,Q00004,1,A,3.821,2,0,mg/L
LAB038-000020,2024-01-01,Q00004,2,A,3.892,2,0,mg/L
LAB038-000021,2024-01-01,Q00004,3,A,2.899,2,0,mg/L
LAB038-000022,2024-01-01,Q00004,1,B,3.858,3,0,mg/L
LAB038-000023,2024-01-01,Q00004,2,B,4.002,3,0,mg/L
LAB038-000024,2024-01-01,Q00004,3,B,3.834,3,0,mg/L
LAB038-000025,2024-01-02,Q00005,1,A,4.967,2,0,mg/L
LAB038-000026,2024-01-02,Q00005,2,A,4.481,2,0,mg/L
LAB038-000027,2024-01-02,Q00005,3,A,4.256,2,0,mg/L
LAB038-000028,2024-01-02,Q00005,1,B,5.771,3,0,mg/L
LAB038-000029,2024-01-02,Q00005,2,B,5.547,3,0,mg/L
LAB038-000030,2024-01-02,Q00005,3,B,4.596,3,0,mg/L
LAB038-000031,2024-01-02,Q00006,1,A,2.073,2,0,mg/L
LAB038-000032,2024-01-02,Q00006,2,A,2.633,2,0,mg/L
LAB038-000033,2024-01-02,Q00006,3,A,,2,1,mg/L
LAB038-000034,2024-01-02,Q00006,1,B,,3,1,mg/L
LAB038-000035,2024-01-02,Q00006,2,B,3.236,3,0,mg/L
LAB038-000036,2024-01-02,Q00006,3,B,3.228,3,0,mg/L
LAB038-000037,2024-01-02,Q00007,1,A,9.379,2,0,mg/L
LAB038-000038,2024-01-02,Q00007,2,A,10.073,2,0,mg/L
LAB038-000039,2024-01-02,Q00007,3,A,10.714,2,0,mg/L
LAB038-000040,2024-01-02,Q00007,1,B,11.208,3,0,mg/L
LAB038-000041,2024-01-02,Q00007,2,B,10.99,3,0,mg/L
LAB038-000042,2024-01-02,Q00007,3,B,11.531,3,0,mg/L
LAB038-000043,2024-01-02,Q00008,1,A,9.859,2,0,mg/L
LAB038-000044,2024-01-02,Q00008,2,A,9.538,2,0,mg/L
LAB038-000045,2024-01-02,Q00008,3,A,9.108,2,0,mg/L
LAB038-000046,2024-01-02,Q00008,1,B,10.973,3,0,mg/L
LAB038-000047,2024-01-02,Q00008,2,B,10.406,3,0,mg/L
LAB038-000048,2024-01-02,Q00008,3,B,9.964,3,0,mg/L
LAB038-000049,2024-01-03,Q00009,1,A,3.522,2,0,mg/L
LAB038-000050,2024-01-03,Q00009,2,A,3.286,2,0,mg/L
LAB038-000051,2024-01-03,Q00009,3,A,4.74,2,0,mg/L
LAB038-000052,2024-01-03,Q00009,1,B,4.0,3,0,mg/L
LAB038-000053,2024-01-03,Q00009,2,B,3.584,3,0,mg/L
LAB038-000054,2024-01-03,Q00009,3,B,3.783,3,0,mg/L
LAB038-000055,2024-01-03,Q00010,1,A,12.26,2,0,mg/L
LAB038-000056,2024-01-03,Q00010,2,A,12.379,2,0,mg/L
LAB038-000057,2024-01-03,Q00010,3,A,12.98,2,0,mg/L
LAB038-000058,2024-01-03,Q00010,1,B,12.511,3,0,mg/L
LAB038-000059,2024-01-03,Q00010,2,B,12.658,3,0,mg/L
LAB038-000060,2024-01-03,Q00010,3,B,12.796,3,0,mg/L
LAB038-000061,2024-01-03,Q00011,1,A,2.84,2,0,mg/L
LAB038-000062,2024-01-03,Q00011,2,A,,2,1,mg/L
LAB038-000063,2024-01-03,Q00011,3,A,2.408,2,0,mg/L
LAB038-000064,2024-01-03,Q00011,1,B,3.369,3,0,mg/L
LAB038-000065,2024-01-03,Q00011,2,B,3.279,3,0,mg/L
LAB038-000066,2024-01-03,Q00011,3,B,3.677,3,0,mg/L
LAB038-000067,2024-01-03,Q00012,1,A,9.184,2,0,mg/L
LAB038-000068,2024-01-03,Q00012,2,A,6.875,2,0,mg/L
LAB038-000069,2024-01-03,Q00012,3,A,7.653,2,0,mg/L
LAB038-000070,2024-01-03,Q00012,1,B,10.238,3,0,mg/L
LAB038-000071,2024-01-03,Q00012,2,B,9.029,3,0,mg/L
LAB038-000072,2024-01-03,Q00012,3,B,8.879,3,0,mg/L
LAB038-000073,2024-01-04,Q00013,1,A,3.143,2,0,mg/L
LAB038-000074,2024-01-04,Q00013,2,A,2.724,2,0,mg/L
LAB038-000075,2024-01-04,Q00013,3,A,2.621,2,0,mg/L
LAB038-000076,2024-01-04,Q00013,1,B,3.251,3,0,mg/L
LAB038-000077,2024-01-04,Q00013,2,B,,3,1,mg/L
LAB038-000078,2024-01-04,Q00013,3,B,3.55,3,0,mg/L
LAB038-000079,2024-01-04,Q00014,1,A,12.646,2,0,mg/L
LAB038-000080,2024-01-04,Q00014,2,A,11.131,2,0,mg/L
LAB038-000081,2024-01-04,Q00014,3,A,11.111,2,0,mg/L
LAB038-000082,2024-01-04,Q00014,1,B,12.267,3,0,mg/L
LAB038-000083,2024-01-04,Q00014,2,B,11.666,3,0,mg/L
LAB038-000084,2024-01-04,Q00014,3,B,,3,0,mg/L
LAB038-000085,2024-01-04,Q00015,1,A,32.825,2,0,mg/L
LAB038-000086,2024-01-04,Q00015,2,A,33.244,2,0,mg/L
LAB038-000087,2024-01-04,Q00015,3,A,32.08,2,0,mg/L
LAB038-000088,2024-01-04,Q00015,1,B,34.73,3,0,mg/L
LAB038-000089,2024-01-04,Q00015,2,B,33.977,3,0,mg/L
LAB038-000090,2024-01-04,Q00015,3,B,34.406,3,0,mg/L
LAB038-000091,2024-01-04,Q00016,1,A,7.273,2,0,mg/L
LAB038-000092,2024-01-04,Q00016,2,A,7.546,2,0,mg/L
LAB038-000093,2024-01-04,Q00016,3,A,7.478,2,0,mg/L
LAB038-000094,2024-01-04,Q00016,1,B,5.917,3,0,mg/L
LAB038-000095,2024-01-04,Q00016,2,B,7.706,3,0,mg/L
LAB038-000096,2024-01-04,Q00016,3,B,8.292,3,0,mg/L
LAB038-000097,2024-01-05,Q00017,1,A,2.343,2,0,mg/L
LAB038-000098,2024-01-05,Q00017,2,A,3.209,2,0, MG/L 
LAB038-000099,2024-01-05,Q00017,3,A,,2,1,mg/L
LAB038-000100,2024-01-05,Q00017,1,B,3.501,3,0,mg/L
LAB038-000101,2024-01-05,Q00017,2,B,,3,1,mg/L
LAB038-000102,2024-01-05,Q00017,3,B,,3,1,mg/L
LAB038-000103,2024-01-05,Q00018,1,A,,2,1,mg/L
LAB038-000104,2024-01-05,Q00018,2,A,2.069,2,0,mg/L
LAB038-000105,2024-01-05,Q00018,3,A,,2,1,mg/L
LAB038-000106,2024-01-05,Q00018,1,B,,3,1,mg/L
LAB038-000107,2024-01-05,Q00018,2,B,,3,1,mg/L
LAB038-000108,2024-01-05,Q00018,3,B,,3,1,mg/L
LAB038-000109,2024-01-05,Q00019,1,A,14.253,2,0,mg/L
LAB038-000110,2024-01-05,Q00019,2,A,14.485,2,0,mg/L
