registro_id,fecha,distrito,kg,reciclable_kg,habitantes,km,cobertura_pct
RES072-000001,2024-01-01,norte,523.6,96.2,2400,13.0,100
RES072-000002,2024-01-01,centro,1201.2,234.8,6000,11.9,100
RES072-000003,2024-01-01,sur,745.7,199.8,3600,29.8,100
RES072-000004,2024-01-02,norte,472.3,88.8,2400,28.5,100
RES072-000005,2024-01-02,centro,1072.4,239.8,6000,18.9,100
RES072-000006,2024-01-02,sur,616.9,166.1,3600,22.8,100
RES072-000007,2024-01-03,norte,573.6,107.7,2400,19.1,100
RES072-000008,2024-01-03,centro,1078.9,253.6,6000,21.6,100
RES072-000009,2024-01-03,sur,681.8,120.6,3600,15.5,100
RES072-000010,2024-01-04,norte,269.8,53.8,2400,11.1,60
RES072-000011,2024-01-04,centro,1164.6,252.3,6000,19.8,100
RES072-000012,2024-01-04,sur,495.9,124.3,3600,18.4,80
RES072-000013,2024-01-05,norte,459.7,90.4,2400,15.7,100
RES072-000014,2024-01-05,centro,642.3,133.9,6000,28.7,60
RES072-000015,2024-01-05,sur,600.2,143.0,3600,26.7,100
RES072-000016,2024-01-06,norte,237.2,44.2,2400,27.1,60
RES072-000017,2024-01-06,centro,835.5,183.5,6000,14.5,80
RES072-000019,2024-01-07,norte,432.6,83.7,2400,12.8,100
RES072-000020,2024-01-07,centro,871.3,159.4,6000,24.8,80
RES072-000021,2024-01-07,sur,556.2,122.2,3600,13.6,80
RES072-000022,2024-01-08,norte,252.5,43.0,2400,25.3,60
RES072-000023,2024-01-08,centro,1052.3,221.6,6000,12.8,80
RES072-000024,2024-01-08,sur,718.0,151.8,3600,19.4,100
RES072-000025,2024-01-09,norte,437.7,82.9,2400,20.7,80
RES072-000026,2024-01-09,centro,1085.9,277.7,6000,14.6,100
RES072-000027,2024-01-09,sur,590.4,142.6,3600,11.8,100
RES072-000028,2024-01-10,norte,419.2,71.9,2400,17.5,100
RES072-000029,2024-01-10,centro,1091.6,263.0,6000,15.3,100
RES072-000030,2024-01-10,sur,585.6,138.8,3600,12.7,100
RES072-000031,2024-01-11,norte,397.2,80.8,2400,8.2,100
RES072-000032,2024-01-11,centro,1161.1,208.5,6000,16.1,100
RES072-000033,2024-01-11,sur,608.5,139.7,3600,16.2,100
RES072-000034,2024-01-12,norte,359.2,68.5,2400,14.5,100
RES072-000035,2024-01-12,centro,1115.8,261.7,6000,8.2,100
RES072-000036,2024-01-12,sur,711.4,174.0,3600,28.0,100
RES072-000037,2024-01-13,norte,472.6,72.2,2400,12.5,100
RES072-000038,2024-01-13,centro,1165.3,266.6,6000,23.4,100
RES072-000039,2024-01-13,sur,667.1,158.3,3600,24.4,100
RES072-000040,2024-01-14,norte,443.2,69.9,2400,21.5,100
RES072-000041,2024-01-14,centro,863.8,179.2,6000,20.3,80
RES072-000042,2024-01-14,sur,623.2,160.7,3600,26.4,100
RES072-000043,2024-01-15,norte,320.3,63.6,2400,11.9,60
RES072-000044,2024-01-15,centro,906.8,152.0,6000,23.1,80
RES072-000045,2024-01-15,sur,613.6,120.7,3600,11.8,60
RES072-000046,2024-01-16,norte,437.3,68.1,2400,14.0,100
RES072-000047,2024-01-16,centro,1052.5,213.7,6000,19.0,100
RES072-000048,2024-01-16,sur,712.0,164.9,3600,23.1,100
RES072-000049,2024-01-17,norte,424.4,87.5,2400,21.9,100
RES072-000050,2024-01-17,centro,653.3,139.3,6000,21.1,60
RES072-000051,2024-01-17,sur,670.6,151.8,3600,17.1,100
RES072-000052,2024-01-18,norte,388.0,69.8,2400,18.4,100
RES072-000053,2024-01-18,centro,642.9,154.7,6000,27.5,60
RES072-000054,2024-01-18,sur,726.2,159.1,3600,26.4,100
RES072-000055,2024-01-19,norte,398.1,92.3,2400,26.7,80
RES072-000056,2024-01-19,centro,1082.7,241.2,6000,18.4,100
RES072-000057,2024-01-19,sur,498.1,112.5,3600,25.7,60
RES072-000058,2024-01-20,norte,346.4,75.0,2400,9.8,100
RES072-000059,2024-01-20,centro,561.9,92.1,6000,28.5,60
RES072-000060,2024-01-20,sur,528.4,136.8,3600,22.2,80
RES072-000061,2024-01-21,norte,498.8,82.7,2400,12.6,100
RES072-000062,2024-01-21,centro,1103.6,196.8,6000,11.6,100
RES072-000063,2024-01-21,sur,617.8,122.9,3600,27.6,100
RES072-000064,2024-01-22,norte,500.4,89.9,2400,11.6,100
RES072-000065,2024-01-22,centro,1226.9,265.2,6000,13.0,100
RES072-000066,2024-01-22,sur,542.3,140.1,3600,14.5,80
RES072-000067,2024-01-23,norte,408.3,76.8,2400,25.9,100
RES072-000068,2024-01-23,centro,1109.0,308.1,6000,21.1,100
RES072-000069,2024-01-23,sur,624.3,140.1,3600,10.4,100
RES072-000070,2024-01-24,norte,416.4,90.2,2400,8.7,100
RES072-000072,2024-01-24,sur,719.9,149.9,3600,20.1,100
RES072-000073,2024-01-25,norte,309.8,44.2,2400,26.5,80
RES072-000074,2024-01-25,centro,1100.0,220.9,6000,9.2,100
RES072-000075,2024-01-25,sur,637.8,158.8,3600,8.3,100
RES072-000076,2024-01-26,norte,278.1,48.6,2400,25.6,60
RES072-000077,2024-01-26,centro,1030.2,190.6,6000,25.1,100
RES072-000078,2024-01-26,sur,375.4,86.3,3600,19.2,60
RES072-000079,2024-01-27,norte,324.1,56.7,2400,9.0,80
RES072-000080,2024-01-27,centro,1093.5,244.9,6000,17.3,100
RES072-000081,2024-01-27,sur,588.8,134.1,3600,24.9,100
RES072-000082,2024-01-28,norte,208.1,44.2,2400,23.0,60
RES072-000083,2024-01-28,centro,1101.0,257.9,6000,28.6,100
RES072-000084,2024-01-28,sur,,62.3,3600,13.3,60
RES072-000085,2024-01-29,norte,498.1,87.0,2400,23.8,100
RES072-000086,2024-01-29,centro,1296.5,316.8,6000,10.1,100
RES072-000087,2024-01-29,sur,401.2,100.3,3600,21.3,60
RES072-000088,2024-01-30,norte,460.7,95.8,2400,11.8,100
RES072-000089,2024-01-30,centro,817.6,200.2,6000,11.3,80
RES072-000090,2024-01-30,sur,622.8,131.9,3600,17.0,100
RES072-000091,2024-01-31,norte,443.7,87.1,2400,19.6,100
RES072-000092,2024-01-31,centro,1132.3,198.3,6000,21.2,100
RES072-000093,2024-01-31,sur,724.3,207.6,3600,23.3,100
RES072-000094,2024-02-01,norte,271.0,57.7,2400,10.7,80
RES072-000095,2024-02-01,centro,1083.2,229.3,6000,14.3,100
RES072-000096,2024-02-01,sur,683.2,125.2,3600,23.7,100
RES072-000097,2024-02-02,norte,380.3,63.9,2400,16.8,100
RES072-000098,2024-02-02,centro,1029.3,249.7,6000,26.1,100
RES072-000099,2024-02-02,sur,655.2,166.9,3600,16.7,100
RES072-000100,2024-02-03,norte,264.5,52.5,2400,21.1,60
RES072-000101,2024-02-03,centro,1047.5,181.8,6000,26.0,100
RES072-000102,2024-02-03,sur,357.8,79.9,3600,17.2,60
RES072-000103,2024-02-04,norte,274.2,59.2,2400,27.5,60
RES072-000104,2024-02-04,centro,1066.1,230.8,6000,8.5,100
RES072-000105,2024-02-04,sur,522.1,101.4,3600,14.8,80
RES072-000106,2024-02-05,norte,487.8,87.0,2400,24.2,100
RES072-000107,2024-02-05,centro,1029.4,234.1,6000,28.3,80
RES072-000108,2024-02-05,sur,789.2,170.7,3600,8.5,100
RES072-000109,2024-02-06,norte,493.3,90.7,2400,9.8,100
RES072-000110,2024-02-06,centro,1026.9,263.4,6000,14.4,100
RES072-000111,2024-02-06,sur,585.6,122.3,3600,10.1,100
RES072-000112,2024-02-07,norte,466.2,78.8,2400,10.5,100
RES072-000113,2024-02-07,centro,1048.0,250.3,6000,15.5,100
RES072-000114,2024-02-07,sur,743.4,153.8,3600,13.5,100
RES072-000115,2024-02-08,norte,162.2,31.9,2400,17.6,60
RES072-000116,2024-02-08,centro,646.9,161.5,6000,23.1,60
RES072-000117,2024-02-08,sur,671.0,182.0,3600,20.8,100
RES072-000118,2024-02-09,norte,427.7,73.0,2400,11.5,80
RES072-000119,2024-02-09,centro,1133.2,235.9,6000,20.4,100
RES072-000120,2024-02-09,sur,360.9,90.8,3600,27.6,60
RES072-000121,2024-02-10,norte,436.6,87.7,2400,8.2,100
RES072-000122,2024-02-10,centro,703.7,111.7,6000,9.0,60
RES072-000123,2024-02-10,sur,393.9,107.1,3600,17.7,60
RES072-000125,2024-02-11,centro,1069.0,221.8,6000,19.4,100
RES072-000126,2024-02-11,sur,394.0,87.1,3600,23.7,60
RES072-000127,2024-02-12,norte,305.9,66.4,2400,10.2,60
RES072-000128,2024-02-12,centro,1167.4,272.9,6000,20.7,100
RES072-000129,2024-02-12,sur,720.5,141.8,3600,21.2,100
RES072-000130,2024-02-13,norte,290.5,45.2,2400,10.5,60
RES072-000131,2024-02-13,centro,993.8,210.9,6000,10.0,80
RES072-000132,2024-02-13,sur,571.5,138.7,3600,29.2,100
RES072-000133,2024-02-14,norte,409.6,92.6,2400,22.7,100
RES072-000134,2024-02-14,centro,573.2,106.8,6000,16.6,60
RES072-000135,2024-02-14,sur,652.7,148.3,3600,24.7,100
RES072-000136,2024-02-15,norte,432.6,55.0,2400,29.1,100
RES072-000137,2024-02-15,centro,1043.6,228.5,6000,10.2,100
RES072-000138,2024-02-15,sur,647.6,161.0,3600,29.0,100
RES072-000139,2024-02-16,norte,389.4,49.0,2400,20.6,100
RES072-000140,2024-02-16,centro,819.9,172.3,6000,15.1,80
RES072-000141,2024-02-16,sur,335.8,61.4,3600,26.9,60
RES072-000142,2024-02-17,norte,397.0,88.8,2400,15.2,80
RES072-000143,2024-02-17,centro,1114.2,220.1,6000,12.0,100
RES072-000144,2024-02-17,sur,754.0,162.2,3600,19.2,100
RES072-000145,2024-02-18,norte,354.0,75.1,2400,17.0,100
RES072-000146,2024-02-18,centro,1090.0,228.1,6000,27.6,100
RES072-000147,2024-02-18,sur,676.5,157.4,3600,29.9,100
RES072-000148,2024-02-19,norte,497.9,95.1,2400,29.8,100
RES072-000149,2024-02-19,centro,1058.7,211.8,6000,27.1,80
RES072-000150,2024-02-19,sur,791.2,164.2,3600,11.0,100
RES072-000151,2024-02-20,norte,453.7,87.6,2400,23.1,100
RES072-000152,2024-02-20,centro,1143.8,255.2,6000,26.3,100
RES072-000153,2024-02-20,sur,653.1,147.3,3600,25.4,100
RES072-000154,2024-02-21,norte,381.8,76.5,2400,16.3,100
RES072-000155,2024-02-21,centro,1061.9,259.0,6000,11.8,100
RES072-000156,2024-02-21,sur,375.5,79.4,3600,21.8,60
RES072-000157,2024-02-22,norte,281.7,58.1,2400,13.6,60
RES072-000158,2024-02-22,centro,669.9,157.7,6000,14.6,60
RES072-000159,2024-02-22,sur,590.7,135.6,3600,27.0,100
RES072-000160,2024-02-23,norte,176.5,33.7,2400,8.6,60
RES072-000161,2024-02-23,centro,810.2,182.6,6000,8.3,80
RES072-000162,2024-02-23,sur,391.4,92.8,3600,25.3,60
RES072-000163,2024-02-24,norte,434.7,96.5,2400,21.9,100
RES072-000164,2024-02-24,centro,881.2,191.9,6000,25.3,80
RES072-000165,2024-02-24,sur,516.1,128.4,3600,12.2,80
RES072-000166,2024-02-25,norte,360.8,92.2,2400,12.0,80
RES072-000167,2024-02-25,centro,,276.3,6000,13.7,100
RES072-000168,2024-02-25,sur,715.5,165.0,3600,23.0,100
RES072-000169,2024-02-26,norte,561.3,117.2,2400,23.7,100
RES072-000170,2024-02-26,centro,1241.8,239.6,6000,27.1,100
RES072-000171,2024-02-26,sur,786.8,170.5,3600,12.9,100
RES072-000172,2024-02-27,norte,464.6,77.6,2400,27.5,100
RES072-000173,2024-02-27,centro,1079.3,232.5,6000,9.9,100
RES072-000174,2024-02-27,sur,443.7,102.5,3600,18.6,80
RES072-000175,2024-02-28,norte,332.5,59.1,2400,23.9,60
RES072-000176,2024-02-28,centro,831.6,185.9,6000,19.9,80
RES072-000178,2024-02-29,norte,481.8,87.3,2400,8.4,100
RES072-000179,2024-02-29,centro,1021.0,164.0,6000,28.5,100
RES072-000180,2024-02-29,sur,390.7,80.5,3600,11.5,60
RES072-000181,2024-03-01,norte,455.9,81.4,2400,13.7,100
RES072-000182,2024-03-01,centro,1093.6,259.4,6000,28.9,100
RES072-000183,2024-03-01,sur,642.3,142.8,3600,8.7,100
RES072-000184,2024-03-02,norte,500.0,98.5,2400,21.0,100
RES072-000185,2024-03-02,centro,643.5,95.5,6000,14.1,60
RES072-000186,2024-03-02,sur,518.1,120.5,3600,17.2,80
RES072-000187,2024-03-03,norte,424.3,75.1,2400,29.1,100
RES072-000188,2024-03-03,centro,562.6,114.8,6000,22.6,60
RES072-000189,2024-03-03,sur,599.4,104.3,3600,28.0,100
RES072-000190,2024-03-04,norte,531.5,108.4,2400,11.9,100
RES072-000191,2024-03-04,centro,1197.5,241.1,6000,9.6,100
RES072-000192,2024-03-04,sur,858.4,199.9,3600,16.4,100
RES072-000193,2024-03-05,norte,440.3,79.3,2400,12.8,100
RES072-000194,2024-03-05,centro,809.8,189.2,6000,11.6,80
RES072-000195,2024-03-05,sur,660.4,148.0,3600,27.2,100
RES072-000196,2024-03-06,norte,350.9,53.8,2400,13.3,80
RES072-000197,2024-03-06,centro,1093.9,268.3,6000,18.4,100
RES072-000198,2024-03-06,sur,572.5,133.4,3600,23.5,100
RES072-000199,2024-03-07,norte,404.3,70.5,2400,12.4,100
RES072-000200,2024-03-07,centro,871.5,207.8,6000,12.9,80
RES072-000201,2024-03-07,sur,728.9,176.6,3600,11.8,100
RES072-000202,2024-03-08,norte,294.3,50.2,2400,15.4,60
RES072-000203,2024-03-08,centro,1016.1,209.3,6000,21.8,100
RES072-000204,2024-03-08,sur,473.7,125.3,3600,10.2,80
RES072-000205,2024-03-09,norte,403.4,83.5,2400,17.5,100
RES072-000206,2024-03-09,centro,870.0,210.3,6000,8.5,80
RES072-000207,2024-03-09,sur,685.5,188.1,3600,23.0,100
RES072-000208,2024-03-10,norte,297.4,63.0,2400,13.0,80
RES072-000209,2024-03-10,centro,1103.5,214.9,6000,9.2,100
RES072-000210,2024-03-10,sur,729.0,143.9,3600,17.7,100
RES072-000211,2024-03-11,norte,499.7,130.5,2400,24.3,100
RES072-000212,2024-03-11,centro,"1027,4",215.8,6000,16.0,80
RES072-000213,2024-03-11,sur,769.3,197.0,3600,25.9,100
RES072-000214,2024-03-12,norte,286.0,52.6,2400,13.6,60
RES072-000215,2024-03-12,centro,1112.6,228.3,6000,8.1,100
RES072-000216,2024-03-12,sur,718.8,176.4,3600,23.4,100
RES072-000217,2024-03-13,norte,447.9,83.9,2400,26.4,100
RES072-000218,2024-03-13,centro,1048.4,247.8,6000,20.8,100
RES072-000219,2024-03-13,sur,478.2,127.0,3600,15.8,80
RES072-000220,2024-03-14,norte,278.1,45.4,2400,15.2,60
RES072-000221,2024-03-14,centro,997.0,231.6,6000,9.3,100
RES072-000222,2024-03-14,sur,598.8,144.1,3600,8.1,100
RES072-000223,2024-03-15,norte,209.0,36.3,2400,21.6,60
