registro_id,fecha,sede,modalidad,asistencia_pct,nota_inicial,nota_final,horas_estudio,tutorias
NOT092-000001,2024-01-01,S1,virtual,67.6,10.7,10.0,9.2,3
NOT092-000002,2024-01-01,S2,virtual,72.0,9.5,11.6,3.8,10
NOT092-000003,2024-01-01,S3,virtual,44.5,13.4,15.0,5.2,1
NOT092-000004,2024-01-01,S1,virtual,54.2,13.1,13.1,11.7,3
NOT092-000005,2024-01-01,S2,virtual,50.2,12.1,10.6,6.8,0
NOT092-000006,2024-01-01,S3,virtual,81.2,9.0,9.2,1.2,6
NOT092-000007,2024-01-01,S1,virtual,62.4,16.8,18.2,11.6,0
NOT092-000008,2024-01-02,S2,presencial,59.6,15.6,15.4,4.3,1
NOT092-000009,2024-01-02,S3,presencial,100,13.1,17.0,6.2,0
NOT092-000010,2024-01-02,S1,virtual,72.3,11.1,7.4,4.4,0
NOT092-000011,2024-01-02,S2,presencial,78.0,11.0,12.4,9.1,3
NOT092-000012,2024-01-02,S3,virtual,88.8,10.8,14.5,10.0,1
NOT092-000013,2024-01-02,S1,virtual,89.5,10.6,10.6,1.2,1
NOT092-000014,2024-01-03,S2,presencial,91.5,15.7,14.1,11.9,1
NOT092-000015,2024-01-03,S3,presencial,80.7,14.3,11.7,7.1,3
NOT092-000016,2024-01-03,S1,virtual,75.5,11.6,9.4,5.7,2
NOT092-000017,2024-01-03,S2,presencial,100,11.9,10.4,3.4,3
NOT092-000018,2024-01-03,S3,virtual,65.9,11.1,13.1,11.9,3
NOT092-000019,2024-01-03,S1,presencial,67.4,8.8,9.2,5.2,7
NOT092-000020,2024-01-04,S2,virtual,66.1,11.9,8.8,5.5,1
NOT092-000021,2024-01-04,S3,virtual,81.0,12.7,8.9,4.2,2
NOT092-000022,2024-01-04,S1,presencial,62.1,11.4,9.1,0.9,0
NOT092-000023,2024-01-04,S2,virtual,67.8,11.4,10.4,5.0,2
NOT092-000024,2024-01-04,S3,virtual,88.2,6.6,11.4,10.2,9
NOT092-000025,2024-01-04,S1,presencial,100,13.7,12.2,7.0,1
