registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL078-000001,2024-01-01,C0001,esencial,norte,7,14.59,2,0,
TEL078-000002,2024-01-01,C0002,plus,norte,8,37.01,0,0,
TEL078-000003,2024-01-01,C0003,total,sur,31,53.06,2,0,
TEL078-000004,2024-01-01,C0004,esencial,norte,80,3.85,4,0,
TEL078-000005,2024-01-01,C0005,plus,sur,17,45.82,0,0,
TEL078-000006,2024-01-01,C0006,total,norte,2,57.09,0,0,
TEL078-000007,2024-01-01,C0007,esencial,centro,75,0,0,0,
TEL078-000008,2024-01-01,C0008,plus,norte,70,28.37,0,0,
TEL078-000009,2024-01-01,C0009,total,sur,43,52.75,0,0,
TEL078-000010,2024-01-01,C0010,esencial,sur,87,22.9,0,0,
TEL078-000011,2024-01-01,C0011,plus,norte,89,29.82,0,0,
TEL078-000012,2024-01-01,C0012,total,sur,12,52.24,0,1,mudanza
TEL078-000013,2024-01-01,C0013,esencial,norte,5,13.31,0,0,
TEL078-000014,2024-01-01,C0014,plus,centro,70,34.83,0,0,
TEL078-000015,2024-01-01,C0015,total,centro,90,49.9,0,0,
TEL078-000016,2024-01-01,C0016,esencial,sur,51,13.21,0,0,
TEL078-000017,2024-01-01,C0017,plus,sur,60,27.51,0,0,
TEL078-000018,2024-01-01,C0018,total,sur,14,43.34,3,0,
TEL078-000019,2024-01-01,C0019,esencial,norte,35,15.88,0,0,
TEL078-000020,2024-01-01,C0020,plus,sur,73,26.54,0,0,
TEL078-000021,2024-01-01,C0021,total,sur,13,41.88,0,0,
TEL078-000022,2024-01-01,C0022,esencial,centro,90,7.43,4,0,
TEL078-000023,2024-01-01,C0023,plus,centro,50,28.11,0,0,
TEL078-000024,2024-01-01,C0024,total,sur,89,40.77,0,0,
TEL078-000025,2024-01-01,C0025,esencial,centro,29,12.36,0,0,
TEL078-000026,2024-01-01,C0026,plus,sur,56,41.57,3,0,
TEL078-000027,2024-01-01,C0027,total,centro,13,36.39,0,0,
TEL078-000028,2024-01-01,C0028,esencial,norte,50,5.83,0,0,
TEL078-000029,2024-01-01,C0029,plus,centro,37,34.0,0,0,
TEL078-000030,2024-01-01,C0030,total,norte,42,44.64,1,0,
TEL078-000031,2024-01-01,C0031,esencial,centro,10,13.3,0,0,
TEL078-000032,2024-01-01,C0032,plus,norte,32,26.88,1,0,
TEL078-000033,2024-01-01,C0033,total,sur,89,35.92,0,1,precio
TEL078-000034,2024-01-01,C0034,esencial,norte,69,6.83,0,0,
TEL078-000035,2024-01-01,C0035,plus,sur,81,30.46,0,1,precio
TEL078-000036,2024-01-01,C0036,total,norte,51,53.1,0,0,
TEL078-000037,2024-01-01,C0037,esencial,norte,33,18.96,0,0,
TEL078-000038,2024-01-01,C0038,plus,centro,37,21.69,0,0,
TEL078-000039,2024-01-01,C0039,total,norte,81,39.36,0,0,
TEL078-000040,2024-01-01,C0040,esencial,norte,74,19.73,1,0,
TEL078-000041,2024-01-01,C0041,plus,norte,73,23.27,0,0,
TEL078-000042,2024-01-01,C0042,total,norte,22,42.35,0,0,
TEL078-000043,2024-01-01,C0043,esencial,centro,7,23.35,2,0,
TEL078-000044,2024-01-01,C0044,plus,centro,90,23.88,0,0,
