registro_id,fecha,sucursal,genero,dias_prestamo,renovacion,devuelto
BIB056-000001,2024-01-01,S1,ensayo,22,0,1
BIB056-000002,2024-01-01,S2,novela,6,0,1
BIB056-000003,2024-01-02,S3,novela,729,0,0
BIB056-000004,2024-01-02,S1,infantil,7,0,1
BIB056-000005,2024-01-03,S2,ensayo,32,1,1
BIB056-000006,2024-01-03,S3,infantil,23,1,1
BIB056-000007,2024-01-04,S1,novela,19,0,1
BIB056-000008,2024-01-04,S2,novela,38,1,1
BIB056-000009,2024-01-05,S3,infantil,25,0,1
BIB056-000010,2024-01-05,S1,novela,6,0,1
BIB056-000011,2024-01-06,S2,infantil,2,0,1
BIB056-000012,2024-01-06,S3,infantil,18,0,1
BIB056-000013,2024-01-07,S1,novela,23,0,1
BIB056-000014,2024-01-07,S2,ensayo,34,1,1
BIB056-000015,2024-01-08,S3,infantil,2,0,1
BIB056-000016,2024-01-09,S1,infantil,36,1,1
BIB056-000017,2024-01-09,S2,infantil,12,0,1
BIB056-000018,2024-01-10,S3,ensayo,22,0,1
BIB056-000019,2024-01-10,S1,ensayo,24,0,1
BIB056-000020,2024-01-11,S2,ensayo,28,1,1
BIB056-000021,2024-01-11,S3,infantil,720,0,0
BIB056-000022,2024-01-12,S1,ensayo,719,1,0
BIB056-000023,2024-01-12,S2,novela,25,0,1
BIB056-000024,2024-01-13,S3,ensayo,17,0,1
BIB056-000025,2024-01-13,S1,infantil,4,0,1
BIB056-000026,2024-01-14,S2,novela,8,0,1
BIB056-000027,2024-01-14,S3,ensayo,8,0,1
BIB056-000028,2024-01-15,S1,ensayo,37,1,1
BIB056-000029,2024-01-16,S2,ensayo,715,0,0
BIB056-000030,2024-01-16,S3,infantil,20,0,1
BIB056-000031,2024-01-17,S1,ensayo,16,0,1
BIB056-000032,2024-01-17,S2,novela,18,0,1
BIB056-000033,2024-01-18,S3,novela,17,1,1
BIB056-000034,2024-01-18,S1,infantil,11,0,1
BIB056-000035,2024-01-19,S2,ensayo,23,0,1
BIB056-000036,2024-01-19,S3,novela,19,1,1
BIB056-000037,2024-01-20,S1,novela,14,0,1
BIB056-000038,2024-01-20,S2,novela,21,0,1
BIB056-000039,2024-01-21,S3,novela,710,1,0
BIB056-000040,2024-01-21,S1,novela,17,0,1
BIB056-000041,2024-01-22,S2,novela,22,0,1
BIB056-000042,2024-01-23,S3,novela,708,0,0
BIB056-000043,2024-01-23,S1,infantil,4,0,1
BIB056-000044,2024-01-24,S2,ensayo,12,0,1
BIB056-000045,2024-01-24,S3,novela,2,0,1
BIB056-000046,2024-01-25,S1,ensayo,20,0,1
BIB056-000047,2024-01-25,S2,novela,17,0,1
BIB056-000048,2024-01-26,S3,novela,5,0,1
BIB056-000049,2024-01-26,S1,infantil,21,0,1
BIB056-000050,2024-01-27,S2,infantil,704,0,0
BIB056-000051,2024-01-27,S3,novela,8,0,1
BIB056-000052,2024-01-28,S1,infantil,4,0,1
BIB056-000053,2024-01-28,S2,infantil,24,0,1
BIB056-000054,2024-01-29,S3,ensayo,36,1,1
BIB056-000055,2024-01-30,S1,ensayo,19,1,1
BIB056-000056,2024-01-30,S2,infantil,21,0,1
BIB056-000057,2024-01-31,S3,novela,37,1,1
BIB056-000058,2024-01-31,S1,infantil,8,0,1
BIB056-000059,2024-02-01,S2,infantil,17,0,1
BIB056-000060,2024-02-01,S3,novela,30,1,1
BIB056-000061,2024-02-02,S1,ensayo,18,0,1
BIB056-000062,2024-02-02,S2,ensayo,23,1,1
BIB056-000063,2024-02-03,S3,novela,697,0,0
BIB056-000064,2024-02-03,S1,infantil,10,0,1
BIB056-000065,2024-02-04,S2,ensayo,6,0,1
BIB056-000066,2024-02-04,S3,infantil,31,1,1
BIB056-000067,2024-02-05,S1,novela,23,0,1
BIB056-000068,2024-02-06,S2,novela,694,0,0
BIB056-000069,2024-02-06,S3,ensayo,8,0,1
BIB056-000070,2024-02-07,S1,novela,29,1,1
BIB056-000071,2024-02-07,S2,novela,22,0,1
BIB056-000072,2024-02-08,S3,novela,24,1,1
BIB056-000073,2024-02-08,S1,ensayo,8,0,1
BIB056-000074,2024-02-09,S2,novela,10,0,1
BIB056-000075,2024-02-09,S3,ensayo,17,0,1
BIB056-000076,2024-02-10,S1,ensayo,19,0,1
BIB056-000077,2024-02-10,S2,novela,690,0,0
BIB056-000078,2024-02-11,S3,infantil,13,0,1
BIB056-000079,2024-02-11,S1,ensayo,9,0,1
BIB056-000080,2024-02-12,S2,ensayo,688,0,0
BIB056-000081,2024-02-13,S3,novela,687,1,0
BIB056-000082,2024-02-13,S1,infantil,6,0,1
BIB056-000083,2024-02-14,S2,ensayo,21,0,1
BIB056-000084,2024-02-14,S3,infantil,,0,1
BIB056-000085,2024-02-15,S1,novela,23,0,1
BIB056-000086,2024-02-15,S2,infantil,17,0,1
BIB056-000087,2024-02-16,S3,novela,22,1,1
BIB056-000088,2024-02-16,S1,ensayo,3,0,1
BIB056-000089,2024-02-17,S2,ensayo,6,0,1
BIB056-000090,2024-02-17,S3,ensayo,24,0,1
BIB056-000091,2024-02-18,S1,ensayo,682,0,0
BIB056-000092,2024-02-18,S2,novela,23,0,1
BIB056-000093,2024-02-19,S3,infantil,17,1,1
BIB056-000094,2024-02-19,S1,ensayo,19,0,1
BIB056-000095,2024-02-20,S2,novela,680,0,0
BIB056-000096,2024-02-21,S3,ensayo,679,0,0
BIB056-000097,2024-02-21,S1,ensayo,33,1,1
BIB056-000098,2024-02-22,S2, ENSAYO ,3,0,1
BIB056-000099,2024-02-22,S3,ensayo,37,1,1
BIB056-000100,2024-02-23,S1,infantil,677,0,0
BIB056-000101,2024-02-23,S2,ensayo,15,0,1
BIB056-000102,2024-02-24,S3,ensayo,8,0,1
BIB056-000103,2024-02-24,S1,infantil,20,0,1
BIB056-000104,2024-02-25,S2,ensayo,28,1,1
BIB056-000105,2024-02-25,S3,novela,4,0,1
BIB056-000106,2024-02-26,S1,novela,5,0,1
BIB056-000107,2024-02-26,S2,ensayo,9,0,1
BIB056-000108,2024-02-27,S3,ensayo,23,0,1
BIB056-000109,2024-02-28,S1,novela,18,0,1
BIB056-000110,2024-02-28,S2,ensayo,21,1,1
BIB056-000111,2024-02-29,S3,novela,15,0,1
BIB056-000112,2024-02-29,S1,novela,19,1,1
