registro_id,fecha,ruta,transportista,distancia_km,carga_kg,tiempo_min,prometido_min,entregado
TRA082-000001,2024-01-01,R6,T1,27.8,113.4,44.5,62.0,1
TRA082-000002,2024-01-01,R5,T2,101.4,71.9,154.6,146.6,1
TRA082-000003,2024-01-01,R2,T3,55.2,32.9,87.1,93.5,1
TRA082-000004,2024-01-01,R4,T1,25.0,37.9,53.0,58.8,1
TRA082-000005,2024-01-01,R6,T2,65.3,56.0,108.6,105.1,1
TRA082-000006,2024-01-02,R5,T3,56.6,38.9,94.3,95.1,1
TRA082-000007,2024-01-02,R2,T1,50.5,134.3,103.4,88.1,1
TRA082-000008,2024-01-02,R1,T2,45.0,121.0,70.7,81.8,1
TRA082-000009,2024-01-02,R6,T3,34.2,54.1,55.3,69.3,1
TRA082-000010,2024-01-03,R2,T1,142.4,121.4,176.4,193.8,1
TRA082-000011,2024-01-03,R5,T2,10.3,92.0,42.0,41.8,1
TRA082-000012,2024-01-03,R4,T3,104.6,75.7,138.6,150.3,1
TRA082-000013,2024-01-03,R2,T1,67.6,81.5,72.8,107.7,1
TRA082-000014,2024-01-04,R5,T2,85.6,131.4,129.5,128.4,1
TRA082-000015,2024-01-04,R6,T3,10.9,98.5,27.5,42.5,1
TRA082-000016,2024-01-04,R6,T1,83.9,25.3,105.3,126.5,1
TRA082-000017,2024-01-04,R6,T2,52.4,90.2,89.9,90.3,1
TRA082-000018,2024-01-05,R6,T3,100.5,111.9,146.1,145.6,1
TRA082-000019,2024-01-05,R1,T1,46.6,73.1,46.9,83.6,1
TRA082-000020,2024-01-05,R1,T2,94.9,129.5,146.2,139.1,1
TRA082-000021,2024-01-05,R3,T3,21.5,111.6,45.8,54.7,1
TRA082-000022,2024-01-06,R2,T1,9.3,34.7,22.2,40.7,1
TRA082-000023,2024-01-06,R3,T2,9.5,139.8,37.7,40.9,1
TRA082-000024,2024-01-06,R1,T3,91.6,147.6,158.3,135.3,1
TRA082-000025,2024-01-06,R5,T1,51.8,115.7,75.3,89.6,1
TRA082-000026,2024-01-07,R1,T2,120.8,18.5,140.0,168.9,1
TRA082-000027,2024-01-07,R3,T3,107.7,104.2,167.0,153.9,1
TRA082-000028,2024-01-07,R4,T1,93.4,115.1,119.3,137.4,1
TRA082-000029,2024-01-07,R3,T2,81.0,116.1,138.9,123.1,1
TRA082-000030,2024-01-08,R4,T3,62.3,139.4,102.9,101.6,1
TRA082-000031,2024-01-08,R2,T1,4.5,94.6,21.2,35.2,1
TRA082-000032,2024-01-08,R1,T2,87.4,38.4,110.3,130.5,1
TRA082-000033,2024-01-08,R3,T3,116.1,50.9,177.5,163.5,1
TRA082-000034,2024-01-09,R2,T1,61.2,132.7,71.5,100.4,1
TRA082-000035,2024-01-09,R5,T2,11.7,13.5,9.7,43.5,1
TRA082-000036,2024-01-09,R3,T3,146.6,47.5,230.9,198.6,1
TRA082-000037,2024-01-09,R4,T1,74.7,90.2,129.9,115.9,1
TRA082-000038,2024-01-10,R2,T2,45.5,72.6,58.5,82.3,1
TRA082-000039,2024-01-10,R2,T3,137.7,18.7,181.6,188.4,1
TRA082-000040,2024-01-10,R6,T1,105.4,76.5,141.7,151.2,1
TRA082-000041,2024-01-10,R1,T2,127.3,95.4,166.5,176.4,1
TRA082-000042,2024-01-10,R5,T3,97.4,26.8,124.6,142.0,1
TRA082-000043,2024-01-11,R5,T1,134.9,128.4,175.7,185.1,1
TRA082-000044,2024-01-11,R1,T2,6.1,125.4,,37.0,0
TRA082-000045,2024-01-11,R3,T3,91.1,22.5,118.7,134.8,1
TRA082-000046,2024-01-11,R2,T1,31.7,19.7,47.1,66.5,1
