registro_id,fecha,zona,canal,invitado,responde,satisfaccion,peso
ENC097-000001,2024-01-01,norte,web,1,1,5,1.6
ENC097-000002,2024-01-01,centro,telefono,1,0,,4.0
ENC097-000003,2024-01-01,sur,telefono,1,1,4,2.4
ENC097-000004,2024-01-01,norte,telefono,1,1,4,1.6
ENC097-000005,2024-01-01,centro,telefono,1,0,,4.0
ENC097-000006,2024-01-01,sur,web,1,1,4,2.4
ENC097-000007,2024-01-01,norte,telefono,1,1,5,1.6
ENC097-000008,2024-01-02,centro,web,1,1,2,4.0
ENC097-000009,2024-01-02,sur,web,1,1,4,2.4
ENC097-000010,2024-01-02,norte,telefono,1,0,,1.6
ENC097-000011,2024-01-02,centro,telefono,1,1,3,4.0
ENC097-000012,2024-01-02,sur,telefono,1,1,2,2.4
ENC097-000013,2024-01-02,norte,web,1,1,3,1.6
ENC097-000014,2024-01-03,centro,telefono,1,0,,4.0
ENC097-000015,2024-01-03,sur,telefono,1,1,4,2.4
ENC097-000016,2024-01-03,norte,web,1,1,3,1.6
ENC097-000017,2024-01-03,centro,web,1,1,3,4.0
ENC097-000018,2024-01-03,sur,telefono,1,1,2,2.4
ENC097-000019,2024-01-03,norte,web,1,1,5,1.6
ENC097-000020,2024-01-04,centro,telefono,1,0,,4.0
ENC097-000021,2024-01-04,sur,web,1,1,5,2.4
ENC097-000022,2024-01-04,norte,telefono,1,0,,1.6
ENC097-000023,2024-01-04,centro,telefono,1,0,,4.0
ENC097-000024,2024-01-04,sur,telefono,1,1,4,2.4
ENC097-000025,2024-01-04,norte,telefono,1,1,4,1.6
ENC097-000026,2024-01-05,centro,telefono,1,0,,4.0
ENC097-000027,2024-01-05,sur,telefono,1,1,5,2.4
ENC097-000028,2024-01-05,norte,telefono,1,1,4,1.6
ENC097-000029,2024-01-05,centro,telefono,1,0,,4.0
ENC097-000030,2024-01-05,sur,web,1,1,3,2.4
ENC097-000031,2024-01-05,norte,telefono,1,1,5,1.6
ENC097-000032,2024-01-06,centro,web,1,1,4,4.0
ENC097-000033,2024-01-06,sur,web,1,0,,2.4
ENC097-000034,2024-01-06,norte,telefono,1,1,3,1.6
ENC097-000035,2024-01-06,centro,web,1,0,,4.0
ENC097-000036,2024-01-06,sur,web,1,0,,2.4
ENC097-000037,2024-01-06,norte,web,1,1,4,1.6
ENC097-000038,2024-01-07,centro,web,1,1,2,4.0
ENC097-000039,2024-01-07,sur,web,1,1,5,2.4
ENC097-000040,2024-01-07,norte,telefono,1,1,5,1.6
ENC097-000041,2024-01-07,centro,web,1,0,,4.0
ENC097-000042,2024-01-07,sur,telefono,1,1,2,2.4
ENC097-000043,2024-01-07,norte,telefono,1,1,3,1.6
ENC097-000044,2024-01-07,centro,web,1,1,2,4.0
ENC097-000045,2024-01-08,sur,web,1,1,3,2.4
ENC097-000046,2024-01-08,norte,telefono,1,1,5,1.6
ENC097-000047,2024-01-08,centro,web,1,0,,4.0
ENC097-000048,2024-01-08,sur,web,1,1,3,2.4
ENC097-000049,2024-01-08,norte,web,1,1,4,1.6
ENC097-000050,2024-01-08,centro,web,1,0,,4.0
ENC097-000051,2024-01-09,sur,web,1,1,2,2.4
ENC097-000052,2024-01-09,norte,web,1,1,3,1.6
ENC097-000053,2024-01-09,centro,web,1,0,,4.0
ENC097-000054,2024-01-09,sur,telefono,1,1,4,2.4
ENC097-000055,2024-01-09,norte,telefono,1,1,5,1.6
ENC097-000056,2024-01-09,centro,web,1,0,,4.0
ENC097-000057,2024-01-10,sur,web,1,1,3,2.4
ENC097-000058,2024-01-10,norte,telefono,1,1,3,1.6
ENC097-000059,2024-01-10,centro,telefono,1,0,,4.0
ENC097-000060,2024-01-10,sur,web,1,1,5,2.4
ENC097-000061,2024-01-10,norte,web,1,1,4,1.6
ENC097-000062,2024-01-10,centro,telefono,1,0,,4.0
ENC097-000063,2024-01-11,sur,telefono,1,0,,2.4
ENC097-000064,2024-01-11,norte,telefono,1,1,4,1.6
ENC097-000065,2024-01-11,centro,telefono,1,0,,4.0
ENC097-000066,2024-01-11,sur,telefono,1,1,5,2.4
ENC097-000067,2024-01-11,norte,telefono,1,1,4,1.6
ENC097-000068,2024-01-11,centro,telefono,1,0,,4.0
ENC097-000069,2024-01-12,sur,telefono,1,1,4,2.4
ENC097-000070,2024-01-12,norte,telefono,1,0,,1.6
ENC097-000071,2024-01-12,centro,telefono,1,1,4,4.0
ENC097-000072,2024-01-12,sur,telefono,1,1,3,2.4
ENC097-000073,2024-01-12,norte,web,1,1,2,1.6
ENC097-000074,2024-01-12,centro,telefono,1,0,,4.0
ENC097-000075,2024-01-13,sur,telefono,1,0,,2.4
ENC097-000076,2024-01-13,norte,web,1,1,4,1.6
ENC097-000077,2024-01-13,centro,web,1,0,,4.0
ENC097-000078,2024-01-13,sur,telefono,1,1,5,2.4
ENC097-000079,2024-01-13,norte,web,1,1,4,1.6
ENC097-000080,2024-01-13,centro,telefono,1,0,,4.0
ENC097-000081,2024-01-13,sur,web,1,0,,2.4
ENC097-000082,2024-01-14,norte,telefono,1,1,2,1.6
ENC097-000083,2024-01-14,centro,telefono,1,1,3,4.0
ENC097-000084,2024-01-14,sur,web,1,0,,2.4
ENC097-000085,2024-01-14,norte,web,1,1,3,1.6
ENC097-000086,2024-01-14,centro,telefono,1,0,,4.0
ENC097-000087,2024-01-14,sur,web,1,0,,2.4
ENC097-000088,2024-01-15,norte,web,1,1,2,1.6
ENC097-000089,2024-01-15,centro,telefono,1,1,3,4.0
ENC097-000090,2024-01-15,sur,web,1,0,,2.4
ENC097-000091,2024-01-15,norte,web,1,0,,1.6
ENC097-000092,2024-01-15,centro,web,1,0,,4.0
ENC097-000093,2024-01-15,sur,web,1,1,1,2.4
ENC097-000094,2024-01-16,norte,web,1,1,4,1.6
ENC097-000095,2024-01-16,centro,telefono,1,0,,4.0
ENC097-000096,2024-01-16,sur,telefono,1,1,2,2.4
ENC097-000097,2024-01-16,norte,telefono,1,0,,1.6
ENC097-000098,2024-01-16, CENTRO ,web,1,0,,4.0
ENC097-000099,2024-01-16,sur,web,1,1,4,2.4
ENC097-000100,2024-01-17,norte,web,1,1,4,1.6
ENC097-000101,2024-01-17,centro,web,1,1,1,4.0
ENC097-000102,2024-01-17,sur,telefono,1,0,,2.4
ENC097-000103,2024-01-17,norte,telefono,1,0,,1.6
ENC097-000104,2024-01-17,centro,telefono,1,0,,4.0
ENC097-000105,2024-01-17,sur,web,1,0,,2.4
ENC097-000106,2024-01-18,norte,web,1,1,4,1.6
ENC097-000107,2024-01-18,centro,web,1,0,,4.0
ENC097-000108,2024-01-18,sur,telefono,1,0,,2.4
ENC097-000109,2024-01-18,norte,web,1,1,3,1.6
ENC097-000110,2024-01-18,centro,web,1,1,5,4.0
ENC097-000111,2024-01-18,sur,telefono,1,1,4,2.4
ENC097-000112,2024-01-19,norte,telefono,1,1,4,1.6
ENC097-000113,2024-01-19,centro,telefono,1,1,4,4.0
ENC097-000114,2024-01-19,sur,web,1,1,3,2.4
ENC097-000115,2024-01-19,norte,telefono,1,1,4,1.6
ENC097-000116,2024-01-19,centro,web,1,0,,4.0
ENC097-000117,2024-01-19,sur,telefono,1,1,5,2.4
ENC097-000118,2024-01-20,norte,telefono,1,1,4,1.6
ENC097-000119,2024-01-20,centro,telefono,1,1,2,4.0
ENC097-000120,2024-01-20,sur,web,1,0,,2.4
ENC097-000121,2024-01-20,norte,telefono,1,1,3,1.6
ENC097-000122,2024-01-20,centro,web,1,1,1,4.0
ENC097-000123,2024-01-20,sur,web,1,0,,2.4
ENC097-000124,2024-01-20,norte,web,1,1,3,1.6
ENC097-000125,2024-01-21,centro,telefono,1,0,,4.0
ENC097-000126,2024-01-21,sur,web,1,1,4,2.4
ENC097-000127,2024-01-21,norte,web,1,1,4,1.6
ENC097-000128,2024-01-21,centro,web,1,1,3,4.0
ENC097-000129,2024-01-21,sur,web,1,1,3,2.4
ENC097-000130,2024-01-21,norte,telefono,1,1,4,1.6
ENC097-000131,2024-01-22,centro,web,1,1,4,4.0
ENC097-000132,2024-01-22,sur,web,1,0,,2.4
ENC097-000133,2024-01-22,norte,telefono,1,1,4,1.6
ENC097-000134,2024-01-22,centro,web,1,0,,4.0
ENC097-000135,2024-01-22,sur,web,1,0,,2.4
ENC097-000136,2024-01-22,norte,telefono,1,1,5,1.6
ENC097-000137,2024-01-23,centro,telefono,1,1,3,4.0
ENC097-000138,2024-01-23,sur,web,1,0,,2.4
ENC097-000139,2024-01-23,norte,telefono,1,1,5,1.6
ENC097-000140,2024-01-23,centro,web,1,0,,4.0
ENC097-000141,2024-01-23,sur,telefono,1,0,,2.4
ENC097-000142,2024-01-23,norte,telefono,1,1,5,1.6
ENC097-000143,2024-01-24,centro,telefono,1,0,,4.0
ENC097-000144,2024-01-24,sur,telefono,1,1,2,2.4
ENC097-000145,2024-01-24,norte,telefono,1,1,5,1.6
ENC097-000146,2024-01-24,centro,web,1,0,,4.0
ENC097-000147,2024-01-24,sur,telefono,1,1,4,2.4
ENC097-000148,2024-01-24,norte,web,1,1,3,1.6
