registro_id,fecha,area,contrato,antiguedad_meses,horas,formacion_h,salario,absentismo_dias
PER052-000001,2024-01-01,operaciones,completo,109,160,4.3,2993.77,1
PER052-000002,2024-01-01,administracion,completo,119,160,0,3440.65,5
PER052-000003,2024-01-02,comercial,completo,117,160,11.3,3948.41,5
PER052-000004,2024-01-02,operaciones,completo,116,160,9.6,2775.83,2
PER052-000005,2024-01-03,administracion,parcial,166,80,8.1,1868.14,1
PER052-000006,2024-01-03,comercial,completo,61,160,0,3281.51,1
PER052-000007,2024-01-04,operaciones,parcial,145,80,0,1607.38,1
PER052-000008,2024-01-04,administracion,completo,147,160,0,3279.11,4
PER052-000009,2024-01-05,comercial,parcial,15,80,0,1753.79,1
PER052-000010,2024-01-05,operaciones,completo,131,160,0,2957.65,5
PER052-000011,2024-01-06,administracion,parcial,35,80,0,1484.54,0
PER052-000012,2024-01-07,comercial,parcial,176,80,0,2131.29,4
PER052-000013,2024-01-07,operaciones,completo,102,160,0,2774.33,3
PER052-000014,2024-01-08,administracion,parcial,139,80,0,1664.37,4
PER052-000015,2024-01-08,comercial,completo,56,160,0,3225.35,3
PER052-000016,2024-01-09,operaciones,parcial,131,80,17.7,1349.13,2
PER052-000017,2024-01-09,administracion,completo,83,160,0,2921.45,2
PER052-000018,2024-01-10,comercial,parcial,101,80,0,1730.63,1
PER052-000019,2024-01-10,operaciones,completo,80,160,9.7,2753.09,0
PER052-000020,2024-01-11,administracion,completo,118,160,0,3539.73,5
PER052-000021,2024-01-12,comercial,completo,151,160,4.5,3997.62,4
PER052-000022,2024-01-12,operaciones,completo,153,160,0,3248.04,4
PER052-000023,2024-01-13,administracion,parcial,175,80,7.2,1861.51,2
PER052-000024,2024-01-13,comercial,completo,78,160,27.3,3949.97,3
PER052-000025,2024-01-14,operaciones,parcial,66,80,7.0,1215.05,0
PER052-000026,2024-01-14,administracion,parcial,151,80,13.1,1636.92,2
PER052-000027,2024-01-15,comercial,completo,90,160,10.0,3919.88,0
PER052-000028,2024-01-15,operaciones,parcial,41,80,4.5,1299.99,1
PER052-000029,2024-01-16,administracion,parcial,121,80,0,1657.98,0
PER052-000030,2024-01-17,comercial,completo,120,160,7.2,3560.63,3
PER052-000031,2024-01-17,operaciones,completo,154,160,2.9,3350.35,5
PER052-000032,2024-01-18,administracion,completo,127,160,6.7,3650.64,4
PER052-000033,2024-01-18,comercial,completo,175,160,0,4456.43,5
PER052-000034,2024-01-19,operaciones,completo,99,160,4.9,2668.21,5
PER052-000035,2024-01-19,administracion,parcial,165,80,0,1973.94,1
PER052-000036,2024-01-20,comercial,completo,92,160,5.7,3476.81,5
PER052-000037,2024-01-20,operaciones,completo,123,160,5.7,3236.57,4
PER052-000038,2024-01-21,administracion,completo,93,160,0,3478.64,4
PER052-000039,2024-01-22,comercial,parcial,2,80,5.4,1549.35,1
PER052-000040,2024-01-22,operaciones,completo,141,160,9.8,3264.27,5
PER052-000041,2024-01-23,administracion,completo,143,160,6.7,3634.01,4
PER052-000042,2024-01-23,comercial,completo,116,160,3.7,3704.89,5
PER052-000043,2024-01-24,operaciones,completo,48,160,0,2753.45,4
PER052-000044,2024-01-24,administracion,parcial,52,80,0,1389.65,5
PER052-000045,2024-01-25,comercial,completo,65,160,19.8,3264.79,2
PER052-000046,2024-01-25,operaciones,completo,116,160,18.6,2842.32,3
PER052-000047,2024-01-26,administracion,completo,81,160,12.3,2967.02,4
PER052-000048,2024-01-27,comercial,completo,44,160,0,3255.31,4
PER052-000049,2024-01-27,operaciones,completo,103,160,3.8,2576.27,3
PER052-000050,2024-01-28,administracion,parcial,159,80,3.2,1912.81,1
PER052-000051,2024-01-28,comercial,completo,90,160,6.6,3613.48,2
PER052-000052,2024-01-29,operaciones,completo,120,160,4.8,2890.5,5
PER052-000053,2024-01-29,administracion,completo,10,160,11.6,2875.18,2
PER052-000054,2024-01-30,comercial,completo,166,160,8.3,4386.66,4
PER052-000055,2024-01-30,operaciones,completo,163,160,6.4,3156.72,0
