registro_id,fecha,sede,espera_min,atencion_min,estado,prioridad
TUR021-000001,2024-01-01,S1,3.2,4.5,atendido,ordinaria
TUR021-000002,2024-01-01,S2,9.5,10.7,atendido,ordinaria
TUR021-000003,2024-01-02,S3,11.0,,abandono,ordinaria
TUR021-000004,2024-01-03,S1,4.2,15.7,atendido,ordinaria
TUR021-000005,2024-01-04,S2,14.8,10.2,atendido,ordinaria
TUR021-000006,2024-01-05,S3,9.1,11.2,atendido,ordinaria
TUR021-000007,2024-01-06,S1,16.7,,abandono,ordinaria
TUR021-000008,2024-01-07,S2,17.3,3.7,atendido,ordinaria
TUR021-000009,2024-01-08,S3,7.0,6.6,atendido,ordinaria
TUR021-000010,2024-01-09,S1,4.1,3.1,atendido,preferente
TUR021-000011,2024-01-09,S2,14.3,,abandono,ordinaria
TUR021-000012,2024-01-10,S3,4.3,16.0,atendido,ordinaria
TUR021-000013,2024-01-11,S1,9.9,12.5,atendido,preferente
TUR021-000014,2024-01-12,S2,3.7,,abandono,preferente
TUR021-000015,2024-01-13,S3,4.1,11.4,atendido,ordinaria
TUR021-000016,2024-01-14,S1,16.1,14.4,atendido,ordinaria
TUR021-000017,2024-01-15,S2,2.5,16.0,atendido,preferente
TUR021-000018,2024-01-16,S3,8.9,11.2,atendido,ordinaria
TUR021-000019,2024-01-17,S1,15.0,,abandono,ordinaria
TUR021-000020,2024-01-17,S2,14.9,6.3,atendido,ordinaria
TUR021-000021,2024-01-18,S3,15.4,9.6,atendido,ordinaria
TUR021-000022,2024-01-19,S1,10.9,11.8,atendido,ordinaria
TUR021-000023,2024-01-20,S2,8.5,6.1,atendido,ordinaria
TUR021-000024,2024-01-21,S3,45.1,3.6,atendido,ordinaria
TUR021-000025,2024-01-22,S1,10.7,13.3,atendido,ordinaria
TUR021-000026,2024-01-23,S2,17.3,12.3,atendido,preferente
TUR021-000027,2024-01-24,S3,11.3,15.2,atendido,ordinaria
TUR021-000028,2024-01-25,S1,6.1,9.0,atendido,ordinaria
