registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL083-000001,2024-01-01,C0001,esencial,norte,7,10.67,0,0,
TEL083-000002,2024-01-01,C0002,plus,norte,8,34.44,0,0,
TEL083-000003,2024-01-01,C0003,total,sur,31,44.44,0,0,
TEL083-000004,2024-01-01,C0004,esencial,norte,80,28.21,1,0,
TEL083-000005,2024-01-01,C0005,plus,sur,17,34.55,0,0,
TEL083-000006,2024-01-01,C0006,total,norte,2,48.28,0,0,
TEL083-000007,2024-01-01,C0007,esencial,centro,75,14.59,0,0,
TEL083-000008,2024-01-01,C0008,plus,norte,70,9.91,0,0,
TEL083-000009,2024-01-01,C0009,total,sur,43,34.3,1,0,
TEL083-000010,2024-01-01,C0010,esencial,sur,87,10.12,1,0,
TEL083-000011,2024-01-01,C0011,plus,norte,89,39.28,0,0,
TEL083-000012,2024-01-01,C0012,total,sur,12,58.57,0,0,
TEL083-000013,2024-01-01,C0013,esencial,norte,5,6.43,1,1,mudanza
TEL083-000014,2024-01-01,C0014,plus,centro,70,23.57,0,0,
TEL083-000015,2024-01-01,C0015,total,centro,90,40.03,1,0,
TEL083-000016,2024-01-01,C0016,esencial,sur,51,7.04,0,0,
TEL083-000017,2024-01-01,C0017,plus,sur,60,39.42,2,0,
TEL083-000018,2024-01-01,C0018,total,sur,14,43.55,3,0,
TEL083-000019,2024-01-01,C0019,esencial,norte,35,12.91,1,0,
TEL083-000020,2024-01-01,C0020,plus,sur,73,31.58,0,0,
TEL083-000021,2024-01-01,C0021,total,sur,13,60.45,3,0,
TEL083-000022,2024-01-01,C0022,esencial,centro,90,15.24,2,0,
TEL083-000023,2024-01-01,C0023,plus,centro,50,21.43,0,0,
TEL083-000024,2024-01-01,C0024,total,sur,89,34.51,0,0,
TEL083-000025,2024-01-01,C0025,esencial,centro,29,3.81,1,0,
TEL083-000026,2024-01-01,C0026,plus,sur,56,22.6,1,0,
TEL083-000027,2024-01-01,C0027,total,centro,13,45.49,2,0,
TEL083-000028,2024-01-01,C0028,esencial,norte,50,22.48,0,0,
TEL083-000029,2024-01-01,C0029,plus,centro,37,20.09,0,0,
TEL083-000030,2024-01-01,C0030,total,norte,42,49.13,1,0,
TEL083-000031,2024-01-01,C0031,esencial,centro,10,21.17,3,0,
TEL083-000032,2024-01-01,C0032,plus,norte,32,19.71,0,0,
TEL083-000033,2024-01-01,C0033,total,sur,89,47.59,0,0,
TEL083-000034,2024-01-01,C0034,esencial,norte,69,15.11,1,0,
TEL083-000035,2024-01-01,C0035,plus,sur,81,35.06,0,0,
TEL083-000036,2024-01-01,C0036,total,norte,51,61.86,3,1,servicio
TEL083-000037,2024-01-01,C0037,esencial,norte,33,6.79,1,0,
TEL083-000038,2024-01-01,C0038,plus,centro,37,37.19,0,0,
TEL083-000039,2024-01-01,C0039,total,norte,81,54.74,0,0,
TEL083-000040,2024-01-01,C0040,esencial,norte,74,5.58,0,0,
TEL083-000041,2024-01-01,C0041,plus,norte,73,24.82,0,0,
TEL083-000042,2024-01-01,C0042,total,norte,22,53.78,1,0,
TEL083-000043,2024-01-01,C0043,esencial,centro,7,8.02,2,0,
TEL083-000044,2024-01-01,C0044,plus,centro,90,23.22,0,0,
TEL083-000045,2024-01-01,C0045,total,norte,52,42.53,1,0,
TEL083-000046,2024-01-01,C0046,esencial,norte,13,5.69,3,1,precio
TEL083-000047,2024-01-01,C0047,plus,centro,62,36.54,0,0,
TEL083-000048,2024-01-01,C0048,total,sur,62,36.59,0,0,
TEL083-000049,2024-01-01,C0049,esencial,centro,86,27.95,2,0,
