registro_id,fecha,almacen,producto,saldo,demanda,reposicion,plazo_dias,coste_unitario
STO025-000001,2024-01-01,A1,P01,47,26,24,3,4.0
STO025-000002,2024-01-01,A2,P01,48,27,0,3,4.0
STO025-000003,2024-01-02,A3,P01,60,18,24,3,4.0
STO025-000004,2024-01-03,A1,P02,18,13,12,4,6.2
STO025-000005,2024-01-04,A2,P02,2,25,0,4,6.2
STO025-000006,2024-01-05,A3,P02,20,26,0,4,6.2
STO025-000007,2024-01-05,A1,P03,54,22,0,5,8.4
STO025-000008,2024-01-06,A2,P03,25,28,12,5,8.4
STO025-000009,2024-01-07,A3,P03,48,23,12,5,8.4
STO025-000010,2024-01-08,A1,P04,6,23,0,6,10.6
STO025-000011,2024-01-09,A2,P04,4,18,0,6,10.6
STO025-000012,2024-01-10,A3,P04,55,15,12,6,10.6
STO025-000013,2024-01-10,A1,P05,4,16,0,7,12.8
STO025-000014,2024-01-11,A2,P05,62,4,12,7,12.8
STO025-000015,2024-01-12,A3,P05,10,21,0,7,12.8
STO025-000016,2024-01-13,A1,P06,56,22,0,8,15.0
STO025-000017,2024-01-14,A2,P06,23,26,0,8,15.0
STO025-000018,2024-01-15,A3,P06,41,22,0,8,15.0
STO025-000019,2024-01-15,A1,P07,31,10,0,9,17.2
STO025-000020,2024-01-16,A2,P07,30,13,0,9,17.2
STO025-000021,2024-01-17,A3,P07,44,19,24,9,17.2
STO025-000022,2024-01-18,A1,P08,56,22,12,3,19.4
STO025-000023,2024-01-19,A2,P08,70,23,0,3,19.4
STO025-000024,2024-01-20,A3,P08,41,32,0,3,19.4
STO025-000025,2024-01-20,A1,P09,26,27,0,4,21.6
STO025-000026,2024-01-21,A2,P09,58,29,0,4,21.6
STO025-000027,2024-01-22,A3,P09,46,14,24,4,21.6
STO025-000028,2024-01-23,A1,P10,42,29,24,5,23.8
STO025-000029,2024-01-24,A2,P10,63,24,24,5,23.8
STO025-000030,2024-01-25,A3,P10,69,24,0,5,23.8
STO025-000031,2024-01-25,A1,P11,37,19,0,6,26.0
STO025-000032,2024-01-26,A2,P11,12,15,0,6,26.0
STO025-000033,2024-01-27,A3,P11,54,21,12,6,26.0
STO025-000034,2024-01-28,A1,P12,18,19,0,7,28.2
STO025-000035,2024-01-29,A2,P12,56,31,24,7,28.2
STO025-000036,2024-01-30,A3,P12,47,26,0,7,28.2
STO025-000037,2024-01-30,A1,P01,37,11,24,3,4.0
STO025-000038,2024-01-31,A2,P01,37,23,12,3,4.0
STO025-000039,2024-02-01,A3,P01,29,25,12,3,4.0
STO025-000040,2024-02-02,A1,P02,69,17,24,4,6.2
STO025-000041,2024-02-03,A2,P02,38,17,0,4,6.2
STO025-000042,2024-02-04,A3,P02,7,15,0,4,6.2
STO025-000043,2024-02-04,A1,P03,16,25,24,5,8.4
STO025-000044,2024-02-05,A2,P03,17,6,12,5,8.4
STO025-000045,2024-02-06,A3,P03,60,11,24,5,8.4
STO025-000046,2024-02-07,A1,P04,18,13,12,6,10.6
STO025-000047,2024-02-08,A2,P04,52,15,12,6,10.6
STO025-000048,2024-02-08,A3,P04,25,18,0,6,10.6
STO025-000049,2024-02-09,A1,P05,51,18,0,7,12.8
STO025-000050,2024-02-10,A2,P05,60,8,0,7,12.8
STO025-000051,2024-02-11,A3,P05,67,19,0,7,12.8
STO025-000052,2024-02-12,A1,P06,56,23,12,8,15.0
STO025-000053,2024-02-13,A2,P06,65,30,24,8,15.0
STO025-000054,2024-02-13,A3,P06,28,20,12,8,15.0
STO025-000055,2024-02-14,A1,P07,46,20,24,9,17.2
STO025-000056,2024-02-15,A2,P07,59,23,0,9,17.2
STO025-000057,2024-02-16,A3,P07,33,12,0,9,17.2
STO025-000058,2024-02-17,A1,P08,62,13,12,3,19.4
STO025-000059,2024-02-18,A2,P08,51,28,0,3,19.4
