registro_id,fecha,sucursal,genero,dias_prestamo,renovacion,devuelto
BIB016-000001,2024-01-01,S1,ensayo,30,1,1
BIB016-000002,2024-01-01,S2,infantil,730,0,0
BIB016-000003,2024-01-01,S3,novela,2,0,1
BIB016-000004,2024-01-01,S1,ensayo,15,0,1
BIB016-000005,2024-01-01,S2,infantil,12,0,1
BIB016-000006,2024-01-01,S3,infantil,730,0,0
BIB016-000007,2024-01-02,S1,novela,11,0,1
BIB016-000008,2024-01-02,S2,infantil,30,1,1
BIB016-000009,2024-01-02,S3,ensayo,8,0,1
BIB016-000010,2024-01-02,S1,ensayo,21,0,1
BIB016-000011,2024-01-02,S2,novela,729,0,0
BIB016-000012,2024-01-02,S3,ensayo,23,1,1
BIB016-000013,2024-01-03,S1,ensayo,8,0,1
BIB016-000014,2024-01-03,S2,ensayo,7,0,1
BIB016-000015,2024-01-03,S3,novela,21,0,1
BIB016-000016,2024-01-03,S1,infantil,14,0,1
BIB016-000017,2024-01-03,S2,novela,13,0,1
BIB016-000018,2024-01-03,S3,novela,32,1,1
BIB016-000019,2024-01-04,S1,novela,7,0,1
BIB016-000020,2024-01-04,S2,infantil,22,1,1
BIB016-000021,2024-01-04,S3,novela,9,0,1
BIB016-000022,2024-01-04,S1,novela,6,0,1
BIB016-000023,2024-01-04,S2,ensayo,10,0,1
BIB016-000024,2024-01-05,S3,novela,14,0,1
BIB016-000025,2024-01-05,S1,novela,14,0,1
BIB016-000026,2024-01-05,S2,ensayo,36,1,1
BIB016-000027,2024-01-05,S3,infantil,27,1,1
BIB016-000028,2024-01-05,S1,infantil,2,0,1
BIB016-000029,2024-01-05,S2,ensayo,5,0,1
BIB016-000030,2024-01-06,S3,novela,18,1,1
BIB016-000031,2024-01-06,S1,infantil,25,0,1
BIB016-000032,2024-01-06,S2,infantil,725,1,0
BIB016-000033,2024-01-06,S3,infantil,14,0,1
BIB016-000034,2024-01-06,S1,ensayo,25,1,1
BIB016-000035,2024-01-06,S2,infantil,25,0,1
BIB016-000036,2024-01-07,S3,ensayo,8,0,1
BIB016-000037,2024-01-07,S1,ensayo,25,0,1
BIB016-000038,2024-01-07,S2,novela,3,0,1
BIB016-000039,2024-01-07,S3,infantil,39,1,1
BIB016-000040,2024-01-07,S1,novela,6,0,1
BIB016-000041,2024-01-08,S2,ensayo,22,0,1
BIB016-000042,2024-01-08,S3,ensayo,12,0,1
BIB016-000043,2024-01-08,S1,ensayo,11,0,1
BIB016-000044,2024-01-08,S2,novela,5,0,1
BIB016-000045,2024-01-08,S3,ensayo,19,0,1
BIB016-000046,2024-01-08,S1,novela,25,0,1
BIB016-000047,2024-01-09,S2,infantil,3,0,1
BIB016-000048,2024-01-09,S3,ensayo,4,0,1
BIB016-000049,2024-01-09,S1,ensayo,6,0,1
BIB016-000050,2024-01-09,S2,novela,11,0,1
BIB016-000051,2024-01-09,S3,ensayo,3,0,1
BIB016-000052,2024-01-09,S1,ensayo,13,0,1
BIB016-000053,2024-01-10,S2,novela,12,0,1
BIB016-000054,2024-01-10,S3,novela,3,0,1
BIB016-000055,2024-01-10,S1,infantil,22,0,1
BIB016-000056,2024-01-10,S2,novela,17,1,1
BIB016-000057,2024-01-10,S3,infantil,721,1,0
BIB016-000058,2024-01-10,S1,infantil,23,0,1
BIB016-000059,2024-01-11,S2,ensayo,18,1,1
BIB016-000060,2024-01-11,S3,novela,14,0,1
BIB016-000061,2024-01-11,S1,infantil,9,0,1
BIB016-000062,2024-01-11,S2,infantil,2,0,1
BIB016-000063,2024-01-11,S3,infantil,34,1,1
BIB016-000064,2024-01-12,S1,novela,10,0,1
BIB016-000065,2024-01-12,S2,infantil,39,1,1
BIB016-000066,2024-01-12,S3,ensayo,23,1,1
BIB016-000067,2024-01-12,S1,novela,18,1,1
BIB016-000068,2024-01-12,S2,novela,17,0,1
